split,feature_set,target,fold,pretext_cross_entropy,prior_cross_entropy,uniform_cross_entropy,ce_lift_vs_prior,ce_lift_vs_uniform,top1_match_rate,train_rows,validation_rows,uses_public_score,uses_train_labels_for_pretext,teacher_source,responsibility_blend
row_block_holdout,invariant_mix_relative_conservative,Q3,1.0,1.0891468112442007,1.096788193336374,1.6094379124341003,0.007641382092173243,0.5202911011898996,0.5111111111111111,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q3,2.0,1.0848574099833683,1.091033677479983,1.6094379124341003,0.006176267496614596,0.524580502450732,0.4666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q3,3.0,1.0555020513619553,1.0640949443361856,1.6094379124341003,0.00859289297423027,0.553935861072145,0.6555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,Q3,4.0,1.0385859928462946,1.0476001634971313,1.6094379124341003,0.00901417065083665,0.5708519195878057,0.6666666666666666,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S1,0.0,0.649744513340184,0.656571576460469,1.6094379124341003,0.006827063120285026,0.9596933990939163,0.8222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S1,1.0,0.6498703880396088,0.6557442940782973,1.6094379124341003,0.005873906038688426,0.9595675243944914,0.7888888888888889,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S1,2.0,0.6841120567997753,0.6902092486144252,1.6094379124341003,0.00609719181464996,0.925325855634325,0.7111111111111111,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S1,3.0,0.6344433089770896,0.6361689995317494,1.6094379124341003,0.0017256905546598755,0.9749946034570107,0.9444444444444444,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S1,4.0,0.6450465779205536,0.651983091373131,1.6094379124341003,0.0069365134525773975,0.9643913345135466,0.7777777777777778,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S2,0.0,0.9990015104692705,1.009379061523627,1.6094379124341003,0.01037755105435656,0.6104364019648297,0.8333333333333334,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S2,1.0,0.9839378959393722,0.9943288650484752,1.6094379124341003,0.010390969109102977,0.6255000164947281,0.8222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S2,2.0,1.0372810202891625,1.0451359088085437,1.6094379124341003,0.007854888519381209,0.5721568921449378,0.7555555555555555,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S2,3.0,1.0015594530386571,1.0064410434522462,1.6094379124341003,0.004881590413589043,0.6078784593954432,0.8888888888888888,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S2,4.0,1.0040702157969141,1.0135137917090338,1.6094379124341003,0.00944357591211964,0.6053676966371861,0.7333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S3,0.0,1.0122279799099667,1.0282780178601536,1.6094379124341003,0.01605003795018689,0.5972099325241336,0.5555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S3,1.0,0.9874690116563917,1.0064997908231623,1.6094379124341003,0.01903077916677065,0.6219689007777086,0.7222222222222222,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S3,2.0,1.0459476061964068,1.060616932535586,1.6094379124341003,0.014669326339179278,0.5634903062376935,0.5333333333333333,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S3,3.0,1.0088442468672194,1.0210076850206948,1.6094379124341003,0.012163438153475425,0.6005936655668809,0.7111111111111111,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S3,4.0,0.999616913231693,1.0158045560081723,1.6094379124341003,0.016187642776479327,0.6098209992024073,0.5888888888888889,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S4,0.0,1.0290131112951717,1.034852306043238,1.6094379124341003,0.005839194748066268,0.5804248011389286,0.8111111111111111,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S4,1.0,1.075409579725734,1.0829631262248138,1.6094379124341003,0.007553546499079911,0.5340283327083664,0.5666666666666667,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S4,2.0,1.0758998956869206,1.0819973582197053,1.6094379124341003,0.006097462532784759,0.5335380167471797,0.5555555555555556,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S4,3.0,1.0424242510648554,1.050701030569788,1.6094379124341003,0.008276779504932552,0.5670136613692449,0.7555555555555555,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
row_block_holdout,invariant_mix_relative_conservative,S4,4.0,1.0142007162119404,1.0229470909412828,1.6094379124341003,0.008746374729342365,0.5952371962221599,0.7777777777777778,360.0,90.0,False,False,invariant_mix_transported_prototype_reliability,0.15
