rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowweighted_delta_vs_h012,h019_rowweighted_delta_vs_h012,h020_decision,decision_rank,file
-0.001055719613908018,-0.0010150954510541271,0.992,-0.00028718134388755327,combined_all_k1000_a1,combined,all,1000,1.0,247,1000,0.012879529409501057,0.12328370558887525,0.011577559098771754,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1000_a1_593afc3f.csv
-0.001003014671876644,-0.0009658506433071584,0.996,-0.0003284598916328708,gain_all_k1000_a1.25,gain,all,1000,1.25,249,1000,0.016291927458705016,0.1528531517928886,0.013632384605588884,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1000_a1.25_0832452d.csv
-0.0010017943576732856,-0.0009647703128799531,0.996,-0.00032870798640918726,gain_all_k1000_a0.75,gain,all,1000,0.75,249,1000,0.009876325626842658,0.09299138979406657,0.008744715639978619,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k1000_a0.75_5c5c772d.csv
-0.0009937086177285986,-0.0009560572994173335,1.0,-0.0003214733497035685,move_all_k1000_a1.25,move,all,1000,1.25,250,1000,0.01577398083088239,0.1528531517928886,0.013579089604572766,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1000_a1.25_51a0de32.csv
-0.0009935108237806086,-0.0009549370258386411,0.992,-0.0002686942238141374,combined_all_k1000_a1.25,combined,all,1000,1.25,247,1000,0.016017813837129427,0.1528531517928886,0.014283028783963703,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1000_a1.25_fd3d1545.csv
-0.0009924750342047662,-0.0009549660768884441,1.0,-0.00032137710467256724,move_all_k1000_a0.75,move,all,1000,0.75,250,1000,0.009565718929997136,0.09299138979406657,0.008787742059066342,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k1000_a0.75_da702bd7.csv
-0.0009922926516823744,-0.0009538590339192498,0.992,-0.0002689126935731685,combined_all_k1000_a0.75,combined,all,1000,0.75,247,1000,0.0097107982971402,0.09299138979406657,0.009347919861017219,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k1000_a0.75_23e5e91e.csv
-0.0009774075927134875,-0.0009371193218574333,0.972,-0.00024856240622597015,gain_all_k700_a1,gain,all,700,1.0,241,700,0.010692055137230634,0.12328370558887525,0.011042106983302553,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_gain_all_k700_a1_38d5533c.csv
-0.0009628422435270847,-0.0009189191990099561,0.948,-0.00016620604117785213,combined_all_k700_a1,combined,all,700,1.0,235,700,0.010461456988067807,0.12328370558887525,0.011952405038292108,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_combined_all_k700_a1_b4c9b35a.csv
-0.0009491420684837312,-0.0009080164086877167,0.964,-0.00021577874480628004,move_all_k700_a1,move,all,700,1.0,238,700,0.009899828654448129,0.12328370558887525,0.010983684641568889,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,hitl/h020_joint_vector_world_jepa/submission_h020_move_all_k700_a1_d02c8379.csv
-0.0009200626567969615,-0.0008818036095503539,0.972,-0.00023306781278362255,gain_all_k700_a1.25,gain,all,700,1.25,241,700,0.013286424943911718,0.1528531517928886,0.013369391161299926,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0009188565497108291,-0.0008807377371274699,0.972,-0.00023305059768333517,gain_all_k700_a0.75,gain,all,700,0.75,241,700,0.008068426818600304,0.09299138979406657,0.009150484246731296,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0009063946670458883,-0.0008647271407617431,0.948,-0.00015617103305333015,combined_all_k700_a1.25,combined,all,700,1.25,235,700,0.012999313997528694,0.1528531517928886,0.014243994208109663,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0009051937875335057,-0.0008636668545264441,0.948,-0.00015603061741795,combined_all_k700_a0.75,combined,all,700,0.75,235,700,0.007894811858641755,0.09299138979406657,0.009970769827134223,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0008936252475963362,-0.0008545735531546668,0.964,-0.000202538362083693,move_all_k700_a1.25,move,all,700,1.25,238,700,0.012294760997744333,0.1528531517928886,0.013120607014464354,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0008923988384450647,-0.0008534897478415604,0.964,-0.0002024383722791378,move_all_k700_a0.75,move,all,700,0.75,238,700,0.007475206306563051,0.09299138979406657,0.009242509106258385,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0008564863540804651,-0.0008243801578886058,0.996,-0.0002790558277885452,gain_all_k1000_a0.55,gain,all,1000,0.55,249,1000,0.00727449509914914,0.0683812235945499,0.007943302462713747,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.000848615048729581,-0.00081608621669554,1.0,-0.00027360386756079553,move_all_k1000_a0.55,move,all,1000,0.55,250,1000,0.007046820800517504,0.0683812235945499,0.007994039553474396,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0008483988388007306,-0.0008150931177372376,0.992,-0.00022827030114888467,combined_all_k1000_a0.55,combined,all,1000,0.55,247,1000,0.007152804761532276,0.0683812235945499,0.00840640157740679,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007936614127057718,-0.0007530998959798352,0.888,0.0,gain_all_k400_a1,gain,all,400,1.0,212,400,0.0071939300191598025,0.12328370558887525,0.011151965749484292,0.05800258760460897,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007859006607107509,-0.0007528625864345696,0.972,-0.00019828303117650582,gain_all_k700_a0.55,gain,all,700,0.55,241,700,0.005947366390501092,0.0683812235945499,0.00840459388605515,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007742664213497955,-0.0007383283861408854,0.948,-0.00013305476334926627,combined_all_k700_a0.55,combined,all,700,0.55,235,700,0.0058196661630974976,0.0683812235945499,0.00901652271307019,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007662982102033631,-0.0007201765045281366,0.812,0.0,combined_all_k400_a1,combined,all,400,1.0,190,400,0.007133435863652536,0.12328370558887525,0.01209419978628475,0.04467034966619965,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.000763469199152204,-0.000729748811278065,0.964,-0.0001724283223312735,move_all_k700_a0.55,move,all,700,0.55,238,700,0.005512976479710292,0.0683812235945499,0.008562284245832979,0.046622767058898895,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.000747649835840357,-0.0007091543365800736,0.888,0.0,gain_all_k400_a1.25,gain,all,400,1.25,212,400,0.008921353470539727,0.1528531517928886,0.01275363466264336,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007464823482441622,-0.0007081256224182041,0.888,0.0,gain_all_k400_a0.75,gain,all,400,0.75,212,400,0.00544029623622263,0.09299138979406657,0.00980348243527529,0.05800258760460897,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007374861153528025,-0.0006960237131364837,0.868,0.0,move_all_k400_a1,move,all,400,1.0,207,400,0.006141460988009164,0.12328370558887525,0.011015614039782516,0.05800258760460897,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007349549303452123,-0.0007260160571531037,0.996,-0.00014002656074472552,shift_all_k1000_a1,shift,all,1000,1.0,249,1000,0.010383702735627554,0.12328370558887525,0.013876634431588892,0.11298815705193355,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007217147361517444,-0.0006779853555132932,0.812,0.0,combined_all_k400_a1.25,combined,all,400,1.25,190,400,0.008852584489972278,0.1528531517928886,0.013705804619822305,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0007206421057729841,-0.0006770579862446693,0.812,0.0,combined_all_k400_a0.75,combined,all,400,0.75,190,400,0.005390463866254144,0.09299138979406657,0.01063086740292829,0.03961060250641657,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
-0.0006951169809794099,-0.0006557505744703662,0.868,0.0,move_all_k400_a1.25,move,all,400,1.25,207,400,0.007604780229198716,0.1528531517928886,0.012347848569308146,0.05829885740667762,-0.0006364748249601615,-0.0006312348284811195,joint_vector_sensor,1,not_materialized
