variant,family,file,basename,q2_scale,s1_scale,gate,q2_gate_rows,s1_gate_rows
h001_e247locked_rowmask_valid_q20p75_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p75_s10p5_800548db.csv,submission_h001_e247locked_rowmask_valid_q20p75_s10p5_800548db.csv,0.75,0.5,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p75_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p75_s10p75_a1ba6686.csv,submission_h001_e247locked_rowmask_valid_q20p75_s10p75_a1ba6686.csv,0.75,0.75,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p75_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p75_s11p0_a300d67c.csv,submission_h001_e247locked_rowmask_valid_q20p75_s11p0_a300d67c.csv,0.75,1.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p75_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p75_s11p06_408afdf2.csv,submission_h001_e247locked_rowmask_valid_q20p75_s11p06_408afdf2.csv,0.75,1.06,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q20p75_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q20p75_s11p25_3186d670.csv,submission_h001_e247locked_rowmask_valid_q20p75_s11p25_3186d670.csv,0.75,1.25,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p0_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p0_s10p0_dfcf6bcf.csv,submission_h001_e247locked_rowmask_valid_q21p0_s10p0_dfcf6bcf.csv,1.0,0.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p0_s10p5_4f2fe182.csv,submission_h001_e247locked_rowmask_valid_q21p0_s10p5_4f2fe182.csv,1.0,0.5,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p0_s10p75_fde10efa.csv,submission_h001_e247locked_rowmask_valid_q21p0_s10p75_fde10efa.csv,1.0,0.75,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p0_s11p0_2f3ab70e.csv,submission_h001_e247locked_rowmask_valid_q21p0_s11p0_2f3ab70e.csv,1.0,1.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p0_s11p06_58ec4733.csv,submission_h001_e247locked_rowmask_valid_q21p0_s11p06_58ec4733.csv,1.0,1.06,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p0_s11p25_53720987.csv,submission_h001_e247locked_rowmask_valid_q21p0_s11p25_53720987.csv,1.0,1.25,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p25_s10p0_24d269b2.csv,submission_h001_e247locked_rowmask_valid_q21p25_s10p0_24d269b2.csv,1.25,0.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p25_s10p5_81286c94.csv,submission_h001_e247locked_rowmask_valid_q21p25_s10p5_81286c94.csv,1.25,0.5,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p25_s10p75_089f940f.csv,submission_h001_e247locked_rowmask_valid_q21p25_s10p75_089f940f.csv,1.25,0.75,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p25_s11p0_afa93bbd.csv,submission_h001_e247locked_rowmask_valid_q21p25_s11p0_afa93bbd.csv,1.25,1.0,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p25_s11p06_50d98a2e.csv,submission_h001_e247locked_rowmask_valid_q21p25_s11p06_50d98a2e.csv,1.25,1.06,rowmask_valid,42.0,80.0
h001_e247locked_rowmask_valid_q21p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_rowmask_valid_q21p25_s11p25_53fad0c8.csv,submission_h001_e247locked_rowmask_valid_q21p25_s11p25_53fad0c8.csv,1.25,1.25,rowmask_valid,42.0,80.0
h001_e247locked_agreement_q20p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p0_s10p5_01cbd803.csv,submission_h001_e247locked_agreement_q20p0_s10p5_01cbd803.csv,0.0,0.5,agreement,11.0,20.0
h001_e247locked_agreement_q20p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p0_s10p75_5fd2e7e4.csv,submission_h001_e247locked_agreement_q20p0_s10p75_5fd2e7e4.csv,0.0,0.75,agreement,11.0,20.0
h001_e247locked_agreement_q20p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p0_s11p0_a57e419c.csv,submission_h001_e247locked_agreement_q20p0_s11p0_a57e419c.csv,0.0,1.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p0_s11p06_f7fb8bb5.csv,submission_h001_e247locked_agreement_q20p0_s11p06_f7fb8bb5.csv,0.0,1.06,agreement,11.0,20.0
h001_e247locked_agreement_q20p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p0_s11p25_9ad06c49.csv,submission_h001_e247locked_agreement_q20p0_s11p25_9ad06c49.csv,0.0,1.25,agreement,11.0,20.0
h001_e247locked_agreement_q20p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p25_s10p0_72abb1c6.csv,submission_h001_e247locked_agreement_q20p25_s10p0_72abb1c6.csv,0.25,0.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p25_s10p5_38cb253f.csv,submission_h001_e247locked_agreement_q20p25_s10p5_38cb253f.csv,0.25,0.5,agreement,11.0,20.0
h001_e247locked_agreement_q20p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p25_s10p75_e66b0749.csv,submission_h001_e247locked_agreement_q20p25_s10p75_e66b0749.csv,0.25,0.75,agreement,11.0,20.0
h001_e247locked_agreement_q20p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p25_s11p0_06724910.csv,submission_h001_e247locked_agreement_q20p25_s11p0_06724910.csv,0.25,1.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p25_s11p06_ba077598.csv,submission_h001_e247locked_agreement_q20p25_s11p06_ba077598.csv,0.25,1.06,agreement,11.0,20.0
h001_e247locked_agreement_q20p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p25_s11p25_74bb90fc.csv,submission_h001_e247locked_agreement_q20p25_s11p25_74bb90fc.csv,0.25,1.25,agreement,11.0,20.0
h001_e247locked_agreement_q20p5_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p5_s10p0_3b781506.csv,submission_h001_e247locked_agreement_q20p5_s10p0_3b781506.csv,0.5,0.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p5_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p5_s10p5_eefd707d.csv,submission_h001_e247locked_agreement_q20p5_s10p5_eefd707d.csv,0.5,0.5,agreement,11.0,20.0
h001_e247locked_agreement_q20p5_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p5_s10p75_afc4c3e7.csv,submission_h001_e247locked_agreement_q20p5_s10p75_afc4c3e7.csv,0.5,0.75,agreement,11.0,20.0
h001_e247locked_agreement_q20p5_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p5_s11p0_dbc893ec.csv,submission_h001_e247locked_agreement_q20p5_s11p0_dbc893ec.csv,0.5,1.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p5_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p5_s11p06_6674e267.csv,submission_h001_e247locked_agreement_q20p5_s11p06_6674e267.csv,0.5,1.06,agreement,11.0,20.0
h001_e247locked_agreement_q20p5_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p5_s11p25_ab233ff5.csv,submission_h001_e247locked_agreement_q20p5_s11p25_ab233ff5.csv,0.5,1.25,agreement,11.0,20.0
h001_e247locked_agreement_q20p75_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p75_s10p0_213104dc.csv,submission_h001_e247locked_agreement_q20p75_s10p0_213104dc.csv,0.75,0.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p75_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p75_s10p5_0edfb423.csv,submission_h001_e247locked_agreement_q20p75_s10p5_0edfb423.csv,0.75,0.5,agreement,11.0,20.0
h001_e247locked_agreement_q20p75_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p75_s10p75_2d8b0f0f.csv,submission_h001_e247locked_agreement_q20p75_s10p75_2d8b0f0f.csv,0.75,0.75,agreement,11.0,20.0
h001_e247locked_agreement_q20p75_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p75_s11p0_80e20007.csv,submission_h001_e247locked_agreement_q20p75_s11p0_80e20007.csv,0.75,1.0,agreement,11.0,20.0
h001_e247locked_agreement_q20p75_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p75_s11p06_8b763436.csv,submission_h001_e247locked_agreement_q20p75_s11p06_8b763436.csv,0.75,1.06,agreement,11.0,20.0
h001_e247locked_agreement_q20p75_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q20p75_s11p25_26ae31d8.csv,submission_h001_e247locked_agreement_q20p75_s11p25_26ae31d8.csv,0.75,1.25,agreement,11.0,20.0
h001_e247locked_agreement_q21p0_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p0_s10p0_a2ebce62.csv,submission_h001_e247locked_agreement_q21p0_s10p0_a2ebce62.csv,1.0,0.0,agreement,11.0,20.0
h001_e247locked_agreement_q21p0_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p0_s10p5_6f4de4e9.csv,submission_h001_e247locked_agreement_q21p0_s10p5_6f4de4e9.csv,1.0,0.5,agreement,11.0,20.0
h001_e247locked_agreement_q21p0_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p0_s10p75_65fba9d2.csv,submission_h001_e247locked_agreement_q21p0_s10p75_65fba9d2.csv,1.0,0.75,agreement,11.0,20.0
h001_e247locked_agreement_q21p0_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p0_s11p0_ece20782.csv,submission_h001_e247locked_agreement_q21p0_s11p0_ece20782.csv,1.0,1.0,agreement,11.0,20.0
h001_e247locked_agreement_q21p0_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p0_s11p06_1da589de.csv,submission_h001_e247locked_agreement_q21p0_s11p06_1da589de.csv,1.0,1.06,agreement,11.0,20.0
h001_e247locked_agreement_q21p0_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p0_s11p25_f0da1246.csv,submission_h001_e247locked_agreement_q21p0_s11p25_f0da1246.csv,1.0,1.25,agreement,11.0,20.0
h001_e247locked_agreement_q21p25_s10p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p25_s10p0_4e03fc51.csv,submission_h001_e247locked_agreement_q21p25_s10p0_4e03fc51.csv,1.25,0.0,agreement,11.0,20.0
h001_e247locked_agreement_q21p25_s10p5,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p25_s10p5_f17e64d2.csv,submission_h001_e247locked_agreement_q21p25_s10p5_f17e64d2.csv,1.25,0.5,agreement,11.0,20.0
h001_e247locked_agreement_q21p25_s10p75,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p25_s10p75_a74a737a.csv,submission_h001_e247locked_agreement_q21p25_s10p75_a74a737a.csv,1.25,0.75,agreement,11.0,20.0
h001_e247locked_agreement_q21p25_s11p0,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p25_s11p0_fd0ef482.csv,submission_h001_e247locked_agreement_q21p25_s11p0_fd0ef482.csv,1.25,1.0,agreement,11.0,20.0
h001_e247locked_agreement_q21p25_s11p06,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p25_s11p06_3f1c5dc2.csv,submission_h001_e247locked_agreement_q21p25_s11p06_3f1c5dc2.csv,1.25,1.06,agreement,11.0,20.0
h001_e247locked_agreement_q21p25_s11p25,h001_e247locked_q2s1_transplant,hitl/h001_e247locked_q2s1_transplant/submission_h001_e247locked_agreement_q21p25_s11p25_65258ea1.csv,submission_h001_e247locked_agreement_q21p25_s11p25_65258ea1.csv,1.25,1.25,agreement,11.0,20.0
