split,target,mode,rep,null_delta
dateblock5,S1,dateblock,0,0.030982547299768126
dateblock5,S1,dateblock,1,0.03506114427931972
dateblock5,S1,dateblock,2,0.017206320937843356
dateblock5,S1,dateblock,3,0.03528374858436889
dateblock5,S1,dateblock,4,0.051169347298366086
dateblock5,S1,dateblock,5,0.03976917031445382
dateblock5,S2,row,0,0.03749501977641678
dateblock5,S2,row,1,0.04238754477896767
dateblock5,S2,row,2,0.03657362296650246
dateblock5,S2,row,3,0.02210072279022912
dateblock5,S2,row,4,-0.009431533429657635
dateblock5,S2,row,5,0.054821643279721166
dateblock5,S2,subject,0,0.03737144753356492
dateblock5,S2,subject,1,0.03182147782139344
dateblock5,S2,subject,2,0.047749464118109985
dateblock5,S2,subject,3,0.026191829532628108
dateblock5,S2,subject,4,0.04315032679716013
dateblock5,S2,subject,5,0.05290722096094125
dateblock5,S2,dateblock,0,0.03206436517913269
dateblock5,S2,dateblock,1,0.054362680824281306
dateblock5,S2,dateblock,2,0.06821337686471185
dateblock5,S2,dateblock,3,0.0657010259617632
dateblock5,S2,dateblock,4,0.051129673349479376
dateblock5,S2,dateblock,5,0.037405198759072
dateblock5,S3,row,0,0.02469736849597881
dateblock5,S3,row,1,0.00836171499729621
dateblock5,S3,row,2,0.027332426651176744
dateblock5,S3,row,3,0.03176345384262369
dateblock5,S3,row,4,0.03142151975892782
dateblock5,S3,row,5,0.012562699430669677
dateblock5,S3,subject,0,0.0164233535944458
dateblock5,S3,subject,1,0.004661451419469387
dateblock5,S3,subject,2,0.0037364812909609357
dateblock5,S3,subject,3,0.020635197083487933
dateblock5,S3,subject,4,0.023346409358439568
dateblock5,S3,subject,5,0.018780950435893784
dateblock5,S3,dateblock,0,0.015566565742896055
dateblock5,S3,dateblock,1,0.03098873520254375
dateblock5,S3,dateblock,2,0.02938896336660246
dateblock5,S3,dateblock,3,0.01802656401760494
dateblock5,S3,dateblock,4,0.03662111545570412
dateblock5,S3,dateblock,5,0.005818287151070911
dateblock5,S4,row,0,0.02739151299001541
dateblock5,S4,row,1,0.053682830611490595
dateblock5,S4,row,2,0.016803014104273095
