law_name,feature_view,model_name,policy,param,logloss,selected_rows,switched_cells,mean_realized_gain_all_rows,mean_realized_gain_selected_rows,positive_row_gain_rate,row_null_p_ge_observed,row_null_z,row_null_mean,row_null_std
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,0.01,0.6446205689867978,36,252,-0.007623486835802938,-0.022235169937758568,0.4166666666666667,0.7728333333333334,-0.7607107592546201,-0.0035590965450492634,0.005342885244236789
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,0.02,0.6446205689867978,36,252,-0.007623486835802938,-0.022235169937758568,0.4166666666666667,0.7728333333333334,-0.7607107592546201,-0.0035590965450492634,0.005342885244236789
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,0.04,0.6446205689867978,36,252,-0.007623486835802938,-0.022235169937758568,0.4166666666666667,0.7728333333333334,-0.7607107592546201,-0.0035590965450492634,0.005342885244236789
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,-0.02,0.6450481216560275,92,644,-0.008051039505032723,-0.009188686391613434,0.4673913043478261,0.3968333333333333,0.273151124867861,-0.009057262921940036,0.003683760838964444
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,threshold,0.0,0.6450683859093393,46,322,-0.008071303758344467,-0.018423628144047154,0.43478260869565216,0.7326666666666667,-0.625384292005792,-0.004652167397211472,0.005467256541041055
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,threshold,0.01,0.6451688479834233,45,315,-0.008171765832428509,-0.019067453608999856,0.4444444444444444,0.43833333333333335,0.1616558714379415,-0.008808949475212048,0.00394160531947118
episode_context__tree_depth3_leaf4,episode_context,tree_depth3_leaf4,topfrac,0.08,0.6453137715711582,8,56,-0.008316689420163387,-0.10915654863964445,0.125,0.9895,-2.3396314282640653,-0.0013599560077321281,0.0029734313398213073
route_reset_context__elasticnet_sparse,route_reset_context,elasticnet_sparse,threshold,-0.01,0.6459327273531463,74,518,-0.008935645202151458,-0.01267895603007977,0.40540540540540543,0.033166666666666664,1.8847119505497476,-0.015614488860704939,0.003543694651379137
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,topfrac,0.3,0.6460193902289774,32,224,-0.009022308077982506,-0.029604448380880097,0.40625,0.683,-0.46829252767577273,-0.0065322171360443935,0.005317383461779584
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,threshold,0.005,0.6460193902289774,32,224,-0.009022308077982506,-0.029604448380880097,0.40625,0.683,-0.46829252767577273,-0.0065322171360443935,0.005317383461779584
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,threshold,0.01,0.6460193902289774,32,224,-0.009022308077982506,-0.029604448380880097,0.40625,0.683,-0.46829252767577273,-0.0065322171360443935,0.005317383461779584
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,threshold,0.02,0.6460193902289774,32,224,-0.009022308077982506,-0.029604448380880097,0.40625,0.683,-0.46829252767577273,-0.0065322171360443935,0.005317383461779584
episode_context__tree_depth4_leaf3,episode_context,tree_depth4_leaf3,topfrac,0.1,0.6461149932182846,10,70,-0.009117911067289793,-0.09573806620654282,0.3,0.9823333333333333,-2.0785295821439944,-0.0018989015990519627,0.003473132896569821
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,0.12,0.6462145506463848,7,49,-0.009217468495389942,-0.13826202743084914,0.14285714285714285,0.999,-2.970207980886971,-0.0009690139954650508,0.0027770629373441106
full_row_context__tree_depth3_leaf4,full_row_context,tree_depth3_leaf4,threshold,0.12,0.6462145506463848,7,49,-0.009217468495389942,-0.13826202743084914,0.14285714285714285,0.9985,-2.84319878351259,-0.0012378276429395605,0.002806571562538461
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,threshold,0.0,0.6465124295492002,39,273,-0.009515347398205415,-0.025618242995168423,0.41025641025641024,0.5986666666666667,-0.26958482350389057,-0.008017004087180939,0.005557966103395478
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,topfrac,0.08,0.646913426094442,8,56,-0.009916343943447198,-0.13015201425774447,0.125,0.9986666666666667,-2.9622670225809036,-0.0010988937034117246,0.0029765885967812534
full_row_context__tree_depth3_leaf4,full_row_context,tree_depth3_leaf4,topfrac,0.08,0.646913426094442,8,56,-0.009916343943447198,-0.13015201425774447,0.125,0.9986666666666667,-2.8401914752858755,-0.001390086687934735,0.003002000861457506
route_reset_context__tree_depth4_leaf3,route_reset_context,tree_depth4_leaf3,topfrac,0.06,0.6470582249290108,6,42,-0.010061142778015888,-0.17606999861527806,0.0,0.9998333333333334,-3.253283928989374,-0.0012333027849168459,0.0027135166145309036
route_reset_context__tree_depth5_leaf2,route_reset_context,tree_depth5_leaf2,topfrac,0.06,0.6470582249290108,6,42,-0.010061142778015888,-0.17606999861527806,0.0,0.9998333333333334,-3.616702970363068,-0.0006010738953082968,0.002615660992961755
episode_context__tree_depth5_leaf2,episode_context,tree_depth5_leaf2,threshold,0.04,0.6470891302865559,41,287,-0.010092048135561011,-0.025845489127656246,0.3902439024390244,0.6565,-0.40317160337299424,-0.007771737229715325,0.00575514467396418
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,threshold,0.0,0.6477295429223685,44,308,-0.010732460771373714,-0.025611554113505453,0.4090909090909091,0.8078333333333333,-0.8694395560764128,-0.005888807704484317,0.0055710060958667745
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,0.0,0.6479805407691663,50,350,-0.010983458618171557,-0.02306526309816027,0.4,0.7888333333333334,-0.8013786232405216,-0.006563525284287503,0.005515412073273483
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,0.005,0.6479805407691663,50,350,-0.010983458618171557,-0.02306526309816027,0.4,0.7888333333333334,-0.8013786232405216,-0.006563525284287503,0.005515412073273483
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,threshold,0.01,0.6479805407691663,50,350,-0.010983458618171557,-0.02306526309816027,0.4,0.7888333333333334,-0.8013786232405216,-0.006563525284287503,0.005515412073273483
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,threshold,0.005,0.6484052658743467,38,266,-0.011408183723351756,-0.031522612919787744,0.39473684210526316,0.8868333333333334,-1.1819189069460965,-0.005041115758635135,0.005387059913584243
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,threshold,0.01,0.6484052658743467,38,266,-0.011408183723351756,-0.031522612919787744,0.39473684210526316,0.8868333333333334,-1.1819189069460965,-0.005041115758635135,0.005387059913584243
full_row_context__elasticnet_sparse,full_row_context,elasticnet_sparse,threshold,0.005,0.6487150600673195,57,399,-0.011717977916324656,-0.02158574879322963,0.43859649122807015,0.5588333333333333,-0.15260726639376035,-0.011108442966606503,0.003994141066293782
route_reset_context__tree_depth3_leaf4,route_reset_context,tree_depth3_leaf4,topfrac,0.1,0.6487244639210697,10,70,-0.011727381770074914,-0.1231375085857866,0.1,0.9995,-3.1818337597523567,-0.0012845543730763108,0.0032820153991361795
full_row_context__tree_depth3_leaf4,full_row_context,tree_depth3_leaf4,topfrac,0.1,0.6487244639210697,10,70,-0.011727381770074914,-0.1231375085857866,0.1,0.9988333333333334,-2.998378069388424,-0.001667364664098308,0.003355152977098894
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,threshold,0.02,0.6487566259160793,37,259,-0.011759543765084519,-0.033371678252266876,0.3783783783783784,0.8915,-1.2577526652533,-0.00499673197016279,0.005376901183953969
full_row_context__tree_depth5_leaf2,full_row_context,tree_depth5_leaf2,threshold,0.04,0.6487566259160793,37,259,-0.011759543765084519,-0.033371678252266876,0.3783783783783784,0.8915,-1.2577526652533,-0.00499673197016279,0.005376901183953969
