pair,group_kind,target,n_cells,n_rows,expected_delta_focus_mean,abs_expected_share,swing_sum,top1_swing,support_prob_swing_weighted,mean_safe_density,e72_active_rate,context_high_rate,group,target_group,context_type,edge_like,e72_active,safe_density_bin
e174_vs_e172,target,S2,11,11,-2.6816570008474624e-06,0.22975458354207826,1.5983660795652465e-05,2.9962304040837944e-06,0.4376565185071043,0.4253419154647609,0.18181818181818182,1.0,S2,,,,,
e174_vs_e172,target,S1,7,7,-1.4705083696106205e-06,0.12598778961972343,1.181914348929542e-05,2.378183387392263e-06,0.32231530636904504,0.4210136533641106,0.0,1.0,S1,,,,,
e174_vs_e172,target,Q1,5,5,-8.332647072314477e-07,0.07139107862406407,3.626008932649749e-06,1.292700249028167e-06,0.49082209622992184,0.4498893092344128,0.4,1.0,Q1,,,,,
e174_vs_e172,target,Q3,4,4,-4.1437969397486767e-07,0.03550253965641485,3.3838180182395676e-06,1.605108824034878e-06,0.4627278055534839,0.4225979846406133,0.25,1.0,Q3,,,,,
e174_vs_e172,target,S4,2,2,-8.517275680801815e-08,0.007297290915047204,5.586849643733111e-07,5.08472908859327e-07,0.44,0.4210136533641106,0.0,1.0,S4,,,,,
e174_vs_e172,target_group,,45,41,-7.4709930916499205e-06,0.6400874182922429,5.533932112360984e-05,2.9962304040837944e-06,0.35141280579081074,0.29022721810625224,0.06666666666666667,1.0,S,S,,,,
e174_vs_e172,target_group,,30,28,-4.200839345835847e-06,0.3599125817077572,2.5117347944309954e-05,2.496133173320663e-06,0.4965416120169422,0.2606990623521121,0.1,1.0,Q,Q,,,,
e174_vs_e172,context_type,,58,51,-9.504232389532835e-06,0.8142879398275653,6.575105660740747e-05,2.9962304040837944e-06,0.39454318005913513,0.2709711327386454,0.08620689655172414,1.0,between_train_runs,,between_train_runs,,,
e174_vs_e172,context_type,,17,14,-2.1676000479529333e-06,0.18571206017243483,1.4705612460512321e-05,2.496133173320663e-06,0.4064518628094954,0.3038159403825458,0.058823529411764705,1.0,after_train_run,,after_train_run,,,
e174_vs_e172,edge_like,,44,37,-7.129602109472772e-06,0.6108382850472588,4.313011268756763e-05,2.496133173320663e-06,0.4315713131100543,0.28462573423587656,0.11363636363636363,1.0,True,,,True,,
e174_vs_e172,edge_like,,31,28,-4.542230328012995e-06,0.3891617149527413,3.732655638035217e-05,2.9962304040837944e-06,0.3564495755174939,0.2696020767408434,0.03225806451612903,1.0,False,,,False,,
e174_vs_e172,e72_active,,69,60,-1.0339197423462381e-05,0.8858246962367763,7.370449578078346e-05,2.9962304040837944e-06,0.39245593375361215,0.2669716243325119,0.0,1.0,False,,,,False,
e174_vs_e172,e72_active,,6,6,-1.3326350140233844e-06,0.11417530376322364,6.752173287136334e-06,2.296895080032676e-06,0.4432628879178728,0.4100257677335654,1.0,1.0,True,,,,True,
e174_vs_e172,target_context,S3,22,22,-2.8495154522088547e-06,0.24413608295619688,2.3950081630026336e-05,1.9886344419411157e-06,0.30945877086982093,0.1835406017202278,0.045454545454545456,1.0,S3:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_context,S2,8,8,-2.3304376951385566e-06,0.1996633954111628,1.370011728814562e-05,2.9962304040837944e-06,0.44815432561076346,0.42696501375250473,0.25,1.0,S2:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_context,Q2,15,15,-1.9770339665725503e-06,0.16938505390319192,1.1272013280221884e-05,1.5881787746531625e-06,0.5264288623920833,0.18481587551565937,0.0,1.0,Q2:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_context,S1,6,6,-1.210112956659597e-06,0.10367806110488233,1.046528252417294e-05,2.378183387392263e-06,0.32290231229302785,0.4210136533641106,0.0,1.0,S1:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_context,Q2,6,6,-9.761609780569805e-07,0.08363390952408632,6.835507713198756e-06,2.496133173320663e-06,0.4670294369611078,0.18481587551565928,0.0,1.0,Q2:after_train_run,,after_train_run,,,
e174_vs_e172,target_context,Q1,3,3,-7.46621474961554e-07,0.06396780273881177,3.109108956268845e-06,1.292700249028167e-06,0.4955555555555555,0.4246667864981277,0.3333333333333333,1.0,Q1:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_context,S3,3,3,-3.8413951217496437e-07,0.03291167125919707,3.0277502442623045e-06,1.511138462106963e-06,0.32523082413838444,0.18481587551565934,0.0,1.0,S3:after_train_run,,after_train_run,,,
e174_vs_e172,target_context,S2,3,3,-3.5121930570890565e-07,0.03009118813091545,2.2835435075068452e-06,2.088708212901366e-06,0.3746749339147084,0.4210136533641106,0.0,1.0,S2:after_train_run,,after_train_run,,,
e174_vs_e172,target_context,Q3,2,2,-3.053380871837025e-07,0.026160252798272308,2.6957679641985385e-06,1.605108824034878e-06,0.47873803735909154,0.42418231591711597,0.5,1.0,Q3:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_context,S1,1,1,-2.6039541295102377e-07,0.022309728514841122,1.3538609651224823e-06,1.3538609651224823e-06,0.3177777777777778,0.4210136533641106,0.0,1.0,S1:after_train_run,,after_train_run,,,
e174_vs_e172,target_context,Q3,2,2,-1.0904160679116515e-07,0.009342286858142545,6.880500540410292e-07,5.472683507178492e-07,0.4000000000000001,0.4210136533641106,0.0,1.0,Q3:after_train_run,,after_train_run,,,
e174_vs_e172,target_context,Q1,2,2,-8.664323226989385e-08,0.007423275885252316,5.168999763809039e-07,3.6739909246108483e-07,0.462350744989973,0.48772309333884034,0.5,1.0,Q1:after_train_run,,after_train_run,,,
e174_vs_e172,target_context,S4,2,2,-8.517275680801815e-08,0.007297290915047204,5.586849643733111e-07,5.08472908859327e-07,0.44,0.4210136533641106,0.0,1.0,S4:between_train_runs,,between_train_runs,,,
e174_vs_e172,target_safety,S3,16,16,-2.818276752241991e-06,0.24145966516711553,1.8046101333436172e-05,1.9886344419411157e-06,0.3377777777777777,0.18306237404694095,0.0625,1.0,S3:q1_low,,,,,q1_low
e174_vs_e172,target_safety,S2,8,8,-1.9207044539307732e-06,0.164558946867859,1.171445588300817e-05,2.9962304040837944e-06,0.3938780294725255,0.42696501375250473,0.25,1.0,S2:q4_high,,,,,q4_high
e174_vs_e172,target_safety,Q2,11,11,-1.7793790410092e-06,0.1524507013392746,1.1443507324758087e-05,2.496133173320663e-06,0.49216309004314807,0.1848158755156593,0.0,1.0,Q2:q2,,,,,q2
e174_vs_e172,target_safety,S1,5,5,-1.1676073194653781e-06,0.10003633325950084,1.031812785540382e-05,2.378183387392263e-06,0.3177777777777779,0.42101365336411056,0.0,1.0,S1:q4_high,,,,,q4_high
e174_vs_e172,target_safety,Q2,7,7,-1.018963648591054e-06,0.08730108610182802,5.534585682463852e-06,1.261529278320493e-06,0.5420073369315559,0.18481587551565928,0.0,1.0,Q2:q3,,,,,q3
e174_vs_e172,target_safety,S2,3,3,-7.609525469166891e-07,0.06519563667421928,4.269204912644296e-06,2.2052243388646085e-06,0.557782206759131,0.4210136533641106,0.0,1.0,S2:q3,,,,,q3
e174_vs_e172,target_safety,Q1,4,4,-5.30951299098456e-07,0.04548996928650463,2.5966096952071258e-06,1.292700249028167e-06,0.48894556490938224,0.4571082232019883,0.5,1.0,Q1:q4_high,,,,,q4_high
e174_vs_e172,target_safety,S3,8,8,-3.2221097769760995e-07,0.02760586046992785,7.819828514675554e-06,1.7115811017407445e-06,0.24618605454125056,0.1848158755156593,0.0,1.0,S3:q2,,,,,q2
e174_vs_e172,target_safety,Q3,2,2,-3.053380871837025e-07,0.026160252798272308,2.6957679641985385e-06,1.605108824034878e-06,0.47873803735909154,0.42418231591711597,0.5,1.0,Q3:q4_high,,,,,q4_high
e174_vs_e172,target_safety,S1,2,2,-3.029010501452422e-07,0.02595145636022258,1.5010156338916002e-06,1.3538609651224823e-06,0.35350672043237547,0.4210136533641106,0.0,1.0,S1:q3,,,,,q3
e174_vs_e172,target_safety,Q1,1,1,-3.0231340813299194e-07,0.025901109337559458,1.0293992374426233e-06,1.0293992374426233e-06,0.4955555555555556,0.4210136533641106,0.0,1.0,Q1:q3,,,,,q3
e174_vs_e172,target_safety,Q2,3,3,-1.5485225502927628e-07,0.013267175986175574,1.1294279861987023e-06,7.960432302729993e-07,0.43777777777777777,0.18481587551565934,0.0,1.0,Q2:q1_low,,,,,q1_low
e174_vs_e172,target_safety,Q3,2,2,-1.0904160679116515e-07,0.009342286858142545,6.880500540410292e-07,5.472683507178492e-07,0.4000000000000001,0.4210136533641106,0.0,1.0,Q3:q3,,,,,q3
e174_vs_e172,target_safety,S3,1,1,-9.316723444421815e-08,0.007982228578350577,1.1119020261769158e-06,1.1119020261769158e-06,0.33777777777777773,0.1848158755156593,0.0,1.0,S3:q3,,,,,q3
e174_vs_e172,target_safety,S4,2,2,-8.517275680801815e-08,0.007297290915047204,5.586849643733111e-07,5.08472908859327e-07,0.44,0.4210136533641106,0.0,1.0,S4:q3,,,,,q3
e174_vs_e95,target,S3,168,168,-2.511040682620022e-05,0.2019056170866681,0.0001408443899321637,3.935892347215614e-06,0.3662438495768163,0.17880423488724936,0.05357142857142857,1.0,S3,,,,,
e174_vs_e95,target,S1,95,95,-2.3403315010392367e-05,0.1881793788429032,0.00013220293663076046,5.831957756260338e-06,0.35824776602102976,0.45510417000790576,0.5368421052631579,1.0,S1,,,,,
e174_vs_e95,target,S4,116,116,-1.813560891889141e-05,0.1458232570804329,0.0001090889610930585,4.431570249905037e-06,0.48968018979660244,0.43511440511000904,0.3448275862068966,1.0,S4,,,,,
e174_vs_e95,target,Q1,121,121,-1.7963840966473797e-05,0.1444421199818334,0.00010183629179868693,3.7916903077560728e-06,0.4810933272076222,0.43313783298863556,0.3884297520661157,1.0,Q1,,,,,
e174_vs_e95,target,Q2,165,165,-1.59640701503751e-05,0.1283625334004233,0.00014066432329240699,3.3593900683171397e-06,0.5355593337679652,0.18409262988253347,0.006060606060606061,1.0,Q2,,,,,
e174_vs_e95,target,S2,122,122,-1.3685569714075636e-05,0.11004176146680104,0.00010839869786185057,3.994973872111499e-06,0.45615354715594436,0.4530146132698209,0.39344262295081966,1.0,S2,,,,,
e174_vs_e95,target,Q3,117,117,-1.0104242626954762e-05,0.08124533214093817,9.59145782539582e-05,4.561672802748853e-06,0.5934985942075861,0.4369226777147143,0.4017094017094017,1.0,Q3,,,,,
e174_vs_e95,target_group,,501,192,-8.033490046955961e-05,0.6459500144768051,0.0004905349855178332,5.831957756260338e-06,0.4114078667924869,0.3573154918632498,0.2954091816367265,1.0,S,S,,,,
e174_vs_e95,target_group,,403,184,-4.403215374380365e-05,0.35404998552319483,0.0003384151933450521,4.561672802748853e-06,0.5355906668535735,0.33227026058279036,0.23573200992555832,1.0,Q,Q,,,,
e174_vs_e95,context_type,,741,156,-0.00010032441037400217,0.8066799604490614,0.0006742523723536097,5.831957756260338e-06,0.4598450715032748,0.3448892965306312,0.26720647773279355,1.0,between_train_runs,,between_train_runs,,,
e174_vs_e95,context_type,,163,37,-2.4042643839361123e-05,0.19332003955093868,0.0001546978065092756,3.914537352039933e-06,0.4719545953966495,0.35188348287825094,0.27607361963190186,1.0,after_train_run,,after_train_run,,,
e174_vs_e95,edge_like,,552,118,-8.11763133397262e-05,0.6527155753038958,0.000519813392417933,5.831957756260338e-06,0.47244214504247656,0.34791099439092116,0.2971014492753623,1.0,True,,,True,,
e174_vs_e95,edge_like,,352,75,-4.319074087363707e-05,0.3472844246961042,0.00030913678644495235,4.431570249905037e-06,0.44472292832344207,0.34338951004137547,0.22443181818181818,1.0,False,,,False,,
e174_vs_e95,e72_active,,661,193,-9.101862141888638e-05,0.7318547664780694,0.0006079198827782921,5.831957756260338e-06,0.4599287368398073,0.30559476948355124,0.0,1.0,False,,,,False,
e174_vs_e95,e72_active,,243,147,-3.334843279447691e-05,0.2681452335219307,0.00022103029608459317,4.561672802748853e-06,0.4680903437346516,0.45646845189187363,1.0,1.0,True,,,,True,
e174_vs_e95,target_context,S3,141,141,-2.276206171501889e-05,0.18302324404957324,0.00012463742160113113,3.935892347215614e-06,0.36935654511676824,0.17765306966053257,0.06382978723404255,1.0,S3:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,S1,79,79,-2.026681045654063e-05,0.1629596405955795,0.00011256298617792523,5.831957756260338e-06,0.3556075409810639,0.45670105756179785,0.5443037974683544,1.0,S1:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,Q1,99,99,-1.4185905616705791e-05,0.1140648197099575,8.732250357798712e-05,3.7916903077560728e-06,0.47705346049031727,0.4332200501413669,0.36363636363636365,1.0,Q1:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,S4,97,97,-1.2842024925338447e-05,0.10325905849073788,8.714854761006546e-05,4.431570249905037e-06,0.48015385647067227,0.4362600830638513,0.35051546391752575,1.0,S4:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,Q2,136,136,-1.2128466474371652e-05,0.0975215385705296,0.00011312010949847672,2.786822784019157e-06,0.5452687056428072,0.1839384083872346,0.007352941176470588,1.0,Q2:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,S2,91,91,-9.701893573118383e-06,0.07801015819248946,6.832310765718447e-05,3.994973872111499e-06,0.45731923094654015,0.45481894502796594,0.38461538461538464,1.0,S2:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,Q3,98,98,-8.437247612908366e-06,0.06784150084019423,8.11376962308396e-05,4.561672802748853e-06,0.5861541300901786,0.43698307959472377,0.40816326530612246,1.0,Q3:between_train_runs,,between_train_runs,,,
e174_vs_e95,target_context,S4,19,19,-5.293583993552955e-06,0.04256419858969497,2.194041348299304e-05,3.816224322441172e-06,0.5275193177623405,0.42926541766144605,0.3157894736842105,1.0,S4:after_train_run,,after_train_run,,,
e174_vs_e95,target_context,S2,31,31,-3.983676140957251e-06,0.032031603274311565,4.007559020466612e-05,3.3154189118656966e-06,0.4541662242316311,0.4477180264959111,0.41935483870967744,1.0,S2:after_train_run,,after_train_run,,,
e174_vs_e95,target_context,Q2,29,29,-3.835603676003449e-06,0.03084099482989372,2.7544213793930258e-05,3.3593900683171397e-06,0.49568434521826205,0.18481587551565937,0.0,1.0,Q2:after_train_run,,after_train_run,,,
e174_vs_e95,target_context,Q1,22,22,-3.7779353497680036e-06,0.03037730027187589,1.451378822069982e-05,1.4962662477876951e-06,0.505399267911189,0.4327678558013453,0.5,1.0,Q1:after_train_run,,after_train_run,,,
e174_vs_e95,target_context,S1,16,16,-3.1365045538517376e-06,0.025219738247323698,1.9639950452835216e-05,3.914537352039933e-06,0.3733797601364929,0.4472195377105639,0.5,1.0,S1:after_train_run,,after_train_run,,,
e174_vs_e95,target_context,S3,27,27,-2.3483451111813276e-06,0.018882373037094877,1.6206968331032546e-05,3.2500427691386663e-06,0.3423061001837931,0.18481587551565934,0.0,1.0,S3:after_train_run,,after_train_run,,,
e174_vs_e95,target_context,Q3,19,19,-1.6669950140463935e-06,0.01340383130074391,1.4776882023118602e-05,3.0886223855400696e-06,0.6338259716343135,0.4366111311757179,0.3684210526315789,1.0,Q3:after_train_run,,after_train_run,,,
e174_vs_e95,target_safety,S3,112,112,-2.491588407938409e-05,0.2003415151784376,0.00011243437922715843,3.935892347215614e-06,0.37977605892125643,0.17579841457304446,0.08035714285714286,1.0,S3:q1_low,,,,,q1_low
e174_vs_e95,target_safety,S1,34,34,-1.1563330195156217e-05,0.09297743898732413,6.0341035545381495e-05,5.831957756260338e-06,0.3534126029511719,0.42101365336411056,0.0,1.0,S1:q3,,,,,q3
e174_vs_e95,target_safety,S1,53,53,-9.299464876485643e-06,0.07477434385903797,5.790763034167297e-05,4.08231116385415e-06,0.3730383543174839,0.4821192964048753,0.9622641509433962,1.0,S1:q4_high,,,,,q4_high
e174_vs_e95,target_safety,Q1,53,53,-9.242970584935037e-06,0.07432008937895931,5.1799659228084064e-05,3.7916903077560728e-06,0.48644281407155243,0.4210136533641105,0.0,1.0,Q1:q3,,,,,q3
e174_vs_e95,target_safety,Q2,114,114,-8.6718146761494e-06,0.06972758767182902,9.564362538319744e-05,3.3593900683171397e-06,0.530338892621099,0.18376907262560885,0.008771929824561403,1.0,Q2:q1_low,,,,,q1_low
e174_vs_e95,target_safety,S4,30,30,-7.5281377633226855e-06,0.060531607916092176,4.2865527610207636e-05,4.431570249905037e-06,0.4291073049246061,0.42043351682586566,0.2,1.0,S4:q2,,,,,q2
e174_vs_e95,target_safety,S2,44,44,-7.36663766748127e-06,0.05923303172271908,3.928238330912929e-05,3.994973872111499e-06,0.47531195824863404,0.4210136533641105,0.0,1.0,S2:q3,,,,,q3
e174_vs_e95,target_safety,Q2,51,51,-7.292255474225698e-06,0.05863494572859428,4.5020697909209535e-05,2.687560940052577e-06,0.5466498308187399,0.18481587551565926,0.0,1.0,Q2:q2,,,,,q2
