variant,family,file,candidate_origin,scenario_gate,scenario_rank,scenario_public_like_score,scenario_pred_public_delta_mean,scenario_pred_public_delta_std,scenario_id
e362_scale_g1.03_q11.08_q20.90_q31.00_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q31_00_s11_30_58916996.csv,e364_existing,True,18.0,5.242620668316832,0.000293080057235238,0.00013458269131832738,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_b4dcdce7.csv,e364_existing,True,20.0,5.201268564356435,0.00024289688442105564,0.00010747520968727454,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_cf52e032.csv,e364_existing,True,22.0,5.147215346534654,0.0002742529046999994,0.0001159910493748922,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_90048d2f.csv,e364_existing,True,16.0,5.301670792079208,0.0002911347016563719,0.00013244400541938175,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_scale_g1.06_q11.04_q20.90_q31.00_s11.30,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_04_q20_90_q31_00_s11_30_50acaf80.csv,e364_existing,True,21.0,5.1476949257425755,0.0002940940817483621,0.0001355752857944699,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_scale_g1.06_q11.08_q20.90_q31.00_s11.15,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_06_q11_08_q20_90_q31_00_s11_15_31e02c1f.csv,e364_existing,True,23.0,5.112824876237624,0.0002946911538245648,0.0001361580573848445,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_q3s1_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e356_halfs3_amp__learned_anti_bad_cluster_compact_q_5d14bf75.csv,e364_existing,True,25.0,5.02917698019802,0.0002601583872615839,0.00012332411946837767,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_62bedbd1.csv,e364_existing,True,26.0,5.0187190594059405,0.0002467085655915552,0.00011149958491520058,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e361_e356_halfs3_amp__learned_pc_episode_subjective_heav_a0ca8a8f.csv,e364_existing,True,27.0,5.002537128712871,0.00025644046685096097,0.00012125651706984687,all__drop_submission_hybrid_0p578_logit_after_subjec
e362_scale_g1.03_q11.08_q20.90_q31.00_s11.15,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g1_03_q11_08_q20_90_q31_00_s11_15_c0911ad0.csv,e364_existing,True,24.0,5.061123143564356,0.0002943894047673725,0.00013586300786808976,all__drop_submission_hybrid_0p578_logit_after_subjec
