candidate,scenario,source,direction,rank,feature,family,target_family,value_scaled,coef,contribution
e144,direct_vs_e95,candidate_direct,positive,6,abs__z__shape_top1_support_label_mean,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e144,direct_vs_e95,candidate_direct,positive,7,abs__z__shape_top1_support_label_swing,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e144,direct_vs_e95,candidate_direct,positive,8,abs__z__target_top16_S2_support_swing,target,S2,1.547092962380896e-14,0.009163430071039527,1.4176678174174726e-16
e144,direct_vs_e95,candidate_direct,positive,9,abs__z__target_not_e72_S1_swing_share,target,S1,0.0,0.0,0.0
e144,direct_vs_e95,candidate_direct,positive,10,abs__z__target_not_e72_S1_cell_share,target,S1,0.0,0.0,0.0
e144,direct_vs_e95,candidate_direct,positive,11,abs__z__target_not_e72_S2_cell_share,target,S2,0.0,0.0,0.0
e144,direct_vs_e95,candidate_direct,positive,12,abs__z__target_not_e72_S2_swing_share,target,S2,0.0,0.0,0.0
e144,direct_vs_e95,candidate_direct,negative,1,abs__z__target_between_not_e72_S2_support_swing,target,S2,5.8311530270551675,-0.1123949564986742,-0.655392190812978
e144,direct_vs_e95,candidate_direct,negative,2,abs__z__target_between_not_e72_S4_support_swing,target,S4,4.671671158269887,-0.12688434205282148,-0.592761921204217
e144,direct_vs_e95,candidate_direct,negative,3,abs__z__target_not_e72_S3_support_swing,target,S3,2.391678054347342,-0.18076163103514722,-0.432323626014793
e144,direct_vs_e95,candidate_direct,negative,4,abs__z__target_between_not_e72_S3_support_swing,target,S3,2.33943511218959,-0.16985016284345572,-0.39735343476709994
e144,direct_vs_e95,candidate_direct,negative,5,abs__z__target_not_e72_Q1_support_swing,target,Q1,2.1922836200360702,-0.1649430552596996,-0.36160195828454383
e144,direct_vs_e95,candidate_direct,negative,6,abs__z__target_all_Q1_support_swing,target,Q1,2.4816704814298887,-0.1219791444471967,-0.30271204212468056
e144,direct_vs_e95,candidate_direct,negative,7,abs__z__target_all_S3_support_swing,target,S3,2.188885508899555,-0.10697916931145933,-0.2341651534599653
e144,direct_vs_e95,candidate_direct,negative,8,abs__z__target_top16_S4_support_swing,target,S4,2.034544934703857,-0.10528920730053319,-0.21421562339228414
e155,direct_vs_e95,candidate_direct,positive,1,abs__z__target_between_S4_support_swing,target,S4,5.106463965873315,0.14965445399042585,0.7642050766345556
e155,direct_vs_e95,candidate_direct,positive,2,abs__z__target_between_S2_support_swing,target,S2,6.235229843598491,0.09267948392709448,0.5778778840715262
e155,direct_vs_e95,candidate_direct,positive,3,abs__z__target_all_S2_support_swing,target,S2,1.2988827641126117,0.20887936356769235,0.2713098051168874
e155,direct_vs_e95,candidate_direct,positive,4,abs__z__target_all_S4_support_swing,target,S4,0.7736839957199929,0.25225010761895744,0.19516187118343323
e155,direct_vs_e95,candidate_direct,positive,5,abs__z__shape_top1_support_label_swing,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e155,direct_vs_e95,candidate_direct,positive,6,abs__z__shape_top1_support_label_mean,shape,no_target,1.0,5.127632140123918e-05,5.127632140123918e-05
e155,direct_vs_e95,candidate_direct,positive,7,abs__z__target_not_e72_S4_swing_share,target,S4,0.0,0.0,0.0
e155,direct_vs_e95,candidate_direct,positive,8,abs__z__target_not_e72_S4_cell_share,target,S4,0.0,0.0,0.0
e155,direct_vs_e95,candidate_direct,positive,9,abs__z__target_not_e72_S3_swing_share,target,S3,0.0,0.0,0.0
e155,direct_vs_e95,candidate_direct,positive,10,abs__z__ctx_all_between_rate,context,no_target,0.0,0.0,0.0
e155,direct_vs_e95,candidate_direct,positive,11,abs__z__target_not_e72_q_cell_share,target,no_target,0.0,0.0,0.0
e155,direct_vs_e95,candidate_direct,positive,12,abs__z__target_not_e72_S2_cell_share,target,S2,0.0,0.0,0.0
e155,direct_vs_e95,candidate_direct,negative,1,abs__z__target_between_not_e72_S2_support_swing,target,S2,5.8311530270551675,-0.1123949564986742,-0.655392190812978
e155,direct_vs_e95,candidate_direct,negative,2,abs__z__target_between_not_e72_S4_support_swing,target,S4,4.699168570927937,-0.12688434205282148,-0.5962509123174887
e155,direct_vs_e95,candidate_direct,negative,3,abs__z__target_not_e72_S3_support_swing,target,S3,2.3466053624177885,-0.18076163103514722,-0.4241762127064622
e155,direct_vs_e95,candidate_direct,negative,4,abs__z__target_between_not_e72_S3_support_swing,target,S3,2.334541687940041,-0.16985016284345572,-0.396522285861452
e155,direct_vs_e95,candidate_direct,negative,5,abs__z__target_not_e72_Q1_support_swing,target,Q1,2.1536615879218033,-0.1649430552596996,-0.3552315223072784
e155,direct_vs_e95,candidate_direct,negative,6,abs__z__target_all_Q1_support_swing,target,Q1,2.4608943591010366,-0.1219791444471967,-0.30017778849807686
e155,direct_vs_e95,candidate_direct,negative,7,abs__z__target_top33_S2_support_swing,target,S2,2.497599026042707,-0.11940360389212107,-0.2982223247869507
e155,direct_vs_e95,candidate_direct,negative,8,abs__z__target_all_S3_support_swing,target,S3,2.249578668512467,-0.10697916931145933,-0.24065805725824244
