block_idx,block_id,subject_id,n_rows,len_bin,context_type,start,end,method,row_logloss,count_nll_per_row,rate_mae,count_mae,support_min,support_mean,dominant_stage
14,pseudo_id02_l16_s24,id02,16,11-16,between_train_runs,2024-08-17,2024-09-19,edge_shrink025,0.4701492117932404,0.09504284956934257,0.04017857142857143,0.6428571428571429,,,
14,pseudo_id02_l16_s24,id02,16,11-16,between_train_runs,2024-08-17,2024-09-19,edge_shrink050,0.47840695537979816,0.10330059315590041,0.0625,1.0,,,
14,pseudo_id02_l16_s24,id02,16,11-16,between_train_runs,2024-08-17,2024-09-19,calendar_count_strict,0.4931078520911799,0.11800148986728208,0.09208826342731884,1.4734122148371014,5.0,9.571428571428571,lenbin_both_edges
14,pseudo_id02_l16_s24,id02,16,11-16,between_train_runs,2024-08-17,2024-09-19,calendar_count_local,0.49234284479667995,0.11723648257278223,0.0910482881337544,1.4567726101400704,5.0,10.142857142857142,lenbin_both_edges
15,pseudo_id02_l16_s32,id02,16,11-16,after_train_run,2024-09-10,2024-09-27,subject_mean,0.5068922341954369,0.12008647179013855,0.08035714285714286,1.2857142857142858,,,
15,pseudo_id02_l16_s32,id02,16,11-16,after_train_run,2024-09-10,2024-09-27,edge_shrink025,0.5184101966182204,0.13160443421292217,0.10044642857142858,1.6071428571428572,,,
15,pseudo_id02_l16_s32,id02,16,11-16,after_train_run,2024-09-10,2024-09-27,edge_shrink050,0.562612570397629,0.1758068079923307,0.13839285714285715,2.2142857142857144,,,
15,pseudo_id02_l16_s32,id02,16,11-16,after_train_run,2024-09-10,2024-09-27,calendar_count_strict,0.5242329579032956,0.13742719549799728,0.10040309299006958,1.6064494878411133,5.0,25.285714285714285,lenbin
15,pseudo_id02_l16_s32,id02,16,11-16,after_train_run,2024-09-10,2024-09-27,calendar_count_local,0.522819362521333,0.13601360011603472,0.09817876314880214,1.5708602103808342,5.0,27.0,lenbin
16,pseudo_id03_l10_s0,id03,10,6-10,before_train_run,2024-07-17,2024-07-28,subject_mean,0.7624520383289918,0.2745393246321281,0.12111801242236024,1.2111801242236024,,,
16,pseudo_id03_l10_s0,id03,10,6-10,before_train_run,2024-07-17,2024-07-28,edge_shrink025,0.7584655322481644,0.2705528185513007,0.1614906832298137,1.6149068322981368,,,
16,pseudo_id03_l10_s0,id03,10,6-10,before_train_run,2024-07-17,2024-07-28,edge_shrink050,0.8833048625680547,0.395392148871191,0.2677018633540373,2.677018633540373,,,
16,pseudo_id03_l10_s0,id03,10,6-10,before_train_run,2024-07-17,2024-07-28,calendar_count_strict,0.6495792344343956,0.16166652073753193,0.08298084230940583,0.8298084230940584,55.0,55.0,lenbin
16,pseudo_id03_l10_s0,id03,10,6-10,before_train_run,2024-07-17,2024-07-28,calendar_count_local,0.6466506307024251,0.15873791700556136,0.07859031512028594,0.7859031512028595,59.0,59.0,lenbin
17,pseudo_id03_l10_s5,id03,10,6-10,between_train_runs,2024-07-23,2024-08-05,subject_mean,0.6457212782018966,0.2004935943083905,0.14534161490683228,1.453416149068323,,,
17,pseudo_id03_l10_s5,id03,10,6-10,between_train_runs,2024-07-23,2024-08-05,edge_shrink025,0.6753639861531798,0.2301363022596737,0.15543478260869567,1.5543478260869568,,,
17,pseudo_id03_l10_s5,id03,10,6-10,between_train_runs,2024-07-23,2024-08-05,edge_shrink050,0.7282122308421433,0.28298454694863706,0.17919254658385092,1.7919254658385093,,,
17,pseudo_id03_l10_s5,id03,10,6-10,between_train_runs,2024-07-23,2024-08-05,calendar_count_strict,0.623702644485375,0.17847496059186874,0.13754470272673827,1.3754470272673827,5.0,12.285714285714286,lenbin_both_edges
17,pseudo_id03_l10_s5,id03,10,6-10,between_train_runs,2024-07-23,2024-08-05,calendar_count_local,0.6254570849527777,0.1802294010592715,0.13930021040257992,1.393002104025799,5.0,13.142857142857142,lenbin_both_edges
18,pseudo_id03_l10_s10,id03,10,6-10,between_train_runs,2024-07-29,2024-08-13,subject_mean,0.501969742134654,0.14794930302997056,0.0701863354037267,0.7018633540372671,,,
18,pseudo_id03_l10_s10,id03,10,6-10,between_train_runs,2024-07-29,2024-08-13,edge_shrink025,0.5198242347361628,0.16580379563147934,0.09192546583850929,0.9192546583850929,,,
18,pseudo_id03_l10_s10,id03,10,6-10,between_train_runs,2024-07-29,2024-08-13,edge_shrink050,0.5638382009672298,0.2098177618625464,0.13105590062111802,1.3105590062111803,,,
18,pseudo_id03_l10_s10,id03,10,6-10,between_train_runs,2024-07-29,2024-08-13,calendar_count_strict,0.5281623345614447,0.17414189545676112,0.10420387384740673,1.0420387384740672,8.0,13.142857142857142,lenbin_both_edges
18,pseudo_id03_l10_s10,id03,10,6-10,between_train_runs,2024-07-29,2024-08-13,calendar_count_local,0.5277840230304908,0.17376358392580724,0.10392266269391247,1.0392266269391246,8.0,13.428571428571429,lenbin_both_edges
19,pseudo_id03_l10_s15,id03,10,6-10,between_train_runs,2024-08-07,2024-09-01,subject_mean,0.4908384196915509,0.1609093942092992,0.10993788819875776,1.0993788819875776,,,
19,pseudo_id03_l10_s15,id03,10,6-10,between_train_runs,2024-08-07,2024-09-01,edge_shrink025,0.47801158949208716,0.1480825640098356,0.09673913043478259,0.9673913043478259,,,
19,pseudo_id03_l10_s15,id03,10,6-10,between_train_runs,2024-08-07,2024-09-01,edge_shrink050,0.4891936411473384,0.15926461566508676,0.09720496894409938,0.9720496894409939,,,
19,pseudo_id03_l10_s15,id03,10,6-10,between_train_runs,2024-08-07,2024-09-01,calendar_count_strict,0.4995932097204642,0.16966418423821253,0.11526353268042176,1.1526353268042173,9.0,13.571428571428571,lenbin_both_edges
19,pseudo_id03_l10_s15,id03,10,6-10,between_train_runs,2024-08-07,2024-09-01,calendar_count_local,0.49997298211215285,0.1700439566299011,0.11553285858543179,1.1553285858543174,9.0,14.142857142857142,lenbin_both_edges
20,pseudo_id03_l10_s20,id03,10,6-10,between_train_runs,2024-08-14,2024-09-07,subject_mean,0.4936775252504743,0.19872762841989575,0.16273291925465835,1.627329192546584,,,
20,pseudo_id03_l10_s20,id03,10,6-10,between_train_runs,2024-08-14,2024-09-07,edge_shrink025,0.5086319783634732,0.21368208153289472,0.17204968944099377,1.7204968944099377,,,
20,pseudo_id03_l10_s20,id03,10,6-10,between_train_runs,2024-08-14,2024-09-07,edge_shrink050,0.5576442211109581,0.2626943242803796,0.18509316770186332,1.8509316770186335,,,
20,pseudo_id03_l10_s20,id03,10,6-10,between_train_runs,2024-08-14,2024-09-07,calendar_count_strict,0.5499860272478452,0.2550361304172667,0.2174036451607215,2.1740364516072153,9.0,17.571428571428573,lenbin_both_edges
20,pseudo_id03_l10_s20,id03,10,6-10,between_train_runs,2024-08-14,2024-09-07,calendar_count_local,0.5499498298356795,0.25499993300510115,0.2172285379000316,2.172285379000316,10.0,18.142857142857142,lenbin_both_edges
21,pseudo_id03_l10_s23,id03,10,6-10,after_train_run,2024-08-31,2024-09-12,subject_mean,0.5088368816232943,0.16750060333793163,0.11490683229813665,1.1490683229813663,,,
21,pseudo_id03_l10_s23,id03,10,6-10,after_train_run,2024-08-31,2024-09-12,edge_shrink025,0.5253149166668696,0.18397863838150696,0.14565217391304344,1.4565217391304348,,,
21,pseudo_id03_l10_s23,id03,10,6-10,after_train_run,2024-08-31,2024-09-12,edge_shrink050,0.594578022970297,0.2532417446849345,0.19130434782608693,1.9130434782608696,,,
21,pseudo_id03_l10_s23,id03,10,6-10,after_train_run,2024-08-31,2024-09-12,calendar_count_strict,0.6072771569733999,0.2659408786880371,0.20036691161006942,2.0036691161006934,5.0,47.857142857142854,lenbin
21,pseudo_id03_l10_s23,id03,10,6-10,after_train_run,2024-08-31,2024-09-12,calendar_count_local,0.6021209737541195,0.2607846954687569,0.1963354932787464,1.9633549327874635,5.0,50.42857142857143,lenbin
22,pseudo_id03_l11_s0,id03,11,11-16,before_train_run,2024-07-17,2024-07-29,subject_mean,0.8311144969246692,0.3230864626220805,0.1688311688311688,1.8571428571428574,,,
22,pseudo_id03_l11_s0,id03,11,11-16,before_train_run,2024-07-17,2024-07-29,edge_shrink025,0.8732587143928495,0.3652306800902608,0.18831168831168835,2.0714285714285716,,,
22,pseudo_id03_l11_s0,id03,11,11-16,before_train_run,2024-07-17,2024-07-29,edge_shrink050,0.9932980070074519,0.48526997270486294,0.27272727272727276,3.0,,,
22,pseudo_id03_l11_s0,id03,11,11-16,before_train_run,2024-07-17,2024-07-29,calendar_count_strict,0.7109973123296772,0.2029692780270885,0.12341341326364366,1.3575475459000808,6.0,6.142857142857143,exact_len
22,pseudo_id03_l11_s0,id03,11,11-16,before_train_run,2024-07-17,2024-07-29,calendar_count_local,0.7144071720272821,0.20637913772469355,0.12345276784845279,1.3579804463329805,6.0,8.285714285714286,exact_len
23,pseudo_id03_l11_s5,id03,11,11-16,between_train_runs,2024-07-23,2024-08-07,subject_mean,0.6235051429920104,0.19076163404845653,0.15584415584415584,1.7142857142857142,,,
23,pseudo_id03_l11_s5,id03,11,11-16,between_train_runs,2024-07-23,2024-08-07,edge_shrink025,0.6663739671193382,0.23363045817578443,0.1818181818181818,1.9999999999999998,,,
23,pseudo_id03_l11_s5,id03,11,11-16,between_train_runs,2024-07-23,2024-08-07,edge_shrink050,0.7424193285261611,0.3096758195826073,0.21428571428571427,2.3571428571428568,,,
23,pseudo_id03_l11_s5,id03,11,11-16,between_train_runs,2024-07-23,2024-08-07,calendar_count_strict,0.6143076725904453,0.18156416364689149,0.14649468040984992,1.6114414845083491,5.0,8.0,lenbin_both_edges
23,pseudo_id03_l11_s5,id03,11,11-16,between_train_runs,2024-07-23,2024-08-07,calendar_count_local,0.6137070911236221,0.18096358218006836,0.14611879304212952,1.6073067234634248,5.0,8.714285714285714,lenbin_both_edges
24,pseudo_id03_l11_s10,id03,11,11-16,between_train_runs,2024-07-29,2024-08-14,subject_mean,0.4930528959439638,0.14641621268864854,0.07792207792207793,0.8571428571428571,,,
24,pseudo_id03_l11_s10,id03,11,11-16,between_train_runs,2024-07-29,2024-08-14,edge_shrink025,0.5091461491633106,0.16250946590799537,0.1055194805194805,1.1607142857142858,,,
24,pseudo_id03_l11_s10,id03,11,11-16,between_train_runs,2024-07-29,2024-08-14,edge_shrink050,0.5519160866649215,0.20527940340960654,0.13961038961038957,1.5357142857142854,,,
24,pseudo_id03_l11_s10,id03,11,11-16,between_train_runs,2024-07-29,2024-08-14,calendar_count_strict,0.5210067954443925,0.17437011218907725,0.12399813381666469,1.3639794719833114,5.0,6.428571428571429,lenbin_both_edges
24,pseudo_id03_l11_s10,id03,11,11-16,between_train_runs,2024-07-29,2024-08-14,calendar_count_local,0.5204104443512384,0.17377376109592305,0.12283233632161246,1.3511556995377372,5.0,6.571428571428571,lenbin_both_edges
25,pseudo_id03_l11_s15,id03,11,11-16,between_train_runs,2024-08-07,2024-09-02,subject_mean,0.4878670346652251,0.1665019117872515,0.12987012987012989,1.4285714285714286,,,
25,pseudo_id03_l11_s15,id03,11,11-16,between_train_runs,2024-08-07,2024-09-02,edge_shrink025,0.4906394168961596,0.16927429401818603,0.1331168831168831,1.4642857142857142,,,
25,pseudo_id03_l11_s15,id03,11,11-16,between_train_runs,2024-08-07,2024-09-02,edge_shrink050,0.5148743465557634,0.19350922367778975,0.13636363636363638,1.5,,,
25,pseudo_id03_l11_s15,id03,11,11-16,between_train_runs,2024-08-07,2024-09-02,calendar_count_strict,0.5134231536316473,0.19205803075367373,0.15859806091876502,1.7445786701064157,5.0,7.571428571428571,lenbin_both_edges
25,pseudo_id03_l11_s15,id03,11,11-16,between_train_runs,2024-08-07,2024-09-02,calendar_count_local,0.5129655834693757,0.19160046059140215,0.15805344424511608,1.738587886696277,5.0,8.0,lenbin_both_edges
26,pseudo_id03_l11_s20,id03,11,11-16,between_train_runs,2024-08-14,2024-09-09,subject_mean,0.4834769613044194,0.18651575374311086,0.14285714285714285,1.5714285714285714,,,
26,pseudo_id03_l11_s20,id03,11,11-16,between_train_runs,2024-08-14,2024-09-09,edge_shrink025,0.4810944435166465,0.184133235955338,0.13474025974025974,1.4821428571428572,,,
26,pseudo_id03_l11_s20,id03,11,11-16,between_train_runs,2024-08-14,2024-09-09,edge_shrink050,0.4992793282346812,0.20231812067337276,0.1266233766233766,1.3928571428571428,,,
26,pseudo_id03_l11_s20,id03,11,11-16,between_train_runs,2024-08-14,2024-09-09,calendar_count_strict,0.5156096795781633,0.21864847201685483,0.17813867799089475,1.9595254578998422,5.0,7.571428571428571,exact_len
26,pseudo_id03_l11_s20,id03,11,11-16,between_train_runs,2024-08-14,2024-09-09,calendar_count_local,0.5143381584912635,0.21737695092995518,0.1759381150734534,1.9353192658079874,6.0,9.142857142857142,exact_len
27,pseudo_id03_l11_s22,id03,11,11-16,after_train_run,2024-08-29,2024-09-12,subject_mean,0.5137544574200869,0.164749961738876,0.11038961038961036,1.214285714285714,,,
27,pseudo_id03_l11_s22,id03,11,11-16,after_train_run,2024-08-29,2024-09-12,edge_shrink025,0.5543344603960321,0.2053299647148214,0.17045454545454544,1.875,,,
27,pseudo_id03_l11_s22,id03,11,11-16,after_train_run,2024-08-29,2024-09-12,edge_shrink050,0.6496651897055319,0.30066069402432116,0.23051948051948054,2.5357142857142856,,,
