method,target,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mixmin_better_block_rate,mean_predicted_rate
night_phone_rawctx_strict_k8_a24,S1,0.0041824675698220164,0.004025142120749136,0.19444444444444445,0.6557479391450224
night_phone_rawctx_strict_k8_a24,S2,-0.0020120289786442836,-0.0023775626897350557,0.7222222222222222,0.6286626078767072
night_phone_rawctx_strict_k8_a24,S3,-0.0019442738375470764,-0.0020657459551340182,0.8333333333333334,0.6125921792861401
night_phone_rawctx_strict_k8_a24,S4,0.0007197744904723557,0.00067742217278732,0.4722222222222222,0.5480802155773659
night_light_rawctx_strict_k8_a24,Q1,0.0013640380909511346,0.000936007142674176,0.4166666666666667,0.4878382281922551
night_light_rawctx_strict_k8_a24,Q2,-0.0008832283159045878,-0.0011957154441264778,0.6944444444444444,0.558674263830172
night_light_rawctx_strict_k8_a24,Q3,0.00018356981272734396,-0.0007876373002996847,0.5833333333333334,0.6242627253029563
night_light_rawctx_strict_k8_a24,S1,0.004153792657592286,0.0043372763259094055,0.16666666666666666,0.6687930390970711
night_light_rawctx_strict_k8_a24,S2,-0.00228574588935993,-0.002679913598966415,0.7222222222222222,0.6333119930176148
night_light_rawctx_strict_k8_a24,S3,-0.002134641794183518,-0.0022347038272353195,0.8333333333333334,0.6168151505417027
night_light_rawctx_strict_k8_a24,S4,0.0006730002699160846,0.0006513693774933348,0.5,0.5573582886126354
night_watch_rawctx_strict_k8_a24,Q1,0.0014133690460691555,0.0007313661535162232,0.4166666666666667,0.47986473624422765
night_watch_rawctx_strict_k8_a24,Q2,-0.0007339492941179269,-0.0009763012434142244,0.6666666666666666,0.556784686184221
night_watch_rawctx_strict_k8_a24,Q3,0.0003842467033559567,-0.0005675160017536121,0.5,0.6163298909973632
night_watch_rawctx_strict_k8_a24,S1,0.004098569599512155,0.004376724605524339,0.19444444444444445,0.6650685385373006
night_watch_rawctx_strict_k8_a24,S2,-0.0022783275271489115,-0.0029855012355393057,0.7777777777777778,0.6350031235332609
night_watch_rawctx_strict_k8_a24,S3,-0.0021112941390609634,-0.00237995925638324,0.8888888888888888,0.6171194319376523
night_watch_rawctx_strict_k8_a24,S4,0.0006500670077477797,0.0005366303442403871,0.5555555555555556,0.5607469414007159
night_coverage_rawctx_strict_k8_a24,Q1,0.001112016527691837,0.0008048493274130806,0.4722222222222222,0.48099470356492435
night_coverage_rawctx_strict_k8_a24,Q2,-0.0007642491782771783,-0.0009470158327502871,0.6944444444444444,0.5721762485773038
night_coverage_rawctx_strict_k8_a24,Q3,5.975512919277604e-05,-0.0008575493562048071,0.5833333333333334,0.6183335060965118
night_coverage_rawctx_strict_k8_a24,S1,0.004488919699309049,0.004564333903065572,0.16666666666666666,0.6717619775772711
night_coverage_rawctx_strict_k8_a24,S2,-0.0019906174825369146,-0.002615404891838776,0.7222222222222222,0.6328278694803646
night_coverage_rawctx_strict_k8_a24,S3,-0.002451204958622791,-0.002688982229260523,0.8055555555555556,0.6195822969198628
night_coverage_rawctx_strict_k8_a24,S4,0.0006995087188304208,0.0008369473225596163,0.4722222222222222,0.5666039560649427
