scenario_id,feature_view,dropped_public,train_rows,feature_count,gated_count,top_variant,top_family,top_file,top_score,e364_rank,e363_rank,e364_score,e363_score,e364_minus_e363_score,e364_beats_e363,top_is_e364,top_is_e363,train_spearman_ridge_10,train_spearman_ridge_1,train_spearman_knn3,train_spearman_extratrees
all__none,all,none,13,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.150315258511979,1.0,5.0,5.150315258511979,4.444987389659521,0.705327868852458,True,True,False,0.9835164835164836,1.0,1.0,0.9972489631508746
all__drop_submission_hybrid_0p578_logit_after_subjec,all,submission_hybrid_0p578_logit_after_subject_final9_strict.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.171437578814627,1.0,7.0,5.171437578814627,4.5099936948297605,0.6614438839848669,True,True,False,0.9790209790209792,1.0,1.0,0.9947414184151023
all__drop_submission_hybrid_0p567_foldsafe_stage2_q1,all,submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.2121374527112225,1.0,7.0,5.2121374527112225,4.0529634300126105,1.159174022698612,True,True,False,0.9790209790209792,1.0,1.0,0.9947414184151023
all__drop_submission_ordinal_q_constraints_ambnext_Q,all,submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.147162673392181,1.0,9.0,5.147162673392181,4.436443883984868,0.7107187894073128,True,True,False,0.9790209790209792,1.0,1.0,0.9947414184151023
all__drop_submission_mixmin_0c916bb4_csv,all,submission_mixmin_0c916bb4.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.112862547288776,1.0,9.0,5.112862547288776,4.404413619167718,0.708448928121058,True,True,False,0.9930069930069931,1.0,1.0,0.9964973622679555
all__drop_submission_e72_topabs50_q2s3_gate_4e48cba2,all,submission_e72_topabs50_q2s3_gate_4e48cba2.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.157660781841109,1.0,7.0,5.157660781841109,4.469609079445146,0.6880517023959634,True,True,False,0.9720279720279721,1.0,1.0,0.9964973622679555
all__drop_submission_e95_hardtail_541e3973_csv,all,submission_e95_hardtail_541e3973.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.146941992433795,1.0,5.0,5.146941992433795,4.447635561160151,0.6993064312736434,True,True,False,0.9790209790209792,1.0,1.0,0.9964973622679555
all__drop_submission_e101_q2s3tail_177569bc_csv,all,submission_e101_q2s3tail_177569bc.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.148392181588902,1.0,5.0,5.148392181588902,4.440889029003784,0.7075031525851188,True,True,False,0.9790209790209792,1.0,1.0,0.9964973622679555
all__drop_submission_e176_abl_q2_to0p75_91e49725_csv,all,submission_e176_abl_q2_to0p75_91e49725.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.16264186633039,1.0,5.0,5.16264186633039,4.436223203026482,0.7264186633039085,True,True,False,0.9930069930069931,1.0,1.0,0.9947414184151023
all__drop_submission_e216_maskfam_jepa_s2_rank_e154_,all,submission_e216_maskfam_jepa_s2_rank_e154_s0p75_eaac6709.csv,12,129,104,e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,5.160718789407313,1.0,10.0,5.160718789407313,4.448329129886507,0.7123896595208059,True,True,False,0.9860139860139862,1.0,1.0,0.9947414184151023
