variant_kind,variant_name,pool_size,asym_all_delta,sym16_all_delta,sym20_all_delta,asym_minus_sym16,asym_minus_sym20,asym_strict,asym_deployable,sym16_deployable,sym20_deployable,asym_beats_sym16,asym_beats_sym20,asym_hidden_q2s3,asym_world,asym_block_win,best_pair_name,best_dominant_axis,best_all_delta,best_deployable_pair_name,best_deployable_axis,best_deployable_all_delta
rank_keep,hidden_q2s3_mean_minus_base_top8,8,-1.1715628367880981e-05,-1.0043825552918939e-05,-1.0232090956963091e-05,-1.6718028149620423e-06,-1.48353741091789e-06,True,True,True,True,True,True,-0.0003713909947666155,-0.00018521351732529463,0.7222222222222222,asym8_28_e75,s3_higher,-1.1715628367880981e-05,asym8_28_e75,s3_higher,-1.1715628367880981e-05
bootstrap8,bootstrap8_015,8,-1.1683643852844483e-05,-1.0133577179716191e-05,-1.0193880620845697e-05,-1.550066673128292e-06,-1.4897632319987864e-06,False,False,True,True,True,True,-0.0003705134323176498,-0.00022199088098694966,0.7222222222222222,q2a8_s3a32,s3_higher,-1.168882467261767e-05,q2a8_s3a26,s3_higher,-1.1621788839510927e-05
group_keep,support_count_1,7,-1.1596986983719582e-05,-9.790567884748747e-06,-9.89742520862702e-06,-1.806419098970835e-06,-1.6995617750925618e-06,True,True,False,False,True,True,-0.00033165281617424797,-0.0001925426640149719,0.6666666666666666,q2a8_s3a32,s3_higher,-1.1652449096177797e-05,asym8_28_e75,s3_higher,-1.1596986983719582e-05
rank_keep,heldout_minus_base_top10,10,-1.1609503033915836e-05,-1.0023361006417097e-05,-1.009986578037747e-05,-1.5861420274987381e-06,-1.509637253538365e-06,False,False,True,True,True,True,-0.00035689804670110264,-0.00021602635685791802,0.7222222222222222,q2a8_s3a32,s3_higher,-1.1620596852446319e-05,q2a8_s3a26,s3_higher,-1.1546684942520535e-05
rank_keep,heldout_minus_base_top8,8,-1.1556246173771711e-05,-1.000315766019888e-05,-1.0056496261734438e-05,-1.5530885135728312e-06,-1.4997499120372737e-06,False,False,True,True,True,True,-0.000371474337933643,-0.00021857001994788358,0.7222222222222222,q2a8_s3a32,s3_higher,-1.1581539381633199e-05,q2a8_s3a26,s3_higher,-1.149414804801907e-05
group_keep,band_low_slack_half,7,-1.1492281234204427e-05,-9.862609970823222e-06,-1.0038088426034264e-05,-1.629671263381205e-06,-1.4541928081701627e-06,True,True,False,True,True,True,-0.000356818410062007,-0.0001927827376088432,0.6944444444444444,q2a8_s3a32,s3_higher,-1.1573693217248326e-05,asym8_28_e75,s3_higher,-1.1492281234204427e-05
group_keep,scale_0.095,5,-1.1021334894056878e-05,-9.326598250369855e-06,-9.834359303795281e-06,-1.6947366436870226e-06,-1.1869755902615964e-06,True,True,False,False,True,True,-0.0002487661881663203,-0.00015824519321969697,0.7222222222222222,q2a12_s3a32,s3_higher,-1.1406206886999115e-05,q2a12_s3a32,s3_higher,-1.1406206886999115e-05
rank_keep,heldout_minus_base_top6,6,-1.1377997909622906e-05,-9.797300320690816e-06,-9.863209801563855e-06,-1.5806975889320896e-06,-1.5147881080590508e-06,True,True,False,False,True,True,-0.00036337327599447744,-0.00020027190387262293,0.7222222222222222,asym8_28_e75,s3_higher,-1.1377997909622906e-05,asym8_28_e75,s3_higher,-1.1377997909622906e-05
group_keep,band_all,6,-1.1354463795187897e-05,-9.571547038289552e-06,-9.667668000812313e-06,-1.782916756898345e-06,-1.686795794375584e-06,True,True,False,False,True,True,-0.0003198877783660292,-0.000195312646986212,0.6666666666666666,q2a8_s3a32,s3_higher,-1.1438536222985185e-05,asym8_28_e75,s3_higher,-1.1354463795187897e-05
bootstrap8,bootstrap8_046,8,-1.1575036653943549e-05,-9.928464935082815e-06,-1.0009641183916784e-05,-1.6465717188607343e-06,-1.5653954700267647e-06,False,False,False,False,True,True,-0.00032560930945361305,-0.0002181598191003109,0.7222222222222222,asym8_28_e75,s3_higher,-1.1575036653943549e-05,q2a8_s3a24,s3_higher,-1.1352212647142146e-05
