method,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate
struct_raw_fbraw_k4_a4_w0.65,36.0,0.00025898756449744084,-0.00013324636042405064,0.0007452179953665434,0.4722222222222222
struct_raw_calendar_subject_fbraw_k4_a24_w0.35,36.0,0.00025974127503881347,-1.6335288183068485e-05,0.0007252107303417805,0.5277777777777778
struct_raw_calendar_fbsubject_k4_a12_w1.00,36.0,0.0002609532872923474,-2.6130879653962524e-05,0.0007592970170370076,0.4722222222222222
struct_raw_calendar_fbraw_k8_a24_w0.65,36.0,0.00026097523839088943,-8.288565668425411e-05,0.0007231781205298252,0.4722222222222222
struct_raw_calendar_subject_fbsubject_k16_a24_w0.65,36.0,0.00026223188627744464,-1.0709485404193786e-05,0.0007818468206185238,0.5277777777777778
struct_raw_calendar_fbraw_k16_a12_w0.35,36.0,0.00026230094585780216,-7.325807276252883e-05,0.000723129602649916,0.5
struct_raw_subject_fbsubject_k4_a24_w1.00,36.0,0.00026301263615150715,6.801890470181707e-05,0.0007856427824608852,0.5277777777777778
struct_raw_fbraw_k16_a4_w1.00,36.0,0.00026371969545688385,-0.0002822706696504905,0.0007740831116158305,0.4722222222222222
struct_raw_fbsubject_k8_a4_w1.00,36.0,0.0002637748048198913,-0.00025527418647579785,0.0008021731505964426,0.4444444444444444
struct_raw_subject_fbsubject_k16_a12_w0.35,36.0,0.0002647688542577442,4.123072380006345e-05,0.0007927775173736941,0.5277777777777778
struct_raw_calendar_fbraw_k8_a12_w0.35,36.0,0.0002678737613980204,-6.672022856916586e-05,0.0007222100990057952,0.4722222222222222
struct_raw_calendar_fbsubject_k8_a12_w1.00,36.0,0.00026875155088420383,-0.0001219002280362735,0.0007612049931807053,0.4722222222222222
struct_raw_fbraw_k4_a12_w1.00,36.0,0.00027094379681807327,-9.468227936919776e-05,0.0007385185011975329,0.5
struct_raw_fbraw_k8_a12_w0.65,36.0,0.00027499685690108677,-0.00010741726097909998,0.0007436962560971209,0.5
struct_raw_fbraw_k8_a24_w1.00,36.0,0.0002763738202723451,-0.00010198334103834865,0.0007426382021690451,0.5
struct_raw_calendar_fbraw_k16_a24_w0.35,36.0,0.00027685003346653465,-4.112125368965861e-05,0.0007210467780451974,0.5
struct_raw_fbraw_k16_a12_w1.00,36.0,0.00027717061234166867,-0.00019194629047023884,0.0007575413237163196,0.5
struct_raw_fbraw_k8_a4_w0.35,36.0,0.000278668759224414,-9.292680780377668e-05,0.0007408747789556145,0.5
struct_raw_calendar_subject_fbsubject_k4_a24_w1.00,36.0,0.0002800562012816586,7.846555715126398e-05,0.0007816963145022654,0.5
struct_raw_fbraw_k16_a4_w0.65,36.0,0.00028019706864073983,-0.00017162330515468058,0.00075381942143893,0.4722222222222222
struct_raw_calendar_fbraw_k4_a24_w0.35,36.0,0.000280680466265341,-1.1039577021624025e-05,0.0007178566693445312,0.4722222222222222
struct_raw_fbraw_k4_a4_w0.35,36.0,0.00028290002913872484,-5.611819831433062e-05,0.0007318190070285346,0.5277777777777778
struct_raw_calendar_fbraw_k8_a24_w0.35,36.0,0.0002839703150813554,-2.9000896300591835e-05,0.0007199513821164463,0.5
struct_raw_subject_fbsubject_k8_a12_w0.35,36.0,0.0002840075772345969,7.199352350097583e-05,0.0007838425063232898,0.5277777777777778
struct_raw_fbraw_k4_a12_w0.65,36.0,0.00028489273452550625,-4.969085147184819e-05,0.0007307024246670339,0.5277777777777778
struct_raw_fbraw_k16_a24_w1.00,36.0,0.00028725880000523006,-0.00012420300608506724,0.0007451349827916797,0.5
struct_raw_fbraw_k4_a24_w1.00,36.0,0.0002880241287047193,-3.959073500509961e-05,0.000728947795241817,0.5
struct_raw_fbraw_k8_a24_w0.65,36.0,0.0002884222497707667,-5.443654155680699e-05,0.0007333802302985095,0.5
struct_raw_fbraw_k16_a12_w0.65,36.0,0.0002889401646158307,-0.00011291245868752968,0.0007430672593042322,0.5
struct_raw_fbsubject_k16_a4_w1.00,36.0,0.00029058436022402816,-0.0002383971912768999,0.0007833527301952426,0.4722222222222222
struct_raw_fbraw_k8_a12_w0.35,36.0,0.00029152041735609557,-4.221022169011159e-05,0.0007309996089603872,0.5
struct_raw_fbraw_k16_a4_w0.35,36.0,0.0002943205313697363,-7.678270701543834e-05,0.000736450544144435,0.5
struct_raw_calendar_fbsubject_k16_a24_w1.00,36.0,0.00029439804431534043,-4.876029715856871e-05,0.0007578812190882175,0.4444444444444444
struct_raw_calendar_subject_fbsubject_k8_a24_w0.65,36.0,0.0002945138101969037,6.372542685863071e-05,0.00078203282448627,0.5277777777777778
struct_raw_fbraw_k16_a24_w0.65,36.0,0.0002954974865971596,-6.887932383716481e-05,0.0007350031377032269,0.5
struct_raw_fbraw_k4_a24_w0.65,36.0,0.0002959949502518146,-1.3881347635193282e-05,0.0007244814657958183,0.5277777777777778
struct_raw_fbraw_k4_a12_w0.35,36.0,0.00029684896684615614,-1.1126770416983472e-05,0.0007240029304980218,0.5277777777777778
struct_raw_fbsubject_k4_a4_w1.00,36.0,0.0002982513907052427,-0.00011354547724186872,0.0007840242040919085,0.4444444444444444
struct_raw_fbraw_k8_a24_w0.35,36.0,0.0002987494750551448,-1.3682142001198378e-05,0.000725444825838046,0.5277777777777778
struct_raw_fbraw_k16_a12_w0.35,36.0,0.00029902835227940184,-4.516917430235358e-05,0.0007306609183796019,0.5
struct_raw_fbraw_k16_a24_w0.35,36.0,0.00030255921796164427,-2.145902476755607e-05,0.0007263186990559717,0.5277777777777778
struct_raw_fbraw_k4_a24_w0.35,36.0,0.0003028270830064743,8.155270110443072e-06,0.0007206531834135248,0.5277777777777778
struct_raw_calendar_subject_fbsubject_k16_a12_w0.35,36.0,0.0003044371508878389,5.020013702358431e-05,0.0007773902405564545,0.5
struct_raw_calendar_fbsubject_k16_a12_w0.65,36.0,0.0003051639962968809,-2.718940306714935e-05,0.0007582136302822573,0.4444444444444444
raw_phone_indep,36.0,0.00031079790455357655,3.386465748035595e-05,0.0007161868539675224,0.5
struct_raw_calendar_subject_fbsubject_k8_a12_w0.35,36.0,0.00031536716399919963,8.996482764216823e-05,0.00077933312206266,0.5277777777777778
struct_raw_calendar_fbsubject_k4_a4_w0.35,36.0,0.00031620371069800477,5.767804712221006e-05,0.0007602684041289754,0.5
struct_raw_subject_fbsubject_k16_a24_w0.35,36.0,0.0003188746073774106,0.00010483116968592412,0.0007837047540948554,0.4722222222222222
struct_raw_calendar_fbsubject_k4_a12_w0.65,36.0,0.0003254121139897147,7.164620094067012e-05,0.0007604303016737297,0.5
struct_raw_subject_fbsubject_k4_a24_w0.65,36.0,0.0003267506906516757,0.00013284356092290608,0.0007775550491287105,0.5
struct_raw_fbsubject_k8_a4_w0.65,36.0,0.00032724610092041954,-7.729694748875763e-05,0.0007882997885677148,0.4444444444444444
struct_raw_calendar_fbsubject_k8_a12_w0.65,36.0,0.0003304809857649834,9.396125045382002e-06,0.0007616704862192336,0.5
struct_raw_subject_fbsubject_k4_a12_w0.35,36.0,0.00033357976798585007,0.00013978905987886285,0.0007766885063112447,0.5
struct_raw_fbsubject_k16_a12_w1.00,36.0,0.00033473778960457724,-9.793164838566305e-05,0.0007774047994163028,0.5277777777777778
struct_raw_calendar_fbsubject_k8_a24_w1.00,36.0,0.00033489023067791016,1.8774435352254982e-05,0.0007617037355744688,0.5
struct_raw_fbsubject_k8_a12_w1.00,36.0,0.0003363134280625742,-5.1871627925168484e-05,0.000786317879387203,0.4444444444444444
struct_raw_calendar_subject_fbsubject_k4_a24_w0.65,36.0,0.00033782900798654306,0.00013963388501712156,0.0007749898449556882,0.5
struct_raw_calendar_fbsubject_k16_a4_w0.35,36.0,0.0003396150413842061,4.183745617078193e-05,0.0007592773456551867,0.4444444444444444
struct_raw_calendar_fbsubject_k4_a24_w1.00,36.0,0.0003398824626289809,9.359615759159523e-05,0.0007606847124053109,0.4722222222222222
struct_raw_calendar_fbsubject_k8_a4_w0.35,36.0,0.00034223897401215053,3.440495514948882e-05,0.0007617591517801762,0.5
struct_raw_calendar_subject_fbsubject_k4_a12_w0.35,36.0,0.0003440189516298656,0.000146187634518237,0.0007742712946870843,0.5
struct_raw_subject_fbsubject_k8_a24_w0.35,36.0,0.00034442524743240745,0.00013995803080686214,0.0007758521813530583,0.4722222222222222
struct_raw_fbsubject_k16_a4_w0.65,36.0,0.00034467231204568906,-6.632690063918246e-05,0.0007760665153066567,0.5277777777777778
struct_raw_calendar_subject_fbsubject_k16_a24_w0.35,36.0,0.00034664241498544925,0.00011110975873132784,0.0007729336603237909,0.4722222222222222
struct_raw_calendar_fbsubject_k16_a24_w0.65,36.0,0.0003471512065823737,5.693708026316085e-05,0.0007595100330687696,0.4444444444444444
struct_raw_fbsubject_k4_a4_w0.65,36.0,0.0003496558813809833,1.4826712983452863e-05,0.0007765029732999767,0.4722222222222222
struct_raw_calendar_subject_fbsubject_k8_a24_w0.35,36.0,0.0003640249890547683,0.00015119009566328748,0.0007730338161820932,0.4722222222222222
struct_raw_fbsubject_k16_a24_w1.00,36.0,0.0003678528619739585,7.417509031099111e-06,0.0007729438514567873,0.5
struct_raw_calendar_fbsubject_k16_a12_w0.35,36.0,0.00036975970494120946,0.00010223595666813504,0.0007602080962894813,0.4722222222222222
struct_raw_fbsubject_k4_a12_w1.00,36.0,0.00037168637619733487,6.984336510863753e-05,0.000773279588282344,0.4722222222222222
struct_raw_fbsubject_k16_a12_w0.65,36.0,0.0003733720411284218,2.4975702235422393e-05,0.0007722003602933022,0.5
struct_raw_calendar_fbsubject_k8_a24_w0.65,36.0,0.0003734711276101422,0.00010083465622043231,0.0007619946687681448,0.4444444444444444
struct_raw_fbsubject_k8_a12_w0.65,36.0,0.0003743962060032504,5.4914715580452325e-05,0.0007779938622706761,0.4444444444444444
struct_raw_calendar_fbsubject_k4_a24_w0.65,36.0,0.0003767160779437282,0.00014946877513777706,0.0007613323036557922,0.4722222222222222
struct_raw_fbsubject_k8_a24_w1.00,36.0,0.0003771164041059256,6.25423114494033e-05,0.0007773992895006068,0.4444444444444444
struct_raw_calendar_fbsubject_k4_a12_w0.35,36.0,0.00038066253684358357,0.00015545512713963116,0.0007614016884905577,0.4722222222222222
