variant,family,file,candidate_origin,gate_count,rank_mean,rank_median,rank_min,top1_count,top5_count,top10_count,score_mean,score_std,pred_mean,pred_std_mean,gate_rate,top1_rate,top5_rate,top10_rate
e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p08_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p08_s11p0_ac4aab8d.csv,e372_generated,97,68.30927835051547,68.0,61.0,0,0,0,7.113552215055948,0.44026501160274417,0.0003558776028272301,0.00014148886135412225,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp0p85_s11p06,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp0p85_s11p06_3e8fb51b.csv,e372_generated,97,68.65979381443299,69.0,64.0,0,0,0,7.111602875538175,0.4317327374367365,0.0003557402079826782,0.00014219013168830164,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_family_subject_floor0p25_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_family_subject_floor0p25_amp0p85_s11p0_7b36c905.csv,e372_generated,97,69.78350515463917,70.0,65.0,0,0,0,7.099200650043166,0.4364576470153416,0.0003557687547229162,0.00014181866133514842,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_jepa_resid_dateblock_floor0p25_amp0p85_s11p0_8264e6e1.csv,e372_generated,97,70.96907216494846,72.0,41.0,0,0,0,7.087161365316359,0.4294889175427565,0.00035979820269842753,0.00014238234985772876,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p0_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp1p0_s11p0_f7ce4460.csv,e372_generated,97,71.1340206185567,71.0,67.0,0,0,0,7.087273091485676,0.43924614960887215,0.000355810116242822,0.00014175800327679102,0.9897959183673469,0.0,0.0,0.0
e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp0p85_s11p0,q2_calib_agreement_gate,analysis_outputs/submission_e372_q2calib_e372_agreegate_Q2_raw_day_dateblock_floor0p25_amp0p85_s11p0_1a1ed319.csv,e372_generated,97,72.97938144329896,73.0,71.0,0,0,0,7.050771418414504,0.43573664956847225,0.0003564579451337729,0.00014221237584827358,0.9897959183673469,0.0,0.0,0.0
e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_1198dfee.csv,e364_existing,90,75.87777777777778,76.0,27.0,0,0,0,6.219448397494375,0.43695359523686594,0.0003547407537031151,0.00015410527694337858,0.9183673469387755,0.0,0.0,0.0
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_07638e6a.csv,e364_existing,98,78.63265306122449,74.5,52.0,0,0,0,6.192498128972443,0.4894319048185927,0.0003701661149835865,0.00014306394401717042,1.0,0.0,0.0,0.0
e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11,donor_graft,analysis_outputs/submission_e363_cellrobust_e362_graft_donor_q3s1_e360_e349_compact_core__learned_pc_episode_s1_counter_11_3aeb0277.csv,e364_existing,82,78.97560975609755,75.0,74.0,0,0,0,6.193169464830267,0.3431673968810755,0.000369499080772194,0.0001576612577527418,0.8367346938775511,0.0,0.0,0.0
e362_scale_g0.96_q11.08_q20.90_q30.75_s10.70,target_scale,analysis_outputs/submission_e363_cellrobust_e362_scale_g0_96_q11_08_q20_90_q30_75_s10_70_b4153387.csv,e364_existing,73,84.84931506849315,84.0,75.0,0,0,0,5.570726282325243,0.22791668809889937,0.00022057798493182708,0.00010427402030452419,0.7448979591836735,0.0,0.0,0.0
