variant,source_id,gate_id,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,row_l1_p90,abs_Q1,share_Q1,abs_Q2,share_Q2,abs_Q3,share_Q3,abs_S1,share_S1,abs_S2,share_S2,abs_S3,share_S3,abs_S4,share_S4,renorm,source_l1,gated_l1_ratio
e349_compact_core__smooth_risk_q85_renorm115,e349_compact_core,smooth_risk_q85_renorm115,analysis_outputs/submission_e359_rowplacement_e349_compact_core__smooth_risk_q85_renorm115_3143f71f.csv,submission_e359_rowplacement_e349_compact_core__smooth_risk_q85_renorm115_3143f71f.csv,216,356,4.600215422928634,0.45960690798333154,0.04141149225977187,2.2541681289960183,0.4900136019197441,0.9964446473458657,0.21660825760014074,0.24000028674700433,0.052171532131035085,1.109602359839745,0.2412066083490802,0.0,0.0,0.0,0.0,0.0,0.0,1.0698989377911237,4.600215422928633,1.0000000000000002
e351_robust_center__badcluster_rate_top20_damp0p2,e351_robust_center,badcluster_rate_top20_damp0p2,analysis_outputs/submission_e359_rowplacement_e351_robust_center__badcluster_rate_top20_damp0p2_432dd62f.csv,submission_e359_rowplacement_e351_robust_center__badcluster_rate_top20_damp0p2_432dd62f.csv,248,625,4.0730453277681535,0.42575432027289917,0.03894058303417692,1.9956234684497833,0.48995857100939644,0.8701749787452557,0.21364235080145122,0.2281329942889344,0.056010423634038235,0.9706315131493826,0.2383060916440243,0.0,0.0,0.008482373134797855,0.0020825629110898737,0.0,0.0,1.1,4.633521921426946,0.8790387521278441
e351_robust_center__cluster3-6-5_damp0p35,e351_robust_center,cluster3-6-5_damp0p35,analysis_outputs/submission_e359_rowplacement_e351_robust_center__cluster3-6-5_damp0p35_cddbbb7f.csv,submission_e359_rowplacement_e351_robust_center__cluster3-6-5_damp0p35_cddbbb7f.csv,248,625,3.6937761327418714,0.3843617377464122,0.03884178345600222,1.7009889239665843,0.4605013576456104,0.8957120287448526,0.2424922346552632,0.19049420882618318,0.051571671368394564,0.8988658897899292,0.24334606578409657,0.0,0.0,0.0077150814143220935,0.00208867054663522,0.0,0.0,1.1,4.633521921426946,0.7971854229631724
e351_robust_center__cluster3-6_damp0p25,e351_robust_center,cluster3-6_damp0p25,analysis_outputs/submission_e359_rowplacement_e351_robust_center__cluster3-6_damp0p25_79f72ed4.csv,submission_e359_rowplacement_e351_robust_center__cluster3-6_damp0p25_79f72ed4.csv,248,625,4.137034626880747,0.42732378245642616,0.03894058303417692,2.0249662749547177,0.48947288519107895,0.886591653745161,0.21430607517385855,0.22964754014232877,0.055510180806845,0.9872460869977692,0.238636167215776,0.0,0.0,0.008583071040769887,0.002074691612441585,0.0,0.0,1.1,4.633521921426946,0.892848830119854
e351_robust_center__cluster3_damp0p0,e351_robust_center,cluster3_damp0p0,analysis_outputs/submission_e359_rowplacement_e351_robust_center__cluster3_damp0p0_4f5b877f.csv,submission_e359_rowplacement_e351_robust_center__cluster3_damp0p0_4f5b877f.csv,211,537,4.4611121767698805,0.45809801711911075,0.057488545563336685,2.2089603541575107,0.4951591142809895,0.9504342787459524,0.21304872890107987,0.251772436526733,0.05643714539118175,1.0410424606239699,0.23335939993729296,0.0,0.0,0.008902646715713933,0.0019956114894559766,0.0,0.0,1.1,4.633521921426946,0.9627907782501717
e351_robust_center__goodboost20_riskdamp80,e351_robust_center,goodboost20_riskdamp80,analysis_outputs/submission_e359_rowplacement_e351_robust_center__goodboost20_riskdamp80_58667b0e.csv,submission_e359_rowplacement_e351_robust_center__goodboost20_riskdamp80_58667b0e.csv,248,625,4.34382286107665,0.44083943389364033,0.04256000497569525,2.1952342146509363,0.5053691839788399,0.8986183191512197,0.2068726897690506,0.23416826072735242,0.053908335633491275,1.0069477375967288,0.2318114181449722,0.0,0.0,0.008854328950412865,0.002038372473646002,0.0,0.0,1.05,4.633521921426946,0.9374775677631672
e351_robust_center__goodboost30_riskdamp80,e351_robust_center,goodboost30_riskdamp80,analysis_outputs/submission_e359_rowplacement_e351_robust_center__goodboost30_riskdamp80_89f6ecf0.csv,submission_e359_rowplacement_e351_robust_center__goodboost30_riskdamp80_89f6ecf0.csv,248,625,4.396236442937139,0.44504077787515206,0.04273470706013791,2.2006711356707616,0.5005807044810552,0.9039332176824574,0.2056152414492376,0.24767793802211524,0.05633862992515499,1.0348641495321844,0.23539774599584284,0.0,0.0,0.009090002029620348,0.0020676781487092375,0.0,0.0,1.05,4.633521921426946,0.9487893911988373
e351_robust_center__goodboost30_riskdamp90,e351_robust_center,goodboost30_riskdamp90,analysis_outputs/submission_e359_rowplacement_e351_robust_center__goodboost30_riskdamp90_14ccf71a.csv,submission_e359_rowplacement_e351_robust_center__goodboost30_riskdamp90_14ccf71a.csv,248,625,4.633521921426947,0.4568289998360148,0.04412443136478614,2.2372615076373368,0.48284254301064067,1.0029485369244084,0.21645490275689447,0.2442297524198912,0.052709311957820165,1.1395287281800899,0.24593144210897763,0.0,0.0,0.009553396265219994,0.0020618001656670516,0.0,0.0,1.0353818434082251,4.633521921426946,1.0000000000000002
e351_robust_center__risk_top70_damp0p0,e351_robust_center,risk_top70_damp0p0,analysis_outputs/submission_e359_rowplacement_e351_robust_center__risk_top70_damp0p0_9c5e351b.csv,submission_e359_rowplacement_e351_robust_center__risk_top70_damp0p0_9c5e351b.csv,173,442,3.247763894890214,0.3697294460362097,0.03536702066639605,1.574888523028171,0.48491472101958566,0.6650411624959723,0.2047689376503932,0.18066768840503472,0.05562833206234098,0.8205683921752368,0.2526564179946261,0.0,0.0,0.0065981287857989615,0.0020315912730540413,0.0,0.0,1.0,4.633521921426946,0.7009277068209117
e351_robust_center__risk_top70_damp0p0_renorm110,e351_robust_center,risk_top70_damp0p0_renorm110,analysis_outputs/submission_e359_rowplacement_e351_robust_center__risk_top70_damp0p0_renorm110_1351b646.csv,submission_e359_rowplacement_e351_robust_center__risk_top70_damp0p0_renorm110_1351b646.csv,173,442,3.5725402843792358,0.40670239063983077,0.038903722733035655,1.7323773753309886,0.48491472101958566,0.7315452787455696,0.20476893765039314,0.19873445724553823,0.05562833206234098,0.9026252313927605,0.25265641799462607,0.0,0.0,0.007257941664378858,0.002031591273054041,0.0,0.0,1.1,4.633521921426946,0.771020477503003
