method,target,target_row_logloss,target_count_nll_per_row,target_rate_mae,target_count_mae,delta_row_vs_subject,delta_row_vs_raw
transition_full_transition_baseedge_mid_k16_a24_w1.00,S3,1.9989034784527684,1.717015566856397,0.2749923908547469,1.2676478505255409,1.4959497894785883,1.4881474254908227
transition_topology_baseedge_mid_k8_a4_w0.65,S3,2.004859653319564,1.7229717417231925,0.27783404745401086,1.280747194361172,1.5019059643453838,1.4941036003576182
transition_raw_topology_baseedge_mid_k4_a4_w0.65,S3,2.0049290348143036,1.723041123217932,0.2717396088838565,1.2526533190011921,1.5019753458401235,1.494172981852358
transition_raw_residual_baseedge_mid_k8_a12_w0.65,S3,2.0073651560189933,1.7254772444226218,0.25977752380039454,1.1975110243481601,1.5044114670448132,1.4966091030570476
transition_raw_residual_baseedge_mid_k16_a4_w0.35,S3,2.0081277859500686,1.7262398743536969,0.25295690710870883,1.1660696449645358,1.5051740969758884,1.4973717329881229
transition_raw_topology_baseedge_mid_k16_a24_w1.00,S3,2.0126240124994275,1.7307361009030557,0.2708870157430597,1.2487230725716654,1.5096703235252473,1.5018679595374818
transition_full_transition_baseedge_mid_k16_a12_w0.65,S3,2.016645868685026,1.7347579570886542,0.27300614856990807,1.2584917580417712,1.513692179710846,1.5058898157230804
transition_raw_residual_baseedge_mid_k8_a24_w1.00,S3,2.0169701060977787,1.7350821945014072,0.2590320546396911,1.1940745933390637,1.5140164171235986,1.506214053135833
transition_topology_baseedge_mid_k8_a12_w1.00,S3,2.0223277683494953,1.7404398567531238,0.27587001746087125,1.271693495124504,1.5193740793753152,1.5115717153875496
transition_raw_residual_baseedge_mid_k16_a24_w0.65,S3,2.0263690757348405,1.7444811641384683,0.2520593036744058,1.1619319120600657,1.5234153867606604,1.5156130227728948
transition_full_transition_baseedge_mid_k4_a4_w0.65,S3,2.027479336404648,1.7455914248082767,0.274817406654184,1.266841216040019,1.524525647430468,1.5167232834427025
