decoder,state_scope,safety_scope,overlap_kind,shape,rows,evaluated,strict,veto_actionable,local_and_veto,submit_gate,best_all_minus_e95,best_sensor_mean_vs_e95,best_sensor_p95_vs_e95,best_tail_exposure,best_changed_cells
pair_inverse_top__all_sign_min,all,veto_null_nonactive,state_soft,raw,6,2,0,0,0,0,-1.59740433886002e-05,-2.4035741630648975e-05,-6.367930622121564e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null,state_soft,raw,3,1,0,0,0,0,-1.5995989625205986e-05,-2.402016848683906e-05,-6.3766793220419625e-06,0.0007888419624421478,142
pair_inverse_top__all_sign_min,q1q3_sall,veto_null_nonactive,state_soft,raw,3,1,0,0,0,0,-1.6038618880331867e-05,-2.398759012801989e-05,-6.3936731496227795e-06,0.0007888419624421478,142
all3_mean,q1q3_sall,veto_null_nonactive,hard,raw,3,1,0,0,0,0,-1.3242823806991488e-05,-2.2415142953563342e-05,-5.27915075678848e-06,0.0007888419624421478,114
all3_mean,q1q3_sall,veto_null,hard,raw,3,1,0,0,0,0,-1.2937924689038205e-05,-2.2189902346828677e-05,-5.157605047750388e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonactive,hard,raw,6,2,0,0,0,0,-1.2848258776343435e-05,-2.2122685815894142e-05,-5.121860415203751e-06,0.0007888419624421478,114
all3_mean,all,veto_null,hard,raw,6,2,0,0,0,0,-1.2478248799907554e-05,-2.1841094182478063e-05,-4.974358758790439e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null_nonactive,hard,raw,3,1,0,0,0,0,-1.4227755068096926e-05,-2.1321989729427058e-05,-4.813516139581972e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null,hard,raw,3,1,0,0,0,0,-1.4085621884540878e-05,-2.1244638637989817e-05,-4.7654298202896695e-06,0.0007888419624421478,114
all3_min,all,veto_null_nonactive,hard,raw,6,2,0,0,0,0,-1.4042996584917589e-05,-2.1220273937387988e-05,-4.751008882713137e-06,0.0007888419624421478,114
all3_min,all,veto_null,hard,raw,6,2,0,0,0,0,-1.3863565710869885e-05,-2.111278424404428e-05,-4.690304055842411e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null_nonactive,state_soft,raw,3,1,0,0,0,0,-1.413864205856985e-05,-2.0925840713254944e-05,-4.783367538657072e-06,0.0007888419624421478,114
all3_min,q1q3_sall,veto_null,state_soft,raw,3,1,0,0,0,0,-1.3990951433173748e-05,-2.0837880787281574e-05,-4.7334010326547884e-06,0.0007888419624421478,114
all3_min,all,veto_null_nonactive,state_soft,raw,6,2,0,0,0,0,-1.3946653666274678e-05,-2.0810391258677657e-05,-4.718414268060123e-06,0.0007888419624421478,114
pair_inverse_top__all_sign_min,all,veto_null_nonq2s3,hard,raw,6,2,0,0,0,0,-1.262187392125913e-05,-2.07446340660049e-05,-5.232036212094421e-06,0.0007888419624421478,116
all3_min,all,veto_null,state_soft,raw,6,2,0,0,0,0,-1.3760465261802857e-05,-2.0690330887491398e-05,-4.655423242024139e-06,0.0007888419624421478,114
pair_inverse_top__all_sign_min,all,veto_null_nonq2s3,state_soft,raw,6,2,0,0,0,0,-1.2688573186592222e-05,-2.0392757125762578e-05,-5.104418745817164e-06,0.0007888419624421478,116
all3_mean,q1q3_sall,veto_null_nonactive,state_soft,raw,3,1,0,0,0,0,-1.1866613038535867e-05,-2.035946629279279e-05,-4.730534825195572e-06,0.0007888419624421478,114
all3_mean,q1q3_sall,veto_null,state_soft,raw,3,1,0,0,0,0,-1.1516644632281192e-05,-2.0075961483701474e-05,-4.5910225879523255e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonactive,state_soft,raw,6,2,0,0,0,0,-1.1413962644146736e-05,-1.999194300653372e-05,-4.550089196156959e-06,0.0007888419624421478,114
all3_mean,all,veto_null,state_soft,raw,6,2,0,0,0,0,-1.096146456691649e-05,-1.960909616008906e-05,-4.369704287192577e-06,0.0007888419624421478,114
all3_mean,all,veto_null_nonq2s3,hard,raw,6,2,0,0,0,0,-9.614839564631161e-06,-1.8441393906453498e-05,-3.832882495742622e-06,0.0007888419624421478,95
all3_min,all,veto_null_nonq2s3,hard,raw,6,2,0,0,0,0,-1.0882285040314521e-05,-1.769372128956838e-05,-3.6816809416787547e-06,0.0007888419624421478,95
all3_min,all,veto_null_nonq2s3,state_soft,raw,6,2,0,0,0,0,-1.0899921032536675e-05,-1.7345136804867928e-05,-3.68764752831119e-06,0.0007888419624421478,95
all3_mean,all,veto_null_nonq2s3,state_soft,raw,6,2,0,0,0,0,-8.992871718516149e-06,-1.6806848108180572e-05,-3.4680694678863588e-06,0.0007889140929277223,67
