prior_view,component_scope,target_scope,prune_mode,rows,all_four_health,control_grade,e161_submit,best_all_minus_base,best_local_delta_vs_e154,best_focus_expected_delta,best_focus_delta_vs_e154,best_safe_all_minus_base,best_safe_top_n,best_safe_tag
subject,all,Q3,to_e144,8,5,0,0,-1.2160719870757397e-05,-2.670211052269167e-09,-3.075050116850163e-05,-9.129431553809574e-07,-1.1989148957836093e-05,13,e161_37213cc8
global,added,S4,to_e144,5,5,0,0,-1.2159673666300996e-05,-1.6240065958683658e-09,-2.9801101744201868e-05,3.645626891880688e-08,-1.2158675971485344e-05,1,e161_b77c76cf
global,all,S4,to_e144,5,5,0,0,-1.2159673666300996e-05,-1.6240065958683658e-09,-2.9801101744201868e-05,3.645626891880688e-08,-1.2158675971485344e-05,1,e161_b77c76cf
focus_mean,added,S4,to_e144,5,5,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.966783297649805e-05,1.6972503662262598e-07,-1.2151135379778744e-05,8,e161_e8a504da
focus_mean,all,S4,to_e144,5,5,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.966783297649805e-05,1.6972503662262598e-07,-1.2151135379778744e-05,8,e161_e8a504da
global,adjustment,S4,to_e144,4,4,0,0,-1.2159673666300996e-05,-1.6240065958683658e-09,-2.9801101744201868e-05,3.645626891880688e-08,-1.2158675971485344e-05,1,e161_b77c76cf
global,inherited,S4,to_e144,4,4,0,0,-1.2159673666300996e-05,-1.6240065958683658e-09,-2.9801101744201868e-05,3.645626891880688e-08,-1.2158675971485344e-05,1,e161_b77c76cf
nearest_hard085,adjustment,S4,to_e144,4,4,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.9630434559507925e-05,2.0712345361274993e-07,-1.2157535234424977e-05,1,e161_9c0d65f9
nearest_hard085,inherited,S4,to_e144,4,4,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.9630434559507925e-05,2.0712345361274993e-07,-1.2157535234424977e-05,1,e161_9c0d65f9
focus_mean,added,Q3,to_e144,8,3,0,0,-1.2153040324425213e-05,5.009335279915206e-09,-3.4403792639440394e-05,-4.566234626319719e-06,-1.0988863293204254e-05,34,e161_e3d2b9b1
focus_mean,all,Q3,to_e144,8,3,0,0,-1.2153040324425213e-05,5.009335279915206e-09,-3.4403792639440394e-05,-4.566234626319719e-06,-1.0988863293204254e-05,34,e161_e3d2b9b1
focus_mean,adjustment,Q3,to_e144,7,3,0,0,-1.2153040324425213e-05,5.009335279915206e-09,-3.027350400902528e-05,-4.3594599590460537e-07,-1.19372163899234e-05,21,e161_9fe98a1c
focus_mean,inherited,Q3,to_e144,7,3,0,0,-1.2153040324425213e-05,5.009335279915206e-09,-3.027350400902528e-05,-4.3594599590460537e-07,-1.19372163899234e-05,21,e161_9fe98a1c
focus_mean,adjustment,S4,to_e144,3,3,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.9630434559507925e-05,2.0712345361274993e-07,-1.2157535234424977e-05,1,e161_9c0d65f9
focus_mean,inherited,S4,to_e144,3,3,0,0,-1.215846719337943e-05,-4.1753367430175103e-10,-2.9630434559507925e-05,2.0712345361274993e-07,-1.2157535234424977e-05,1,e161_9c0d65f9
subject,added,S2,to_e95,7,2,0,0,-1.2125658915396187e-05,3.2390744308941066e-08,-3.3642638488963734e-05,-3.8050804758430593e-06,-1.167099086718526e-05,21,e161_d3c22a45
subject,all,S2,to_e95,7,2,0,0,-1.2125658915396187e-05,3.2390744308941066e-08,-3.3642638488963734e-05,-3.8050804758430593e-06,-1.167099086718526e-05,21,e161_d3c22a45
subject,adjustment,S2,to_e95,5,2,0,0,-1.2125658915396187e-05,3.2390744308941066e-08,-3.064619907927749e-05,-8.086410661568136e-07,-1.2073317775529446e-05,3,e161_806cabe3
subject,inherited,S2,to_e95,5,2,0,0,-1.2125658915396187e-05,3.2390744308941066e-08,-3.064619907927749e-05,-8.086410661568136e-07,-1.2073317775529446e-05,3,e161_806cabe3
focus_mean,added,all,to_e95,10,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-0.00013420670327468707,-0.0001043691452615664,-6.951169329139084e-06,89,e161_43e5ebe7
focus_mean,all,all,to_e95,10,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-0.00013420670327468707,-0.0001043691452615664,-6.951169329139084e-06,89,e161_43e5ebe7
focus_mean,adjustment,all,to_e95,9,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-0.00012334651887889982,-9.350896086577914e-05,-8.874431707162067e-06,55,e161_50f55e6d
focus_mean,inherited,all,to_e95,9,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-0.00012334651887889982,-9.350896086577914e-05,-8.874431707162067e-06,55,e161_50f55e6d
global,added,all,to_e95,10,0,0,0,-1.2118903207958276e-05,3.914645174685205e-08,-0.00011109726550441715,-8.125970749129648e-05,-7.282411390252541e-06,89,e161_1ec3fd45
global,all,all,to_e95,10,0,0,0,-1.2118903207958276e-05,3.914645174685205e-08,-0.00011109726550441715,-8.125970749129648e-05,-7.282411390252541e-06,89,e161_1ec3fd45
nearest_hard085,added,all,to_e95,10,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-0.00010371618357769597,-7.387862556457529e-05,-6.115146250706971e-06,89,e161_a5247ce1
nearest_hard085,all,all,to_e95,10,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-0.00010371618357769597,-7.387862556457529e-05,-6.115146250706971e-06,89,e161_a5247ce1
nearest_hard085,adjustment,all,to_e95,10,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-0.00010067966278596788,-7.08421047728472e-05,-9.620351365757784e-06,34,e161_8e56c0c9
nearest_hard085,inherited,all,to_e95,10,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-0.00010067966278596788,-7.08421047728472e-05,-9.620351365757784e-06,34,e161_8e56c0c9
global,adjustment,all,to_e95,9,0,0,0,-1.2118903207958276e-05,3.914645174685205e-08,-0.00010005902914919243,-7.022147113607176e-05,-8.730818319202527e-06,55,e161_2f6550f4
global,inherited,all,to_e95,9,0,0,0,-1.2118903207958276e-05,3.914645174685205e-08,-0.00010005902914919243,-7.022147113607176e-05,-8.730818319202527e-06,55,e161_2f6550f4
subject,adjustment,all,to_e95,10,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-8.574968755544843e-05,-5.5912129542327755e-05,-7.730403682404408e-06,89,e161_3d66cfb1
subject,inherited,all,to_e95,10,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-8.574968755544843e-05,-5.5912129542327755e-05,-7.730403682404408e-06,89,e161_3d66cfb1
subject,added,all,to_e95,10,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-8.264265541364974e-05,-5.280509740052907e-05,-7.829859282826312e-06,89,e161_64dae20f
subject,all,all,to_e95,10,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-8.264265541364974e-05,-5.280509740052907e-05,-7.829859282826312e-06,89,e161_64dae20f
nearest_hard085,added,Q3,to_e95,8,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-5.980139657173604e-05,-2.9963838558615366e-05,-9.462995835041177e-06,34,e161_6ce35635
nearest_hard085,all,Q3,to_e95,8,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-5.980139657173604e-05,-2.9963838558615366e-05,-9.462995835041177e-06,34,e161_6ce35635
nearest_hard085,adjustment,Q3,to_e95,7,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-5.820479415406956e-05,-2.8367236140948885e-05,-1.0642468486921075e-05,21,e161_4760efe9
nearest_hard085,inherited,Q3,to_e95,7,0,0,0,-1.1646376233076516e-05,5.116734266286116e-07,-5.820479415406956e-05,-2.8367236140948885e-05,-1.0642468486921075e-05,21,e161_4760efe9
focus_mean,added,Q1,to_e95,8,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-5.753351750154463e-05,-2.7695959488423953e-05,-1.0950121144048808e-05,34,e161_3c0b0aa4
focus_mean,all,Q1,to_e95,8,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-5.753351750154463e-05,-2.7695959488423953e-05,-1.0950121144048808e-05,34,e161_3c0b0aa4
subject,added,Q1,to_e95,8,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-5.3677034737050226e-05,-2.383947672392955e-05,-1.1018301976917222e-05,34,e161_d5b777b3
subject,all,Q1,to_e95,8,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-5.3677034737050226e-05,-2.383947672392955e-05,-1.1018301976917222e-05,34,e161_d5b777b3
focus_mean,adjustment,Q1,to_e95,6,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-5.334729297300927e-05,-2.3509734959888598e-05,-1.143712305051725e-05,13,e161_70b62e2d
focus_mean,inherited,Q1,to_e95,6,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-5.334729297300927e-05,-2.3509734959888598e-05,-1.143712305051725e-05,13,e161_70b62e2d
global,added,Q3,to_e95,8,0,0,0,-1.1889575099899297e-05,2.6847455980583135e-07,-5.1061960279741884e-05,-2.122440226662121e-05,-1.0127887071886832e-05,34,e161_7f2d93a5
global,all,Q3,to_e95,8,0,0,0,-1.1889575099899297e-05,2.6847455980583135e-07,-5.1061960279741884e-05,-2.122440226662121e-05,-1.0127887071886832e-05,34,e161_7f2d93a5
subject,adjustment,Q1,to_e95,7,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-5.0624472197748874e-05,-2.07869141846282e-05,-1.1223019462769379e-05,21,e161_778ff462
subject,inherited,Q1,to_e95,7,0,0,0,-1.2151841314644862e-05,6.208345060265685e-09,-5.0624472197748874e-05,-2.07869141846282e-05,-1.1223019462769379e-05,21,e161_778ff462
focus_mean,added,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.9046607636281024e-05,-1.920904962316035e-05,-1.09219757848944e-05,21,e161_08697411
focus_mean,adjustment,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.9046607636281024e-05,-1.920904962316035e-05,-1.09219757848944e-05,21,e161_08697411
focus_mean,all,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.9046607636281024e-05,-1.920904962316035e-05,-1.09219757848944e-05,21,e161_08697411
focus_mean,inherited,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.9046607636281024e-05,-1.920904962316035e-05,-1.09219757848944e-05,21,e161_08697411
nearest_hard085,added,Q1,to_e95,7,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-4.823710215952265e-05,-1.8399544146401973e-05,-1.1631871865480647e-05,8,e161_ba701b35
nearest_hard085,all,Q1,to_e95,7,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-4.823710215952265e-05,-1.8399544146401973e-05,-1.1631871865480647e-05,8,e161_ba701b35
global,added,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.786133966113023e-05,-1.8023781648009556e-05,-1.0965209208513294e-05,21,e161_6e307510
global,all,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.786133966113023e-05,-1.8023781648009556e-05,-1.0965209208513294e-05,21,e161_6e307510
global,adjustment,S3,to_e95,6,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.7389066057749206e-05,-1.755150804462853e-05,-1.1063491438645379e-05,13,e161_22150db3
global,inherited,S3,to_e95,6,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.7389066057749206e-05,-1.755150804462853e-05,-1.1063491438645379e-05,13,e161_22150db3
nearest_hard085,added,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.666328143293242e-05,-1.6825723419811748e-05,-1.1036239871420328e-05,13,e161_eda922df
nearest_hard085,adjustment,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.666328143293242e-05,-1.6825723419811748e-05,-1.1036239871420328e-05,13,e161_eda922df
nearest_hard085,all,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.666328143293242e-05,-1.6825723419811748e-05,-1.1036239871420328e-05,13,e161_eda922df
nearest_hard085,inherited,S3,to_e95,7,0,0,0,-1.1951246907559998e-05,2.0680275214512989e-07,-4.666328143293242e-05,-1.6825723419811748e-05,-1.1036239871420328e-05,13,e161_eda922df
nearest_hard085,adjustment,Q1,to_e95,6,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-4.6108682591252265e-05,-1.627112457813159e-05,-1.1608207280855432e-05,8,e161_527699e4
nearest_hard085,inherited,Q1,to_e95,6,0,0,0,-1.2090795779573504e-05,6.725388013162359e-08,-4.6108682591252265e-05,-1.627112457813159e-05,-1.1608207280855432e-05,8,e161_527699e4
global,adjustment,Q3,to_e95,7,0,0,0,-1.1889575099899297e-05,2.6847455980583135e-07,-4.582522059349174e-05,-1.5987662580371064e-05,-1.062318369815518e-05,21,e161_18d2629a
global,inherited,Q3,to_e95,7,0,0,0,-1.1889575099899297e-05,2.6847455980583135e-07,-4.582522059349174e-05,-1.5987662580371064e-05,-1.062318369815518e-05,21,e161_18d2629a
subject,added,S3,to_e95,7,0,0,0,-1.2091339010256164e-05,6.671064944896443e-08,-4.411214885333735e-05,-1.4274590840216676e-05,-1.0989145671991274e-05,13,e161_7725cc09
subject,adjustment,S3,to_e95,7,0,0,0,-1.2091339010256164e-05,6.671064944896443e-08,-4.411214885333735e-05,-1.4274590840216676e-05,-1.0989145671991274e-05,13,e161_7725cc09
subject,all,S3,to_e95,7,0,0,0,-1.2091339010256164e-05,6.671064944896443e-08,-4.411214885333735e-05,-1.4274590840216676e-05,-1.0989145671991274e-05,13,e161_7725cc09
subject,inherited,S3,to_e95,7,0,0,0,-1.2091339010256164e-05,6.671064944896443e-08,-4.411214885333735e-05,-1.4274590840216676e-05,-1.0989145671991274e-05,13,e161_7725cc09
subject,added,Q3,to_e95,8,0,0,0,-1.2116231514758269e-05,4.181814494685909e-08,-4.331541266012201e-05,-1.3477854647001335e-05,-1.1236037552930789e-05,21,e161_568edaeb
subject,all,Q3,to_e95,8,0,0,0,-1.2116231514758269e-05,4.181814494685909e-08,-4.331541266012201e-05,-1.3477854647001335e-05,-1.1236037552930789e-05,21,e161_568edaeb
global,added,S2,to_e95,7,0,0,0,-1.2121025552480624e-05,3.7024107224503666e-08,-4.182406467726697e-05,-1.1986506664146297e-05,-1.1712577243305766e-05,13,e161_a3e02238
global,all,S2,to_e95,7,0,0,0,-1.2121025552480624e-05,3.7024107224503666e-08,-4.182406467726697e-05,-1.1986506664146297e-05,-1.1712577243305766e-05,13,e161_a3e02238
global,adjustment,S2,to_e95,6,0,0,0,-1.2121025552480624e-05,3.7024107224503666e-08,-4.062697354391639e-05,-1.0789415530795714e-05,-1.1724287795833455e-05,13,e161_d6d81693
global,inherited,S2,to_e95,6,0,0,0,-1.2121025552480624e-05,3.7024107224503666e-08,-4.062697354391639e-05,-1.0789415530795714e-05,-1.1724287795833455e-05,13,e161_d6d81693
subject,adjustment,Q3,to_e95,7,0,0,0,-1.2116231514758269e-05,4.181814494685909e-08,-4.0225191371535394e-05,-1.038763335841472e-05,-1.1489709377587864e-05,13,e161_5fc8c227
subject,inherited,Q3,to_e95,7,0,0,0,-1.2116231514758269e-05,4.181814494685909e-08,-4.0225191371535394e-05,-1.038763335841472e-05,-1.1489709377587864e-05,13,e161_5fc8c227
focus_mean,extra,all,to_e144,9,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.9140747585777274e-05,-9.3031895726566e-06,-1.0747553462642223e-05,55,e161_487579ee
focus_mean,extra,all,to_e95,9,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.9140747585777274e-05,-9.3031895726566e-06,-1.0747553462642223e-05,55,e161_487579ee
nearest_hard085,extra,all,to_e144,8,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.7685583209168834e-05,-7.84802519604816e-06,-1.0930143859888553e-05,34,e161_ae0dcc6b
nearest_hard085,extra,all,to_e95,8,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.7685583209168834e-05,-7.84802519604816e-06,-1.0930143859888553e-05,34,e161_ae0dcc6b
subject,added,S4,to_e95,5,0,0,0,-1.2099693545986057e-05,5.8356113719071345e-08,-3.632338051549585e-05,-6.485822502375178e-06,-1.1938252129528593e-05,8,e161_4ce14a44
subject,all,S4,to_e95,5,0,0,0,-1.2099693545986057e-05,5.8356113719071345e-08,-3.632338051549585e-05,-6.485822502375178e-06,-1.1938252129528593e-05,8,e161_4ce14a44
subject,adjustment,S4,to_e95,4,0,0,0,-1.2099693545986057e-05,5.8356113719071345e-08,-3.586335687857438e-05,-6.025798865453705e-06,-1.2056566410123537e-05,3,e161_7c140fb7
subject,inherited,S4,to_e95,4,0,0,0,-1.2099693545986057e-05,5.8356113719071345e-08,-3.586335687857438e-05,-6.025798865453705e-06,-1.2056566410123537e-05,3,e161_7c140fb7
nearest_hard085,added,all,to_e144,10,0,0,0,-1.2038437605110808e-05,1.1961205459432023e-07,-3.564423803846864e-05,-5.806680025347968e-06,-1.0821559484730514e-05,89,e161_025d00b6
nearest_hard085,all,all,to_e144,10,0,0,0,-1.2038437605110808e-05,1.1961205459432023e-07,-3.564423803846864e-05,-5.806680025347968e-06,-1.0821559484730514e-05,89,e161_025d00b6
focus_mean,extra,Q3,to_e144,7,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.450070323263359e-05,-4.663145219512914e-06,-1.118193167082282e-05,21,e161_f8807332
focus_mean,extra,Q3,to_e95,7,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.450070323263359e-05,-4.663145219512914e-06,-1.118193167082282e-05,21,e161_f8807332
nearest_hard085,extra,Q3,to_e144,7,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.437352372700777e-05,-4.535965713887096e-06,-1.1160620525307863e-05,21,e161_fdc2b2a4
nearest_hard085,extra,Q3,to_e95,7,0,0,0,-1.159217032475901e-05,5.658793349461178e-07,-3.437352372700777e-05,-4.535965713887096e-06,-1.1160620525307863e-05,21,e161_fdc2b2a4
nearest_hard085,added,Q3,to_e144,8,0,0,0,-1.2038020040683328e-05,1.2002961902179976e-07,-3.299737567037443e-05,-3.1598176572537548e-06,-1.1110425187199624e-05,34,e161_349d30e7
nearest_hard085,all,Q3,to_e144,8,0,0,0,-1.2038020040683328e-05,1.2002961902179976e-07,-3.299737567037443e-05,-3.1598176572537548e-06,-1.1110425187199624e-05,34,e161_349d30e7
nearest_hard085,adjustment,all,to_e144,10,0,0,0,-1.2038437605110808e-05,1.1961205459432023e-07,-3.0511942749668055e-05,-6.743847365473802e-07,-1.2038020040683328e-05,1,e161_ef220817
nearest_hard085,inherited,all,to_e144,10,0,0,0,-1.2038437605110808e-05,1.1961205459432023e-07,-3.0511942749668055e-05,-6.743847365473802e-07,-1.2038020040683328e-05,1,e161_ef220817
nearest_hard085,adjustment,Q3,to_e144,7,0,0,0,-1.2038020040683328e-05,1.2002961902179976e-07,-3.0511942749668055e-05,-6.743847365473802e-07,-1.2038020040683328e-05,1,e161_ef220817
nearest_hard085,inherited,Q3,to_e144,7,0,0,0,-1.2038020040683328e-05,1.2002961902179976e-07,-3.0511942749668055e-05,-6.743847365473802e-07,-1.2038020040683328e-05,1,e161_ef220817
