level,mode,task,feature_block,n,groups,positive_rate,auc,average_precision,logloss,spearman,pred_mean,pearson,rmse,top10_actual_ready_like,top10_mean_actual_health
pair,subject,actual_mean_minus_null_mean,route_meta_only,188,47,,,,,0.5960517810265898,1.251364200320193e-05,0.5893765922713463,0.00010891488884800279,,
pair,dateblock,p90_win,actual_geometry,188,47,0.7021276595744681,0.8544372294372294,0.9007038708901592,0.4861442769255371,0.5616314372488689,0.5935478385955294,,,,
pair,dateblock,mean_win,actual_geometry,188,47,0.5159574468085106,0.8072391525999774,0.7933539612086099,0.5595009794534348,0.5320031687430974,0.4938141865952065,,,,
pair,dateblock,null_not_strict,actual_geometry,188,47,0.31382978723404253,0.8536985941400603,0.7414933704180038,0.46870442023820547,0.5687027021139064,0.4024604350202815,,,,
pair,dateblock,pair_health,actual_geometry,188,47,0.16489361702127658,0.7983357304294225,0.5397212548174721,0.484034836173475,0.38358979120356995,0.3136084556428872,,,,
pair,dateblock,actual_p90_minus_null_p90,actual_geometry,188,47,,,,,0.6665589002533931,-3.399681094422019e-05,0.7282565826712553,6.214893361556115e-05,,
pair,dateblock,actual_mean_minus_null_mean,actual_geometry,188,47,,,,,0.5872871637256969,-4.894629627535823e-06,0.6029600342493495,9.838936333319771e-05,,
pair,dateblock,p90_win,pair_delta_geometry,188,47,0.7021276595744681,0.9214015151515151,0.9664767808258883,0.3552981585623596,0.6675994797342728,0.6203726027245762,,,,
pair,dateblock,mean_win,pair_delta_geometry,188,47,0.5159574468085106,0.943129035912541,0.9496602495748708,0.30851449544765797,0.7671418737326599,0.5067352904653947,,,,
pair,dateblock,null_not_strict,pair_delta_geometry,188,47,0.31382978723404253,0.8538956773091577,0.6960282951349561,0.47839772342024767,0.5688988247387584,0.3754859107489363,,,,
pair,dateblock,pair_health,pair_delta_geometry,188,47,0.16489361702127658,0.8495993425107868,0.5702886238356879,0.42401760218915857,0.44940737794665936,0.2935101706565179,,,,
pair,dateblock,actual_p90_minus_null_p90,pair_delta_geometry,188,47,,,,,0.8711033091508685,-3.941899288646175e-05,0.864438365739,4.6188717748651616e-05,,
pair,dateblock,actual_mean_minus_null_mean,pair_delta_geometry,188,47,,,,,0.9957269819597728,-1.5108679025324033e-05,0.9974244663149998,1.0882803406776485e-05,,
pair,dateblock,p90_win,actual_plus_null_geometry,188,47,0.7021276595744681,0.8534902597402597,0.9104273027976645,0.4825229243987056,0.5600120194368075,0.6079268672317562,,,,
pair,dateblock,mean_win,actual_plus_null_geometry,188,47,0.5159574468085106,0.8245156904950719,0.8234358638711764,0.5287142472756499,0.5617992834736556,0.5010189661841464,,,,
pair,dateblock,null_not_strict,actual_plus_null_geometry,188,47,0.31382978723404253,0.8783339902772304,0.7879010730246152,0.43361901519429974,0.6081842085892908,0.39252344189534727,,,,
pair,dateblock,pair_health,actual_plus_null_geometry,188,47,0.16489361702127658,0.8002876515307171,0.5708299813729983,0.4894428256428073,0.3860175626617941,0.3088994846166326,,,,
pair,dateblock,actual_p90_minus_null_p90,actual_plus_null_geometry,188,47,,,,,0.7184648198415406,-3.1342216725158055e-05,0.7619705532254929,5.895066094893097e-05,,
pair,dateblock,actual_mean_minus_null_mean,actual_plus_null_geometry,188,47,,,,,0.7371227020788972,-5.863358174902795e-06,0.7390042292605064,8.26558421447071e-05,,
pair,dateblock,p90_win,full_pair_geometry,188,47,0.7021276595744681,0.915719696969697,0.9621716312262701,0.3459460565498332,0.6585981384344848,0.6385508774610585,,,,
pair,dateblock,mean_win,full_pair_geometry,188,47,0.5159574468085106,0.9269287413617311,0.9364919134525729,0.34231445638307917,0.7390960376227863,0.5076290927029046,,,,
pair,dateblock,null_not_strict,full_pair_geometry,188,47,0.31382978723404253,0.8416765208251216,0.7011379338598145,0.509132440349871,0.5492561328134923,0.38439091507142775,,,,
pair,dateblock,pair_health,full_pair_geometry,188,47,0.16489361702127658,0.8411752619683583,0.5941814223111477,0.44561325083210396,0.4385782845021615,0.2977580458227844,,,,
pair,dateblock,actual_p90_minus_null_p90,full_pair_geometry,188,47,,,,,0.9092751220410793,-3.81931517640272e-05,0.9144860725429181,3.676003743190924e-05,,
pair,dateblock,actual_mean_minus_null_mean,full_pair_geometry,188,47,,,,,0.9953152118358626,-1.4535335810035812e-05,0.9968894405011247,1.1817986868343694e-05,,
pair,dateblock,p90_win,route_meta_only,188,47,0.7021276595744681,0.8576839826839827,0.9171285434821402,0.48365157101995737,0.5667761527045836,0.5704610679676725,,,,
pair,dateblock,mean_win,route_meta_only,188,47,0.5159574468085106,0.7945508100147276,0.7759994538933548,0.5706712211363084,0.5100325364056243,0.48666723406364926,,,,
pair,dateblock,null_not_strict,route_meta_only,188,47,0.31382978723404253,0.833201944553935,0.6963892416455544,0.4775447018454439,0.5357466762856117,0.40818762966654487,,,,
pair,dateblock,pair_health,route_meta_only,188,47,0.16489361702127658,0.7794329155537292,0.42814039826565564,0.5061062770231782,0.35928520388213164,0.32231083784672737,,,,
pair,dateblock,actual_p90_minus_null_p90,route_meta_only,188,47,,,,,0.6155463708681469,-3.457007151824682e-05,0.6193985588538855,7.149020903592812e-05,,
pair,dateblock,actual_mean_minus_null_mean,route_meta_only,188,47,,,,,0.5807046687866092,-7.802538541187186e-06,0.5795879996299714,0.0001001591257645081,,
candidate,placement,pred_worst_placement_dominance_vs_worst_mode_p90_dominance,full_pair_geometry,47,47,,,,,0.6141770243186,,0.614582751325324,,0.0,0.30000000000000004
candidate,placement,pred_null_strict_rate_vs_null_strict_rate,full_pair_geometry,47,47,,,,,0.5484327459572854,,0.5673876770327263,,0.0,0.30000000000000004
candidate,placement,pred_adversarial_health_vs_actual_adversarial_health,full_pair_geometry,47,47,,,,,0.5081462223734257,,0.4995859587104919,,0.0,0.30000000000000004
