rank,source,active_weights,score,mean_expected,p90_expected,mean_regret,p90_regret,p95_regret,max_regret,mean_delta_vs_prior,p90_delta_vs_prior,win_rate_vs_prior,w::submission_public_entropyproj_public2d0_g100.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g075.csv,w::submission_public2dblend_budget0p0.csv,w::submission_public_entropyproj_public2d0_g050.csv,w::submission_public_entropyproj_public2d0_g075.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s1_s3_s4_g075.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q3_s2_s3_s4_g050.csv,w::submission_public_entropytm_public2d0_q1_q2_q3_s1_s3_s4_g050.csv
29,dirichlet_0.3_refined,7,0.5749253144908044,0.5746338946002464,0.5808734470377918,6.653254476778392e-05,0.00011929529200763734,0.00012375204088056478,0.0001624299758938852,-0.0007315428360179623,-0.0002714877919751446,1.0,0.1415808471497892,0.0984930813079101,0.1300958051465994,0.20064323983601023,,0.40720413213035384,,,0.003125,,0.018750000000000003,,,,
30,sparse5_refined,5,0.5749253362450714,0.574634249357673,0.5808738909327769,6.688730219428865e-05,0.00011862973539417121,0.00012290073327945734,0.00015914728591659433,-0.0007311880785914576,-0.00027112636749684335,1.0,0.4681074543586566,0.084375,0.10625000000000001,0.23356477129405087,,,0.10769985819814039,,,,,,,,
31,dirichlet_0.15,11,0.5749287604056644,0.5746338530696361,0.5808736542748716,6.649101415737675e-05,0.0001223171946925561,0.00012671795037701993,0.00015857250853346105,-0.0007315843666283694,-0.0002699113800529784,1.0,0.3067190318339907,,0.3061321492225895,0.00036065743674629854,,0.0004396743172265836,0.004453081468975007,0.01582484624089254,0.00022376966361773386,,0.2384762907936837,0.09381134558917366,0.024606045880827168,,0.008941419267893918
32,dirichlet_0.3,12,0.5749310215227605,0.5746351132239327,0.5808729680752421,6.775116845402278e-05,0.00011996341330389182,0.000125572184619227,0.00018099004922045303,-0.0007303242123317235,-0.00026279407923044393,1.0,0.3669579619073636,,0.2980507653854757,0.14517162177002277,,0.00013330126343070848,0.0003459272045230831,0.010205597278859573,,0.0036442370493117364,0.0040737811520046635,0.10570935494169927,0.007320306407900118,0.007640410039393507,0.050706593250001986
33,dirichlet_0.3,14,0.5749340111507859,0.5746343722381344,0.5808718105469388,6.701018265568581e-05,0.00012480878772276328,0.0001291789260950804,0.00017030056187039566,-0.0007310651981300604,-0.00028505363112989456,1.0,0.2895023875383124,0.003152959090699071,0.001990206923414112,0.0891178410851271,0.031363341284505124,0.035528839173084165,0.00010256632751725956,,0.18744783479244645,0.0018453530801251135,0.134101595446037,0.02027734406679159,0.011829062697745318,0.16566130194906892,0.0280744997098184
34,sparse5,5,0.5749340741403787,0.5746333043332555,0.5808712233541989,6.594227777685557e-05,0.0001272169975942372,0.00013233972740412379,0.00017166644248267637,-0.0007321331030088905,-0.0002781670444142126,1.0,0.10010578198285049,,0.21991764927547156,0.21052311870886184,,0.3014104214890587,,,0.16804302854375747,,,,,,
35,dirichlet_0.3,15,0.5749346531721815,0.5746342619234418,0.5808719799188998,6.689986796312935e-05,0.00012452981097058614,0.00013182263405213667,0.00018212086659685767,-0.000731175512822617,-0.000279660375405355,1.0,0.27584530563381066,0.13833741711860484,0.03537144464289332,0.09212776060580152,0.060932369281142366,0.0019189190725839348,0.0023032106821290243,0.08091382730672594,0.12925887333197425,0.0008088212031693158,0.07469013223977812,0.00022348803580704487,0.10072318421455334,0.0005109940230812163,0.006034252607944856
36,dirichlet_0.7,15,0.5749347168720154,0.5746329166630032,0.5808720441107907,6.555460752450685e-05,0.00012838541698946272,0.00013326221695788564,0.0001798004546860188,-0.0007325207732612394,-0.00028774867136724944,1.0,0.18057506178587557,0.17692207097588974,0.040236819179978074,0.1239193633102872,0.06856679798775599,0.08938890510882624,0.0029542698583598947,0.013381671821757025,0.16152464305106273,0.11102546921762439,0.007045849702764705,0.0002899159317032604,0.0004369436251770336,0.0005125383770525222,0.023219680065885387
37,dirichlet_0.3,14,0.5749349050083643,0.5746337252004421,0.5808696270084707,6.636314496333813e-05,0.0001262159269632468,0.00013239757231225943,0.00018276395908434218,-0.0007317122358224082,-0.0002843126534258666,1.0,0.3126430897519174,0.08315289178115602,0.12267763422926635,0.0645356768465134,0.053278481300798514,0.018975644812383296,0.004407043453251678,0.06722758322735493,0.003719009332988059,0.0006548258851844511,0.08423861203235501,0.1743673742049054,0.0008759903469232153,,0.009238777004129065
38,dirichlet_0.15,11,0.5749351823571586,0.5746353928760634,0.5808709962447585,6.803082058465231e-05,0.00012339842948930758,0.0001276642698593788,0.00016826685943449604,-0.0007300445602010939,-0.0002842175344271891,1.0,0.3584631000044832,0.010512637382214918,,0.2410095072291786,0.006804277824654835,,,0.12717626540885354,0.08383943252383913,0.006269818484294209,0.008367096785012369,0.13707612293507024,,0.01849078857195787,0.001932347677496414
39,dirichlet_0.3,15,0.5749353381229715,0.5746351082996315,0.5808728700033979,6.774624415281794e-05,0.0001227990139894497,0.0001302490393363775,0.0001875212242148372,-0.0007303291366329283,-0.0002614435696881245,1.0,0.32444358191213823,0.09508046824695926,0.258025860853987,0.12224581157678066,0.002763200100282609,0.010679581669805033,0.006123310975807993,0.017435289731023637,0.05757818285954601,0.00016089953090507665,0.00027218145044891875,0.020026198213414104,0.020231577349400388,0.0013217099875764545,0.06361214554192464
40,dirichlet_0.7,15,0.5749366267433307,0.5746357540148217,0.5808794384190523,6.839195934305034e-05,0.00012201463639202049,0.00013000600896779233,0.00019145342377646646,-0.0007296834214426959,-0.00026678395269768006,1.0,0.2961796569669364,0.18866561292248013,0.00014107677004126262,0.15568887117029243,0.05862991085543016,0.03882083096804777,0.014861824921889437,0.021433846940114427,0.09683075143177584,0.006110430391229928,0.061765528643530125,0.03896397685069503,0.0038101454446353533,0.009230091397359036,0.008867444325542744
41,sparse5,5,0.5749369463887568,0.5746347104347411,0.5808732688808813,6.734837926239325e-05,0.00012623371361998316,0.00013129702115642346,0.00016962453163937852,-0.0007307270015233529,-0.0002803561466669824,1.0,0.37483995825462135,,,0.24845088440612845,0.09598484647342513,,,0.17473905626637673,,,,,,0.1059852545994484,
