variant,source,axis_set,method,alpha,removed_l2,source_poscos_before,removed_component_count,file,basename,changed_rows_vs_e247,changed_cells_vs_e247,move_l1,move_l2,source_move_l2,delta_l2_vs_source,delta_cos_vs_source,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4
span_broad_residual_a0.75,e351,broad_residual,span,0.75,0.011693410818987122,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a0_75_fe4f96dd.csv,submission_e353_publictangent_span_broad_residual_a0_75_fe4f96dd.csv,250,1750,4.900389936645432,0.4436703580455524,0.44386732465602213,0.011693410818987122,0.9996529311865127,2.2757257211504323,1.0388123887686396,0.2971231784170388,1.143391713811047,0.040360417993284964,0.0557468387121116,0.0492296777928783
span_broad_residual_a1.00,e351,broad_residual,span,1.0,0.015591214425316169,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_broad_residual_a1_00_52c0bdbb.csv,submission_e353_publictangent_span_broad_residual_a1_00_52c0bdbb.csv,250,1750,4.997336247069118,0.4436731751380447,0.44386732465602213,0.015591214425316169,0.9993829132847046,2.2901487882924405,1.0417977975267494,0.31968977487628103,1.1522736743055109,0.05381389065771329,0.07397275101991797,0.06563957039050439
span_e95_e101_e176_a0.01,e351,e95_e101_e176,span,0.01,0.003052724665612459,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_01_d580b87a.csv,submission_e353_publictangent_span_e95_e101_e176_a0_01_d580b87a.csv,250,1026,4.678869525476859,0.4439092412844352,0.44386732465602213,0.003052724665612459,0.9999763562681332,2.2419793460768096,1.0298561624943101,0.25182027266737905,1.1240588133850626,0.0014426749205783775,0.009966285936155684,0.019745969996562446
span_e95_e101_e176_a0.02,e351,e95_e101_e176,span,0.02,0.006105449331224918,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_02_b85ca763.csv,submission_e353_publictangent_span_e95_e101_e176_a0_02_b85ca763.csv,250,1026,4.725283417916007,0.4439721447950528,0.44386732465602213,0.006105449331224919,0.9999054485177845,2.243516963265895,1.0298561624943101,0.2742171562954454,1.1240588133850626,0.002885349841156755,0.011257032641011291,0.03949193999312489
span_e95_e101_e176_a0.05,e351,e95_e101_e176,span,0.05,0.015263623328062298,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_05_39d18533.csv,submission_e353_publictangent_span_e95_e101_e176_a0_05_39d18533.csv,250,1026,4.866213750615886,0.4442866726080325,0.44386732465602213,0.015263623328062297,0.9994097433448175,2.2491867278877877,1.0298561624943101,0.34140780717964425,1.1240588133850626,0.007213374602891888,0.015761015083377475,0.09872984998281223
span_e95_e101_e176_a0.10,e351,e95_e101_e176,span,0.1,0.030527246656124597,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_10_75f7db62.csv,submission_e353_publictangent_span_e95_e101_e176_a0_10_75f7db62.csv,250,1026,5.10166741662059,0.4452292099707088,0.44386732465602213,0.030527246656124597,0.9976468845308543,2.2589158032287586,1.0298561624943101,0.4533922253199756,1.1240588133850626,0.014426749205783776,0.023557963021074622,0.19745969996562446
span_e95_e101_e176_a0.25,e351,e95_e101_e176,span,0.25,0.07631811664031148,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_25_70786b16.csv,submission_e353_publictangent_span_e95_e101_e176_a0_25_70786b16.csv,250,1026,5.809768735660121,0.4511540686267013,0.44386732465602213,0.07631811664031148,0.9855898007148735,2.2887968510299874,1.0298561624943101,0.7893454797409697,1.1240588133850626,0.03606687301445944,0.04799530608127088,0.4936492499140611
span_e95_e101_e176_a0.50,e351,e95_e101_e176,span,0.5,0.15263623328062295,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_50_2f45edaf.csv,submission_e353_publictangent_span_e95_e101_e176_a0_50_2f45edaf.csv,250,1026,6.990858022461701,0.47086165190489493,0.44386732465602213,0.15263623328062295,0.9460069018594394,2.339276963974061,1.0298561624943101,1.3492675704426265,1.1240588133850626,0.07213374602891888,0.08896626630859955,0.9872984998281222
span_e95_e101_e176_a0.75,e351,e95_e101_e176,span,0.75,0.22895434992093447,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a0_75_19bd9ee6.csv,submission_e353_publictangent_span_e95_e101_e176_a0_75_19bd9ee6.csv,250,1026,8.172073925213162,0.5015279719874405,0.44386732465602213,0.22895434992093447,0.8897288314511291,2.3898836928680165,1.0298561624943101,1.9091896611442833,1.1240588133850626,0.10820061904337831,0.1299372265359282,1.4809477497421832
span_e95_e101_e176_a1.00,e351,e95_e101_e176,span,1.0,0.3052724665612459,0.0,1,analysis_outputs/submission_e353_publictangent_span_e95_e101_e176_a1_00_28c46b23.csv,submission_e353_publictangent_span_e95_e101_e176_a1_00_28c46b23.csv,250,1026,9.35335074346603,0.5412936615111171,0.44386732465602213,0.3052724665612459,0.8258168387599567,2.4405513372633796,1.0298561624943103,2.46911175184594,1.1240588133850624,0.14426749205783776,0.17090818676325686,1.9745969996562445
span_mild_existing_a0.01,e351,mild_existing,span,0.01,0.0036690283223865788,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_01_10e5bf8f.csv,submission_e353_publictangent_span_mild_existing_a0_01_10e5bf8f.csv,250,1482,4.6908196768853765,0.4439179841721284,0.44386732465602213,0.0036690283223865788,0.9999658466416751,2.242405804745129,1.0300345708030068,0.2562701789814772,1.124347538734503,0.003475184439457765,0.01032510684064716,0.023961292341156258
span_mild_existing_a0.02,e351,mild_existing,span,0.02,0.0073380566447731575,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_02_71455dd9.csv,submission_e353_publictangent_span_mild_existing_a0_02_71455dd9.csv,250,1482,4.750118815872342,0.4439989583132585,0.44386732465602213,0.007338056644773157,0.9998634293980894,2.244655225251486,1.0302129791117036,0.28311696892364163,1.124648094718555,0.00695036887891553,0.012612594305727347,0.047922584682312516
span_mild_existing_a0.05,e351,mild_existing,span,0.05,0.018345141611932896,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_05_86c8f151.csv,submission_e353_publictangent_span_mild_existing_a0_05_86c8f151.csv,250,1482,4.930363594688087,0.4444235717698395,0.44386732465602213,0.018345141611932896,0.9991477590135921,2.2522682993585597,1.0307482040377935,0.36365733875013484,1.1258941761540435,0.017375922197288826,0.020613192484486235,0.11980646170578133
span_mild_existing_a0.10,e351,mild_existing,span,0.1,0.03669028322386579,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_10_f6370953.csv,submission_e353_publictangent_span_mild_existing_a0_10_f6370953.csv,250,1482,5.233313607897698,0.4457347965254143,0.44386732465602213,0.03669028322386579,0.9966067499779607,2.2654905640649767,1.031640245581277,0.49789128846095676,1.1287384604550206,0.03475184439457765,0.03518828152932772,0.23961292341156265
span_mild_existing_a0.25,e351,mild_existing,span,0.25,0.09172570805966448,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_25_da2f8b1b.csv,submission_e353_publictangent_span_mild_existing_a0_25_da2f8b1b.csv,250,1482,6.151847651702212,0.45411411842109406,0.44386732465602213,0.09172570805966448,0.9793898984148154,2.3080690017941654,1.0343163702117275,0.9005931375934226,1.1431922828714156,0.08687961098644412,0.07976493971613066,0.5990323085289065
span_mild_existing_a0.50,e351,mild_existing,span,0.5,0.18345141611932897,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_50_ff5ff87c.csv,submission_e353_publictangent_span_mild_existing_a0_50_ff5ff87c.csv,250,1482,7.6920611488274995,0.4819214399044038,0.44386732465602213,0.18345141611932897,0.924719672257609,2.3823290489336513,1.0388022627858904,1.5717628861475323,1.1731347818259996,0.17375922197288823,0.15420833010372426,1.198064617057813
span_mild_existing_a0.75,e351,mild_existing,span,0.75,0.2751771241789934,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a0_75_de3eda35.csv,submission_e353_publictangent_span_mild_existing_a0_75_de3eda35.csv,250,1482,9.234858400285377,0.5245036958571347,0.44386732465602213,0.2751771241789934,0.8513375504165911,2.4572890419274294,1.0438557004317526,2.242932634701642,1.204393544187183,0.2606388329593323,0.22865172049131782,1.7970969255867195
span_mild_existing_a1.00,e351,mild_existing,span,1.0,0.36690283223865794,0.0,3,analysis_outputs/submission_e353_publictangent_span_mild_existing_a1_00_c1664e30.csv,submission_e353_publictangent_span_mild_existing_a1_00_c1664e30.csv,250,1482,10.777964026989295,0.5786079767287584,0.44386732465602213,0.36690283223865794,0.773264741005031,2.532320202596956,1.0489091380776145,2.9141023832557518,1.235889514118658,0.34751844394577647,0.3030951108789114,2.396129234115626
span_severe_existing_a0.01,e351,severe_existing,span,0.01,0.00015696126418322025,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_01_af070959.csv,submission_e353_publictangent_span_severe_existing_a0_01_af070959.csv,250,1750,4.6361137284005025,0.44386264155347976,0.44386732465602213,0.0001569612641832201,0.9999999375307295,2.2411495440095077,1.0299763823873842,0.23033212684816506,1.124178463784291,0.0005417599987937421,0.009274638836024463,0.0006608125363350655
span_severe_existing_a0.02,e351,severe_existing,span,0.02,0.0003139225283664405,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_02_61fc61c3.csv,submission_e353_publictangent_span_severe_existing_a0_02_61fc61c3.csv,250,1750,4.638768147673478,0.443858013907655,0.44386732465602213,0.00031392252836644137,0.9999997501176838,2.2412914766292555,1.0300966022804583,0.23124086465701815,1.1242981141835198,0.0010835199975874842,0.009435944852968555,0.001321625072670131
span_severe_existing_a0.05,e351,severe_existing,span,0.05,0.0007848063209161012,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_05_b4532c9c.csv,submission_e353_publictangent_span_severe_existing_a0_05_b4532c9c.csv,250,1750,4.6472132037698195,0.44384446372772873,0.44386732465602213,0.0007848063209161017,0.9999984381391406,2.2419091060499365,1.0304572619596803,0.23396707808357753,1.1246570653812054,0.0027087999939687107,0.010209829619775367,0.0033040626816753277
span_severe_existing_a0.10,e351,severe_existing,span,0.1,0.0015696126418322024,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_10_76bc095c.csv,submission_e353_publictangent_span_severe_existing_a0_10_76bc095c.csv,250,1750,4.662576096853198,0.44382298938669057,0.44386732465602213,0.0015696126418322021,0.9999937519373426,2.2433417766151207,1.0310583614250508,0.23851076712784317,1.125255317377348,0.0054175999879374215,0.012384148956547502,0.006608125363350655
span_severe_existing_a0.25,e351,severe_existing,span,0.25,0.003924031604580505,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_25_4da22451.csv,submission_e353_publictangent_span_severe_existing_a0_25_4da22451.csv,250,1750,4.7137787982648565,0.44376688783507096,0.44386732465602213,0.003924031604580506,0.9999609390933178,2.2492922950849925,1.0328616598211617,0.25214183426063996,1.1281706410505523,0.013543999969843552,0.021248054669289775,0.01652031340837664
span_severe_existing_a0.50,e351,severe_existing,span,0.5,0.00784806320916101,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_50_0a369f54.csv,submission_e353_publictangent_span_severe_existing_a0_50_0a369f54.csv,250,1750,4.806324461678475,0.44370113322868776,0.44386732465602213,0.00784806320916101,0.9998437008982785,2.2620402124735937,1.0358671571480134,0.274860279481968,1.1351801761739977,0.027087999939687104,0.03824800964446226,0.03304062681675328
span_severe_existing_a0.75,e351,severe_existing,span,0.75,0.011772094813741517,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a0_75_50e0708c.csv,submission_e353_publictangent_span_severe_existing_a0_75_50e0708c.csv,250,1750,4.9023387415851545,0.4436700762572191,0.44386732465602213,0.011772094813741517,0.9996482434056635,2.2760151994178237,1.0388726544748648,0.29757872470329605,1.1435672793427862,0.040631999909530654,0.0561119435117234,0.04956094022512991
span_severe_existing_a1.00,e351,severe_existing,span,1.0,0.01569612641832202,0.03001269352875283,1,analysis_outputs/submission_e353_publictangent_span_severe_existing_a1_00_16c2a9ed.csv,submission_e353_publictangent_span_severe_existing_a1_00_16c2a9ed.csv,250,1750,4.999955303033648,0.4436737242071238,0.44386732465602213,0.01569612641832202,0.9993745796342139,2.290538264586159,1.0418781518017164,0.32029716992462404,1.1525201614042722,0.05417599987937421,0.0744643018039954,0.06608125363350656
canonical_e347,reference,none,none,0.0,0.0,0.0,0,analysis_outputs/submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv,submission_e347_stateful_counteraxis_lifestyle_e344_nullsafe_top5_e131968c_uploadsafe.csv,250,834,4.638905725690548,0.4416701749740641,0.44386732465602213,0.0032839074841785,0.9999848079684378,2.2302075684716782,1.0247325000948053,0.22828197926818733,1.1189028484412362,2.0191604985231315e-10,0.0367808290589347,1.5378992935903557e-10
canonical_e349,reference,none,none,0.0,0.0,0.0,0,analysis_outputs/submission_e349_lifestate_ablate_selected_cell_abs_top65_q1q2q3s1_93c55c92_uploadsafe.csv,submission_e349_lifestate_ablate_selected_cell_abs_top65_q1q2q3s1_93c55c92_uploadsafe.csv,216,356,4.600215422928633,0.44165825907191913,0.44386732465602213,0.0023587947752310746,0.999998255585171,2.2292117377732796,1.0247324999943386,0.22828197914359466,1.1179892060174192,0.0,0.0,0.0
canonical_e350,reference,none,none,0.0,0.0,0.0,0,analysis_outputs/submission_e350_compactplateau_selected_compact_t45_s1_005_s3a1_00_ef54727b_uploadsafe.csv,submission_e350_compactplateau_selected_compact_t45_s1_005_s3a1_00_ef54727b_uploadsafe.csv,220,375,4.64748360534309,0.4438773840908378,0.44386732465602213,0.002520615252884178,0.9999838764743186,2.2362126774621682,1.0298561624943101,0.22942338903931284,1.1202538009475909,0.0,0.0317375753997074,0.0
canonical_e351,reference,none,none,0.0,0.0,0.0,0,analysis_outputs/submission_e351_robustplateau_selected_compact_t75_s1_005_s3a0_25_58e03127_uploadsafe.csv,submission_e351_robustplateau_selected_compact_t75_s1_005_s3a0_25_58e03127_uploadsafe.csv,248,625,4.633521921426946,0.44386732465602213,0.44386732465602213,0.0,1.0,2.241007611389761,1.0298561624943101,0.22942338903931284,1.1240588133850626,0.0,0.009175945118500346,0.0
