story_id,source,mapped_family,split,target,base_loss,state_loss,delta_logloss,state_oof_r2,state_oof_corr,context_cols
heart_stress_late,human_social,physiology_activity,dateblock5,S2,0.5800292810825479,0.5846223176924508,0.004593036609902845,0.08959478217694794,0.3966877665313356,117
single_app_monotony,human_social,routine_calendar,dateblock5,S3,0.5337854556868376,0.5383986583875338,0.004613202700696206,0.5636991770596237,0.7530376097513694,117
commute_workday,human_social,mobility_context,dateblock5,S3,0.5337854556868376,0.5385527680551694,0.004767312368331833,0.4998603543288721,0.7126466716757597,117
vehicle_noise_day,human_social,mobility_context,dateblock5,Q3,0.6811935568856443,0.6862637627000178,0.005070205814373452,0.6168286901279783,0.7873270994530149,117
heart_stress_late,human_social,physiology_activity,dateblock5,S3,0.5337854556868376,0.5392610037895418,0.005475548102704231,0.08959478217694794,0.3966877665313356,117
bright_light_late,human_social,bedtime_phone,dateblock5,Q3,0.6811935568856443,0.686934998640252,0.005741441754607668,0.10526633188386414,0.37483144832329335,117
bright_light_late,human_social,bedtime_phone,dateblock5,Q2,0.7039531870021892,0.7098034349169652,0.005850247914775952,0.10526633188386414,0.37483144832329335,117
app_entropy_scattered_day,human_social,routine_calendar,dateblock5,S3,0.5337854556868376,0.5397634779686176,0.0059780222817800155,0.7283466143311701,0.8534825404452421,117
heart_stress_late,human_social,physiology_activity,subject5,S1,0.6621792348492731,0.6681738931035733,0.005994658254300234,-0.5482125383571812,0.28002593600440295,117
commute_workday,human_social,mobility_context,subject5,Q1,0.7086849472657867,0.7147613885683838,0.006076441302597102,0.19924570610768388,0.5841203146795481,117
vehicle_noise_day,human_social,mobility_context,subject5,Q1,0.7086849472657867,0.71489012380117,0.006205176535383328,0.39792264928503485,0.7089112970958625,117
vehicle_noise_day,human_social,mobility_context,subject5,Q3,0.694562290161845,0.7010921533001864,0.006529863138341363,0.39792264928503485,0.7089112970958625,117
bright_light_late,human_social,bedtime_phone,subject5,Q3,0.694562290161845,0.7012007922196449,0.006638502057799922,-0.704670640656403,0.2291998789565964,117
vehicle_noise_day,human_social,mobility_context,subject5,S3,0.6363938446306157,0.6433337804339332,0.006939935803317532,0.39792264928503485,0.7089112970958625,117
commute_workday,human_social,mobility_context,subject5,Q3,0.694562290161845,0.7015982918508334,0.007036001688988436,0.19924570610768388,0.5841203146795481,117
