name,file,role,view,predicted_delta_vs_mixmin,predicted_public_lb,neighbor_indices,view_strict_gate,view_loose_gate
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,targetprior_anchor_residual,0.003494645700000005,0.5798012862,"6,3,2",False,False
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,targetprior_anchor_residual,0.003940178699999953,0.5802468192,"7,4,3",False,False
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,targetprior_anchor_residual,0.004920687299999942,0.5812273278,"8,6,7",False,False
mixmin,analysis_outputs/submission_mixmin_0c916bb4.csv,active_frontier,targetprior_anchor_shape,9.416991295901189e-18,0.5763066405,"0,3,2",False,False
blend_m0p50_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p50_s0p50.csv,raw-structure bridge,targetprior_anchor_shape,0.0009085614837949121,0.577215201983795,"0,2,3",False,False
blend_m0p25_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_blend_m0p25_s0p50.csv,raw-structure bridge,targetprior_anchor_shape,0.000994491104273355,0.5773011316042734,"2,3,0",False,False
inverse7blend_1040,analysis_outputs/submission_inverse7blend_1040423d.csv,raw-structure bridge,targetprior_anchor_shape,0.0010087190922286298,0.5773153595922287,"2,3,0",False,False
inv7_s1p00,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s1p00.csv,raw-structure bridge,targetprior_anchor_shape,0.0010087190922286335,0.5773153595922287,"2,3,0",False,False
inv7_s0p50,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p50.csv,raw-structure bridge,targetprior_anchor_shape,0.0010737926755779719,0.577380433175578,"2,3,0",False,False
a2c8,analysis_outputs/submission_frontier_cvjepa_refine_a2c8d2c8.csv,previous_frontier,targetprior_anchor_shape,0.0011326804999999304,0.577439321,"1,2,3",False,False
raw05,jepa/submission_raw_timeline_jepa_rescue_strict_scale0p5.csv,raw05_positive_anchor,targetprior_anchor_shape,0.0012196666999999628,0.5775263072,"2,3,1",False,False
pair_sensor_1bb_s0p65,analysis_outputs/submission_label_flow_sensorcurve_conservative_1bb_full_s0p65_0ee928c4.csv,S4/Q3 selector disambiguation,targetprior_anchor_shape,0.0013282216758133472,0.5776348621758134,"1,3,2",False,False
pair_sensor_1bb,analysis_outputs/submission_label_flow_focused_1bbfb735.csv,S4/Q3 selector disambiguation,targetprior_anchor_shape,0.001329977461586603,0.5776366179615866,"1,3,2",False,False
pair_sensor_6b,analysis_outputs/submission_label_flow_focused_6b9335b1.csv,S4/Q3 selector disambiguation,targetprior_anchor_shape,0.001331288602448368,0.5776379291024484,"3,1,2",False,False
inv7_s0p25,analysis_outputs/bridge_scan_candidates/submission_bridge_inv7_s0p25.csv,raw-structure bridge,targetprior_anchor_shape,0.001348119945242724,0.5776547604452428,"2,3,1",False,False
stage2,analysis_outputs/submission_hybrid_0p567_foldsafe_stage2_q1_q3_s1_s2_s3_s4.csv,stage2_local_cv_anchor,targetprior_anchor_shape,0.0016383351999999963,0.5779449757,"3,2,1",False,False
ordinal,analysis_outputs/submission_ordinal_q_constraints_ambnext_Q2Q3_nearest_w0.75.csv,ordinal_constraint_anchor,targetprior_anchor_shape,0.0019967247000000038,0.5783033652,"4,3,2",False,False
final9,analysis_outputs/submission_hybrid_0p578_logit_after_subject_final9_strict.csv,subject_logit_anchor,targetprior_anchor_shape,0.0021207122999999926,0.5784273528,"5,4,3",False,False
q2_jepa_bad,jepa/submission_jepa_latent_q2_w0p45.csv,bad_q2_jepa_anchor,targetprior_anchor_shape,0.003494645700000005,0.5798012862,"6,3,2",False,False
lejepa_bad,jepa/submission_lejepa_targetwise_strict_best_scale0p5.csv,bad_lejepa_anchor,targetprior_anchor_shape,0.003940178699999961,0.5802468192,"7,4,8",False,False
jepa_residual_bad,jepa/submission_jepa_latent_residual_probe.csv,bad_all_target_jepa_anchor,targetprior_anchor_shape,0.004920687299999943,0.5812273278,"8,6,7",False,False
