pool,base_agg,delta_agg,gate,n,pool_size,strict_consensus_gate,loose_consensus_gate,all_margin_vs_mixmin,best_all_delta_vs_mixmin,best_all_minus_base,best_worst_set_delta,best_sets_beating_base,best_sets_tail_neutral,best_hidden_q2s3_minus_base,best_world_support_minus_base,best_block_win_rate
high_block,median,median,agree60_top50,7,65,0,2,0,-8.94222624547858e-06,-4.365091226254947e-06,5.3524393802684145e-06,3,3,-0.00035785686381244186,-0.00028768081947980195,0.5833333333333334
translator_tail_soft_max_m1.00,median,mean,agree75,7,44,0,2,0,-8.93068855922774e-06,-4.263397037851391e-06,6.547908092735533e-06,3,3,-0.00035109501065590937,-0.00030796279784181535,0.6111111111111112
translator_tail_p90_nonpos_m0.50,median,mean,none,7,17,0,2,0,-8.915625586913833e-06,-4.565430125724745e-06,1.9192347477936522e-06,3,3,-0.0003058313677237537,-0.0003248949861469619,0.75
translator_tail_p90_nonpos_m0.50,median,weighted_mean,none,7,17,0,2,0,-8.910846453935584e-06,-4.5606509927464955e-06,1.6083029502622637e-06,3,3,-0.0003158800289777275,-0.0003412102972992605,0.75
top50_heldout,median,signed_p75,none,7,50,0,2,0,-8.90617394877502e-06,-4.280746077278685e-06,4.834567803535528e-06,3,3,-0.000503041007735662,-0.0005074537118321121,0.7222222222222222
translator_tail_soft_p90_m0.50,median,signed_p75,none,7,19,0,2,0,-8.897621763148678e-06,-4.7029767322737115e-06,1.1447444966949938e-05,3,3,-0.0006074074510185809,-0.0006193371458817656,0.8888888888888888
translator_tail_soft_max_m1.00,median,mean,agree60_top50,7,44,0,2,0,-8.885087411147907e-06,-4.217795889771558e-06,6.660661644897203e-06,3,3,-0.000348977591010137,-0.00030920504970747284,0.6111111111111112
translator_tail_soft_p90_m1.00,mean,signed_p75,agree60,7,34,0,2,0,-8.876574385086045e-06,-3.979399319731236e-06,6.020893944524985e-06,3,3,-0.0003220588489944165,-0.00032123682949303234,0.6666666666666666
heldout_inverse_top,mean,weighted_mean,none,7,104,0,2,0,-8.858686164625595e-06,-3.9653918358917295e-06,1.003223491946592e-06,3,3,-0.00018840984860112736,-0.00021351859677809504,0.7777777777777778
all,mean,median,agree60,7,155,0,2,0,-8.855124748241572e-06,-3.9974145200627476e-06,4.24700934686939e-06,3,3,-0.0003427229253762168,-0.0003395591045898649,0.5833333333333334
translator_tail_soft_p90_m0.50,median,signed_p75,agree60,7,19,0,2,0,-8.834962578641026e-06,-4.64031754776606e-06,9.381794945140243e-06,3,3,-0.0003818903455838421,-0.00039675420108658535,0.6944444444444444
high_block,mean,mean,agree75,7,65,0,2,0,-8.82007347224878e-06,-4.09228163733566e-06,7.308126473315468e-06,3,3,-0.00041243931877197465,-0.00038210424540450214,0.6111111111111112
translator_tail_soft_p90_m1.00,median,median,none,7,34,0,2,0,-8.80811415715499e-06,-4.199611482902377e-06,3.452013107252405e-06,3,3,-0.00042946111156375727,-0.00046062122088174067,0.7222222222222222
translator_tail_soft_p90_m1.00,mean,signed_p75,agree60_top50,7,34,0,2,0,-8.780821843856756e-06,-3.883646778501948e-06,5.5753729313323674e-06,3,3,-0.0002915981749216298,-0.00028575531062639,0.6388888888888888
high_block,mean,median,agree75,7,65,0,2,0,-8.769756448478994e-06,-4.041964613565874e-06,7.5835346874386644e-06,3,3,-0.00040749601857126283,-0.00035594963279049203,0.6111111111111112
heldout_inverse_top,mean,signed_p75,none,7,104,0,2,0,-8.749519235129455e-06,-3.856224906395589e-06,1.386717929485748e-06,3,3,-0.00020494562968771668,-0.00023540307802406,0.7777777777777778
translator_tail_p90_nonpos_m1.00,mean,weighted_mean,none,7,41,0,2,0,-8.736160438282958e-06,-4.14408129489896e-06,-3.359827800419879e-07,3,3,-0.0002601263262743195,-0.0002850851165703771,0.75
translator_tail_p90_nonpos_m1.00,median,weighted_mean,none,7,41,0,2,0,-8.703228432049848e-06,-4.133788709226316e-06,-1.0324700748798321e-06,3,3,-0.0002601263262743056,-0.0002852048324133271,0.75
all,median,median,agree60,7,155,0,2,0,-8.695957532722787e-06,-4.086515025258919e-06,4.037631628261984e-06,3,3,-0.0003427229253762168,-0.00033942141648001813,0.5833333333333334
high_block,median,mean,agree75,7,65,0,2,0,-8.69392364977184e-06,-4.116788630548207e-06,6.2410519720002e-06,3,3,-0.00041243931877193996,-0.0003833241607563709,0.6111111111111112
translator_tail_soft_p90_m0.50,median,weighted_mean,agree60_top50,7,19,0,2,0,-8.68492766536999e-06,-4.490282634495024e-06,9.40914401137416e-06,3,3,-0.0005353322629610691,-0.0005384004919639809,0.6388888888888888
translator_tail_soft_p90_m1.00,mean,median,agree75,7,34,0,2,0,-8.673386264090865e-06,-3.776211198736057e-06,4.9332116447420304e-06,3,3,-0.000376754869127624,-0.00039296219954597107,0.6111111111111112
all,mean,weighted_mean,agree60,7,155,0,2,0,-8.66539094490637e-06,-3.807680716727546e-06,3.6341569318310007e-06,3,3,-0.0002969183411757684,-0.0003100965722208082,0.5833333333333334
translator_tail_soft_p90_m1.00,median,signed_p75,agree60,7,34,0,2,0,-8.655240051114177e-06,-4.0467373768615644e-06,5.277965245520377e-06,3,3,-0.0003220588489944026,-0.00032207830662128734,0.6666666666666666
translator_tail_soft_p90_m0.50,median,signed_p75,agree60_top50,7,19,0,2,0,-8.654768832494497e-06,-4.460123801619531e-06,8.78837955586853e-06,3,3,-0.00033752689497777016,-0.0003268588239220384,0.6388888888888888
translator_tail_soft_p90_m0.50,mean,signed_p75,agree75,7,19,0,2,0,-8.65466894084399e-06,-3.936920638270003e-06,8.092777143753338e-06,3,3,-0.00033382872761528876,-0.0003213391174112458,0.6111111111111112
high_block,median,median,agree75,7,65,0,2,0,-8.650022564893334e-06,-4.072887545669701e-06,6.509588691971935e-06,3,3,-0.000407496018571242,-0.000357169548142433,0.6111111111111112
translator_tail_soft_p90_m0.50,median,median,agree60,7,19,0,2,0,-8.638933733040588e-06,-4.444288702165622e-06,8.605378293391475e-06,3,3,-0.00048534179327847093,-0.0005026330764682564,0.6944444444444444
translator_tail_soft_p90_m0.50,median,median,none,7,19,0,2,0,-8.614065707845953e-06,-4.4194206769709865e-06,8.586570534263593e-06,3,3,-0.0004898926450564445,-0.0005113671466538184,0.7222222222222222
translator_tail_soft_p90_m1.00,mean,mean,agree75,7,34,0,2,0,-8.607103138880134e-06,-3.709928073525326e-06,5.816255355006739e-06,3,3,-0.00042630113553156906,-0.00043076295936662077,0.6111111111111112
translator_tail_soft_p90_m0.50,median,mean,agree60,7,19,0,2,0,-8.60179340977929e-06,-4.407148378904324e-06,9.174706922077114e-06,3,3,-0.0005355338341279867,-0.0005720260260824507,0.6944444444444444
translator_tail_p90_nonpos_m1.00,mean,mean,none,7,41,0,2,0,-8.590157689503108e-06,-3.99807854611911e-06,-1.1532773946942854e-07,3,3,-0.0002407403376227732,-0.0002612329357956299,0.75
all,mean,weighted_mean,agree60_top50,7,155,0,2,0,-8.589223760124831e-06,-3.731513531946007e-06,3.4906194044115324e-06,3,3,-0.0002909329749721454,-0.00030340311334119954,0.5833333333333334
translator_tail_soft_p90_m0.50,median,mean,agree60_top50,7,19,0,2,0,-8.568939797171105e-06,-4.3742947662961384e-06,9.084349451904394e-06,3,3,-0.000515656769290454,-0.0005519145249438086,0.6666666666666666
translator_tail_soft_p90_m1.00,median,signed_p75,agree60_top50,7,34,0,2,0,-8.541107180515262e-06,-3.932604506262649e-06,4.8889635705373635e-06,3,3,-0.0002915981749216298,-0.0002871762166666181,0.6388888888888888
all,median,weighted_mean,agree60,7,155,0,2,0,-8.517921604389578e-06,-3.90847909692571e-06,3.4264008333950713e-06,3,3,-0.0002969183411757406,-0.00030896166436930063,0.5833333333333334
translator_tail_soft_max_m1.00,mean,weighted_mean,agree60,7,44,0,2,0,-8.490722267384676e-06,-3.61944893845223e-06,7.459631283568413e-06,3,3,-0.00044570847097229194,-0.00039058990620618474,0.6111111111111112
all,mean,signed_p75,agree60,7,155,0,2,0,-8.487908037646541e-06,-3.6301978094677168e-06,3.6548392218227477e-06,3,3,-0.0003258087994871123,-0.00034836636434297237,0.5833333333333334
translator_tail_soft_max_m1.00,mean,weighted_mean,agree75,7,44,0,2,0,-8.480267086108384e-06,-3.608993757175938e-06,7.474102216242784e-06,3,3,-0.0004445848862750096,-0.0003878164304618682,0.6111111111111112
all,median,mean,agree60_top50,7,155,0,2,0,-8.444388964523597e-06,-3.834946457059729e-06,3.74515985479551e-06,3,3,-0.00023391664836246162,-0.0002396023911926449,0.5833333333333334
translator_tail_soft_p90_m1.00,mean,mean,agree60,7,34,0,2,0,-8.44260183763268e-06,-3.545426772277871e-06,5.805401481318029e-06,3,3,-0.00047849122616428624,-0.000502068042287418,0.6666666666666666
all,median,weighted_mean,agree60_top50,7,155,0,2,0,-8.441661520364185e-06,-3.8322190129003175e-06,3.282871138376997e-06,3,3,-0.0002909329749721315,-0.0003024785298278655,0.5833333333333334
translator_tail_soft_p90_m1.00,median,median,agree75,7,34,0,2,0,-8.42753365559723e-06,-3.819030981344618e-06,4.311913017196467e-06,3,3,-0.00037675486912761014,-0.00039335923060510036,0.6111111111111112
translator_tail_soft_p90_m1.00,median,weighted_mean,agree60,7,34,0,2,0,-8.416115590770268e-06,-3.8076129165176553e-06,5.3375203092898005e-06,3,3,-0.000516836325065162,-0.0005234864991754962,0.6666666666666666
translator_tail_soft_p90_m1.00,mean,mean,agree60_top50,7,34,0,2,0,-8.40821421155269e-06,-3.5110391461978807e-06,5.701849395634007e-06,3,3,-0.00046069514081083923,-0.00048460424230721837,0.6388888888888888
translator_tail_soft_p90_m1.00,median,weighted_mean,agree75,7,34,0,2,0,-8.401922849787802e-06,-3.7934201755351893e-06,5.381982105423511e-06,3,3,-0.0004669673380428632,-0.00045714168419472853,0.6111111111111112
translator_tail_soft_p90_m1.00,median,weighted_mean,agree60_top50,7,34,0,2,0,-8.377550752447505e-06,-3.769048078194892e-06,5.217181908157009e-06,3,3,-0.0004859195503641653,-0.00048723288663030107,0.6388888888888888
translator_tail_soft_max_m1.00,median,signed_p75,agree60,7,44,0,2,0,-8.373815412077157e-06,-3.706523890700808e-06,6.718488205992301e-06,3,3,-0.0004931627811965295,-0.00043540731776021144,0.6111111111111112
translator_tail_soft_max_m1.00,mean,weighted_mean,agree60_top50,7,44,0,2,0,-8.372820422541949e-06,-3.5015470936095028e-06,7.600042055910805e-06,3,3,-0.00044121479009680276,-0.0003840617862211071,0.6111111111111112
translator_tail_soft_max_m1.00,median,signed_p75,agree75,7,44,0,2,0,-8.367866632719156e-06,-3.7005751113428076e-06,6.741522859177174e-06,3,3,-0.0004912106144044914,-0.00043055644253675585,0.6111111111111112
high_block,median,signed_p75,agree75,7,65,0,2,0,-8.367482878801624e-06,-3.7903478595779916e-06,6.240087019215856e-06,3,3,-0.0005278364940707811,-0.0004818338414325329,0.6111111111111112
high_block,mean,weighted_mean,agree75,7,65,0,2,0,-8.346917536816711e-06,-3.6191257019035916e-06,7.486368727493975e-06,3,3,-0.00047203403982223197,-0.00042768662649584894,0.6111111111111112
translator_tail_soft_p90_m1.00,median,mean,agree75,7,34,0,2,0,-8.340700669129397e-06,-3.7321979948767847e-06,5.150663385911081e-06,3,3,-0.000426301135531576,-0.00043115999042576676,0.6111111111111112
all,median,signed_p75,agree60,7,155,0,2,0,-8.320696088359725e-06,-3.711253580895857e-06,3.44706482535706e-06,3,3,-0.0003258087994871123,-0.0003466246665060958,0.5833333333333334
translator_tail_soft_p90_m1.00,mean,median,agree60,7,34,0,2,0,-8.299894760477322e-06,-3.4027196951225136e-06,5.089942891611798e-06,3,3,-0.0004288512220739643,-0.00045986281638680246,0.6666666666666666
translator_tail_soft_max_m1.00,median,weighted_mean,agree60,7,44,0,2,0,-8.277249573973577e-06,-3.6099580525972286e-06,6.803573648350714e-06,3,3,-0.00044570847097227806,-0.00039123873012754666,0.6111111111111112
translator_tail_soft_max_m1.00,median,weighted_mean,agree75,7,44,0,2,0,-8.266181568350461e-06,-3.5988900469741125e-06,6.818048604806393e-06,3,3,-0.0004445848862749957,-0.0003884652543832412,0.6111111111111112
high_block,median,weighted_mean,agree75,7,65,0,2,0,-8.237870482208365e-06,-3.660735462984732e-06,6.4061161414441514e-06,3,3,-0.00047203403982221115,-0.0004289065418478287,0.6111111111111112
translator_tail_soft_p90_m1.00,median,mean,agree60,7,34,0,2,0,-8.200430076654719e-06,-3.5919274024021064e-06,5.119089102167962e-06,3,3,-0.00047849122616428624,-0.0005024650733465087,0.6666666666666666
translator_tail_soft_p90_m0.50,median,signed_p75,agree75,7,19,0,2,0,-8.194492246538232e-06,-3.999847215663266e-06,1.0421092550672029e-05,3,3,-0.0003338287276152471,-0.00032211698547308107,0.6111111111111112
translator_tail_soft_p90_m1.00,median,mean,agree60_top50,7,34,0,2,0,-8.16601496778091e-06,-3.5575122935282977e-06,5.053319872661e-06,3,3,-0.00046069514081086005,-0.00048595893388856943,0.6388888888888888
translator_tail_soft_max_m1.00,median,weighted_mean,agree60_top50,7,44,0,2,0,-8.164623834350238e-06,-3.4973323129738887e-06,6.9435829854747055e-06,3,3,-0.0004412147900967889,-0.0003847507868190603,0.6111111111111112
translator_tail_soft_p90_m0.50,median,weighted_mean,agree75,7,19,0,2,0,-8.13976526958804e-06,-3.9451202387130735e-06,1.0272773423691817e-05,3,3,-0.0005194873041811446,-0.0005056911030552505,0.6111111111111112
translator_tail_soft_p90_m0.50,median,median,agree75,7,19,0,2,0,-8.083595635532959e-06,-3.8889506046579925e-06,9.39119873344385e-06,3,3,-0.00043183201009251715,-0.00044086283119116904,0.6111111111111112
translator_tail_soft_p90_m1.00,median,median,agree60,7,34,0,2,0,-8.071869040837676e-06,-3.4633663665850634e-06,4.4159393932652335e-06,3,3,-0.0004288512220739782,-0.00046043381305073687,0.6666666666666666
translator_tail_soft_p90_m0.50,median,mean,agree75,7,19,0,2,0,-8.048038823815773e-06,-3.853393792940807e-06,9.953207599666669e-06,3,3,-0.0004819375596411754,-0.0004833737639172164,0.6111111111111112
heldout_raw05_compatible,mean,signed_p75,none,7,51,0,1,0,-9.542563123021708e-06,-4.79688698162839e-06,8.211968700710948e-06,3,3,-0.0003012827586921299,-0.0002601592260215446,0.8888888888888888
heldout_raw05_compatible,median,signed_p75,none,7,51,0,1,0,-9.405204015378033e-06,-4.79518059626205e-06,7.658759698436768e-06,3,3,-0.0003012827586920952,-0.0002616350043179506,0.8888888888888888
translator_tail_p90_nonpos_m1.00,mean,signed_p75,none,7,41,0,1,0,-8.978440270368537e-06,-4.386361126984539e-06,-1.0774904647403716e-06,3,3,-0.00014689619647235974,-0.00015318298176004714,0.6388888888888888
translator_tail_p90_nonpos_m1.00,median,signed_p75,none,7,41,0,1,0,-8.92268059149437e-06,-4.353240868670838e-06,-1.744794443814257e-06,3,3,-0.00014689619647235974,-0.00015385929560171596,0.6388888888888888
heldout_inverse_top,mean,median,none,7,104,0,1,0,-8.79529482744612e-06,-3.902000498712255e-06,2.245991108318357e-06,3,3,-0.00018278988809940916,-0.00019609027427464607,0.6388888888888888
high_block,mean,median,none,7,65,0,1,0,-8.76712233677246e-06,-4.0393305018593395e-06,8.62775675347649e-06,3,3,-0.00030890396886148336,-0.0002779767184119264,0.8333333333333334
high_block,median,median,none,7,65,0,1,0,-8.664619306486543e-06,-4.08748428726291e-06,7.561745578810175e-06,3,3,-0.0003089039688614348,-0.0002794776481107263,0.8333333333333334
translator_tail_p90_nonpos_m0.50,mean,signed_p75,none,7,17,0,1,0,-8.656840484011497e-06,-3.96517671386043e-06,2.0830985930642143e-06,3,3,-0.00022124814342018573,-0.0002468849673488982,0.7222222222222222
heldout_inverse_top,median,median,none,7,104,0,1,0,-8.601315437228862e-06,-3.89893457286572e-06,1.956127048896583e-06,3,3,-0.00018278988809942304,-0.00019464411826458639,0.6388888888888888
heldout_raw05_compatible,mean,median,none,7,51,0,1,0,-8.583598688272076e-06,-3.837922546878758e-06,8.293699193862025e-06,3,3,-0.0002052049566575037,-0.0001703348643485648,0.8611111111111112
translator_tail_p90_nonpos_m1.00,median,mean,none,7,41,0,1,0,-8.557112805895883e-06,-3.987673083072352e-06,-7.786038745960511e-07,3,3,-0.0002407403376227732,-0.0002605652074408383,0.75
heldout_inverse_top,median,weighted_mean,none,7,104,0,1,0,-8.549276225400249e-06,-3.846895361037106e-06,6.928461696587007e-07,3,3,-0.0001884098486011343,-0.00021308153914914043,0.7777777777777778
heldout_raw05_compatible,median,median,none,7,51,0,1,0,-8.480599026472468e-06,-3.870575607356486e-06,7.740483433993361e-06,3,3,-0.00020520495665746902,-0.00017149787229573939,0.8611111111111112
heldout_inverse_top,median,signed_p75,none,7,104,0,1,0,-8.465344349284365e-06,-3.7629634849212223e-06,1.0305084786610408e-06,3,3,-0.00020494562968768198,-0.00023522129256692845,0.7777777777777778
translator_tail_soft_max_m1.00,mean,signed_p75,agree60_top50,7,44,0,1,0,-8.29075207708918e-06,-3.4194787481567346e-06,7.545627823679624e-06,3,3,-0.000234523647162109,-0.00019449388189635153,0.6111111111111112
translator_tail_p90_nonpos_m0.50,median,signed_p75,none,7,17,0,1,0,-8.280647887159986e-06,-3.930452425970898e-06,1.7966163348148712e-06,3,3,-0.00022124814342017185,-0.000248228217258012,0.7222222222222222
heldout_raw05_compatible,mean,weighted_mean,agree60,7,51,0,1,0,-8.202011501978745e-06,-3.4563353605854275e-06,8.322361021662061e-06,3,3,-0.00021720706634634906,-0.00020260250153731891,0.8333333333333334
translator_tail_soft_max_m1.00,median,signed_p75,agree60_top50,7,44,0,1,0,-8.116746097464045e-06,-3.449454576087696e-06,6.889606151250227e-06,3,3,-0.000234523647162109,-0.0001945704633757317,0.6111111111111112
heldout_raw05_compatible,median,weighted_mean,agree60,7,51,0,1,0,-8.110575811737242e-06,-3.500552392621259e-06,7.769137507773749e-06,3,3,-0.00021720706634631437,-0.00020456804794473653,0.8333333333333334
translator_tail_p90_nonpos_m1.00,mean,median,none,7,41,0,1,0,-7.991660459394367e-06,-3.3995813160103694e-06,7.283196167273687e-07,3,3,-0.00021012304372353824,-0.0002168336983782381,0.5833333333333334
heldout_raw05_compatible,mean,signed_p75,agree60,7,51,0,1,0,-7.982818795770896e-06,-3.2371426543775783e-06,8.569088435828043e-06,3,3,-0.00026767530429978176,-0.00025291477707506957,0.8333333333333334
heldout_raw05_compatible,mean,weighted_mean,agree60_top50,7,51,0,1,0,-7.977678518233944e-06,-3.232002376840626e-06,7.810455079693135e-06,3,3,-0.0003859448212576583,-0.0003683916268641563,0.6666666666666666
translator_tail_p90_nonpos_m1.00,median,median,none,7,41,0,1,0,-7.974581033520778e-06,-3.405141310697246e-06,4.596068181594859e-08,3,3,-0.00021012304372354518,-0.0002166461273194198,0.5833333333333334
heldout_raw05_compatible,mean,mean,agree60_top50,7,51,0,1,0,-7.9372467071126e-06,-3.1915705657192817e-06,7.84466839065523e-06,3,3,-0.00035587539603705587,-0.0003381801041078159,0.6666666666666666
heldout_raw05_compatible,median,weighted_mean,agree60_top50,7,51,0,1,0,-7.89674484857894e-06,-3.2867214294629576e-06,7.257237567115382e-06,3,3,-0.0003859448212576097,-0.0003705487245426297,0.6666666666666666
heldout_raw05_compatible,median,signed_p75,agree60,7,51,0,1,0,-7.865363204517806e-06,-3.255339785401823e-06,8.01594574839637e-06,3,3,-0.0002676753042997193,-0.0002547953075375364,0.8333333333333334
heldout_raw05_compatible,median,mean,agree60_top50,7,51,0,1,0,-7.851204934183897e-06,-3.2411815150679146e-06,7.291464138026171e-06,3,3,-0.000355875396037042,-0.00034035872087778154,0.6666666666666666
heldout_raw05_compatible,mean,median,agree60_top50,7,51,0,1,0,-7.368464419510445e-06,-2.6227882781171274e-06,7.706766378845487e-06,3,3,-0.0002981784340938126,-0.00026461404037227414,0.5833333333333334
heldout_raw05_compatible,mean,signed_p75,agree60_top50,7,51,0,1,0,-7.345114586110313e-06,-2.599438444716995e-06,7.797299490297505e-06,3,3,-0.0004357671882664338,-0.0004086190979906534,0.6388888888888888
heldout_raw05_compatible,median,median,agree60_top50,7,51,0,1,0,-7.307728004835035e-06,-2.697704585719052e-06,7.165236718287282e-06,3,3,-0.000298178434093771,-0.00026537115394795197,0.5833333333333334
heldout_raw05_compatible,median,signed_p75,agree60_top50,7,51,0,1,0,-7.274261167533602e-06,-2.6642377484176194e-06,7.255770138936413e-06,3,3,-0.00043576718826640604,-0.000410776195669127,0.6388888888888888
translator_tail_soft_p90_m0.50,mean,median,agree60_top50,7,19,0,0,0,-8.852892068755835e-06,-4.135143766181848e-06,5.506397277588171e-06,3,3,-0.00037250026920265106,-0.0003645259004926406,0.5
top50_heldout,mean,signed_p75,agree60_top50,7,50,0,0,0,-8.805772076181384e-06,-4.1277449538412725e-06,4.885927620268404e-06,3,3,-0.000315312775770793,-0.00026170733348600543,0.5277777777777778
top50_heldout,median,signed_p75,agree60_top50,7,50,0,0,0,-8.750289438252956e-06,-4.124861566756621e-06,4.912476074814265e-06,3,3,-0.00031531277577078604,-0.000262273288210424,0.5277777777777778
top100_heldout,mean,weighted_mean,agree75,7,100,0,0,0,-8.683983679591556e-06,-3.895290816235963e-06,4.217456321620183e-06,3,3,-0.00022255557604924925,-0.00021055321771717983,0.5
top100_heldout,mean,signed_p75,agree75,7,100,0,0,0,-8.679382459408913e-06,-3.8906895960533205e-06,4.238291699265595e-06,3,3,-0.00022404308226806752,-0.00021049532834602766,0.5
translator_tail_p90_nonpos_m0.50,mean,mean,agree60,7,17,0,0,0,-8.626112293574906e-06,-3.934448523423839e-06,3.2874323109277626e-06,3,3,-0.0002531791662067906,-0.0002397047694682353,0.5277777777777778
top100_heldout,mean,median,agree60_top50,7,100,0,0,0,-8.571418171787748e-06,-3.7827253084321555e-06,5.478264823333134e-06,3,3,-0.0002867337664088712,-0.00021937296447125938,0.4722222222222222
translator_tail_p90_nonpos_m0.50,mean,weighted_mean,agree60,7,17,0,0,0,-8.567200628806226e-06,-3.87553685865516e-06,3.1544243721537413e-06,3,3,-0.0002642578735966433,-0.000255068429068578,0.5277777777777778
all,mean,median,agree75,7,155,0,0,0,-8.565261750970166e-06,-3.7075515227913414e-06,3.853131841147217e-06,3,3,-0.0002764866778832212,-0.00027367010779306153,0.4722222222222222
top100_heldout,mean,median,agree75,7,100,0,0,0,-8.55362733487297e-06,-3.7649344715173783e-06,4.778419324669159e-06,3,3,-0.0002666338516363956,-0.0002418027962569013,0.5
top100_heldout,median,weighted_mean,agree75,7,100,0,0,0,-8.548842117761524e-06,-3.9120233708000995e-06,3.7887412734916026e-06,3,3,-0.00022255557604924925,-0.00021177599805858325,0.5
top100_heldout,median,signed_p75,agree75,7,100,0,0,0,-8.544198462745456e-06,-3.907379715784032e-06,3.8250901648329005e-06,3,3,-0.0002240430822680467,-0.0002117037594159155,0.5
translator_tail_soft_max_m1.00,mean,median,agree60_top50,7,44,0,0,0,-8.511590949167314e-06,-3.6403176202348675e-06,7.110935849596878e-06,3,3,-0.0002050385234017016,-0.00016052245387701016,0.5277777777777778
all,mean,weighted_mean,agree75,7,155,0,0,0,-8.495835287614106e-06,-3.638125059435282e-06,3.5398420316079537e-06,3,3,-0.00024192229142056682,-0.00025264635839020166,0.4722222222222222
top100_heldout,mean,mean,agree75,7,100,0,0,0,-8.483383106883124e-06,-3.694690243527532e-06,4.3191779482976145e-06,3,3,-0.00034448474293618386,-0.00032686782112462684,0.5
top100_heldout,median,median,agree60_top50,7,100,0,0,0,-8.474776083566837e-06,-3.837957336605413e-06,5.017122414185948e-06,3,3,-0.0002867337664088504,-0.00022063033669492138,0.4722222222222222
translator_tail_p90_nonpos_m0.50,mean,median,none,7,17,0,0,0,-8.46915396457426e-06,-3.7774901944231942e-06,2.9436468091947887e-06,3,3,-0.0002775771369368102,-0.00026669948785095214,0.5277777777777778
translator_tail_p90_nonpos_m0.50,mean,median,agree60,7,17,0,0,0,-8.431360593030846e-06,-3.739696822879779e-06,2.9459921975227843e-06,3,3,-0.0002741465228548595,-0.0002676663303081473,0.5277777777777778
translator_tail_soft_p90_m0.50,median,median,agree60_top50,7,19,0,0,0,-8.43117782756142e-06,-4.236532796686454e-06,7.870139515531172e-06,3,3,-0.00037250026920261636,-0.0003655705892453122,0.5
all,mean,mean,agree75,7,155,0,0,0,-8.426519557014345e-06,-3.5688093288355205e-06,3.984904630049968e-06,3,3,-0.00018812818029135397,-0.00019350383582316115,0.4722222222222222
top100_heldout,median,median,agree75,7,100,0,0,0,-8.419425783889878e-06,-3.7826070369284537e-06,4.295475948823402e-06,3,3,-0.0002666338516363609,-0.00024397592267030865,0.5
all,median,median,agree75,7,155,0,0,0,-8.40687913183924e-06,-3.797436624375372e-06,3.5582602235795235e-06,3,3,-0.0002764866778832073,-0.0002736700350254974,0.4722222222222222
top50_heldout,mean,median,agree60_top50,7,50,0,0,0,-8.394344562345779e-06,-3.7163174400056675e-06,5.922107382150266e-06,3,3,-0.00038022231369715803,-0.0002415175268499158,0.4444444444444444
all,mean,median,agree60_top50,7,155,0,0,0,-8.375440722518945e-06,-3.517730494340121e-06,4.486751770893527e-06,3,3,-0.0002634260550242948,-0.0002551630181762243,0.4722222222222222
top50_heldout,median,median,agree60_top50,7,50,0,0,0,-8.353751773659823e-06,-3.7283239021634884e-06,5.9473597394665845e-06,3,3,-0.00038022231369712334,-0.00024208025974745704,0.4444444444444444
translator_tail_p90_nonpos_m1.00,mean,signed_p75,agree60,7,41,0,0,0,-8.352904468544864e-06,-3.760825325160866e-06,2.9004229862295006e-07,3,3,-0.00026270774088021226,-0.0002555544066265014,0.5277777777777778
top100_heldout,median,mean,agree75,7,100,0,0,0,-8.348235446931085e-06,-3.7114166999696607e-06,3.726956434357831e-06,3,3,-0.00034448474293616305,-0.0003288232417647363,0.5
translator_tail_p90_nonpos_m0.50,median,mean,agree60,7,17,0,0,0,-8.340034041043332e-06,-3.9898385798542435e-06,2.9033751752782777e-06,3,3,-0.0002531791662067767,-0.00024034506715883155,0.5277777777777778
translator_tail_p90_nonpos_m1.00,median,signed_p75,agree60,7,41,0,0,0,-8.333505288393717e-06,-3.764065565570185e-06,-4.78662362746185e-07,3,3,-0.0002627077408802192,-0.0002556741224693127,0.5277777777777778
all,median,weighted_mean,agree75,7,155,0,0,0,-8.318714709965036e-06,-3.709272202501168e-06,3.3268324739488264e-06,3,3,-0.00024192229142060845,-0.00025287760780945976,0.4722222222222222
all,mean,signed_p75,agree75,7,155,0,0,0,-8.312191353665455e-06,-3.4544811254866303e-06,3.520440581383788e-06,3,3,-0.00025797475891283644,-0.0002748178443519934,0.4722222222222222
translator_tail_soft_max_m1.00,median,median,agree60_top50,7,44,0,0,0,-8.31075039697815e-06,-3.6434588756018016e-06,6.454435688807436e-06,3,3,-0.00020503852340174322,-0.00016174313441822416,0.5277777777777778
top50_heldout,mean,weighted_mean,agree75,7,50,0,0,0,-8.29739037522259e-06,-3.6193632528824793e-06,6.356263658524597e-06,3,3,-0.00022894815314197098,-0.00012630760208487976,0.4166666666666667
translator_tail_p90_nonpos_m0.50,mean,signed_p75,agree60,7,17,0,0,0,-8.279808952349477e-06,-3.58814518219841e-06,2.949914250649499e-06,3,3,-0.0003157389451126369,-0.0003028525143301598,0.5277777777777778
translator_tail_p90_nonpos_m0.50,mean,mean,agree60_top50,7,17,0,0,0,-8.27723530993918e-06,-3.5855715397881127e-06,3.5805964674340274e-06,3,3,-0.0002376319915612657,-0.00024651712465209585,0.4722222222222222
translator_tail_p90_nonpos_m0.50,median,weighted_mean,agree60,7,17,0,0,0,-8.27475485676299e-06,-3.924559395573901e-06,2.7896224933376956e-06,3,3,-0.0002642578735966433,-0.0002561585925421883,0.5277777777777778
