file,scenarios,masks,mean_expected,p90_expected,mean_regret,p90_regret,p95_regret,max_regret,mean_delta_vs_prior,p90_delta_vs_prior,win_rate_vs_prior,scenario_robust_score
submission_hiddenblock_seqmotif_cellgate_4d7ef74d.csv,6,12744,0.576426889132867,0.5827598554652802,0.0018595270773883114,0.0024173398606350707,0.002543683003777053,0.003947689952872757,0.0010614516966025594,0.0012407597185290498,0.0,0.5913232798710758
submission_hiddenblock_seqmotif_cellgate_2c1dc77b.csv,6,12744,0.5764258085342798,0.5827631997434879,0.0018584464788010788,0.002420960300479347,0.002546006730100103,0.003946877784507197,0.0010603710980153268,0.0012396522815142919,0.0,0.5913241287030377
submission_hiddenblock_seqmotif_cellgate_3fd663d2.csv,6,12744,0.5764271580537237,0.5827591951308208,0.0018597959982449828,0.002417552565943759,0.0025430571721754666,0.003946986304693811,0.0010617206174592308,0.0012411111081544136,0.0,0.5913241780200168
submission_hiddenblock_seqmotif_cellgate_554d5e54.csv,6,12744,0.5764240968483525,0.582755908679565,0.0018567347928737442,0.002425418092438092,0.002551876909696776,0.00393205374890937,0.0010586594120879924,0.0012360233002893463,0.0,0.5913245560839913
submission_hiddenblock_seqmotif_cellgate_2c735ec6.csv,6,12744,0.5764263788324454,0.5827603019934795,0.0018590167769667132,0.002420482974863447,0.0025457186418238464,0.003933177600207727,0.0010609413961809612,0.0012393668510594757,0.0,0.5913252617068041
submission_hiddenblock_seqmotif_cellgate_c82b1b42.csv,6,12744,0.5764261991390741,0.582762234307391,0.0018588370835954345,0.002421201420564556,0.002546269210352303,0.00394738006527473,0.0010607617028096828,0.0012401373760166923,0.0,0.5913256557670192
submission_hiddenblock_seqmotif_cellgate_7bf1f36b.csv,6,12744,0.5764287983545356,0.582751656476244,0.001861436299056908,0.0024156440467483,0.002537051330322054,0.003920403580737752,0.0010633609182711561,0.0012412653184262657,0.0,0.5913257043638208
submission_hiddenblock_seqmotif_cellgate_08b337f8.csv,6,12744,0.576428355575596,0.5827516875801226,0.0018609935201173134,0.0024163928659630463,0.002540407545230938,0.00392422465762321,0.0010629181393315614,0.0012416837336042266,0.0,0.5913260057414619
submission_hiddenblock_seqmotif_cellgate_06803f71.csv,6,12744,0.5764247126362219,0.5827608781961127,0.0018573505807431472,0.002425579894430574,0.0025503098469167648,0.003943056283923996,0.0010592751999573952,0.0012371373298312727,0.0,0.5913262848868511
submission_hiddenblock_seqmotif_cellgate_aee1a279.csv,6,12744,0.5764259288232639,0.5827624572616326,0.0018585667677852198,0.002422433116446021,0.002547214972340933,0.003942117954837898,0.0010604913869994678,0.0012398948641280882,0.0,0.5913262887047784
