basename,source_path,recipe,source_note,seed_count,seed_basenames,weight,nonzero_rows,nonzero_cells,mean_abs_delta,max_abs_delta,l1_delta,signed_delta_sum,q_abs_share,s_abs_share,abs_Q1,abs_Q2,abs_Q3,abs_S1,abs_S2,abs_S3,abs_S4,promotion_decision,strict_promote_gate,info_sensor_gate,pred_delta_vs_current_mean,pred_delta_vs_current_p10,pred_delta_vs_current_p90,pred_beats_current_rate,incremental_bad_axis_vs_current
submission_e314_humanready_single_rank2_k8_w18_0_6b6edf9b.csv,analysis_outputs/submission_e314_humanready_single_rank2_k8_w18_0_6b6edf9b.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,18.0,3,3,0.0003444335609719261,0.35,0.6027587317008707,0.6027587317008707,1.0,0.0,0.0,0.0,0.6027587317008707,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-7.252438630639289e-05,-9.185308046703405e-05,-4.760297429741659e-05,1.0,-0.006328816730054809
submission_e314_humanready_single_rank2_k12_w18_0_6b6edf9b.csv,analysis_outputs/submission_e314_humanready_single_rank2_k12_w18_0_6b6edf9b.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,18.0,3,3,0.0003444335609719261,0.35,0.6027587317008707,0.6027587317008707,1.0,0.0,0.0,0.0,0.6027587317008707,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-7.252438630639289e-05,-9.185308046703405e-05,-4.760297429741659e-05,1.0,-0.006328816730054809
submission_e314_humanready_single_rank2_k20_w18_0_6b6edf9b.csv,analysis_outputs/submission_e314_humanready_single_rank2_k20_w18_0_6b6edf9b.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_03ccfe02.csv,18.0,3,3,0.0003444335609719261,0.35,0.6027587317008707,0.6027587317008707,1.0,0.0,0.0,0.0,0.6027587317008707,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-7.252438630639289e-05,-9.185308046703405e-05,-4.760297429741659e-05,1.0,-0.006328816730054809
submission_e314_humanready_single_rank7_k5_w18_0_6a6bbca7.csv,analysis_outputs/submission_e314_humanready_single_rank7_k5_w18_0_6a6bbca7.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_swap_low_high_top3_80ab918c.csv,18.0,5,5,0.0004890578462946651,0.35,0.855851231015664,0.5974470170694818,1.0,0.0,0.0,0.0,0.855851231015664,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-7.283007059311499e-05,-9.293323903676353e-05,-4.723238355473741e-05,1.0,-0.005812719667738442
submission_e314_humanready_single_rank1_kall_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_kall_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325
submission_e314_humanready_single_rank1_k3_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_k3_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325
submission_e314_humanready_single_rank1_k5_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_k5_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325
submission_e314_humanready_single_rank1_k8_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_k8_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325
submission_e314_humanready_single_rank1_k12_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_k12_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325
submission_e314_humanready_single_rank1_k20_w8_0_aa0e9343.csv,analysis_outputs/submission_e314_humanready_single_rank1_k20_w8_0_aa0e9343.csv,single_human_ready_lift,amplify one E313 human-ready safe-but-too-small seed,1,submission_e286_e247contrast_e247_common_vs_e28_human_plus_geometr_lr_l2_c0p3_anti_amp_add_high_preserve_top3_eaa52596.csv,8.0,3,3,0.00026923690155279814,0.2745744530611631,0.4711645777173967,0.4711645777173967,1.0,0.0,0.0,0.0,0.4711645777173967,0.0,0.0,0.0,0.0,too_small_to_submit,False,True,-5.055784893057361e-05,-6.288294963522911e-05,-3.502413878428922e-05,1.0,-0.0049549463110666325
