strategy,gate_class,mask_name,ranker,top_n,keep_factor,rollback_s3_cells,source_tag,source_family,source_projection_mode,all_minus_base,all_four,e154_submit,beats_e144_local,relaxed_structural_tol1e12,budget_ok,post101_ok,gate_strict_actionable,gate_cos95_resid025,gate_active_q2s3_not_more_than_e101,q2s3_delta95_l1,e101_active_delta95_l1,tail_equal_law_cosine,tail_equal_law_resid_ratio,post101_p95_vs_e95_e101_sensor,e72_plausible_gap_vs_e95,tag
s3_active_boundary_repair,missing_actionable,top_s3_abs_5,s3_abs,5,0.5,5,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2394277059013525e-05,False,False,True,True,True,True,False,False,True,0.0010722354924533543,0.0007200000000002199,0.9692232520773756,0.2555783137321636,-5.4866050528926645e-06,2.8189256484623115e-18,e154_5369422f
s3_active_boundary_repair,missing_actionable,top_s3_abs_8,s3_abs,8,0.5,8,e152_c7c68547,e138,e144_plus_orth_top100,-1.2390458195565834e-05,False,False,True,True,True,True,False,False,True,0.0010119103345630758,0.0007200000000002199,0.9690868326882335,0.2561983873088075,-5.528161234840311e-06,2.8189256484623115e-18,e154_969d602d
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.0,1,e152_c0838df9,e138,e144_plus_orth_top100,-1.2386094455085761e-05,False,False,True,True,True,True,False,False,False,0.0011326946118199199,0.0005200000000002242,0.9699792802297764,0.25171256187576707,-4.561415321916097e-06,2.8189256484623115e-18,e154_1ea97b3d
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_3cc21d18,e138,e144_plus_orth_top100,-1.2384586681513099e-05,False,False,True,True,True,True,False,False,False,0.0011648277426972997,0.0009200000000002201,0.9700506295462247,0.25141794447598886,-4.589440122815458e-06,2.8189256484623115e-18,e154_aca4e216
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.5,1,e152_c6ed9e78,e139,e144_plus_orth_top100,-1.2383615319633279e-05,False,False,True,True,True,True,False,False,False,0.0010911360987042465,0.0007200000000002199,0.9673466929041524,0.26322191752744667,-4.701816834444198e-06,2.8189256484623115e-18,e154_14810599
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.1,2,e152_14f03eec,e138,e144_plus_orth_top100,-1.2383567927320982e-05,False,False,True,True,True,True,False,False,False,0.0011002510891464118,0.0009200000000002201,0.9690684333831139,0.25628188937534274,-5.53169470985281e-06,2.8189256484623115e-18,e154_d290140d
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_63dfca26,e138,e144_plus_orth_top100,-1.2376021402915605e-05,False,False,True,True,True,True,False,False,False,0.0011499122933004446,0.0009200000000002201,0.9699362455259787,0.2519021092897713,-4.559566277036582e-06,2.8189256484623115e-18,e154_043bfa74
s3_active_boundary_repair,missing_actionable,top_s3_abs_2,s3_abs,2,0.1,2,e152_c7c68547,e138,e144_plus_orth_top100,-1.2374924581060043e-05,False,False,True,True,True,True,False,False,False,0.001099910334563075,0.0009200000000002201,0.9690868326882335,0.2561983873088075,-5.5233211077897715e-06,2.8189256484623115e-18,e154_5f5cf019
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_cacfe566,e138,e144_plus_orth_top100,-1.2370637908376558e-05,False,False,True,True,True,True,False,False,False,0.0011645805813704183,0.0009200000000002201,0.9700912920566271,0.25123837074107924,-4.5836018147103155e-06,2.8189256484623115e-18,e154_3662f727
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.5,5,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.2365509951761666e-05,False,False,True,True,True,True,False,False,False,0.0011063274899875426,0.0004600000000002241,0.969761612117103,0.25311308743339284,-5.186079123711421e-06,2.8189256484623115e-18,e154_094e0249
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.25,1,e152_c6ed9e78,e139,e144_plus_orth_top100,-1.2365372849765244e-05,False,False,True,True,True,True,False,False,False,0.001081136098704247,0.000620000000000222,0.9673466929041524,0.26322191752744667,-4.698238163321919e-06,2.8189256484623115e-18,e154_36af515b
s3_active_boundary_repair,missing_actionable,top_s3_composite_8,s3_composite,8,0.5,8,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2363194863529436e-05,False,False,True,True,True,True,False,False,True,0.0010464218796469597,0.0004600000000002241,0.9692141422429951,0.2556197743369941,-5.4798102051693084e-06,2.8189256484623115e-18,e154_eaabe0db
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.5,1,e152_c0838df9,e138,e144_plus_orth_top100,-1.236147647809549e-05,False,False,True,True,True,True,False,False,False,0.0011497177974215539,0.0009200000000002201,0.9699792802297764,0.25171256187576707,-4.553744593618074e-06,2.8189256484623115e-18,e154_ee19da1b
s3_active_boundary_repair,missing_actionable,top_s3_abs_1,s3_abs,1,0.25,1,e152_f1bf70c9,e138,e144_plus_orth_top100,-1.236038077256918e-05,False,False,True,True,True,True,False,False,False,0.0011408444481202365,0.0009200000000002201,0.969761612117103,0.25311308743339284,-5.184480920090021e-06,2.8189256484623115e-18,e154_e8b895c0
s3_active_boundary_repair,missing_actionable,top_s3_composite_8,s3_composite,8,0.5,8,e152_2ac8771f,e138,e144_plus_orth_top100,-1.2358235455756095e-05,False,False,True,True,True,True,False,False,True,0.0010462354924533545,0.0004600000000002241,0.9692232520773756,0.2555783137321636,-5.475374830924299e-06,2.8189256484623115e-18,e154_b691c8c7
s3_active_boundary_repair,missing_actionable,top_s3_e101_2,s3_e101,2,0.5,2,e152_c6ed9e78,e139,e144_plus_orth_top100,-1.2355518970830204e-05,False,False,True,True,True,True,False,False,True,0.0010711360987042473,0.0005200000000002264,0.9673466929041524,0.26322191752744667,-4.696305103147373e-06,2.8189256484623115e-18,e154_f1f4d171
s3_active_boundary_repair,missing_actionable,top_s3_e101_1,s3_e101,1,0.1,1,e152_c6ed9e78,e139,e144_plus_orth_top100,-1.2353461831149382e-05,False,False,True,True,True,True,False,False,True,0.0010751360987042483,0.0005600000000002375,0.9673466929041524,0.26322191752744667,-4.695901548890545e-06,2.8189256484623115e-18,e154_d7583733
s3_active_boundary_repair,missing_actionable,top_s3_composite_5,s3_composite,5,0.5,5,e152_9d5d8200,e138,e144_plus_orth_top100,-1.2353311389712296e-05,False,False,True,True,True,True,False,False,False,0.0011056191544006199,0.0004600000000002241,0.9698671951781322,0.25264114785741826,-4.986364260628181e-06,2.8189256484623115e-18,e154_91832b80
s3_active_boundary_repair,missing_actionable,top_s3_abs_8,s3_abs,8,0.5,8,e152_4acbdc73,e138,e144_plus_orth_top100,-1.2353137490372923e-05,False,False,True,True,True,True,False,False,True,0.0010124218796469609,0.0007200000000002199,0.9692141422429951,0.2556197743369941,-5.4766764230187314e-06,2.8189256484623115e-18,e154_a7185731
