method,blocks,weighted_row_logloss,weighted_count_nll_per_row,rate_mae_weighted,count_mae_mean,is_subject_mean,transition_residual_mse,family,context,base,k,alpha,strength,pseudo_support_mean,hidden_support_mean,pseudo_dist_median,hidden_dist_median,pseudo_residual_l2_mean,hidden_residual_l2_mean,delta_weighted_row_logloss_vs_subject,delta_weighted_row_logloss_vs_raw,delta_transition_residual_mse_vs_raw,hidden_blocks,weighted_mixmin_delta_vs_a2c8,mean_mixmin_delta_vs_a2c8,mean_raw05_delta_vs_a2c8,mixmin_better_block_rate,s3_delta_vs_subject,s3_delta_vs_raw,row_beats_raw,transition_mse_beats_raw,fixes_s3_vs_subject,hidden_mixmin_negative,joint_gate
transition_full_transition_baseraw_k16_a4_w0.65,369,0.7268977903351904,0.4046657466550117,0.24308103537274214,1.1205442850109335,0.0,31.8650693199609,transition_residual,full_transition,raw,16.0,4.0,0.65,16.0,16.0,1.0867368938493098,1.0514561665182682,1.8207661909105566,1.6340195851820825,0.11389601675862049,0.12162919043509901,1.1365752564087224,36.0,0.0004559611542690686,-0.0004572372591859268,0.00040746477910286985,0.5,0.14713481333091782,0.13933244934315203,False,False,False,False,False
transition_raw_residual_baseedge_shrink025_k16_a4_w0.65,369,0.7277739334110459,0.4055418897308671,0.24247714804406909,1.117760511715343,0.0,30.246398634314573,transition_residual,raw_residual,edge_shrink025,16.0,4.0,0.65,16.0,16.0,0.8707179846737859,0.8940312449297867,1.528988897761398,1.5164395814240093,0.11477215983447597,0.1225053335109545,-0.48209542923760296,36.0,-0.00034887852691601576,-6.02701546214864e-05,0.0005310832104281019,0.4444444444444444,0.09590998776341497,0.08810762377564918,False,True,False,True,False
transition_raw_topology_baseraw_k8_a12_w1.00,369,0.7278165158152932,0.4055844721351143,0.2350380712957984,1.0834681823147778,0.0,31.601523104762183,transition_residual,raw_topology,raw,8.0,12.0,1.0,8.0,8.0,1.030501993017853,0.9827319568819819,1.2813702286317576,1.0805502926180985,0.11481474223872323,0.12254791591520175,0.8730290412100068,36.0,0.0002596251784388822,-0.0006897288940142506,0.0004958295084741798,0.5,0.12535501291118378,0.11755264892341799,False,False,False,False,False
transition_raw_residual_baseedge_shrink025_k8_a4_w0.65,369,0.7281614732045835,0.4059294295244046,0.24336430691952088,1.121850097750962,0.0,30.20089701848143,transition_residual,raw_residual,edge_shrink025,8.0,4.0,0.65,8.0,8.0,0.8090438808390987,0.8262027578890381,1.5257546863796607,1.4580008470082653,0.11515969962801353,0.12289287330449206,-0.5275970450707455,36.0,-0.00048499532236377353,-0.00047386152805284636,0.0005192966765975003,0.5277777777777778,0.09124619837332948,0.08344383438556369,False,True,False,True,False
transition_raw_topology_baseraw_k4_a4_w0.65,369,0.7285716600202042,0.4063396163400254,0.23256810744116424,1.072082251375123,0.0,31.87110320772536,transition_residual,raw_topology,raw,4.0,4.0,0.65,4.0,4.0,1.0017797184441535,0.948641397267046,1.9235691789753444,1.481454821638925,0.1155698864436343,0.12330306012011283,1.142609144173182,36.0,5.342933359496822e-05,-0.0006202951932758286,0.0004562279873881384,0.4722222222222222,0.11614042712702177,0.10833806313925598,False,False,False,False,False
transition_topology_baseraw_k8_a12_w1.00,369,0.730887374333256,0.4086553306530771,0.23301957356681505,1.074163400100684,0.0,31.414167392790926,transition_residual,topology,raw,8.0,12.0,1.0,8.0,8.0,1.0421498575026162,0.9895623153475519,1.3728621590654486,1.1820297429125672,0.11788560075668608,0.1256187744331646,0.6856733292387496,36.0,0.00011732519344201324,-0.000684793746584531,0.0005262605091091811,0.5277777777777778,0.14943517188295463,0.14163280789518884,False,False,False,False,False
transition_topology_baseraw_k4_a4_w0.65,369,0.7316443105171524,0.40941226683697335,0.230046500240951,1.0604582572082861,0.0,31.38261581782185,transition_residual,topology,raw,4.0,4.0,0.65,4.0,4.0,1.003983909504755,0.95468657847973,2.1122005584798345,1.708150037100345,0.11864253694058247,0.126375710617061,0.6541217542696742,36.0,-0.00012736036556708458,-0.0012569827296641208,0.0006781100009227363,0.5277777777777778,0.1429500267593503,0.13514766277158452,False,False,False,True,False
transition_raw_topology_basesubject_k16_a12_w1.00,369,0.7318648912128016,0.4096328475326225,0.23659089691563323,1.09062632968426,0.0,30.604479281740684,transition_residual,raw_topology,subject,16.0,12.0,1.0,16.0,16.0,1.113050514793156,1.0701312345582465,1.3920009152642254,1.2381162891699757,0.1188631176362317,0.12659629131271022,-0.12401478181149272,36.0,0.00042727319134066986,-0.0004620351321637247,0.00043648088242391274,0.4444444444444444,0.12230030942296488,0.11449794543519909,False,True,False,False,False
transition_full_transition_baseedge_shrink025_k16_a12_w1.00,369,0.7349525589746814,0.4127205152945025,0.2403489717865039,1.1079501382353472,0.0,30.36946904609223,transition_residual,full_transition,edge_shrink025,16.0,12.0,1.0,16.0,16.0,1.1003228603024546,1.0628708356298235,1.271880150229291,1.1357788982488832,0.12195078539811144,0.12968395907458996,-0.3590250174599454,36.0,-0.00010685195632755152,-0.0009396791173870098,0.0004263287817414517,0.5277777777777778,0.13727293024428922,0.12947056625652342,False,True,False,True,False
transition_topology_baseedge_shrink025_k8_a4_w0.65,369,0.7362733290608289,0.41404128538065,0.2286542488365211,1.0540403178073776,0.0,30.088927436456295,transition_residual,topology,edge_shrink025,8.0,4.0,0.65,8.0,8.0,1.0421498575026162,0.9895623153475519,2.1991551467003934,1.9056834316948634,0.12327155548425894,0.13100472916073747,-0.6395666270958813,36.0,-8.823337618672695e-05,-0.0008850910370106007,0.0005167366106873061,0.5,0.12356358835536463,0.11576122436759884,False,True,False,True,False
