fold,source,latent,feature_view,c,blend,target,loss
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,Q1,0.6584057422091615
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,Q2,0.7324204189076191
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,Q3,0.6849465542884937
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,S1,0.5614652736960578
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,S2,0.5984160558888165
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,S3,0.48389182685160365
1,best__absolute_plus_deviation__c0.3_b0.1,best,absolute_plus_deviation,0.3,0.1,S4,0.6715881401487505
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,Q1,0.6542470716001195
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,Q2,0.7307572647783885
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,Q3,0.681469247009676
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,S1,0.5585774309855461
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,S2,0.593742773904609
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,S3,0.47572925512405945
1,best__absolute_plus_deviation__c0.3_b0.2,best,absolute_plus_deviation,0.3,0.2,S4,0.6636272252405176
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,Q1,0.6661426300149418
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,Q2,0.732932163353884
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,Q3,0.6925789482349248
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,S1,0.5669020244502135
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,S2,0.5935410102701777
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,S3,0.49523404549221034
1,causal_chain__absolute__c0.03_b0.05,causal_chain,absolute,0.03,0.05,S4,0.6731196604071275
1,causal_chain__absolute__c0.03_b0.1,causal_chain,absolute,0.03,0.1,Q1,0.6679608044646447
1,causal_chain__absolute__c0.03_b0.1,causal_chain,absolute,0.03,0.1,Q2,0.7306314557942721
1,causal_chain__absolute__c0.03_b0.1,causal_chain,absolute,0.03,0.1,Q3,0.6964783121754138
