source,avg_log_loss,Q1,Q2,Q3,S1,S2,S3,S4
cc_chain_interactions__deviation__c0.1_b0.1,0.6253214381036543,0.669872957033289,0.7005925512127025,0.6771746175216289,0.5718509819423766,0.5768086983238385,0.5376162601440544,0.6433340005476905
cc_opportunity__absolute_plus_deviation__c0.03_b0.2,0.6253456593188293,0.6618765582646415,0.7004687290683124,0.6783846670038967,0.5717580855385688,0.5770879894818574,0.5441914476054485,0.6436521382690809
cc_chain_interactions__absolute_plus_deviation__c0.1_b0.1,0.6253516058881295,0.6686540369016983,0.7028098188514769,0.67830324023749,0.5710582455264875,0.5761581361234507,0.5379873134076124,0.6424904501686916
best__absolute__c0.1_b0.1,0.6253895211285249,0.670323671444731,0.6996653105993168,0.6745702392813397,0.5753595973773291,0.57826809942169,0.5347706379870129,0.6447690917882547
cc_opportunity__deviation__c0.03_b0.2,0.6253965866691518,0.6640710861009319,0.6988441176770375,0.6767283938399591,0.5724675131860282,0.5773108906703025,0.5435575089895994,0.6447965962202032
cc_opportunity__absolute__c0.3_b0.2,0.6254601503641262,0.6600126029746751,0.7023340034320644,0.680616208248146,0.570536950605212,0.5763764319836722,0.5462109566234975,0.6421338986816163
cc_recovery__absolute_plus_deviation__c0.3_b0.1,0.6255133609665126,0.6719306813086953,0.7006069025482965,0.6739170316498202,0.5746289403567693,0.5775497761231948,0.5363886084093022,0.6435715863695092
cc_recovery__deviation__c0.3_b0.1,0.6255146366171938,0.6722843279542955,0.6982807919679792,0.6723475148631517,0.575164056020053,0.5779579707360261,0.5380307668900373,0.6445370278888144
best__deviation__c0.1_b0.1,0.6255366383561637,0.670572438895511,0.7007604579094759,0.6741728395956408,0.5732105619521617,0.579535880642171,0.5350263030847159,0.6454779864134697
cc_chain_interactions__absolute__c0.3_b0.1,0.6255935092238435,0.6689451479472187,0.7015194476624566,0.6782627020968449,0.5714294564465732,0.5767786644911468,0.5400038992260265,0.6422152466966374
cc_opportunity__absolute__c0.3_b0.1,0.6256363186141629,0.665519345193105,0.7030657556884569,0.6787451894391314,0.5724067639577848,0.5764937845362526,0.5393253210545876,0.6438980704298223
cc_chain_interactions__absolute__c0.1_b0.1,0.6256509849801652,0.669570975355607,0.7009023454104546,0.677600638486207,0.5728994316818278,0.5767506821052832,0.5388498362551266,0.6429829855666509
