law_name,feature_view,group_mode,neighbors,weights,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,active_subjects,positive_active_subjects,negative_active_subjects,active_subject_rate,std_subject_gain_per_cell,min_active_gain_per_cell,robust_transport_score
human_episode_context__expert_family__knn35_uniform,human_episode_context,expert_family,35,uniform,topfrac,0.02,0.6384653458362202,15,-0.0014682636852253433,-0.07194492057604185,0.4,7,2,5,0.7,0.0031058153481087133,-0.008570718323221099,-0.00873413598744165
compact_episode_context__target_expert_family__knn35_distance,compact_episode_context,target_expert_family,35,distance,topfrac,0.06,0.6384689513663288,44,-0.0014718692153338772,-0.024586906210690918,0.5681818181818182,6,1,5,0.6,0.006171268298514374,-0.010545676471531174,-0.009297559460111033
compact_episode_context__target_expert_family__knn13_distance,compact_episode_context,target_expert_family,13,distance,topfrac,0.02,0.6384751772676556,15,-0.0014780951166607499,-0.07242666071637674,0.3333333333333333,2,1,1,0.2,0.005687127174621601,-0.01799867754999528,-0.00363116419285399
human_episode_context__target_expert_family__knn7_uniform,human_episode_context,target_expert_family,7,uniform,topfrac,0.02,0.6384781736012934,15,-0.001481091450298602,-0.07257348106463148,0.3333333333333333,5,2,3,0.5,0.004894205310767222,-0.01040203748272118,-0.006215222246913685
compact_episode_context__target_episode_family__knn13_distance,compact_episode_context,target_episode_family,13,distance,topfrac,0.02,0.6384883142118574,15,-0.0014912320608625952,-0.07307037098226715,0.3333333333333333,4,0,4,0.4,0.0021407342998961297,-0.00569810353951723,-0.0074123422058470145
compact_episode_context__target__knn13_uniform,compact_episode_context,target,13,uniform,topfrac,0.15,0.6384909417900656,110,-0.0014938596390707344,-0.009981698497427189,0.509090909090909,10,4,6,1.0,0.019685353430903878,-0.03453723299483721,-0.012446662653706315
compact_episode_context__expert_family__knn13_distance,compact_episode_context,expert_family,13,distance,topfrac,0.01,0.6384988795453662,7,-0.00150179739437132,-0.1576887264089886,0.14285714285714285,1,0,1,0.1,0.004300601629336052,-0.014335338764453509,-0.003546887638771728
human_episode_context__all__knn7_uniform,human_episode_context,all,7,uniform,topfrac,0.04,0.6385100272028876,29,-0.0015129450518929046,-0.03834533148763051,0.41379310344827586,8,2,6,0.8,0.002201042512579194,-0.006402644068102652,-0.010043101428779785
compact_episode_context__target__knn55_uniform,compact_episode_context,target,55,uniform,topfrac,0.03,0.6385100436607603,22,-0.0015129615097654048,-0.05054666862170784,0.6363636363636364,5,2,3,0.5,0.00403150108474751,-0.011655440056465858,-0.006117686672477531
compact_episode_context__target_expert_family__knn35_distance,compact_episode_context,target_expert_family,35,distance,topfrac,0.2,0.6385236378672076,147,-0.0015265557162126942,-0.007632778581063471,0.5374149659863946,10,4,6,1.0,0.02035784659332845,-0.022825123855636818,-0.012580232705211962
route_episode_context__expert_family__knn21_distance,route_episode_context,expert_family,21,distance,topfrac,0.02,0.6385280509381038,15,-0.0015309687871089624,-0.07501747056833917,0.3333333333333333,4,2,2,0.4,0.006728567780587385,-0.020878036213837197,-0.00514025395419707
human_episode_context__expert_family__knn21_uniform,human_episode_context,expert_family,21,uniform,topfrac,0.01,0.6385292727323698,7,-0.0015321905813750016,-0.16088001104437516,0.2857142857142857,4,0,4,0.4,0.0021351546674437233,-0.005930815578156558,-0.007452463781491559
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.08,0.638531629867315,59,-0.0015345477163202213,-0.01911682324568412,0.5084745762711864,8,5,3,0.8,0.011162629812704364,-0.029219360769502024,-0.006908942188225876
compact_episode_context__expert_family__knn21_uniform,compact_episode_context,expert_family,21,uniform,topfrac,0.02,0.638534334217782,15,-0.0015372520667872361,-0.0753253512725746,0.4,4,2,2,0.4,0.008664925757278568,-0.017608248748508856,-0.005436990930379021
human_episode_context__expert_family__knn55_distance,human_episode_context,expert_family,55,distance,threshold,0.04,0.6385345880941965,61,-0.0015375059432017285,-0.018525686364807697,0.5737704918032787,10,4,6,1.0,0.0065846010530299665,-0.010080843489862662,-0.010525196101156223
compact_episode_context__target_episode_family__knn21_uniform,compact_episode_context,target_episode_family,21,uniform,threshold,0.08,0.6385424481199763,114,-0.0015453659689814484,-0.009963543747380389,0.5701754385964912,10,7,3,1.0,0.014273774183437993,-0.02070996281341183,-0.0071864320964971475
human_episode_context__all__knn13_uniform,human_episode_context,all,13,uniform,topfrac,0.02,0.638546481268831,15,-0.0015493991178361442,-0.07592055677397107,0.26666666666666666,6,1,5,0.6,0.0036364727630022707,-0.010349439815513015,-0.008994870032286485
compact_episode_context__expert_family__knn35_uniform,compact_episode_context,expert_family,35,uniform,topfrac,0.01,0.6385502594996205,7,-0.001553177348625662,-0.16308362160569453,0.42857142857142855,3,1,2,0.3,0.00563822564954147,-0.017608248748508856,-0.005098911196056883
compact_episode_context__expert_family__knn35_distance,compact_episode_context,expert_family,35,distance,topfrac,0.01,0.6385502594996205,7,-0.001553177348625662,-0.16308362160569453,0.42857142857142855,3,1,2,0.3,0.00563822564954147,-0.017608248748508856,-0.005098911196056883
human_episode_context__target_expert_family__knn7_distance,human_episode_context,target_expert_family,7,distance,topfrac,0.04,0.638565900985104,29,-0.0015688188341091436,-0.039761442864490334,0.3793103448275862,9,3,6,0.9,0.005581065509118686,-0.01508513037114782,-0.010505978660476948
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.02,0.6385674366276535,15,-0.0015703544766586066,-0.07694736935627174,0.3333333333333333,3,1,2,0.3,0.005278899742746007,-0.014489586455929813,-0.005062189438070508
route_episode_context__target_expert_family__knn7_distance,route_episode_context,target_expert_family,7,distance,topfrac,0.04,0.6385685829235495,29,-0.0015715007725547033,-0.039829416131989884,0.3793103448275862,5,2,3,0.5,0.007983319234996133,-0.020438766920550806,-0.006768998657804124
route_episode_context__expert_family__knn55_distance,route_episode_context,expert_family,55,distance,topfrac,0.03,0.6385706165376555,22,-0.0015735343866606264,-0.05257035337252547,0.5454545454545454,6,3,3,0.6,0.004907678049316146,-0.012253142945660513,-0.0062096860940580485
human_episode_context__expert_family__knn55_distance,human_episode_context,expert_family,55,distance,topfrac,0.01,0.6385745038875537,7,-0.0015774217365589,-0.16562928233868454,0.2857142857142857,3,1,2,0.3,0.004602984676054278,-0.015180254506202433,-0.004967869437967042
human_episode_context__expert_family__knn55_uniform,human_episode_context,expert_family,55,uniform,topfrac,0.15,0.6385782118435613,110,-0.0015811296925665203,-0.010564821127603567,0.5727272727272728,10,4,6,1.0,0.010377708555646823,-0.016899910858753683,-0.011137785975913545
human_episode_context__expert_family__knn55_distance,human_episode_context,expert_family,55,distance,topfrac,0.06,0.6385865950899885,44,-0.0015895129389937607,-0.026552091140009417,0.5454545454545454,10,4,6,1.0,0.006257862697410311,-0.011038438786044399,-0.01052819234360531
route_episode_context__expert_family__knn55_uniform,route_episode_context,expert_family,55,uniform,threshold,0.08,0.6385904691172702,24,-0.0015933869662754232,-0.048797475842184836,0.5416666666666666,6,3,3,0.6,0.004949485818215161,-0.012253142945660513,-0.0062358098390076985
human_episode_context__target_episode_family__knn7_distance,human_episode_context,target_episode_family,7,distance,topfrac,0.04,0.6385909664293608,29,-0.0015938842783658634,-0.0403967222275486,0.3793103448275862,9,4,5,0.9,0.003624264001397006,-0.009658591434239942,-0.008737523878575414
compact_episode_context__target__knn7_distance,compact_episode_context,target,7,distance,threshold,0.08,0.6385942179583841,231,-0.001597135807389262,-0.005081795750784007,0.5194805194805194,10,5,5,1.0,0.025834065065816914,-0.041878358869418965,-0.0119722455672618
human_episode_context__all__knn21_distance,human_episode_context,all,21,distance,topfrac,0.02,0.6386072470133906,15,-0.001610164862395751,-0.07889807825739181,0.3333333333333333,7,1,6,0.7,0.0027219518322078545,-0.008655945424441133,-0.01031845763722693
compact_episode_context__target_expert_family__knn55_distance,compact_episode_context,target_expert_family,55,distance,topfrac,0.01,0.6386081175511739,7,-0.0016110354001790549,-0.16915871701880075,0.7142857142857143,1,0,1,0.1,0.005074761510564024,-0.01691587170188008,-0.0037722496267636584
human_episode_context__target_episode_family__knn21_uniform,human_episode_context,target_episode_family,21,uniform,topfrac,0.03,0.6386084598418096,22,-0.0016113776908147257,-0.05383466376131016,0.3181818181818182,9,2,7,0.9,0.003272786048066106,-0.007771675334276628,-0.011702295598024643
human_episode_context__all__knn35_uniform,human_episode_context,all,35,uniform,topfrac,0.08,0.6386202925360075,59,-0.0016232103850127013,-0.020221349711598894,0.559322033898305,10,5,5,1.0,0.009602257372621777,-0.019956372919529855,-0.009563548990905966
human_episode_context__target_expert_family__knn7_uniform,human_episode_context,target_expert_family,7,uniform,topfrac,0.03,0.6386289853357354,22,-0.0016319031847406174,-0.05452040185383423,0.36363636363636365,8,3,5,0.8,0.005606347199247651,-0.012999582113361424,-0.009172855264627765
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.15,0.6386298278542939,110,-0.0016327457032990322,-0.010909709926588988,0.4818181818181818,9,4,5,0.9,0.019386253775766627,-0.051042111089149536,-0.011140683769664027
compact_episode_context__target__knn55_distance,compact_episode_context,target,55,distance,threshold,0.08,0.6386403044766921,40,-0.0016432223256972857,-0.030194210234687623,0.625,7,3,4,0.7,0.011951632364434717,-0.024296670874681882,-0.008735967180362493
human_episode_context__target__knn55_uniform,human_episode_context,target,55,uniform,topfrac,0.02,0.638642226907186,15,-0.0016451447561911608,-0.08061209305336688,0.3333333333333333,7,2,5,0.7,0.004403781754666085,-0.009404480698868222,-0.009105712019391074
route_episode_context__all__knn55_uniform,route_episode_context,all,55,uniform,topfrac,0.04,0.638642756168804,29,-0.001645674017809246,-0.04170932424447574,0.5517241379310345,6,3,3,0.6,0.00597620868523657,-0.010476281456283714,-0.006442105320594732
route_episode_context__all__knn55_distance,route_episode_context,all,55,distance,topfrac,0.04,0.638642756168804,29,-0.001645674017809246,-0.04170932424447574,0.5517241379310345,6,3,3,0.6,0.00597620868523657,-0.010476281456283714,-0.006442105320594732
human_episode_context__target_expert_family__knn55_uniform,human_episode_context,target_expert_family,55,uniform,topfrac,0.04,0.6386447858055673,29,-0.0016477036545724934,-0.041760765038302845,0.4827586206896552,10,4,6,1.0,0.00475094388886713,-0.010958088730848126,-0.010360345237902562
route_episode_context__target__knn35_uniform,route_episode_context,target,35,uniform,topfrac,0.04,0.6386495952659913,29,-0.0016525131149964223,-0.04188265998353005,0.5517241379310345,4,1,3,0.4,0.009318015103761396,-0.020118449004773175,-0.007150215380560632
human_episode_context__all__knn7_uniform,human_episode_context,all,7,uniform,topfrac,0.06,0.6386529584438709,44,-0.0016558762928761753,-0.0276606608014543,0.4772727272727273,9,3,6,0.9,0.005568397165027662,-0.012461365904500683,-0.010591135867630325
human_episode_context__target_episode_family__knn21_distance,human_episode_context,target_episode_family,21,distance,topfrac,0.02,0.6386532298774977,15,-0.001656147726503004,-0.0811512385986472,0.26666666666666666,9,2,7,0.9,0.003274644206667632,-0.007930989681704807,-0.01174734435750315
human_episode_context__expert_family__knn55_distance,human_episode_context,expert_family,55,distance,topfrac,0.08,0.6386638101740632,59,-0.0016667280230683484,-0.020763476219580263,0.576271186440678,10,3,7,1.0,0.006307993164764418,-0.008317183508525908,-0.012112926997783012
compact_episode_context__all__knn35_uniform,compact_episode_context,all,35,uniform,topfrac,0.02,0.638670256080053,15,-0.0016731739290581174,-0.08198552252384778,0.5333333333333333,4,2,2,0.4,0.005228547880790054,-0.014469643198574028,-0.005057456111176625
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.02,0.638670256080053,15,-0.0016731739290581174,-0.08198552252384778,0.5333333333333333,4,2,2,0.4,0.005228547880790054,-0.014469643198574028,-0.005057456111176625
human_episode_context__all__knn35_distance,human_episode_context,all,35,distance,topfrac,0.08,0.6386837723234637,59,-0.0016866901724689083,-0.021012157233299102,0.559322033898305,10,5,5,1.0,0.01014705163557234,-0.024291869931331873,-0.00970874791780476
compact_episode_context__all__knn21_uniform,compact_episode_context,all,21,uniform,topfrac,0.2,0.6386922203498668,147,-0.0016951381988720001,-0.008475690994360002,0.4897959183673469,10,6,4,1.0,0.025473925524645745,-0.07182145648755506,-0.01051622702756886
route_episode_context__target__knn55_distance,route_episode_context,target,55,distance,threshold,0.08,0.6386936593248115,51,-0.0016965771738166264,-0.02445067103441607,0.6274509803921569,7,3,4,0.7,0.011836061554846308,-0.021253822002653647,-0.008771986407043573
human_episode_context__all__knn55_distance,human_episode_context,all,55,distance,topfrac,0.06,0.6386941676330644,44,-0.0016970854820696616,-0.02834904157548185,0.5227272727272727,9,4,5,0.9,0.0058917251644729106,-0.018778227905268757,-0.009180844256740598
route_episode_context__target_expert_family__knn35_distance,route_episode_context,target_expert_family,35,distance,topfrac,0.03,0.6386957315939826,22,-0.001698649442987841,-0.05675033366345743,0.5909090909090909,5,2,3,0.5,0.010494166952997975,-0.030412290968916494,-0.007272774485937538
human_episode_context__all__knn55_distance,human_episode_context,all,55,distance,topfrac,0.01,0.6386987418741983,7,-0.0017016597232034076,-0.1786742709363578,0.2857142857142857,2,0,2,0.2,0.003544282430623464,-0.010510162754845452,-0.005033302087796928
route_episode_context__target_expert_family__knn7_uniform,route_episode_context,target_expert_family,7,uniform,topfrac,0.2,0.6386990479570694,147,-0.0017019658060746148,-0.008509829030373067,0.4965986394557823,10,4,6,1.0,0.016264404036509937,-0.0261322744191039,-0.012141626411551105
compact_episode_context__target__knn35_distance,compact_episode_context,target,35,distance,topfrac,0.01,0.6387027494086577,7,-0.001705667257662846,-0.1790950620545988,0.42857142857142855,3,1,2,0.3,0.006858860530015633,-0.019650343338422607,-0.005434496337165191
route_episode_context__expert_family__knn55_uniform,route_episode_context,expert_family,55,uniform,topfrac,0.03,0.638704011349324,22,-0.0017069291983291101,-0.05702695276235891,0.5454545454545454,6,3,3,0.6,0.005465021368374405,-0.012253142945660513,-0.0064266824035852715
compact_episode_context__target_episode_family__knn21_uniform,compact_episode_context,target_episode_family,21,uniform,topfrac,0.15,0.6387129204694673,110,-0.0017158383184723883,-0.011464919673429141,0.5636363636363636,10,7,3,1.0,0.014284452637662563,-0.02070996281341183,-0.007358506214121774
human_episode_context__expert_family__knn55_distance,human_episode_context,expert_family,55,distance,topfrac,0.15,0.6387196917268799,110,-0.0017226095758851887,-0.011510163984323758,0.5909090909090909,10,6,4,1.0,0.011409570522296566,-0.018660988566381192,-0.008434045154229672
human_episode_context__target_expert_family__knn55_uniform,human_episode_context,target_expert_family,55,uniform,topfrac,0.03,0.6387362642672229,22,-0.0017391821162280044,-0.0581044934285265,0.45454545454545453,9,4,5,0.9,0.004523297256906643,-0.010958088730848126,-0.009017676704764001
human_episode_context__target__knn21_uniform,human_episode_context,target,21,uniform,topfrac,0.04,0.6387405302931783,29,-0.0017434481421835478,-0.04418739256913475,0.3793103448275862,10,3,7,1.0,0.0032866123524126025,-0.009223252295009213,-0.01173643999504544
human_episode_context__all__knn21_uniform,human_episode_context,all,21,uniform,topfrac,0.01,0.6387420918861825,7,-0.0017450097351876996,-0.1832260221947085,0.2857142857142857,4,1,3,0.4,0.0030048819812432564,-0.007727142846470184,-0.006295742032374188
human_episode_context__expert_family__knn35_uniform,human_episode_context,expert_family,35,uniform,topfrac,0.06,0.6387455399747913,44,-0.0017484578237964984,-0.029207193192964224,0.5454545454545454,10,6,4,1.0,0.007884679654663709,-0.01860080051796719,-0.007931159771996054
human_episode_context__target_episode_family__knn7_distance,human_episode_context,target_episode_family,7,distance,topfrac,0.08,0.6387700360714587,59,-0.0017729539204638385,-0.022086798839676625,0.4406779661016949,9,5,4,0.9,0.005206689864065606,-0.013547901022759214,-0.00765395740007368
route_episode_context__target_expert_family__knn21_distance,route_episode_context,target_expert_family,21,distance,topfrac,0.08,0.6387703503819144,59,-0.001773268230919558,-0.02209071440213348,0.4915254237288136,6,2,4,0.6,0.012974959459534072,-0.017952190646498434,-0.009119512149849669
human_episode_context__all__knn55_distance,human_episode_context,all,55,distance,threshold,0.08,0.6387760609257557,5,-0.001778978774760805,-0.26150987988983837,0.2,2,0,2,0.2,0.004415101005024412,-0.014669146555429188,-0.005241243925514468
human_episode_context__all__knn35_distance,human_episode_context,all,35,distance,topfrac,0.03,0.6387890360781587,22,-0.001791953927163857,-0.05986755165751977,0.45454545454545453,8,3,5,0.8,0.008084915688046,-0.019696707168139753,-0.009704691280370756
compact_episode_context__target_expert_family__knn21_distance,compact_episode_context,target_expert_family,21,distance,topfrac,0.01,0.6387919427420644,7,-0.0017948605910696358,-0.18846036206231176,0.42857142857142855,4,2,2,0.4,0.005804056092759673,-0.017750092404688264,-0.0052654690049835865
human_episode_context__target__knn35_distance,human_episode_context,target,35,distance,topfrac,0.01,0.638798284248467,7,-0.001801202097472118,-0.18912622023457235,0.14285714285714285,3,0,3,0.3,0.003012099835400349,-0.00907769039953518,-0.006453017072782171
compact_episode_context__target_expert_family__knn13_distance,compact_episode_context,target_expert_family,13,distance,topfrac,0.01,0.6387989431056329,7,-0.0018018609546380287,-0.18919540023699297,0.14285714285714285,2,1,1,0.2,0.0057544596640290435,-0.018886500263417632,-0.003965029904242385
route_episode_context__expert_family__knn21_uniform,route_episode_context,expert_family,21,uniform,topfrac,0.02,0.6388063575645937,15,-0.0018092754135989066,-0.08865449526634643,0.3333333333333333,4,2,2,0.4,0.005845015695835715,-0.01698612533297696,-0.005286027767974264
human_episode_context__target_episode_family__knn55_uniform,human_episode_context,target_episode_family,55,uniform,topfrac,0.02,0.6388065902908443,15,-0.0018095081398494814,-0.08866589885262459,0.3333333333333333,5,1,4,0.5,0.0028450613294194347,-0.007562358470834809,-0.007736267339262396
human_episode_context__all__knn35_distance,human_episode_context,all,35,distance,topfrac,0.04,0.638810200639539,29,-0.0018131184885441466,-0.04595317548551544,0.4827586206896552,9,3,6,0.9,0.007450506822595451,-0.017518344303736937,-0.011030694511933465
human_episode_context__all__knn7_uniform,human_episode_context,all,7,uniform,topfrac,0.03,0.6388116963516584,22,-0.001814614200663491,-0.0606246107948939,0.3181818181818182,8,2,6,0.8,0.0023696279868982155,-0.006402644068102652,-0.010370058398698223
human_episode_context__target_expert_family__knn13_uniform,human_episode_context,target_expert_family,13,uniform,topfrac,0.03,0.6388209033451405,22,-0.0018238211941456,-0.06093220807713708,0.36363636363636365,9,4,5,0.9,0.005006503284382762,-0.011969596416941447,-0.009174796686803014
human_episode_context__target_episode_family__knn35_distance,human_episode_context,target_episode_family,35,distance,threshold,0.08,0.6388211944860969,67,-0.0018241123351019658,-0.02001078457164096,0.44776119402985076,10,5,5,1.0,0.010943571780982517,-0.016461479022879453,-0.009965648102249342
human_episode_context__all__knn7_distance,human_episode_context,all,7,distance,topfrac,0.04,0.6388251404674546,29,-0.0018280583164598557,-0.04633182284820668,0.41379310344827586,8,1,7,0.8,0.001678697502741968,-0.004117574859554809,-0.01177986294187115
human_episode_context__target_expert_family__knn55_distance,human_episode_context,target_expert_family,55,distance,topfrac,0.04,0.6388444678693774,29,-0.001847385718382536,-0.046821672517626325,0.4827586206896552,10,6,4,1.0,0.006145925556639785,-0.013824434689863949,-0.0077692745518785035
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,topfrac,0.08,0.6388474858174279,59,-0.0018504036664329798,-0.023051638895393897,0.5423728813559322,9,4,5,0.9,0.010171158183808376,-0.020101411478614082,-0.009976077394004237
compact_episode_context__all__knn35_distance,compact_episode_context,all,35,distance,threshold,0.08,0.6388474858174279,59,-0.0018504036664329798,-0.023051638895393897,0.5423728813559322,9,4,5,0.9,0.010171158183808376,-0.020101411478614082,-0.009976077394004237
human_episode_context__target__knn55_distance,human_episode_context,target,55,distance,threshold,0.08,0.6388517771660875,6,-0.0018546950150926478,-0.22720013934884933,0.16666666666666666,4,0,4,0.4,0.0026972359150842394,-0.007388925818043432,-0.007859280402355284
human_episode_context__target_episode_family__knn7_distance,human_episode_context,target_episode_family,7,distance,topfrac,0.02,0.6388563919898573,15,-0.0018593098388626187,-0.09110618210426831,0.2,7,0,7,0.7,0.002543220877953834,-0.007273335593002485,-0.012040792970555695
route_episode_context__target__knn7_distance,route_episode_context,target,7,distance,topfrac,0.04,0.6388581203241062,29,-0.0018610381731113052,-0.0471676916288555,0.3793103448275862,5,2,3,0.5,0.008656561734066787,-0.02267117021884435,-0.007159522433221323
human_episode_context__all__knn55_uniform,human_episode_context,all,55,uniform,topfrac,0.08,0.6388604750426577,59,-0.0018633928916629446,-0.023213453819868876,0.559322033898305,9,5,4,0.9,0.006444580967107093,-0.01539194587973101,-0.00793008003672901
human_episode_context__expert_family__knn21_distance,human_episode_context,expert_family,21,distance,topfrac,0.02,0.6388624899580889,15,-0.0018654078070940519,-0.09140498254760851,0.3333333333333333,6,1,5,0.6,0.002671506951562786,-0.007113866966391635,-0.00916613384982847
compact_episode_context__expert_family__knn35_uniform,compact_episode_context,expert_family,35,uniform,topfrac,0.03,0.6388751856621426,22,-0.0018781035111478217,-0.0627457309406204,0.5,6,4,2,0.6,0.00637756457506247,-0.015992650164381766,-0.005234738197407192
compact_episode_context__expert_family__knn55_distance,compact_episode_context,expert_family,55,distance,topfrac,0.02,0.6388859507695726,15,-0.0018888686185776025,-0.09255456231030254,0.4666666666666667,4,2,2,0.4,0.00590825373269327,-0.014172493588931192,-0.005375106678481593
route_episode_context__target_expert_family__knn13_distance,route_episode_context,target_expert_family,13,distance,topfrac,0.2,0.6388872952569692,147,-0.001890213105974317,-0.009451065529871587,0.46938775510204084,10,4,6,1.0,0.022376028673560533,-0.04099369477025234,-0.013246617407008398
compact_episode_context__all__knn55_uniform,compact_episode_context,all,55,uniform,topfrac,0.08,0.6388973392244378,59,-0.0019002570734430258,-0.023672694050519052,0.559322033898305,9,5,4,0.9,0.01310423915465153,-0.026023544106944883,-0.008965892946640755
human_episode_context__all__knn7_distance,human_episode_context,all,7,distance,topfrac,0.06,0.6389021464679866,44,-0.0019050643169917258,-0.03182323347702088,0.4772727272727273,9,2,7,0.9,0.0028213083926909373,-0.005949747724684908,-0.011928260575895367
route_episode_context__target__knn55_distance,route_episode_context,target,55,distance,topfrac,0.03,0.6389031973997178,22,-0.0019061152487229755,-0.06368157762779035,0.5454545454545454,4,1,3,0.4,0.009301105596540795,-0.021074855502463814,-0.007401281088204095
human_episode_context__expert_family__knn55_uniform,human_episode_context,expert_family,55,uniform,topfrac,0.1,0.6389036893433543,74,-0.0019066071923594676,-0.01893724711330011,0.5675675675675675,10,5,5,1.0,0.006789878510932706,-0.012666556195229243,-0.009425088968999372
human_episode_context__target__knn13_uniform,human_episode_context,target,13,uniform,topfrac,0.03,0.6389146940516509,22,-0.001917611900656131,-0.06406567031737528,0.3181818181818182,9,4,5,0.9,0.002867945096096607,-0.00569810353951723,-0.008947803665070623
route_episode_context__target__knn13_uniform,route_episode_context,target,13,uniform,threshold,0.08,0.6389191630030712,168,-0.0019220808520764888,-0.00840910372783464,0.48214285714285715,10,4,6,1.0,0.02795985856728695,-0.04976171065045118,-0.014116059637169533
human_episode_context__target_expert_family__knn21_uniform,human_episode_context,target_expert_family,21,uniform,topfrac,0.02,0.638931709540009,15,-0.0019346273890142119,-0.09479674206169637,0.3333333333333333,9,2,7,0.9,0.002473312645052617,-0.0059540193440240355,-0.011905624285772106
compact_episode_context__target_episode_family__knn13_uniform,compact_episode_context,target_episode_family,13,uniform,threshold,0.08,0.6389384823034087,176,-0.0019414001524138903,-0.008107551772864824,0.5511363636363636,10,5,5,1.0,0.014403462654281638,-0.0218589080602044,-0.010601919550556137
human_episode_context__expert_family__knn35_uniform,human_episode_context,expert_family,35,uniform,topfrac,0.04,0.6389401826090153,29,-0.0019431004580204884,-0.04924754609120893,0.5517241379310345,10,5,5,1.0,0.006554292134478661,-0.016156884047079413,-0.009426244278192285
human_episode_context__expert_family__knn35_distance,human_episode_context,expert_family,35,distance,topfrac,0.03,0.638945827755735,22,-0.0019487456047402043,-0.06510581906745681,0.45454545454545453,9,2,7,0.9,0.00545425524835054,-0.016156884047079413,-0.012366883891992786
compact_episode_context__target_episode_family__knn13_distance,compact_episode_context,target_episode_family,13,distance,threshold,0.08,0.638948126643336,174,-0.0019510444923410998,-0.008241481045233956,0.5517241379310345,10,5,5,1.0,0.01698979438964046,-0.02351040292015419,-0.01099951365078717
compact_episode_context__target__knn55_distance,compact_episode_context,target,55,distance,topfrac,0.08,0.6389522063453725,59,-0.0019551241943777087,-0.024356208184196874,0.5932203389830508,7,3,4,0.7,0.013173254083729926,-0.024296670874681882,-0.009231112306937198
human_episode_context__all__knn13_uniform,human_episode_context,all,13,uniform,topfrac,0.04,0.6389689095484224,29,-0.001971827397427654,-0.049975625417562966,0.3793103448275862,7,2,5,0.7,0.004373035563149848,-0.011191709022746217,-0.009427782731900132
human_episode_context__target__knn55_uniform,human_episode_context,target,55,uniform,topfrac,0.04,0.6389721953287033,29,-0.001975113177708406,-0.05005890295226476,0.3793103448275862,7,2,5,0.7,0.006617250357569197,-0.014145522847417772,-0.009767700731343785
route_episode_context__target__knn35_uniform,route_episode_context,target,35,uniform,topfrac,0.03,0.6389760008628701,22,-0.001978918711875285,-0.06611387514674251,0.5454545454545454,3,1,2,0.3,0.011019329773677852,-0.02588884655890572,-0.006331818177926963
compact_episode_context__target_episode_family__knn55_distance,compact_episode_context,target_episode_family,55,distance,topfrac,0.2,0.6389822245536435,147,-0.0019851424026486888,-0.009925712013243446,0.5714285714285714,10,5,5,1.0,0.017119395638393462,-0.03171728485150699,-0.011053051748407709
human_episode_context__target_episode_family__knn35_distance,human_episode_context,target_episode_family,35,distance,topfrac,0.08,0.6389838024453862,59,-0.0019867202943914305,-0.024749820616571203,0.4406779661016949,10,5,5,1.0,0.010228632776044914,-0.01598164451610205,-0.010021015210798168
human_episode_context__target_episode_family__knn55_distance,human_episode_context,target_episode_family,55,distance,topfrac,0.02,0.6389849891028562,15,-0.0019879069518613,-0.0974074406412037,0.3333333333333333,5,1,4,0.5,0.003882614171641711,-0.013011015086638463,-0.008070299077607555
human_episode_context__target_episode_family__knn35_uniform,human_episode_context,target_episode_family,35,uniform,topfrac,0.06,0.6389935594098748,44,-0.0019964772588798698,-0.03335024511992509,0.45454545454545453,9,4,5,0.9,0.009593174024516093,-0.013818758973349915,-0.010035453362557284
human_episode_context__target_expert_family__knn55_distance,human_episode_context,target_expert_family,55,distance,topfrac,0.03,0.6389971718123632,22,-0.00200008966136835,-0.06682117732298808,0.45454545454545453,8,4,4,0.8,0.004588105209124515,-0.010271572156860812,-0.007888305442737028
compact_episode_context__target__knn55_uniform,compact_episode_context,target,55,uniform,topfrac,0.08,0.6390003754044874,59,-0.002003293253492604,-0.024956280361306166,0.6101694915254238,7,3,4,0.7,0.012776032121625529,-0.023077415968017732,-0.009219698071736435
compact_episode_context__all__knn21_distance,compact_episode_context,all,21,distance,topfrac,0.04,0.6390068791829571,29,-0.0020097970319622282,-0.050937959258353024,0.4482758620689655,4,2,2,0.4,0.006051675319224127,-0.014857912000035986,-0.0055175483298458465
route_episode_context__all__knn55_distance,route_episode_context,all,55,distance,topfrac,0.03,0.6390124688428196,22,-0.00201538669182475,-0.06733223720414507,0.5,5,2,3,0.5,0.005485860126098571,-0.012253142945660513,-0.006838265710739536
compact_episode_context__target_expert_family__knn35_uniform,compact_episode_context,target_expert_family,35,uniform,topfrac,0.03,0.6390127927912888,22,-0.0020157106402939402,-0.06734306002800211,0.5454545454545454,5,2,3,0.5,0.006128246838459664,-0.015909493256317464,-0.006934947666062891
compact_episode_context__target_expert_family__knn13_distance,compact_episode_context,target_expert_family,13,distance,threshold,0.08,0.6390133314959857,161,-0.0020162493449909094,-0.009204616574958495,0.515527950310559,10,3,7,1.0,0.019696458254838806,-0.017111187632483687,-0.014470718083216729
