fold,source,target,loss
3,db_prebed__deviation__c0.3_b0.2,S1,
3,db_prebed__deviation__c0.3_b0.2,S2,
3,db_prebed__deviation__c0.3_b0.2,S3,
3,db_prebed__deviation__c0.3_b0.2,S4,
3,routine_regularity__deviation__c0.3_b0.2,Q1,
3,routine_regularity__deviation__c0.3_b0.2,Q2,
3,routine_regularity__deviation__c0.3_b0.2,Q3,
3,routine_regularity__deviation__c0.3_b0.2,S1,
3,routine_regularity__deviation__c0.3_b0.2,S2,
3,routine_regularity__deviation__c0.3_b0.2,S3,
3,routine_regularity__deviation__c0.3_b0.2,S4,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
3,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
3,best__absolute_plus_deviation__c0.3_b0.2,Q1,
3,best__absolute_plus_deviation__c0.3_b0.2,Q2,
3,best__absolute_plus_deviation__c0.3_b0.2,Q3,
3,best__absolute_plus_deviation__c0.3_b0.2,S1,
3,best__absolute_plus_deviation__c0.3_b0.2,S2,
3,best__absolute_plus_deviation__c0.3_b0.2,S3,
3,best__absolute_plus_deviation__c0.3_b0.2,S4,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q1,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q2,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,Q3,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S1,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S2,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S3,
3,best_plus_routine_regularity__absolute_plus_deviation__c0.3_b0.2,S4,
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,Q1,
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,Q2,
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,Q3,
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S1,
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S2,
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S3,0.5612025214454852
3,best_plus_mobility_constriction__absolute_plus_deviation__c0.3_b0.2,S4,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,Q1,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,Q2,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,Q3,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S1,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S2,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S3,
3,acm_night_environment__absolute_plus_deviation__c0.3_b0.2,S4,
3,ef_recovery_slope__absolute__c0.3_b0.2,Q1,
3,ef_recovery_slope__absolute__c0.3_b0.2,Q2,
3,ef_recovery_slope__absolute__c0.3_b0.2,Q3,
3,ef_recovery_slope__absolute__c0.3_b0.2,S1,
3,ef_recovery_slope__absolute__c0.3_b0.2,S2,
3,ef_recovery_slope__absolute__c0.3_b0.2,S3,
3,ef_recovery_slope__absolute__c0.3_b0.2,S4,
3,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
3,ef_recovery_slope__deviation__c0.3_b0.2,Q2,
3,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
3,ef_recovery_slope__deviation__c0.3_b0.2,S1,
3,ef_recovery_slope__deviation__c0.3_b0.2,S2,
3,ef_recovery_slope__deviation__c0.3_b0.2,S3,
3,ef_recovery_slope__deviation__c0.3_b0.2,S4,
3,routine_regularity__deviation__c0.1_b0.2,Q1,
3,routine_regularity__deviation__c0.1_b0.2,Q2,
3,routine_regularity__deviation__c0.1_b0.2,Q3,
3,routine_regularity__deviation__c0.1_b0.2,S1,
3,routine_regularity__deviation__c0.1_b0.2,S2,
3,routine_regularity__deviation__c0.1_b0.2,S3,
3,routine_regularity__deviation__c0.1_b0.2,S4,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
3,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q1,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q2,0.7507255064728415
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,Q3,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S1,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S2,
3,ef_recovery_slope__absolute_plus_deviation__c0.3_b0.2,S3,
