fold,source,target,loss
4,best__absolute_plus_deviation__c0.3_b0.2,Q1,0.6617366600645
4,best__absolute_plus_deviation__c0.3_b0.2,Q2,
4,best__absolute_plus_deviation__c0.3_b0.2,Q3,
4,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5982315468350962
4,best__absolute_plus_deviation__c0.3_b0.2,S2,0.5843673542734815
4,best__absolute_plus_deviation__c0.3_b0.2,S3,0.5004959186528348
4,best__absolute_plus_deviation__c0.3_b0.2,S4,
4,td_trajectory__deviation__c0.3_b0.2,Q1,
4,td_trajectory__deviation__c0.3_b0.2,Q2,
4,td_trajectory__deviation__c0.3_b0.2,Q3,
4,td_trajectory__deviation__c0.3_b0.2,S1,
4,td_trajectory__deviation__c0.3_b0.2,S2,
4,td_trajectory__deviation__c0.3_b0.2,S3,
4,td_trajectory__deviation__c0.3_b0.2,S4,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q1,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q2,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,Q3,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,S1,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,S2,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,S3,
4,best_plus_trajectory_proto__absolute__c0.3_b0.2,S4,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,Q1,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,Q2,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,Q3,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,S1,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,S2,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,S3,
4,best_plus_event_rhythm__deviation__c0.3_b0.2,S4,
5,td_trajectory__deviation__c0.03_b0.2,Q1,
5,td_trajectory__deviation__c0.03_b0.2,Q2,
5,td_trajectory__deviation__c0.03_b0.2,Q3,
5,td_trajectory__deviation__c0.03_b0.2,S1,
5,td_trajectory__deviation__c0.03_b0.2,S2,
5,td_trajectory__deviation__c0.03_b0.2,S3,
5,td_trajectory__deviation__c0.03_b0.2,S4,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q1,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q2,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,Q3,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,S1,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,S2,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,S3,
5,best_plus_trajectory_proto__absolute__c0.03_b0.2,S4,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q1,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q2,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,Q3,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,S1,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,S2,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,S3,
5,best_plus_trajectory_proto__deviation__c0.03_b0.2,S4,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q1,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q2,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,Q3,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S1,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S2,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S3,
5,best_plus_event_rhythm__absolute_plus_deviation__c0.1_b0.2,S4,
5,best__absolute_plus_deviation__c0.3_b0.2,Q1,0.6786577006204288
5,best__absolute_plus_deviation__c0.3_b0.2,Q2,
5,best__absolute_plus_deviation__c0.3_b0.2,Q3,
