atom_id,kind,row,targets,frac,gamma,bundle_score,roles,delta_route,delta_h098,delta_curv_marg,delta_badw,delta_badmax,delta_h088,delta_margin,h139_atom_score
anti1_r131_S1_f0p5,anti1,131,S1,0.5,1.0,0.5479873421530015,,1.3242048012484728e-06,7.973148133095078e-07,7.72295951309912e-07,0.0,0.0,-0.00029838160877087433,-0.001377809760116755,-0.048098917759422447
forward_r207_S4_f0p25,forward,207,S4,0.25,0.0,0.5437459713431625,,1.2704814650987394e-06,8.723550215570348e-07,-2.0611878250227124e-07,0.0,0.0,0.000897354383170075,-0.0004954502586547449,-0.019048726401037303
anti025_r207_S4_f0p25,anti025,207,S4,0.25,0.25,0.5437459713431625,,1.2108635433888924e-06,2.4088180445799596e-07,2.647332202441056e-07,0.0,0.0,-0.00016446495858021826,-3.110147376211847e-05,-0.0003699005573829482
anti05_r207_S4_f0p25,anti05,207,S4,0.25,0.5,0.5437459713431625,,1.230723247490394e-06,4.307142443106624e-07,3.730995223221508e-07,0.0,0.0,-0.00030452605733097965,-0.00012429680560199774,-0.00261019743544236
anti1_r207_S4_f0p25,anti1,207,S4,0.25,1.0,0.5437459713431625,stress_decoy,1.2704814650987394e-06,8.103839032568005e-07,5.706255695855835e-07,0.0,0.0,-0.0005112098542562823,-0.0004954502586547449,-0.014403218507554591
forward_r207_S4_f0p5,forward,207,S4,0.5,0.0,0.5437459713431625,,1.3501531379383168e-06,1.6936845747134166e-06,-6.32381319593282e-07,0.0,0.0,0.0021572996314229223,-0.0019545401282084485,-0.07220396795274943
anti1_r207_S4_f0p5,anti1,207,S4,0.5,1.0,0.5437459713431625,stress_decoy,1.3501531379383168e-06,1.569742338113165e-06,9.183063882931344e-07,0.0,0.0,-0.0006339681488651758,-0.0019545401282084485,-0.06640901620261065
forward_r164_S4Q3_f0p25,forward,164,"S4,Q3",0.25,0.0,0.523195053104395,,-1.781116137508057e-05,4.050895660419546e-07,3.081517262388568e-08,0.0,0.0,0.000796232226760181,-0.0023984782746178934,-0.08663688237379437
anti025_r164_S4Q3_f0p25,anti025,164,"S4,Q3",0.25,0.25,0.523195053104395,locked_core_unwind,5.979756229720912e-06,-1.5225852018985533e-07,2.8802924313892433e-07,0.0,0.0,-0.0001359663116103707,0.0004397339861884897,0.00814715663496849
anti05_r164_S4Q3_f0p25,anti05,164,"S4,Q3",0.25,0.5,0.523195053104395,locked_core_unwind,1.0768510744989246e-05,-3.555661433196763e-07,4.200797308255653e-07,0.0,0.0,-0.00024502740872266865,0.0008110132000584969,0.015094022137095896
anti1_r164_S4Q3_f0p25,anti1,164,"S4,Q3",0.25,1.0,0.523195053104395,locked_core_unwind,2.0346064959435696e-05,-7.621758253405784e-07,6.560071051343267e-07,0.0,0.0,-0.0003798094924592141,0.001340994634194459,0.023560977503070603
forward_r164_S4Q3_f0p5,forward,164,"S4,Q3",0.5,0.0,0.523195053104395,,-3.4781327798577566e-05,5.62685534508567e-07,-9.363557871666477e-08,0.0,0.0,0.0016769512584104626,-0.005072564889465614,-0.18301746960560827
anti025_r164_S4Q3_f0p5,anti025,164,"S4,Q3",0.5,0.25,0.523195053104395,locked_core_unwind,1.0260559836452153e-05,-3.064490768620075e-07,3.9462020886660114e-07,0.0,0.0,-0.0001831971944882549,0.0006712027855322045,0.011695378507334802
anti05_r164_S4Q3_f0p5,anti05,164,"S4,Q3",0.5,0.5,0.523195053104395,locked_core_unwind,1.9330159853595333e-05,-6.639420974251676e-07,6.065884254006365e-07,0.0,0.0,-0.00026105554704079076,0.0010737581120682238,0.017080304856214187
anti1_r164_S4Q3_f0p5,anti1,164,"S4,Q3",0.5,1.0,0.523195053104395,locked_core_unwind,3.7469530757224456e-05,-1.3789070965967423e-06,9.190961455572775e-07,0.0,0.0,-9.018043816094029e-05,0.0010415944613120787,0.0064907179439909445
forward_r164_S4Q3_f0p6,forward,164,"S4,Q3",0.6,0.0,0.523195053104395,,-2.2890605950036044e-05,8.962681748466003e-07,-2.3704946099339756e-07,0.0,0.0,0.001475100294723239,-0.003952674179442894,-0.14294158354583375
anti025_r164_S4Q3_f0p6,anti025,164,"S4,Q3",0.6,0.25,0.523195053104395,locked_core_unwind,7.249632394266915e-06,-2.750513226321182e-07,3.521069838338057e-07,0.0,0.0,-0.0002922133432573734,0.0007932812465205608,0.016747276611405917
anti05_r164_S4Q3_f0p6,anti05,164,"S4,Q3",0.6,0.5,0.523195053104395,locked_core_unwind,1.3308269082404432e-05,-6.011510083000788e-07,5.458167023342491e-07,0.0,0.0,-0.0005499183673375388,0.001498514593530259,0.03179478258579751
