candidate_id,family,target_subset,alpha,k,file,posterior_delta_mean_vs_h012,posterior_delta_p10_vs_h012,posterior_delta_p90_vs_h012,posterior_delta_max_vs_h012,posterior_beats_h012_rate,expected_public_if_posterior,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_cell_score_changed,min_consistency_changed,mean_consistency_changed,h015_decision,decision_rank
top_S_k400_a0.25,top,S,0.25,400,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k400_a0.25_2de38d23.csv,-0.0005306188316941049,-0.0006118471126686669,-0.00040239585355678097,-0.0001569672727689966,1.0,0.5675928642683059,211,400,0.0018233489477341243,0.021200429022458667,0.7270712170691914,0.6,0.9743333333333334,post_h012_sensor,1
stable_S_k200_a0.9,stable_top,S,0.9,200,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k200_a0.9_45678cc8.csv,-0.00076519011000028,-0.0009737699386806303,-0.00038833494943990153,0.00010680352937095553,0.9666666666666667,0.5673582929899997,131,200,0.0030165014553813784,0.06295106614200985,1.1175655415448875,0.8,0.9848333333333333,post_h012_sensor,1
top_all_k200_a0.45,top,all,0.45,200,hitl/h015_public_equation_self_feedback/submission_h015_top_all_k200_a0.45_39a6bd73.csv,-0.0006458280192533291,-0.0007800497256005432,-0.00037438164326444905,-0.00020556565032335536,1.0,0.5674776550807468,123,200,0.0015493826191723362,0.03586966063182284,1.3966902751824577,0.6,0.9660000000000001,post_h012_sensor,1
top_S_k200_a0.45,top,S,0.45,200,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a0.45_f611181f.csv,-0.000588480318130407,-0.0007108543412648505,-0.00036685985766952896,-0.00015539457917886678,1.0,0.5675350027818696,124,200,0.0015690998019561877,0.03586966063182284,1.2454052742300497,0.6,0.9683333333333334,post_h012_sensor,1
stable_all_k200_a0.35,stable_top,all,0.35,200,hitl/h015_public_equation_self_feedback/submission_h015_stable_all_k200_a0.35_f299437f.csv,-0.0005348414257186064,-0.0006210257047756822,-0.00034567510236576987,-0.00018420599491914756,1.0,0.5675886416742815,126,200,0.001306698854897873,0.028776433055539452,1.2579664134636241,0.8,0.9818333333333333,post_h012_sensor,1
stable_S_k200_a0.35,stable_top,S,0.35,200,hitl/h015_public_equation_self_feedback/submission_h015_stable_S_k200_a0.35_d7995f3c.csv,-0.00048249897307246526,-0.0005636133508925702,-0.00033594418841009733,-0.00014339033553922503,1.0,0.5676409841269275,131,200,0.001313719775263784,0.028776433055539452,1.1175655415448875,0.8,0.9848333333333333,post_h012_sensor,1
target_S3_k180_a0.9,target_top,S3,0.9,180,hitl/h015_public_equation_self_feedback/submission_h015_target_S3_k180_a0.9_a1cccc53.csv,-0.0003843002917251084,-0.0004586925720492117,-0.0003230581748798897,0.00013891314331904798,0.9333333333333333,0.567739182808275,180,180,0.002563536457505537,0.0566671653254851,0.3050229648737465,0.6666666666666666,0.9742592592592593,post_h012_sensor,1
top_S_k200_a1,top,S,1.0,200,hitl/h015_public_equation_self_feedback/submission_h015_top_S_k200_a1_54547a25.csv,-0.0007920185273192453,-0.0010639608009513479,-0.0002995286151839849,0.0001703942259063865,0.9666666666666667,0.5673314645726808,124,200,0.003146977273949064,0.0684054756314767,1.2454052742300497,0.6,0.9683333333333334,post_h012_sensor,1
stable_Q_k800_a0.9,stable_top,Q,0.9,800,hitl/h015_public_equation_self_feedback/submission_h015_stable_Q_k800_a0.9_f6485f35.csv,-0.0003915389924447987,-0.000474005170462802,-0.00029909765031275597,6.713459397518093e-05,0.9333333333333333,0.5677319441075552,250,714,0.0051682555264405015,0.06544843369149089,0.1115509458586016,0.7666666666666667,0.9556022408963586,post_h012_sensor,1
direct_all_a0.1,direct,all,0.1,0,hitl/h015_public_equation_self_feedback/submission_h015_direct_all_a0.1_35c68bc9.csv,-0.00035577114093148676,-0.0003993401448146574,-0.00029338882837604035,-0.00012259028841402365,1.0,0.5677677119590686,250,1750,0.0018414856895582839,0.01140716045270096,0.2368302937372508,0.5,0.9482285714285715,post_h012_sensor,1
