candidate_id,file,resolved_path,family,components,component_count,changed_cells_vs_h012,changed_rows_vs_h012,mean_abs_prob_move_h012,max_abs_prob_move_h012,mean_abs_logit_move_h012,max_abs_logit_move_h012,route_equation_delta_vs_h012,route_equation_delta_iqr,h012posterior_delta_vs_h012,h036world_delta_vs_h012
h043_h042core0.66_tail20_b0.08_c65_6154471f,submission_h043_h042core0.66_tail20_b0.08_c65_6154471f.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail20_b0.08_c65_6154471f.csv,h042core0.66_tail20_b0.08,h042core0.66_tail20_b0.08,2,65,65,0.004464407989715678,0.048488496918805524,0.020145464077330304,0.2954686075418076,-0.00017664469953553128,0.0007625488245296462,2.28350189565964e-06,-1.5242165013106136e-05
h043_h042core0.66_tail20_b0.12_c65_3b4a2780,submission_h043_h042core0.66_tail20_b0.12_c65_3b4a2780.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail20_b0.12_c65_3b4a2780.csv,h042core0.66_tail20_b0.12,h042core0.66_tail20_b0.12,2,65,65,0.0045216926299178764,0.048488496918805524,0.020395164884608602,0.2954686075418076,-0.00017766411392538924,0.0007636261292335784,2.1439153567231664e-06,-1.5576957511180764e-05
h043_h042core0.66_tail20_b0.18_c65_2de3ae2b,submission_h043_h042core0.66_tail20_b0.18_c65_2de3ae2b.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail20_b0.18_c65_2de3ae2b.csv,h042core0.66_tail20_b0.18,h042core0.66_tail20_b0.18,2,65,65,0.004607546012164065,0.048488496918805524,0.02076971609552604,0.2954686075418076,-0.00017913354291753777,0.0007764037896814854,1.955145777334347e-06,-1.6054596674931366e-05
h043_h042core0.66_tail35_b0.04_c80_1e4b0948,submission_h043_h042core0.66_tail35_b0.04_c80_1e4b0948.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail35_b0.04_c80_1e4b0948.csv,h042core0.66_tail35_b0.04,h042core0.66_tail35_b0.04,2,80,80,0.004433338648256398,0.048488496918805524,0.02001373239612833,0.2954686075418076,-0.0001759963696940728,0.0007660564075420546,2.3917844068048012e-06,-1.4982852097548006e-05
h043_h042core0.66_tail35_b0.08_c80_c5026e51,submission_h043_h042core0.66_tail35_b0.08_c80_c5026e51.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail35_b0.08_c80_c5026e51.csv,h042core0.66_tail35_b0.08,h042core0.66_tail35_b0.08,2,80,80,0.00451691127023151,0.048488496918805524,0.020381402329482948,0.2954686075418076,-0.0001774387673352862,0.0007669302037189174,2.20206928090596e-06,-1.5414956515663013e-05
h043_h042core0.66_tail35_b0.12_c80_e94511e6,submission_h043_h042core0.66_tail35_b0.12_c80_e94511e6.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail35_b0.12_c80_e94511e6.csv,h042core0.66_tail35_b0.12,h042core0.66_tail35_b0.12,2,80,80,0.004600440317684151,0.048488496918805524,0.02074907226283758,0.2954686075418076,-0.00017883746269389966,0.0007721850323575654,2.026540622680263e-06,-1.5829566760520822e-05
h043_h042core0.66_tail35_b0.18_c80_eb130803,submission_h043_h042core0.66_tail35_b0.18_c80_eb130803.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail35_b0.18_c80_eb130803.csv,h042core0.66_tail35_b0.18,h042core0.66_tail35_b0.18,2,80,80,0.004725650885731469,0.048488496918805524,0.0213005771628695,0.2954686075418076,-0.0001808536273245318,0.0007705164941388906,1.7898226362570262e-06,-1.641871207430804e-05
h043_h042core0.66_tail55_b0.04_c100_ebb3e81c,submission_h043_h042core0.66_tail55_b0.04_c100_ebb3e81c.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail55_b0.04_c100_ebb3e81c.csv,h042core0.66_tail55_b0.04,h042core0.66_tail55_b0.04,2,100,100,0.004470612534588757,0.048488496918805524,0.02018333636017536,0.2954686075418076,-0.00017615479472358241,0.0007659775557783133,2.26102963280701e-06,-1.605859216595745e-05
h043_h042core0.66_tail55_b0.08_c100_cb5fd03b,submission_h043_h042core0.66_tail55_b0.08_c100_cb5fd03b.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail55_b0.08_c100_cb5fd03b.csv,h042core0.66_tail55_b0.08,h042core0.66_tail55_b0.08,2,100,100,0.004591449215541794,0.048488496918805524,0.020720610257577002,0.2954686075418076,-0.0001777432790232125,0.0007701526898160971,1.947110156701522e-06,-1.7550142001694515e-05
h043_h042core0.66_tail55_b0.12_c100_0569a3ab,submission_h043_h042core0.66_tail55_b0.12_c100_0569a3ab.csv,/Users/kbsoo/Downloads/cl2/hitl/h043_q2_phase_manifold_jepa/submission_h043_h042core0.66_tail55_b0.12_c100_0569a3ab.csv,h042core0.66_tail55_b0.12,h042core0.66_tail55_b0.12,2,100,100,0.004712232327465956,0.048488496918805524,0.021257884154978663,0.2954686075418076,-0.00017927572765036868,0.0007767293596617901,1.653926552734949e-06,-1.9007897327214187e-05
