candidate_id,alpha_row207,beta_row135,changed_cells_vs_h136,delta_route_vs_h136,delta_h098_vs_h136,delta_h088_vs_h136,delta_margin_vs_h136,delta_route_vs_h141,delta_h098_vs_h141,delta_h088_vs_h141,delta_margin_vs_h141,route,h098,h088,margin,h102_cum_h088_axis_cos,h102_cum_good_bad_margin,h142_branch_saddle_pass,h142_coactivation_route_barrier,h142_balanced_barrier_probe_pass,h142_branch_saddle_score
h142_a0p35_b0p35_34676496,0.35,0.35,5,3.599733225139205e-06,1.5396119455692503e-06,-0.001832439933400938,0.00034594907771415273,2.406936285818343e-06,5.394418525733313e-07,-0.00040650103783002045,7.978648066883642e-05,-0.000758693864363015,-2.5818416295956084e-05,-0.06396510435267119,0.15978699952600672,-0.06396510435267119,0.15978699952600672,False,True,False,0.03882328044812494
h142_a1p15_b0p2_bcc5ec3d,1.15,0.2,5,3.629855291329082e-06,1.9237392893204372e-06,-0.0025843514748014676,0.0001301993275382718,2.43705835200822e-06,9.235691963245182e-07,-0.00115841257923055,-0.00013596326950704452,-0.0007586637422968252,-2.5434288952204897e-05,-0.06471701589407172,0.15957124977583084,-0.06471701589407172,0.15957124977583084,False,False,False,0.03880557227238738
h142_a0p2_b1p0_b4c3181b,0.2,1.0,5,3.6116629763651483e-06,1.87050639553711e-06,-0.0017386228989282396,0.0004770407830492207,2.4188660370442865e-06,8.703363025411911e-07,-0.00031268400335732194,0.0002108781860039044,-0.0007586819346117891,-2.5487521845988224e-05,-0.0638712873181985,0.1599180912313418,-0.0638712873181985,0.1599180912313418,False,False,False,0.038770124872365745
h142_a1p0_b0p2_d7b2c004,1.0,0.2,5,3.6234101592487033e-06,1.8334926951790557e-06,-0.00244584089726025,0.00017763084269939444,2.4306132199278414e-06,8.333226021831367e-07,-0.0010199020016893323,-8.853175434592186e-05,-0.0007586701874289055,-2.5524535546346278e-05,-0.0645785053165305,0.15961868129099197,-0.0645785053165305,0.15961868129099197,False,False,False,0.038625666071686604
h142_a0p8_b0p2_dcb16932,0.8,0.2,5,3.614818766964909e-06,1.7131641637109203e-06,-0.0022568827826439583,0.0002306276422193443,2.422021827644047e-06,7.129940707150013e-07,-0.0008309438870730407,-3.553495482597202e-05,-0.0007586787788211893,-2.5644864077814414e-05,-0.06438954720191421,0.15967167809051191,-0.06438954720191421,0.15967167809051191,False,True,False,0.0379528014766977
h142_a0p2_b0p8_12dc6505,0.2,0.8,5,3.6060095707638514e-06,1.7409245856419555e-06,-0.0017238727997382977,0.0004492291785345992,2.4132126314429896e-06,7.407544926460365e-07,-0.0002979339041673801,0.0001830665814892829,-0.0007586875880173904,-2.561710365588338e-05,-0.06385653721900855,0.15989027962682717,-0.06385653721900855,0.15989027962682717,False,True,False,0.03780778436236869
h142_a0p65_b0p2_dbf261cc,0.65,0.2,5,3.608376810619162e-06,1.622917960649936e-06,-0.002111973780467437,0.00026267213405625767,2.4155798712983e-06,6.227478676540171e-07,-0.0006860348848965192,-3.4904629890586403e-06,-0.0007586852207775351,-2.5735110280875398e-05,-0.06424463819973769,0.15970372258234883,-0.06424463819973769,0.15970372258234883,False,True,False,0.037122983745868005
h142_a0p2_b0p65_72b5f7c7,0.2,0.65,5,3.60177058338464e-06,1.643738359595969e-06,-0.0017107642771135509,0.0004232378326889663,2.408973644063778e-06,6.435682666000499e-07,-0.00028482538154263326,0.00015707523564365,-0.0007586918270047696,-2.5714289881929365e-05,-0.0638434286963838,0.15986428828098154,-0.0638434286963838,0.15986428828098154,False,True,False,0.036870563848171195
h142_a0p5_b0p2_13e85524,0.5,0.2,5,3.601936215302543e-06,1.5326719251946815e-06,-0.0019643464660939677,0.0002881004540479515,2.4091392759816813e-06,5.325018321987625e-07,-0.0005384075705230501,2.1937857002635175e-05,-0.0007586916613728517,-2.5825356316330652e-05,-0.06409701088536422,0.15972915090234052,-0.06409701088536422,0.15972915090234052,False,True,False,0.036014208150972976
h142_a0p2_b0p5_8e106e98,0.2,0.5,5,3.597532510423709e-06,1.54655224615728e-06,-0.0016959106628286133,0.000392867946683223,2.404735571102847e-06,5.46382153161361e-07,-0.00026997176725769567,0.0001267053496379067,-0.0007586960650777305,-2.5811475995368054e-05,-0.06382857508209887,0.1598339183949758,-0.06382857508209887,0.1598339183949758,False,True,False,0.035749538845020974
h142_a0p35_b0p2_e61ae173,0.35,0.2,5,3.595496981015486e-06,1.4424260573454818e-06,-0.0018140166547741879,0.0003069031078567763,2.402700041694624e-06,4.422559643495628e-07,-0.00038807775920327026,4.074051081146002e-05,-0.0007586981006071388,-2.5915602184179852e-05,-0.06394668107404444,0.15974795355614935,-0.06394668107404444,0.15974795355614935,False,True,False,0.03462637012461623
h142_a0p2_b0p35_a3219873,0.2,0.35,5,3.5932953518812757e-06,1.449366245325997e-06,-0.0016793201141412015,0.0003581393999248783,2.400498412560414e-06,4.4919615233007804e-07,-0.00025338121857028384,9.1976802879562e-05,-0.000758700302236273,-2.5908661996199337e-05,-0.06381198453341146,0.15979918984821745,-0.06381198453341146,0.15979918984821745,False,True,False,0.03444554737045385
h142_a0p2_b0p2_d7739b87,0.2,0.2,5,3.589059107757123e-06,1.3521803571024454e-06,-0.0016610011850578324,0.0003190730698270361,2.396262168436261e-06,3.520102641065264e-07,-0.00023506228948691477,5.2910472781719786e-05,-0.0007587045384803971,-2.600584788442289e-05,-0.06379366560432809,0.1597601235181196,-0.06379366560432809,0.1597601235181196,False,True,False,0.03295946932143917
