q_source,row_prior,subset_size,label_mode,best_mae,median_mae,best_spearman,n_particles
h018hard,h030_score_memory_public_combo,190,sample,0.0004458046497557832,0.001791320539171139,0.9533834586453035,36
h012posterior,uniform,230,sample,0.00044674522005977446,0.0012866012714296232,0.9819548872166928,36
h015feedback,h030_score_joint_vector_row,230,temperature_sample,0.00044675662767164147,0.0035971643336518144,0.9518796992468093,24
h015feedback,h019_inclusion_prob,230,sample,0.0004468628969934047,0.001775006336317901,0.9593984962392801,36
joint_hard_mid,h035_score_identity_combo,155,sample,0.0004472916353441491,0.0019078842326147021,0.97744360902121,36
posterior_vector_mid,h030_score_memory_public_combo,190,sample,0.0004474728913450676,0.0016144872594848411,0.9609022556377743,36
joint_hard_mid,h035_score_public_row_subset,190,sample,0.0004475001718823524,0.0016741749755994518,0.975939849622716,36
posterior_vector_mid,h013_calendar_pay_weekend,190,temperature_sample,0.00044816191514176893,0.0019321240986403456,0.9443609022543383,24
h012,h035_score_identity_combo,155,sample,0.00044842938281852663,0.002644620049690034,0.9639097744347628,36
h020vector,h035_route_translator_score,230,sample,0.00044955345141732176,0.001705780614105747,0.9729323308257276,36
h018hard,h019_mean_abs_logit_move_to_proxy,190,sample,0.00044965540506199445,0.001929417499339727,0.9548872180437975,36
h012posterior,h030_score_memory_public_combo,230,sample,0.0004498107483698429,0.001822477385210588,0.9894736842091635,36
joint_hard_mid,uniform,230,sample,0.0004503524524614762,0.0013693056123445671,0.9744360902242217,36
h020vector,h035_score_public_row_subset,190,sample,0.00045059208641467336,0.0013299163168105437,0.9789473684197044,36
h018hard,h019_mean_abs_logit_move_to_proxy,125,sample,0.00045165325829140627,0.0022700557003929407,0.966917293231751,36
h018hard,h030_score_no_h012_combo,230,temperature_sample,0.0004517157975683256,0.002612569267453821,0.912781954885961,24
h017joint,h019_inclusion_prob,125,sample,0.00045185255071087603,0.0017938426359732813,0.9368421052618676,36
h015feedback,h030_score_joint_vector_row,125,sample,0.00045460831600207207,0.00228004588016263,0.9639097744347628,36
posterior_vector_mid,h030_score_memory_public_combo,230,temperature_sample,0.0004546895663432004,0.003245097356434663,0.9518796992468093,24
posterior_vector_mid,h019_mean_abs_logit_move_to_proxy,190,sample,0.0004553077746517334,0.0019496078342306528,0.9503759398483153,36
posterior_vector_mid,h030_score_public_row_subset,230,sample,0.0004556764279094962,0.0012723383944656436,0.9894736842091636,36
posterior_vector_mid,h035_score_identity_combo,190,sample,0.00045637243806988584,0.0013863810205072546,0.9293233082693968,36
h020vector,h035_score_public_row_subset,230,temperature_sample,0.00045693291602913976,0.0021621542500516325,0.9413533834573503,24
posterior_vector_mid,h030_score_no_h012_combo,190,sample,0.0004574814093707477,0.0016701993513373412,0.9473684210513267,36
h018hard,h019_row_score,230,temperature_sample,0.00045768639036217705,0.0017704994355378163,0.966917293231751,24
h012posterior,h035_private_safe_score,125,sample,0.00045776818109234733,0.002275750646736984,0.9548872180437975,36
h020vector,h035_route_translator_score,190,temperature_sample,0.0004582302426085566,0.002123235088989194,0.9609022556377743,24
h017joint,h030_score_joint_vector_row,230,sample,0.00045888359688715753,0.0013660482885549958,0.9804511278181985,36
h012,h035_score_identity_combo,230,temperature_sample,0.00045933912884306915,0.0048091533395148225,0.9203007518784317,24
h017joint,h030_score_memory_public_combo,230,sample,0.0004594388841396807,0.0014405413877674816,0.9624060150362687,36
h015feedback,h030_score_memory_public_combo,70,temperature_sample,0.0004594411904830449,0.004221729300166345,0.9518796992468094,24
h015feedback,h035_route_translator_score,230,sample,0.00046023115061710935,0.0017067854647736702,0.9744360902242218,36
h017joint,h035_private_safe_score,230,sample,0.0004604120937232384,0.0018364081602068373,0.9699248120287393,36
joint_hard_mid,h013_late_social_phone,95,sample,0.00046103114417030984,0.002070538733043803,0.9383458646603617,36
h012posterior,h013_body_calendar,230,sample,0.00046140572573191057,0.0015545941308727287,0.9699248120287396,36
h012posterior,h030_score_memory_public_combo,190,sample,0.00046202146839564135,0.0017698631008276162,0.957894736840786,36
h020vector,h030_score_no_h012_combo,230,temperature_sample,0.00046243924857007,0.0018460945777781252,0.9368421052618676,24
h020vector,h030_score_public_row_subset,230,temperature_sample,0.00046325893173265514,0.0023837325249601374,0.9518796992468093,24
h012posterior,h013_body_calendar,190,temperature_sample,0.0004634200219015486,0.0021964816785177803,0.8481203007507115,24
h017joint,h030_score_no_h012_combo,230,sample,0.00046441102032052865,0.00137963354007542,0.9804511278181985,36
h020vector,h030_score_identity_combo,155,sample,0.0004647028037871921,0.0019700386071888395,0.9864661654121751,36
h017joint,h019_mean_abs_logit_move_to_proxy,125,sample,0.00046486580161696374,0.0015537736184205616,0.9428571428558443,36
h020vector,h013_body_calendar,190,temperature_sample,0.00046697028765212985,0.0024453002151326553,0.9142857142844552,24
h015feedback,h013_late_social_phone,190,sample,0.00046699345956008505,0.0017343264730859888,0.9729323308257276,36
joint_hard_mid,h035_score_identity_combo,230,sample,0.000467169779312147,0.001242846337190125,0.975939849622716,36
posterior_vector_mid,h030_score_no_h012_combo,230,temperature_sample,0.0004680916968858237,0.0017039582433511075,0.9443609022543384,24
h015feedback,h035_private_safe_score,125,temperature_sample,0.00046850775959558446,0.0030204675777002693,0.9293233082693969,24
joint_hard_mid,h019_row_score,230,sample,0.00046859099497260253,0.0014730547504266287,0.9729323308257276,36
h012,h013_late_social_phone,230,sample,0.0004695084418389312,0.002584091824039639,0.9684210526302451,36
h015feedback,h030_score_identity_combo,70,sample,0.00047004486469797997,0.0025888294821990116,0.9624060150362684,36
h015feedback,h030_score_identity_combo,190,temperature_sample,0.0004701311589508329,0.0020909086355628955,0.9187969924799375,24
posterior_vector_mid,h019_row_weight,95,sample,0.0004707582563977937,0.0026763274716513413,0.9458646616528327,36
h015feedback,h035_private_safe_score,190,temperature_sample,0.0004708093418333623,0.004880907930935489,0.9609022556377744,24
h012posterior,h019_row_weight,230,sample,0.00047094517755702536,0.001823741730382269,0.9503759398483151,36
h017joint,h035_private_safe_score,190,sample,0.0004711131609998911,0.0016928471649312426,0.9413533834573502,36
h017joint,h035_private_safe_score,155,sample,0.00047179556061094856,0.0019924894132854806,0.9804511278181985,36
h012posterior,h019_row_weight,155,sample,0.0004721684336247144,0.0018898525359407339,0.9654135338332568,36
posterior_vector_mid,h035_route_translator_score,230,temperature_sample,0.00047240468345440104,0.0026355483861772457,0.9609022556377743,24
posterior_vector_mid,h030_score_identity_combo,230,sample,0.00047433211678905764,0.0014284165391684235,0.9729323308257276,36
joint_hard_mid,h030_score_public_row_subset,230,sample,0.00047449343598245563,0.0014471089758254182,0.9684210526302452,36
h020vector,uniform,190,sample,0.00047451207714486744,0.0017049811233580039,0.9578947368407861,36
h020vector,h019_inclusion_prob,230,temperature_sample,0.0004748324949097835,0.002671907195954869,0.966917293231751,24
