fold,source,target,loss
3,db_prebed__deviation__c0.1_b0.2,Q1,0.6711109937014759
3,db_prebed__deviation__c0.1_b0.2,Q2,
3,db_prebed__deviation__c0.1_b0.2,Q3,
3,db_prebed__deviation__c0.1_b0.2,S1,
3,db_prebed__deviation__c0.1_b0.2,S2,
3,db_prebed__deviation__c0.1_b0.2,S3,
3,db_prebed__deviation__c0.1_b0.2,S4,
4,best__absolute_plus_deviation__c0.3_b0.2,Q1,
4,best__absolute_plus_deviation__c0.3_b0.2,Q2,
4,best__absolute_plus_deviation__c0.3_b0.2,Q3,
4,best__absolute_plus_deviation__c0.3_b0.2,S1,0.5982315468350962
4,best__absolute_plus_deviation__c0.3_b0.2,S2,
4,best__absolute_plus_deviation__c0.3_b0.2,S3,0.5004959186528348
4,best__absolute_plus_deviation__c0.3_b0.2,S4,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q1,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q2,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,Q3,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,S1,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,S2,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,S3,
4,best_plus_mobility_constriction__deviation__c0.03_b0.2,S4,
4,routine_regularity__deviation__c0.1_b0.2,Q1,
4,routine_regularity__deviation__c0.1_b0.2,Q2,
4,routine_regularity__deviation__c0.1_b0.2,Q3,
4,routine_regularity__deviation__c0.1_b0.2,S1,
4,routine_regularity__deviation__c0.1_b0.2,S2,
4,routine_regularity__deviation__c0.1_b0.2,S3,
4,routine_regularity__deviation__c0.1_b0.2,S4,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q1,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q2,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,Q3,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,S1,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,S2,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,S3,
4,best_plus_mobility_constriction__deviation__c0.1_b0.2,S4,
4,ef_recovery_slope__deviation__c0.3_b0.2,Q1,
4,ef_recovery_slope__deviation__c0.3_b0.2,Q2,0.6792319943072948
4,ef_recovery_slope__deviation__c0.3_b0.2,Q3,
4,ef_recovery_slope__deviation__c0.3_b0.2,S1,
4,ef_recovery_slope__deviation__c0.3_b0.2,S2,
4,ef_recovery_slope__deviation__c0.3_b0.2,S3,
4,ef_recovery_slope__deviation__c0.3_b0.2,S4,
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q1,
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q2,
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,Q3,
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S1,
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S2,0.5894462075271931
4,best_plus_di_phone_fragmentation__absolute_plus_deviation__c0.3_b0.2,S3,
