held_fold,target,rank,source,source_family,selector_loss,held_loss
3,Q3,2,best__deviation__c0.1_b0.2,best_late_fusion,0.6723254273721462,0.6669507736096227
3,Q3,3,best__absolute__c0.3_b0.2,best_late_fusion,0.6723846306160275,0.6672090380154538
3,Q3,4,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6723970142907078,0.6601214753963797
3,Q3,5,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6724759830462771,0.6565862705152526
3,S1,1,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,0.5601496536292936,0.5983181409976772
3,S1,2,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.560465998248723,0.5962229014776236
3,S1,3,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5611384256648659,0.5891576631555865
3,S1,4,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5619812177308764,0.5893406823135998
3,S1,5,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.5621156698206538,0.5955632125605099
3,S2,1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5745373289753702,0.5431208028211503
3,S2,2,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,0.5748420317818257,0.5533782615126147
3,S2,3,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.5750886017758408,0.5509348987825505
3,S2,4,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5758660564909827,0.5455124184945359
3,S2,5,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.5760728627534724,0.5489504138861757
3,S3,1,best__absolute_plus_deviation__c0.3_b0.2,best_late_fusion,0.5231994259094707,0.5328035721536187
3,S3,2,best__absolute_plus_deviation__c0.3_b0.1,best_late_fusion,0.5259906149352875,0.5430195999854802
3,S3,3,best__absolute_plus_deviation__c0.3_b0.05,best_late_fusion,0.5279351342448567,0.5495301424390818
3,S3,4,best__deviation__c0.3_b0.1,best_late_fusion,0.5283678828025972,0.5523142621729624
3,S3,5,best__deviation__c0.3_b0.2,best_late_fusion,0.5283761396693327,0.5508820024667603
3,S4,1,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6376733842653535,0.6443879486295029
3,S4,2,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6392421263622468,0.6452204223798725
3,S4,3,best_plus_routine_digital__deviation__c0.1_b0.2,routine_digital,0.6402603998822214,0.6446217753968715
3,S4,4,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6418308890679627,0.6481418081053965
3,S4,5,best_plus_routine_digital__deviation__c0.03_b0.1,routine_digital,0.6423926730357179,0.6375955860948993
4,Q1,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6645705020121364,0.6592299828435948
4,Q1,2,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.6663670004751869,0.667496118729494
4,Q1,3,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.6668205206124982,0.6653477684121284
4,Q1,4,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.6675347731948208,0.6597440017213446
4,Q1,5,best_plus_routine_digital__absolute__c0.03_b0.1,routine_digital,0.6681815477693801,0.6615530869465086
4,Q2,1,best__deviation__c0.03_b0.2,best_late_fusion,0.7006460113744124,0.6797970025427851
4,Q2,2,best__absolute__c0.3_b0.2,best_late_fusion,0.7006821590060238,0.6760512503956329
4,Q2,3,best__absolute__c0.1_b0.2,best_late_fusion,0.7008232252670795,0.675162797445265
4,Q2,4,best__absolute__c0.03_b0.2,best_late_fusion,0.7012884790116326,0.6750102336028649
4,Q2,5,best__deviation__c0.1_b0.2,best_late_fusion,0.7023593472891415,0.6788542487610495
4,Q3,1,best_plus_routine_digital__absolute__c0.03_b0.2,routine_digital,0.6826682536456772,0.6158171881176524
4,Q3,2,best__deviation__c0.1_b0.2,best_late_fusion,0.6832095719058134,0.6234141954749537
4,Q3,3,best__deviation__c0.3_b0.2,best_late_fusion,0.6833291743708065,0.620363480098704
4,Q3,4,best__deviation__c0.03_b0.2,best_late_fusion,0.6839284896902887,0.6252816101161232
4,Q3,5,best__absolute__c0.3_b0.2,best_late_fusion,0.6839393905866662,0.6209899981328992
4,S1,1,best_plus_routine_digital__absolute_plus_deviation__c0.03_b0.2,routine_digital,0.5583052162608685,0.6004905007715761
4,S1,2,best_plus_routine_digital__absolute__c0.1_b0.2,routine_digital,0.558429813465176,0.6043676406118119
4,S1,3,best_plus_routine_digital__absolute__c0.3_b0.2,routine_digital,0.5588691261980407,0.6034402507226885
4,S1,4,best_plus_routine_digital__absolute_plus_deviation__c0.1_b0.2,routine_digital,0.5591985135959079,0.6004714988534741
4,S1,5,best_plus_routine_digital__deviation__c0.03_b0.2,routine_digital,0.5593691869541912,0.6002601091129224
