cells,rows,mean_mixture_score,mean_agreement_score,mean_conflict_score,mean_mode_confidence,mean_action_health,sum_predicted_scalar_delta,sum_predicted_bad_delta,sum_predicted_residual_delta,sum_predicted_total_mode_delta,mean_energy_delta,mean_subject_delta,supported_rate,bad_tangent_cosine,variant
12.0,12.0,0.7075769327477263,1.0,0.05428552438998823,0.5503330002419848,0.5192947835778705,-1.6941096460908167,-0.3919821259853098,-0.1844379149656687,-0.5764200409509785,-0.0011637541069465147,0.0007046953740271235,0.75,-0.007229919888774303,mixture_consensus_jackpot
12.0,12.0,0.7059373698599881,1.0,0.06521556271566649,0.5617829604866491,0.5356829857533992,-2.34080910547518,-0.38995340401467316,-0.1978212562883642,-0.5877746603030374,0.008908367218346322,0.0003692082504877517,0.8333333333333334,-0.007584557914680857,mixture_consensus_jackpot
12.0,12.0,0.7070633390842778,1.0,0.06548766191140552,0.5388181362607766,0.530357056920928,-2.043179263225276,-0.3413016719143862,-0.19365758778578906,-0.5349592597001752,-0.0020981882895361368,0.0004138821325751707,0.8333333333333334,-0.007892717611453269,mixture_consensus_jackpot
12.0,11.0,0.7149467550184235,1.0,0.05601966437602851,0.5202106719733522,0.5096449560118196,-2.057390863498205,-0.40689968238647417,-0.17435722520819663,-0.5812569075946707,-0.0007115490753241416,0.00045681312316892057,0.8333333333333334,-0.006698672923499272,mixture_consensus_jackpot
12.0,11.0,0.7109747130264217,1.0,0.06510016687395763,0.5124855289726815,0.5240857010062323,-1.7390686273325693,-0.3567171828390728,-0.21947120541342685,-0.5761883882524996,-0.00021921376900174705,0.00041896363901752906,0.75,-0.0060368319852550645,mixture_consensus_jackpot
12.0,11.0,0.705363731562326,1.0,0.07048791862922468,0.5059710087326323,0.5202399473686581,-1.914767836118997,-0.3505098717297886,-0.22116416264089217,-0.5716740343706808,0.0008770970080884122,0.0007628898028156514,0.75,-0.006514104690285506,mixture_consensus_jackpot
12.0,11.0,0.7112907133368949,1.0,0.06270657047593882,0.5448246184795985,0.5224200508595938,-2.423428906957926,-0.3621051351779293,-0.2064333932126925,-0.5685385283906218,0.0009713799980391365,0.0005186958345654485,0.8333333333333334,-0.008027619620348639,mixture_consensus_jackpot
12.0,12.0,0.7054234097427073,1.0,0.06872657926302961,0.5197807281795032,0.5224055620069338,-1.5970592677377244,-0.35204439305891344,-0.21375469105617062,-0.5657990841150841,0.006396590320769539,0.0014748995174658638,0.75,-0.006182700414819713,mixture_consensus_jackpot
12.0,12.0,0.714999121905998,1.0,0.07977051415361021,0.5046620039344899,0.5285354691154484,-2.5730756891599214,-0.33418575342346485,-0.2627242332875178,-0.5969099867109826,0.0032866063376812416,0.0008132547088735444,0.8333333333333334,-0.006730068746740029,mixture_consensus_jackpot
12.0,12.0,0.717025158098726,1.0,0.05745113437158081,0.5517876025649259,0.5242798186961513,-2.48097691491144,-0.4026209140679607,-0.1704684065453536,-0.5730893206133143,0.006295863274355856,0.0013294547704577869,0.9166666666666666,-0.007639241315714594,mixture_consensus_jackpot
