row,bundle_size,targets,flat_indices,steps,public_delta_estimate,public_utility,old_route_energy,new_route_energy,route_energy_delta,max_h088_alignment,min_stability,source_support_sum,solver_score
143,1,Q3,1003,"[(1003, 'Q3', 0.3861347902693818)]",-0.00018593756778953965,0.00018593756778953965,1.1684401844210452,1.1693938339576062,0.0009536495365609632,0.5817142857142857,1.0,3,0.0001621312566871743
152,1,Q2,1065,"[(1065, 'Q2', 0.2393200097700834)]",-5.1204160518932124e-05,5.1204160518932124e-05,0.6784673225130445,0.6751714823076949,-0.003295840205349676,0.0,1.0,2,0.00014728082261550787
217,1,Q3,1521,"[(1521, 'Q3', 0.342278974839715)]",-0.00014040867533705,0.00014040867533705,0.6595846975289886,0.6602608159269666,0.0006761183979779872,0.5737142857142857,1.0,7,0.00013840304440344625
100,1,S2,704,"[(704, 'S2', -0.2957843751797472)]",-8.372807799639748e-05,8.372807799639748e-05,0.6912375789171452,0.6907192917784926,-0.0005182871386526511,0.4662857142857143,1.0,6,0.00011865214673104232
89,1,Q3,625,"[(625, 'Q3', -0.13000297646242023)]",-8.451989454339872e-06,8.451989454339872e-06,0.661413565456585,0.6575722615024249,-0.003841303954160158,0.0,0.9615384615384616,1,0.00011192389099589792
185,1,Q1,1295,"[(1295, 'Q1', -0.39724700947863606)]",-0.00019846702291661332,0.00019846702291661332,0.7219377048502172,0.7249181370771949,0.002980432226977636,0.6131428571428571,1.0,5,7.695969695233316e-05
204,1,Q3,1430,"[(1430, 'Q3', 0.27148450534712004)]",-8.011265842117965e-05,8.011265842117965e-05,0.6719036277220779,0.6723682794436087,0.0004646517215307622,0.0,1.0,6,7.265432774465685e-05
75,1,S2,529,"[(529, 'S2', 0.30174422484642105)]",-8.802628102587359e-05,8.802628102587359e-05,0.6783920671325288,0.6790193752803352,0.0006273081478064269,0.5714285714285714,1.0,4,6.965202826351591e-05
159,1,S1,1116,"[(1116, 'S1', 0.35883452005262984)]",-0.00019094806344991885,0.00019094806344991885,0.6581674472484528,0.6615209296218226,0.0033534823733698538,0.0,1.0,5,4.7889462551337424e-05
161,1,S1,1130,"[(1130, 'S1', 0.2485931776895359)]",-8.046348219248117e-05,8.046348219248117e-05,0.6656427624430343,0.6668893210070369,0.0012465585640025756,0.4674285714285714,1.0,3,2.762395794649727e-05
