q_source,row_prior,subset_size,label_mode,particles,best_mae,median_mae,best_spearman,lofo_mae,lofo_max_abs
h012,h048_support_q2regime,75,sample,10,0.0012574176685258526,0.0017359808969623332,0.8842105263145716,0.0009759372519705028,0.0033748426448804887
posterior_vector_mid,h048_support_public_not_private,155,temperature_sample,7,0.0006932049560881724,0.0030135455359885377,0.92330827067542,0.0009766067651565513,0.0027655461222536107
h048_q2_public_soft_q,h048_public_core_tail,45,sample,10,0.0011538183562462465,0.003555448112826099,0.8526315789461941,0.0009773636111054663,0.003788672019096615
posterior_vector_mid,h048_core_tail_prior,59,temperature_sample,7,0.00150850237651895,0.00253948768264338,0.8105263157883574,0.0009785321031387931,0.0026447048945661775
h048_q2_coretail_q,h048_support_public,59,sample,10,0.0010529212514301196,0.004226438400419105,0.9278195488709027,0.0009787420971972742,0.0017881097177189966
posterior_vector_mid,h048_core_tail_prior,45,sample,10,0.002416561156742976,0.00477633819475393,0.8872180451115601,0.0009801041462998087,0.003416208253129077
h048_q2_coretail_q,h048_support_public,59,temperature_sample,7,0.0008988168722868804,0.004712191866892547,0.8571428571416767,0.0009835454219365345,0.00413080186294008
h041_route_public_q,h041_public_route,155,sample,10,0.000744031820261361,0.002271392301179063,0.8917293233070425,0.0009837906012318102,0.002047071975989651
h012posterior,h048_support_public_not_private,59,sample,10,0.001249446595379827,0.00275782942546755,0.6210526315780921,0.0009850786789654732,0.005304144934915531
h048_q2_public_soft_q,uniform,190,sample,10,0.0008372729127838821,0.001824860051924478,0.9052631578934902,0.0009894835187018909,0.0030798469328308445
h041_route_private_tempered_q,h048_support_q2regime,155,sample,10,0.0007677519721135639,0.0033231751358688702,0.8992481202995134,0.000991761268546841,0.0039891725958516745
h048_q2_public_soft_q,h048_support_identity_sharp,45,temperature_sample,7,0.0017688979881656636,0.004540289676087884,0.6556390977434577,0.0009929837080817747,0.003928291199022644
h048_q2_coretail_q,uniform,125,sample,10,0.0007256179060342788,0.0024242531492433246,0.9518796992468093,0.0009945218777023177,0.00147398011439419
h041_route_public_q,h041_public_not_private,75,temperature_sample,7,0.000944559034952774,0.00325753676044567,0.8992481202995134,0.0009956048204063817,0.00307785218964447
h012,h048_support_identity_sharp,59,sample,10,0.0010875634340140633,0.004199927541159694,0.8827067669160774,0.0009993723681125627,0.0022947968005625624
h048_q2_support_phase_q,h048_support_q2regime,75,temperature_sample,7,0.00106713438287651,0.004164662013392018,0.8796992481190891,0.000999690429568829,0.004110160670169347
h012,uniform,59,temperature_sample,7,0.0012860964785023923,0.00440537891997547,0.5984962406006794,0.0010000414782153067,0.004534983114093726
h012posterior,h048_support_identity_sharp,45,temperature_sample,7,0.001753585655736517,0.0030794619116470607,0.6225563909765861,0.0010010069306777656,0.0043637501153449745
posterior_vector_mid,h041_public_not_private,95,temperature_sample,7,0.0021388844567754558,0.005238242700364016,0.7639097744350382,0.0010017254794326472,0.004064891834168745
posterior_vector_mid,uniform,75,temperature_sample,7,0.0011307673085412789,0.0043813108956521855,0.8390977443597466,0.0010077886950667172,0.003164553223707095
h012posterior,h048_support_public_not_private,190,temperature_sample,7,0.001142026787938458,0.00421455618300672,0.8977443609010193,0.0010085541218481213,0.004325625558097562
h048_q2_support_phase_q,h048_core_tail_prior,95,sample,10,0.0012200295370031384,0.002615348527794979,0.8796992481190891,0.0010098808112307136,0.002588404070601692
h048_q2_support_phase_q,h041_public_route,45,temperature_sample,7,0.0018065723327223698,0.0035336547241162156,0.8616541353371593,0.0010101644928922637,0.003974280600032923
h041_route_private_tempered_q,h048_support_identity_sharp,95,sample,10,0.000992114411131977,0.002189164778147037,0.9518796992468093,0.001010875965504577,0.003131711864782139
posterior_vector_mid,h048_support_public_not_private,45,sample,10,0.0016868757743203934,0.0031058160146407426,0.8511278195477,0.0010113277646566668,0.0019101951246139216
posterior_vector_mid,h048_support_q2regime,95,temperature_sample,7,0.0010421667515303102,0.002038572367146734,0.8872180451115599,0.0010115761628281413,0.0035015104939963952
h041_route_private_tempered_q,h041_public_route,59,temperature_sample,7,0.0034297530552104293,0.004769122494857867,0.6225563909765862,0.0010129608228218964,0.003598177120595506
h041_route_public_q,h041_memory_disagree_public,45,temperature_sample,7,0.0008817229082780622,0.00539555537480011,0.8646616541341475,0.001016145799337538,0.0022078691840047484
h048_q2_coretail_q,h048_public_core_tail,155,sample,10,0.00127284406799065,0.0026041128522413205,0.9218045112769259,0.0010203379729056014,0.0019536071495275566
h012,h048_support_identity,125,temperature_sample,7,0.0011865672183750523,0.0024293029840687266,0.8842105263145718,0.0010203978906348735,0.00265914697300736
