particle,q_source,row_prior,subset_size,label_mode,mae,rmse,max_abs,spearman,mean_pred_delta,std_pred_delta
3142,posterior_vector_mid,uniform,95,sample,0.005041572550116736,0.005195716402962385,0.008589115398816901,0.5398496240594068,0.004339342894883217,0.0009427382787297806
7745,h048_q2_support_phase_q,uniform,75,sample,0.005042617777475618,0.005221486944378962,0.008637075799455956,0.4977443609015701,0.004338297667524337,0.0022139944910970506
7844,h048_q2_support_phase_q,h041_public_route,45,sample,0.005043729366993413,0.005430802965953483,0.0070892294892535915,0.8195488721793223,0.0044684518153654445,0.003313335516443265
2747,h012posterior,h048_support_q2regime,125,sample,0.00504493031748877,0.005240610289923605,0.008651068913326548,0.8195488721793224,0.014425845762488726,0.002680169750432738
6549,h041_route_private_tempered_q,h041_public_not_private,155,sample,0.00504501942374058,0.00540437867570888,0.010668483780890296,-0.08270676691717932,0.004335896021259373,0.0008922418012184888
10524,h048_q2_coretail_q,h048_core_tail_prior,59,sample,0.0050452682748232,0.005675844877743236,0.012466023355198192,0.021052631578918367,0.004545091103940873,0.0023803049653881333
9348,h048_q2_coretail_q,uniform,155,sample,0.005045358476316563,0.0051196520391336665,0.008229132640720536,0.7984962406004041,0.00433555696868339,0.0013521121006625772
9492,h048_q2_coretail_q,h041_public_route,155,temperature_sample,0.005046334633983927,0.005270530972223799,0.006455745123106417,0.8496240601492058,0.004334580811016027,0.0026914597208861535
1341,h012,h048_core_tail_prior,125,sample,0.005047070226472554,0.005291359799204173,0.009402288134803025,0.3864661654130015,0.0043338452185274,0.0018564638566838582
11682,h048_q2_public_soft_q,h048_support_public,95,sample,0.005048971960072335,0.005137770622604832,0.0070954531385914,0.6526315789464695,0.004331943484927619,0.0018828119171640956
8029,h048_q2_support_phase_q,h041_public_not_private,75,sample,0.005048982283359408,0.005228175891371751,0.0073603268953768945,0.6060150375931502,0.014429897728359361,0.0017287612528781064
5434,h041_route_public_q,h048_support_identity_sharp,155,temperature_sample,0.005049611112692415,0.0051825934009211575,0.007920112887790567,0.7593984962395557,0.004331304332307539,0.0016293333184892146
11242,h048_q2_public_soft_q,h041_memory_disagree_public,75,sample,0.005049913114397546,0.005194907189791551,0.007456811342696039,0.44060150375879154,0.013942830580373577,0.002456005909737701
8653,h048_q2_support_phase_q,h048_support_public,155,temperature_sample,0.0050504743709211914,0.005125883449031761,0.007391034995820266,0.718796992480213,0.004330441074078763,0.0019395083928382805
12263,h048_q2_public_soft_q,h048_public_core_tail,125,sample,0.005051852968182646,0.005307864329066108,0.009316927594660525,0.496240601503076,0.00452878498646794,0.0023879330294169156
4671,h041_route_public_q,uniform,75,temperature_sample,0.005051861983128097,0.005669031799941589,0.011736668482536112,-0.2646616541349738,0.004329053461871857,0.001678178258820813
10665,h048_q2_coretail_q,h048_public_core_tail,59,sample,0.0050524900752420086,0.005236036539395653,0.009221043052487735,0.8977443609010193,0.014433405520241966,0.0025815263413534514
9876,h048_q2_coretail_q,h048_support_identity,95,temperature_sample,0.005052722816359119,0.0051529447897846305,0.006937482170014574,0.8887218045100541,0.004328192628640835,0.001785302570226405
9783,h048_q2_coretail_q,h041_memory_disagree_public,190,sample,0.005053161027602627,0.005152702983062231,0.006672560957688686,0.780451127818474,0.004559578594124355,0.002317475655093175
7780,h048_q2_support_phase_q,uniform,125,sample,0.005055637842530947,0.005247474241915004,0.008678861300287147,0.5999999999991735,0.004325277602469008,0.0021426746501966537
7853,h048_q2_support_phase_q,h041_public_route,45,temperature_sample,0.005055802666308376,0.005342497046738672,0.010454890266242287,0.675187969923882,0.01443671811130833,0.002800266207998665
9795,h048_q2_coretail_q,h041_memory_disagree_public,190,temperature_sample,0.005055827715393727,0.00524725480646846,0.008094017945950195,0.771428571427509,0.004325087729606229,0.0012617207070555936
6502,h041_route_private_tempered_q,h041_public_not_private,95,sample,0.005055860907424122,0.005440655112734214,0.010262766646954689,0.15037593984941694,0.004325054537575833,0.001647907381814633
11451,h048_q2_public_soft_q,h048_support_identity,155,temperature_sample,0.005056614820721246,0.005178133847006558,0.007682245785274067,0.7954887218034158,0.004324300624278708,0.0014712344729567951
11731,h048_q2_public_soft_q,h048_support_public,155,temperature_sample,0.0050572598667030354,0.005219303220146239,0.008253999234371987,0.6330827067660454,0.004323655578296918,0.0010311372521356421
10545,h048_q2_coretail_q,h048_core_tail_prior,75,sample,0.0050578624584705825,0.005371467594932927,0.00851825736905126,0.5744360902247726,0.004381820947767069,0.0025329482854828497
8331,h048_q2_support_phase_q,h048_support_identity,95,temperature_sample,0.005060254377151443,0.005186866300381466,0.006980757908725735,0.8451127819537235,0.0043206610678485115,0.0020452465545726505
272,h012,h041_public_route,190,temperature_sample,0.005060576351135742,0.005147400590616599,0.008085021760852344,0.8135338345853457,0.004320339093864212,0.0010565753234278539
4241,posterior_vector_mid,h048_support_q2regime,75,sample,0.005061218105373842,0.005225866089925833,0.008630958374459933,0.702255639096777,0.004319697339626113,0.0013954900785717217
132,h012,uniform,190,temperature_sample,0.0050612883847975295,0.0052899497175862755,0.008700359723831177,0.7473684210516022,0.004319627060202424,0.0021758941839926053
