rowposterior_delta_vs_h012,uniform_row_delta_vs_h012,rowposterior_beats_rate,rowposterior_p90_row_delta,candidate_id,mode,target_subset,row_k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h018,max_abs_prob_delta_vs_h018,h018_rowposterior_delta_vs_h012,h018_uniform_row_delta_vs_h012,h019_decision,decision_rank,file
-0.0004817414877931352,-0.00044144422814887765,0.692,0.0,gain_all_r150_a0.75,gain,all,150,0.75,150,1050,0.005776085964871943,0.08739248873299255,0.005450334185373507,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r150_a0.75_7853a6bb.csv
-0.00047412575159724743,-0.00042159758061469506,0.676,0.0,inclusion_all_r150_a1,inclusion,all,150,1.0,150,1050,0.007082820752246368,0.11298815705193355,0.004143599397999089,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r150_a1_67ab996c.csv
-0.00047412575159724743,-0.00042159758061469506,0.676,0.0,lift_all_r150_a1,lift,all,150,1.0,150,1050,0.007082820752246368,0.11298815705193355,0.004143599397999089,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r150_a1_67ab996c.csv
-0.00047362848751626735,-0.000427173275526288,0.676,0.0,row_score_all_r150_a1.25,row_score,all,150,1.25,150,1050,0.00919701380979536,0.13669790015525174,0.00563667199147766,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r150_a1.25_93304cd3.csv
-0.0004729577798694358,-0.00042661278689929685,0.676,0.0,row_score_all_r150_a0.75,row_score,all,150,0.75,150,1050,0.005573043158305877,0.08739248873299255,0.005653376991939572,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r150_a0.75_d3f64b46.csv
-0.00047226188260282066,-0.00042719663554898103,0.608,7.93016446160826e-18,gain_all_r125_a1,gain,all,125,1.0,125,875,0.006527535878817357,0.11298815705193355,0.004698884271428101,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r125_a1_34df77f6.csv
-0.00047111308318879776,-0.00044108164917427495,0.88,0.0,gain_all_r210_a0.55,gain,all,210,0.55,210,1470,0.005565754038902474,0.06558874566176454,0.005660666111342974,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r210_a0.55_e58a5b08.csv
-0.0004646820134683428,-0.0004304418710144009,0.872,0.0,row_score_all_r210_a0.55,row_score,all,210,0.55,210,1470,0.005420685448171497,0.06558874566176454,0.00580573470207395,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r210_a0.55_43c2ea1d.csv
-0.000457969040655686,-0.0004059616019907573,0.6,0.0,row_score_all_r125_a1,row_score,all,125,1.0,125,875,0.006275791199374751,0.11298815705193355,0.0049506289508707045,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_row_score_all_r125_a1_bc74e518.csv
-0.0004559878220392081,-0.00041966926474494375,0.864,0.0,inclusion_all_r210_a0.55,inclusion,all,210,0.55,210,1470,0.005351869605814816,0.06558874566176454,0.005874550544430631,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r210_a0.55_1ba7e5ba.csv
-0.0004559878220392081,-0.00041966926474494375,0.864,0.0,lift_all_r210_a0.55,lift,all,210,0.55,210,1470,0.005351869605814816,0.06558874566176454,0.005874550544430631,0.04763098419968714,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r210_a0.55_1ba7e5ba.csv
-0.0004463151735905088,-0.0003967325572794131,0.676,0.0,inclusion_all_r150_a1.25,inclusion,all,150,1.25,150,1050,0.008812835984221723,0.13669790015525174,0.005873614629974436,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r150_a1.25_ef7825a8.csv
-0.0004463151735905088,-0.0003967325572794131,0.676,0.0,lift_all_r150_a1.25,lift,all,150,1.25,150,1050,0.008812835984221723,0.13669790015525174,0.005873614629974436,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r150_a1.25_ef7825a8.csv
-0.000445679707929715,-0.00039621118566604525,0.676,0.0,inclusion_all_r150_a0.75,inclusion,all,150,0.75,150,1050,0.005337624650311314,0.08739248873299255,0.005888795499934135,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_inclusion_all_r150_a0.75_c9531fd5.csv
-0.000445679707929715,-0.00039621118566604525,0.676,0.0,lift_all_r150_a0.75,lift,all,150,0.75,150,1050,0.005337624650311314,0.08739248873299255,0.005888795499934135,0.035135830436207105,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_lift_all_r150_a0.75_c9531fd5.csv
-0.00044460681142543135,-0.00040204674478071267,0.608,7.93016446160826e-18,gain_all_r125_a1.25,gain,all,125,1.25,125,875,0.0081163453270566,0.13669790015525174,0.006287693719667339,0.028997542837867374,-0.0006154952912220069,-0.0005796202207438965,diagnostic_only,2,hitl/h019_row_subset_hardworld_jepa/submission_h019_gain_all_r125_a1.25_46d71992.csv
