kind,raw,bc,raw_weight,bc_weight,oof_loss,oof_delta_vs_stage2,jepa_bad_ratio,jepa_bad_cos,raw_good_ratio,raw_good_cos,public_safety_rank
global,raw075,bc_strict_05,0.75,1.0,0.5605642071891935,-0.006966717500623609,0.019361685470768445,0.021161989395125924,1.0852929178989132,0.519272907606216,-0.007490547387798999
global,raw05,bc_strict_075,0.75,0.75,0.5605794197794811,-0.006951504910336026,0.024705930066789762,0.029108201860005387,0.8628147241841335,0.4450072452419508,-0.007443269329935287
global,raw075,bc_strict_075,0.5,0.75,0.5605763529150076,-0.006954571774809515,0.022512375803206253,0.0271526915846624,0.758662278629776,0.40056722483895474,-0.007426427342894098
global,raw05,bc_noq2_10,1.25,0.5,0.5607494596754041,-0.006781465014413013,-0.006793925839561202,-0.008471910830181653,1.332885183572678,0.7275932781499754,-0.007421465014413013
global,raw05,bc_noq2_05,1.25,1.0,0.5607960807757978,-0.0067348439140193506,-0.011694551857635203,-0.012001392527106108,1.366521586230449,0.613903227314451,-0.0073748439140193505
global,raw10,bc_strict_05,0.5,1.0,0.5607088845582752,-0.006822040131541973,0.01578790884688981,0.018284551309481357,0.839438939890075,0.42558290271587634,-0.007367312678460634
global,raw05,bc_strict_05,1.0,1.0,0.5607170474905452,-0.006813877199271956,0.021731255521217553,0.02355051504005422,1.1165215862304485,0.5296854930521512,-0.007323489666144651
global,raw075,bc_noq2_10,0.75,0.5,0.5608771889677129,-0.006653735722104259,-0.011005018579862556,-0.01534257261326533,1.0516565152411423,0.6418250861272626,-0.007293735722104259
global,raw075,bc_noq2_05,0.75,1.0,0.5609237026637172,-0.006607222026099979,-0.015905644597936634,-0.01760585477896405,1.0852929178989132,0.5258818400861308,-0.007247222026099979
global,raw05,bc_noq2_075,0.75,0.75,0.560958796510582,-0.006572128179235137,-0.015109800597741278,-0.018093875707472406,0.8628147241841335,0.4522991600730123,-0.007212128179235137
global,raw075,bc_noq2_075,0.5,0.75,0.5609557296461086,-0.006575195043708515,-0.017303354861324807,-0.02122878388220422,0.758662278629776,0.4074540661167392,-0.0071821248666123355
global,raw10,bc_strict_05,1.25,0.75,0.5609112395792116,-0.006619685110605511,0.014330733784060284,0.014100436169797972,1.8946845738219042,0.8160868905459492,-0.007173700707901149
global,raw10,bc_strict_075,1.25,0.5,0.5609054762959814,-0.00662544839383572,0.016344434877526143,0.01687684832225129,1.8825032002718225,0.8509274330770947,-0.0071673817845705635
global,raw10,bc_strict_05,1.0,0.75,0.5609372843850499,-0.006593640304767279,0.013619361741519516,0.015280240030282688,1.5332258969920904,0.7530345994175396,-0.007151924134318161
global,raw10,bc_noq2_10,0.5,0.5,0.5610218908684658,-0.006509033821351373,-0.014578795203741243,-0.0223089555830411,0.8058025372323045,0.5397859769326278,-0.007149033821351373
global,raw10,bc_strict_075,1.0,0.5,0.5609313913634489,-0.006599533326368201,0.015633062834985313,0.018674889305214434,1.5210445234420091,0.7954103783144706,-0.007145734949358289
global,raw05,bc_noq2_10,1.0,0.5,0.5610295076461653,-0.006501417043651814,-0.008635448529413657,-0.01189129690652946,1.0828851835726774,0.6527728728924225,-0.007141417043651814
global,raw10,bc_noq2_05,0.5,1.0,0.5610683800327989,-0.006462544657018232,-0.019479421221815264,-0.022882963891805625,0.839438939890075,0.4316787809923257,-0.007102544657018232
global,raw05,bc_noq2_05,1.0,1.0,0.561076542965069,-0.006454381724748104,-0.013536074547487523,-0.01485275225004365,1.1165215862304485,0.5363109782904183,-0.007094381724748104
global,raw075,bc_strict_05,1.25,0.75,0.5609883511417741,-0.006542573548042996,0.019101408086290055,0.0201499496650795,1.702010075786944,0.7859701872696849,-0.007067965099525255
global,raw075,bc_strict_075,1.25,0.5,0.5609822213332929,-0.006548703356524244,0.021115109179755773,0.023555627820093683,1.6898287022368632,0.8252383435835519,-0.007062012701445709
global,raw05,bc_strict_05,0.75,1.0,0.5610598743161332,-0.006471050373683895,0.019889732831365102,0.022868338216541922,0.866521586230448,0.43613446435868997,-0.006991711976695705
global,raw10,bc_noq2_075,1.25,0.5,0.561184613407819,-0.00634631128199814,-0.010199385565494611,-0.010589596382797658,1.8825032002718225,0.8556112471144817,-0.00698631128199814
global,raw075,bc_strict_05,0.5,1.0,0.5610566954724655,-0.006474229217351635,0.01769617856778176,0.020810523769666543,0.7623691406760915,0.39246794485978376,-0.006977947458485818
global,raw10,bc_strict_035,1.25,1.0,0.5611190699898329,-0.006411854699984287,0.012517762397597158,0.01227563125874805,1.8952202283142363,0.8136023183272639,-0.006976748125598705
global,raw10,bc_noq2_05,1.25,0.75,0.5611986236754233,-0.00633230101439386,-0.012119763767468523,-0.011993469331777163,1.8946845738219042,0.8207728025090572,-0.0069723010143938596
global,raw10,bc_noq2_075,1.0,0.5,0.5612105284752865,-0.006320396214530621,-0.010910757608035454,-0.013130023973161454,1.5210445234420091,0.8012866402890557,-0.006960396214530621
global,raw10,bc_strict_035,1.0,1.0,0.5611492480610228,-0.006381676628794297,0.01180639035505624,0.013189249305965411,1.5337615514844234,0.7500602488155325,-0.00695083828666396
global,raw10,bc_noq2_05,1.0,0.75,0.5612246684812615,-0.006306256208555627,-0.012831135810009291,-0.014503646194328835,1.5332258969920904,0.7586712121600303,-0.006946256208555627
global,raw075,bc_noq2_075,1.25,0.5,0.5612613584451304,-0.006269566244686775,-0.005428711263264992,-0.006095134786243123,1.6898287022368632,0.8305477703692793,-0.006909566244686775
global,raw05,bc_strict_075,0.5,0.75,0.5609789849566391,-0.006551939733178025,0.02286440737693745,0.028366316424862533,0.6128147241841327,0.3328185691146331,-0.006905005068263706
global,raw075,bc_noq2_05,1.25,0.75,0.5612757352379857,-0.0062551894518314555,-0.007349089465238752,-0.007803739046837902,1.702010075786944,0.7911643224448933,-0.006895189451831455
global,raw10,bc_strict_05,0.75,0.75,0.5612114120866541,-0.006319512603162991,0.012907989698978606,0.0165748427222949,1.171767220162277,0.6586694402364436,-0.006882064664969119
global,raw10,bc_strict_075,0.75,0.5,0.5612052924397235,-0.006325632250093638,0.01492169079244438,0.020809210416920625,1.159585846612196,0.7079063940928347,-0.006876102105338971
global,raw075,bc_strict_035,1.25,1.0,0.561201499468951,-0.006329425220866103,0.017288436699826864,0.018167459554037372,1.702545730279278,0.7831999074712694,-0.006865694600667141
global,raw075,bc_strict_05,1.0,0.75,0.5612165495384919,-0.006314375151325269,0.017435901183303244,0.020721000394837007,1.3790862985641226,0.7174524573708166,-0.006849759744225449
global,raw075,bc_strict_075,1.0,0.5,0.561210277357966,-0.006320647331851115,0.019449602276768927,0.024814768704990525,1.3669049250140417,0.7634369551426275,-0.006843949718190501
global,raw05,bc_noq2_10,0.75,0.5,0.5613718521089994,-0.006159072580817715,-0.0104769712192659,-0.0158744946370731,0.8328851835726778,0.5524394162726337,-0.006799072580817715
global,raw05,bc_strict_075,0.0,1.0,0.5607014644966053,-0.006829460193211845,0.02557514932964367,0.025182577049748585,0.15041963224551086,0.0648368458794281,-0.0067963450030303916
global,raw075,bc_strict_075,0.0,1.0,0.5607014644966053,-0.006829460193211845,0.02557514932964367,0.025182577049748585,0.15041963224551086,0.0648368458794281,-0.0067963450030303916
global,raw10,bc_strict_075,0.0,1.0,0.5607014644966053,-0.006829460193211845,0.02557514932964367,0.025182577049748585,0.15041963224551086,0.0648368458794281,-0.0067963450030303916
global,raw10,bc_noq2_035,1.25,1.0,0.5613963622837402,-0.006134562406076904,-0.012252229972244906,-0.012080415492893076,1.8952202283142363,0.8180159629130679,-0.006774562406076904
