context_variant,semantic_family,semantic_k,coarse_family,coarse_k,mode,folds,semantic_logloss,semantic_acc,oracle_rate_r2,pred_rate_r2,pred_rate_rmse,pred_rate_cos,two_level_score
prior_label,label_state,8,raw_mean,8,context_plus_coarse_prob,4,2.4717979411021473,0.260218253968254,0.1768665574972855,-0.0523957792501443,0.32502706348896027,0.904175415635109,-0.18409185943383904
prior_label,label_state,10,teacher_hybrid,10,context_plus_coarse_prob,4,2.4800931714597914,0.2735119047619048,0.16468109996957905,-0.060713776473202224,0.3260699138045311,0.9044086635112762,-0.18570045342306535
prior_label,label_state,8,teacher_hybrid,10,context_plus_coarse_prob,4,2.512443212533542,0.2798611111111111,0.1768665574972855,-0.07675287625319255,0.32852603495121,0.9026107341051102,-0.18641654687297665
past_label,label_state,8,hybrid_raw,4,context_plus_coarse_prob,4,2.4558531281627127,0.23194444444444443,0.1768665574972855,-0.04856947727752345,0.3236376717686653,0.9056347161531448,-0.18720896934588216
past_label,label_state,10,teacher_hybrid,10,context_plus_true_coarse_train,4,2.513088099060389,0.2638888888888889,0.16468109996957905,-0.044725347894372575,0.3234492912888527,0.9045734107494354,-0.19255782101394223
future_label,label_state,8,raw_mean,4,context_plus_true_coarse_train,4,2.5885125205461006,0.28134920634920635,0.1768665574972855,-0.01678114336564379,0.3192116320133209,0.9064171463251114,-0.19714868280524128
future_label,label_state,8,hybrid_raw,4,context_plus_true_coarse_train,4,2.5755177187030576,0.27093253968253966,0.1768665574972855,-0.019799510065769577,0.31964509934186935,0.9065485596656799,-0.1972696545280613
future_label,label_state,8,none,0,direct_semantic,4,2.589819146268046,0.27093253968253966,0.1768665574972855,-0.021119452575489278,0.31987185031175613,0.9063261449337006,-0.19943711013600757
future_label,label_state,8,raw_mean,8,context_plus_coarse_prob,4,2.5867335177800754,0.26944444444444443,0.1768665574972855,-0.030316843023041218,0.3216136619448662,0.9046276062726974,-0.19944173877653126
future_label,label_state,8,hybrid_raw,4,context_plus_coarse_prob,4,2.574834329681845,0.25843253968253965,0.1768665574972855,-0.025849511554793897,0.3206217288970947,0.9066820740699768,-0.19965379473444975
future_label,label_state,8,raw_mean,4,context_plus_coarse_prob,4,2.588063256001035,0.25902777777777775,0.1768665574972855,-0.021511789658586994,0.31992101669311523,0.906258299946785,-0.20156146347559978
future_label,label_state,8,teacher_hybrid,10,context_plus_true_coarse_train,4,2.594847468971983,0.25843253968253965,0.1768665574972855,-0.03474080498445542,0.3221732899546623,0.9063460975885391,-0.20268936327611425
future_label,label_state,10,hybrid_raw,4,context_plus_true_coarse_train,4,2.536472486551829,0.22410714285714287,0.16468109996957905,-0.024511308192681186,0.32035183161497116,0.9082779884338379,-0.20365137057556718
future_label,label_state,10,hybrid_raw,4,context_plus_coarse_prob,4,2.5325136303646936,0.21220238095238095,0.16468109996957905,-0.034786469098384926,0.32189062237739563,0.908063679933548,-0.2054599253784783
future_label,label_state,8,raw_mean,8,context_plus_true_coarse_train,4,2.614611862566624,0.24503968253968253,0.1768665574972855,-0.011382555750791085,0.3184771090745926,0.9068587720394135,-0.2082813262987943
future_label,label_state,10,none,0,direct_semantic,4,2.562951970297825,0.2017857142857143,0.16468109996957905,-0.028986288012630784,0.32112935185432434,0.9077878445386887,-0.2121365932412672
future_label,label_state,10,raw_mean,4,context_plus_coarse_prob,4,2.5832959293308155,0.21279761904761904,0.16468109996957905,-0.029906986616870412,0.32119598239660263,0.9086531400680542,-0.21289927659089836
future_label,label_state,10,teacher_hybrid,10,context_plus_true_coarse_train,4,2.6037575148911682,0.21577380952380953,0.16468109996957905,-0.06433348128559532,0.3267713636159897,0.9047643840312958,-0.215762151933389
future_label,label_state,10,raw_mean,4,context_plus_true_coarse_train,4,2.5850181659581093,0.18988095238095237,0.16468109996957905,-0.026163919388374174,0.3206672891974449,0.9081584513187408,-0.21779041429325707
past_label,label_state,10,teacher_hybrid,10,context_plus_coarse_prob,4,2.663917326662561,0.24513888888888888,0.16468109996957905,-0.0682774771009017,0.3270498290657997,0.9028272926807404,-0.21910681696113762
future_label,label_state,10,raw_mean,8,context_plus_coarse_prob,4,2.634869318564949,0.20029761904761906,0.16468109996957905,-0.020637388082243746,0.32007408142089844,0.9071682840585709,-0.22328377057696674
future_label,label_state,8,teacher_hybrid,10,context_plus_coarse_prob,4,2.74035335450557,0.2554563492063492,0.1768665574972855,-0.05864311724760901,0.3258073925971985,0.9043748080730438,-0.2253076131529399
future_label,label_state,10,raw_mean,8,context_plus_true_coarse_train,4,2.658347852392886,0.2052579365079365,0.16468109996957905,-0.026061142278349658,0.3207325041294098,0.9072834849357605,-0.22580196707137476
prior_raw,label_rate,10,none,0,direct_semantic,4,3.167550504308004,0.3060515873015873,0.3471184888183474,-0.10567355440972562,0.3324045091867447,0.900026336312294,-0.23714000235006688
prior_all,label_rate,10,hybrid_raw,4,context_plus_true_coarse_train,4,3.1340779399309517,0.2796626984126984,0.3471184888183474,-0.09273895417170255,0.33058203011751175,0.8997697830200195,-0.23742255080051422
prior_all,label_rate,10,none,0,direct_semantic,4,3.150063354981085,0.2837301587301587,0.3471184888183474,-0.10565902602270064,0.3324609473347664,0.8991793394088745,-0.23906591535565666
prior_raw,label_rate,10,hybrid_raw,4,context_plus_true_coarse_train,4,3.154114076212913,0.2796626984126984,0.3471184888183474,-0.08893390915308902,0.32995396852493286,0.9011700749397278,-0.24028794205083764
bidir_label,label_state,10,none,0,direct_semantic,4,2.805899652465568,0.23541666666666666,0.16468109996957905,-0.02541554561879722,0.3203497976064682,0.9085389077663422,-0.24177744876747284
prior_all,label_rate,10,hybrid_raw,4,context_plus_coarse_prob,4,3.1490849998105137,0.2657738095238095,0.3471184888183474,-0.0913767908396623,0.33041170984506607,0.8999741822481155,-0.24243094763741668
prior_all,label_rate,10,teacher_hybrid,10,context_plus_true_coarse_train,4,3.1837768080098545,0.29216269841269843,0.3471184888183474,-0.10875949161552376,0.33300668001174927,0.8979159295558929,-0.24256276635876228
bidir_label,label_state,10,hybrid_raw,4,context_plus_coarse_prob,4,2.815561118734549,0.23601190476190476,0.16468109996957905,-0.038993433903495994,0.32245124876499176,0.9081173986196518,-0.24314977200344146
prior_all,label_rate,10,raw_mean,4,context_plus_true_coarse_train,4,3.1380803030250117,0.2538690476190476,0.3471184888183474,-0.10404314159607844,0.33225663751363754,0.8994694203138351,-0.24321167169397184
prior_raw,label_rate,10,raw_mean,8,context_plus_true_coarse_train,4,3.1740814898155025,0.2761904761904762,0.3471184888183474,-0.08883722122731255,0.32971809804439545,0.9008423238992691,-0.24401027363971634
prior_raw,label_rate,10,teacher_hybrid,10,context_plus_true_coarse_train,4,3.210562393366658,0.30406746031746035,0.3471184888183474,-0.10781884872142986,0.33289994299411774,0.8986761122941971,-0.2441236335075
bidir_label,label_state,8,raw_mean,4,context_plus_true_coarse_train,4,2.8726388896580266,0.2548611111111111,0.1768665574972855,-0.030959039342565442,0.32151295244693756,0.9057410657405853,-0.24513286527810182
bidir_label,label_state,10,hybrid_raw,4,context_plus_true_coarse_train,4,2.82942668833211,0.23601190476190476,0.16468109996957905,-0.031436432479426984,0.3212313577532768,0.9083478897809982,-0.245206558326941
prior_raw,label_rate,10,raw_mean,4,context_plus_true_coarse_train,4,3.1530872363128584,0.2538690476190476,0.3471184888183474,-0.09928477547192635,0.33147483319044113,0.9008781462907791,-0.24532183908945446
prior_all,label_rate,10,raw_mean,8,context_plus_true_coarse_train,4,3.1667431932080228,0.2642857142857143,0.3471184888183474,-0.09868748934562246,0.33127495646476746,0.8992015868425369,-0.24545455523522003
bidir_label,label_state,10,raw_mean,4,context_plus_true_coarse_train,4,2.8051977274677027,0.21369047619047618,0.16468109996957905,-0.026444085171602377,0.32046978175640106,0.9083618372678757,-0.24603510516287785
prior_raw,label_rate,10,hybrid_raw,4,context_plus_coarse_prob,4,3.1778732688489995,0.2657738095238095,0.3471184888183474,-0.08874652795254889,0.3299732208251953,0.9010978192090988,-0.24663682429709122
prior_all,label_rate,10,raw_mean,4,context_plus_coarse_prob,4,3.153009696470333,0.24345238095238095,0.3471184888183474,-0.10886040750033535,0.3330550789833069,0.8990954905748367,-0.24757180701800324
