config,graph,smooth_weight,prior_weight,label_weight,group,scale,covered_rows,base_loss,oof_loss,oof_delta_vs_stage2
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,stage,0.35,287,0.5675309246898171,0.567202499668513,-0.0003284250213041462
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,no_q2,0.5,287,0.5675309246898171,0.5672034675426899,-0.0003274571471272303
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,all,0.35,287,0.5675309246898171,0.5672049548601111,-0.00032596982970600763
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,stage,0.35,287,0.5675309246898171,0.5672086791605466,-0.0003222455292705151
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,all,0.35,287,0.5675309246898171,0.5672115592333297,-0.00031936545648747483
gk6_t1_sw0p1_pw0p75_lw20,gk6_t1,0.1,0.75,20.0,stage,0.75,287,0.5675309246898171,0.5672131570736094,-0.0003177676162077203
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,no_q2,0.35,287,0.5675309246898171,0.5672151335305164,-0.00031579115930069346
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,no_q2,0.15,287,0.5675309246898171,0.5672159726639825,-0.0003149520258346472
gk6_t1_sw0p1_pw0p25_lw20,gk6_t1,0.1,0.25,20.0,all,0.15,287,0.5675309246898171,0.5672164728244146,-0.0003144518654025763
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,all,0.35,287,0.5675309246898171,0.5672185466403052,-0.00031237804951189663
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,no_q2,0.15,287,0.5675309246898171,0.5672200966939803,-0.0003108279958368154
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,all,0.25,287,0.5675309246898171,0.5672219566918081,-0.0003089679980090576
gk6_t1_sw0p25_pw0p25_lw20,gk6_t1,0.25,0.25,20.0,stage,0.25,287,0.5675309246898171,0.5672224461914055,-0.0003084784984116462
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,no_q2,0.5,287,0.5675309246898171,0.5672225697267623,-0.00030835496305481325
gk6_t1_sw0p1_pw0p25_lw8,gk6_t1,0.1,0.25,8.0,all,0.15,287,0.5675309246898171,0.5672233015393454,-0.0003076231504717253
gk6_t1_sw0p5_pw0p75_lw8,gk6_t1,0.5,0.75,8.0,stage,0.35,287,0.5675309246898171,0.5672236480587531,-0.0003072766310640018
gk6_t1_sw0p1_pw0p75_lw8,gk6_t1,0.1,0.75,8.0,stage,0.75,287,0.5675309246898171,0.5672259060577268,-0.00030501863209031477
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,no_q2,0.35,287,0.5675309246898171,0.567228533041974,-0.00030239164784318096
gk6_t1_sw0p25_pw0p75_lw20,gk6_t1,0.25,0.75,20.0,stage,0.35,287,0.5675309246898171,0.5672287294919055,-0.0003021951979116366
gk6_t1_sw0p5_pw0p75_lw20,gk6_t1,0.5,0.75,20.0,stage,0.25,287,0.5675309246898171,0.5672304292277447,-0.0003004954620724476
gk6_t1_sw0p25_pw0p25_lw8,gk6_t1,0.25,0.25,8.0,stage,0.25,287,0.5675309246898171,0.5672328071840226,-0.00029811750579455953
gk6_t1_sw1_pw0p75_lw20,gk6_t1,1.0,0.75,20.0,no_q2,0.25,287,0.5675309246898171,0.5672345227984682,-0.0002964018913489408
