score_col,mode,threshold,cells,gain_sum,mean_gain,positive_gain_rate,all_cells,all_gain_sum,all_mean_gain,all_positive_gain_rate,removed_gain_sum,target
wm_energy_rank_mobility_environment,high_energy_listener,0.4844444444444444,4,0.025087427134069418,0.006271856783517354,0.5,9,1.168314109578631,0.1298126788420701,0.6666666666666666,1.1432266824445616,Q3
wm_energy_rank_mobility_environment,all,0.4844444444444444,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_mean,low_energy_listener,1.3502067231784545,5,1.1764193675742083,0.23528387351484165,0.8,9,1.168314109578631,0.1298126788420701,0.6666666666666666,-0.008105257995577375,Q3
wm_energy_mean,high_energy_listener,1.3502067231784545,4,-0.008105257995577264,-0.002026314498894316,0.5,9,1.168314109578631,0.1298126788420701,0.6666666666666666,1.176419367574208,Q3
wm_energy_mean,all,1.3502067231784545,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_max,low_energy_listener,2.0029471352766404,5,0.48758276520538807,0.09751655304107762,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.6807313443732428,Q3
wm_energy_max,high_energy_listener,2.0029471352766404,4,0.6807313443732429,0.17018283609331072,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.487582765205388,Q3
wm_energy_max,all,2.0029471352766404,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_mean,low_energy_listener,0.4502222222222222,5,0.7738268855392572,0.15476537710785143,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.39448722403937375,Q3
wm_energy_rank_mean,high_energy_listener,0.4502222222222222,4,0.39448722403937386,0.09862180600984347,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.773826885539257,Q3
wm_energy_rank_mean,all,0.4502222222222222,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_rank_max,low_energy_listener,0.7511111111111111,5,0.48758276520538807,0.09751655304107762,0.6,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.6807313443732428,Q3
wm_energy_rank_max,high_energy_listener,0.7511111111111111,4,0.6807313443732429,0.17018283609331072,0.75,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.487582765205388,Q3
wm_energy_rank_max,all,0.7511111111111111,9,1.168314109578631,0.1298126788420701,0.6666666666666666,9,1.168314109578631,0.1298126788420701,0.6666666666666666,0.0,Q3
wm_energy_calendar_rhythm,low_energy_listener,1.0971665798936887,3,0.8985573989861357,0.2995191329953786,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.4628795525048679,S2
wm_energy_calendar_rhythm,high_energy_listener,1.0971665798936887,2,0.4628795525048678,0.2314397762524339,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.8985573989861358,S2
wm_energy_calendar_rhythm,all,1.0971665798936887,5,1.3614369514910036,0.2722873902982007,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.0,S2
wm_energy_rank_calendar_rhythm,low_energy_listener,0.46,3,0.8985573989861357,0.2995191329953786,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.4628795525048679,S2
wm_energy_rank_calendar_rhythm,high_energy_listener,0.46,2,0.4628795525048678,0.2314397762524339,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.8985573989861358,S2
wm_energy_rank_calendar_rhythm,all,0.46,5,1.3614369514910036,0.2722873902982007,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.0,S2
wm_energy_phone_behavior,low_energy_listener,1.4416396313103224,3,0.8985573989861357,0.2995191329953786,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.4628795525048679,S2
wm_energy_phone_behavior,high_energy_listener,1.4416396313103224,2,0.4628795525048678,0.2314397762524339,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.8985573989861358,S2
wm_energy_phone_behavior,all,1.4416396313103224,5,1.3614369514910036,0.2722873902982007,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.0,S2
wm_energy_rank_phone_behavior,low_energy_listener,0.3355555555555555,3,0.8985573989861357,0.2995191329953786,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.4628795525048679,S2
wm_energy_rank_phone_behavior,high_energy_listener,0.3355555555555555,2,0.4628795525048678,0.2314397762524339,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.8985573989861358,S2
wm_energy_rank_phone_behavior,all,0.3355555555555555,5,1.3614369514910036,0.2722873902982007,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.0,S2
wm_energy_body_activity_sleep,low_energy_listener,1.4082697527846808,3,0.7482200462488111,0.24940668208293704,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.6132169052421925,S2
wm_energy_body_activity_sleep,high_energy_listener,1.4082697527846808,2,0.6132169052421925,0.30660845262109626,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.7482200462488111,S2
wm_energy_body_activity_sleep,all,1.4082697527846808,5,1.3614369514910036,0.2722873902982007,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.0,S2
wm_energy_rank_body_activity_sleep,low_energy_listener,0.5177777777777778,3,0.7482200462488111,0.24940668208293704,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.6132169052421925,S2
wm_energy_rank_body_activity_sleep,high_energy_listener,0.5177777777777778,2,0.6132169052421925,0.30660845262109626,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.7482200462488111,S2
wm_energy_rank_body_activity_sleep,all,0.5177777777777778,5,1.3614369514910036,0.2722873902982007,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.0,S2
wm_energy_app_social_context,low_energy_listener,0.8125139519349213,3,0.8668073812941458,0.2889357937647153,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.4946295701968578,S2
wm_energy_app_social_context,high_energy_listener,0.8125139519349213,2,0.49462957019685777,0.24731478509842889,1.0,5,1.3614369514910036,0.2722873902982007,1.0,0.8668073812941459,S2
