target,subset,n_features,k,C,mean_logloss,std_logloss
Q3,crossnight_mech,1620,200,0.1,0.9284488021692677,0.021865062545783454
Q3,day_flat,576,200,0.1,0.93300996135285,0.05455098838346768
S4,sleep_plus_s4x,800,200,0.003,0.6089301515987168,0.03487116821532519
S4,sleep_plus_s4x,800,100,0.01,0.610455647773701,0.024392222399736343
S4,sleep_plus_s4x,800,100,0.03,0.6146456457611845,0.03099937486032464
S4,sleep_plus_s4x,800,200,0.001,0.6176051036103446,0.025091706384585532
S4,sleep_plus_s4x,800,100,0.003,0.6182657852981102,0.01909900588722466
S4,sleep_plus_s4x,800,200,0.01,0.6187938758334993,0.04918793264705293
S4,q2_load_plus_semantic,1952,20,0.001,0.6190570820326433,0.01201500889247566
S4,q2_load_plus_semantic,1952,50,0.001,0.6229293422915015,0.01566239243302535
S4,sleep_only,324,50,0.1,0.6236910713681284,0.029074596736548105
S4,q2_load_plus_semantic,1952,20,0.003,0.6241836139723848,0.01217719318488734
S4,sleep_plus_s4x,800,100,0.1,0.6249511711047616,0.03760093255088904
S4,sleep_only,324,50,0.03,0.6272946032072922,0.028272512638330742
S4,sleep_only,324,50,0.01,0.6280432765411834,0.023388625540185178
S4,q2_load_plus_semantic,1952,50,0.003,0.6291565690092306,0.01742036835367482
S4,sleep_only,324,50,0.003,0.630575509299168,0.016925857352645433
S4,sleep_only,324,100,0.01,0.6306602721247102,0.046855944559618654
S4,q2_load_plus_semantic,1952,20,0.01,0.6327451304981496,0.01284409726810542
S4,sleep_only,324,100,0.003,0.6332772010147885,0.044098966798125035
S4,sleep_plus_s4x,800,100,0.001,0.6341059565837286,0.015737858214532906
S4,sleep_only,324,100,0.03,0.6347707624945013,0.04486741879986749
S4,q2_load_plus_semantic,1952,50,0.01,0.6377027958213758,0.017767781150224444
S4,crossnight_flat,1216,100,0.03,0.6403570073282254,0.04022021133882127
S4,q2_load_plus_semantic,1952,20,0.03,0.6405711892327465,0.013942727853931155
S4,crossnight_flat,1216,100,0.01,0.6409773511210979,0.028514808982827645
S4,sleep_only,324,50,0.001,0.6421227118046796,0.011915280042065523
S4,sleep_only,324,100,0.1,0.6423698923312418,0.04009684385467027
S4,q2_load_plus_semantic,1952,50,0.03,0.6428798617692187,0.01719583850629367
S4,sleep_only,324,100,0.001,0.6429302706093091,0.036658817220941234
S4,crossnight_mech,1620,100,0.03,0.6437276605466627,0.02156591883741924
S4,crossnight_flat,1216,100,0.1,0.643954826712755,0.05034363328176026
S4,crossnight_mech,1620,100,0.01,0.6441335659684602,0.016182801014337077
S4,q2_load_plus_semantic,1952,100,0.01,0.6444837305786061,0.005748886904049862
S4,q2_load_plus_semantic,1952,100,0.001,0.6444837305786062,0.005748886904049914
S4,q2_load_plus_semantic,1952,100,0.003,0.6444837305786062,0.005748886904049881
S4,q2_load_plus_semantic,1952,100,0.03,0.6444837305786062,0.005748886904049914
S4,q2_load_plus_semantic,1952,100,0.1,0.6444837305786062,0.005748886904049881
S4,crossnight_mech,1620,200,0.003,0.6446947826392958,0.011904996689955465
S4,sleep_plus_s4x,800,200,0.03,0.6448905242396816,0.06581434090003976
S4,day_flat,576,100,0.01,0.6449865480980693,0.01127543911435057
S4,crossnight_flat,1216,100,0.003,0.6455668447711931,0.01658978992052908
S4,q2_load_plus_semantic,1952,20,0.1,0.6456492979942589,0.015602294178680837
S4,crossnight_mech,1620,200,0.01,0.6462403114283202,0.014598997566825603
S4,q2_load_plus_semantic,1952,50,0.1,0.6466898861481084,0.01667307598494517
S4,day_flat,576,100,0.03,0.646816951363891,0.019294330487384936
S4,crossnight_flat,1216,50,0.1,0.6473337973578646,0.013098677107723826
S4,crossnight_flat,1216,50,0.03,0.6480968101597727,0.009502917631803342
S4,crossnight_mech,1620,100,0.1,0.6481281088412693,0.02659450558609957
S4,crossnight_mech,1620,50,0.1,0.6489156596623601,0.012730305685147181
S4,crossnight_mech,1620,200,0.001,0.6502934434972218,0.009720372356639789
S4,crossnight_flat,1216,50,0.01,0.6508387809899465,0.006142663935111519
S4,crossnight_mech,1620,50,0.03,0.6511039356540999,0.011016523431921117
S4,crossnight_mech,1620,100,0.003,0.6516275071198901,0.010412668722529338
S4,crossnight_flat,1216,100,0.001,0.6519099428161818,0.009786138505930473
S4,day_flat,576,100,0.003,0.6520881855876016,0.006974116488527827
S4,crossnight_mech,1620,50,0.01,0.6562697755919816,0.00819951383820419
S4,day_flat,576,100,0.1,0.6576574463803575,0.02654746838497122
S4,sleep_plus_s4x,800,50,0.1,0.6583436843484418,0.021206571930541467
S4,crossnight_flat,1216,50,0.003,0.6584896884068804,0.0030675982765359143
S4,q2_load_plus_semantic,1952,200,0.001,0.6586113824270116,0.025671670188947
S4,q2_load_plus_semantic,1952,200,0.003,0.6586113824270119,0.02567167018894729
S4,q2_load_plus_semantic,1952,200,0.03,0.6586113824270119,0.02567167018894734
S4,q2_load_plus_semantic,1952,200,0.1,0.658611382427012,0.0256716701889476
S4,q2_load_plus_semantic,1952,200,0.01,0.658611382427013,0.025671670188948933
S4,day_flat,576,50,0.1,0.6586887428727339,0.01430290421521918
S4,crossnight_flat,1216,20,0.1,0.6591290459659941,0.013421077925902965
S4,sleep_plus_s4x,800,20,0.1,0.6598392021907061,0.011905403467482534
S4,crossnight_mech,1620,200,0.03,0.6601650242950258,0.016574689769182523
S4,sleep_plus_s4x,800,50,0.03,0.660190266162655,0.01658234737432436
S4,day_flat,576,50,0.03,0.6614555495437053,0.009349383990301085
S4,crossnight_mech,1620,100,0.001,0.6622081274235102,0.005508453485138332
S4,day_flat,576,100,0.001,0.6637579443887879,0.005697993595335703
S4,sleep_plus_s4x,800,50,0.01,0.6641347756731076,0.011942517852260382
S4,day_flat,576,50,0.01,0.6647122613322453,0.005829565329308236
S4,crossnight_mech,1620,50,0.003,0.6648563115188523,0.004432841414919466
S4,q2_load_plus_semantic,1952,5,0.01,0.6656000186893,0.011362077233039513
S4,crossnight_flat,1216,20,0.03,0.6656878356456132,0.010059399631110648
S4,sleep_plus_s4x,800,20,0.03,0.6668166487477797,0.008265391627221421
S4,sleep_only,324,20,0.1,0.6671161848078375,0.022458479391403847
S4,q2_load_plus_semantic,1952,5,0.003,0.667188149529706,0.006456848066675763
S4,q2_load_plus_semantic,1952,5,0.03,0.6672143048881322,0.014920337292814431
S4,q2_load_plus_semantic,1952,10,0.003,0.668092959395563,0.004812901119367143
S4,crossnight_mech,1620,20,0.1,0.6684028196200252,0.01149804304959771
S4,crossnight_flat,1216,50,0.001,0.6686690107749,0.001292609274896274
S4,day_flat,576,50,0.003,0.6687079015372978,0.003334299207982126
S4,q2_load_plus_semantic,1952,10,0.01,0.6689923828091983,0.007365055858738427
S4,sleep_plus_s4x,800,50,0.003,0.6692655397740445,0.008752505922755326
S4,q2_load_plus_semantic,1952,5,0.1,0.669751536449248,0.017124501638279603
S4,crossnight_flat,1216,20,0.01,0.6698034236857288,0.006126778871270823
S4,sleep_plus_s4x,800,20,0.01,0.6703016554743967,0.005097169782569048
S4,q2_load_plus_semantic,1952,10,0.001,0.6705342436919636,0.003967769212886015
S4,sleep_plus_s4x,800,20,0.003,0.6710419175242238,0.0029216391483368265
S4,sleep_only,324,20,0.03,0.6714326314051228,0.018195268445486412
S4,crossnight_flat,1216,5,0.01,0.6714678868904116,0.0037881067988540396
S4,q2_load_plus_semantic,1952,10,0.03,0.6716943141290755,0.011425762289194568
S4,q2_load_plus_semantic,1952,10,0.1,0.6724206561578462,0.01580840273810331
S4,crossnight_mech,1620,50,0.001,0.6724539269750599,0.002161225803874286
S4,q2_load_plus_semantic,1952,5,0.001,0.6727002778131359,0.004584322268381071
S4,crossnight_flat,1216,5,0.03,0.6734834716665112,0.005739585031225808
S4,crossnight_flat,1216,20,0.003,0.6735271732233125,0.0027798685997863534
S4,sleep_plus_s4x,800,50,0.001,0.6735504890018372,0.006056641264654751
S4,day_flat,576,50,0.001,0.674260399644896,0.0018750975274817354
S4,crossnight_flat,1216,10,0.01,0.6747732998618835,0.003889317066287601
S4,sleep_plus_s4x,800,20,0.001,0.6747759306130351,0.0017019450250072687
S4,crossnight_flat,1216,5,0.003,0.6748878459307516,0.002704860145447832
S4,sleep_only,324,20,0.01,0.675472097319294,0.01201750445369831
S4,crossnight_flat,1216,10,0.003,0.6755502247105204,0.002702474857021365
S4,sleep_plus_s4x,800,200,0.1,0.6760127504862069,0.07741523325373023
S4,day_flat,576,10,0.003,0.6767423763840364,0.001518174644883922
S4,sleep_only,324,10,0.03,0.6768929496429882,0.010336247394136721
S4,sleep_only,324,10,0.01,0.6770698873472613,0.0069163822664844435
S4,day_flat,576,5,0.003,0.6771075933735847,0.00160787683474692
S4,day_flat,576,5,0.01,0.677111668865693,0.0035289575674417
S4,crossnight_flat,1216,10,0.03,0.6772486397839504,0.005476382931539266
S4,day_flat,576,200,0.001,0.6773267933709649,0.011865696629490125
S4,crossnight_flat,1216,10,0.1,0.6775790079140699,0.007689010256652242
S4,day_flat,576,20,0.003,0.6776151338832864,0.001433855631198143
S4,crossnight_mech,1620,20,0.03,0.6780925783135198,0.008489912931154527
S4,sleep_only,324,10,0.1,0.6780979171605198,0.014252534089109046
S4,sleep_only,324,10,0.003,0.6781319454866798,0.003828348688700814
S4,sleep_only,324,20,0.003,0.6781527920828943,0.0060776057902051
S4,crossnight_flat,1216,5,0.1,0.6782881253021157,0.00870653239220045
S4,crossnight_flat,1216,20,0.001,0.6786241200500363,0.0011302430990054726
S4,day_flat,576,20,0.001,0.678813778514947,0.0009485961684701154
S4,day_flat,576,10,0.01,0.6789858709186888,0.0013693452922821636
S4,day_flat,576,10,0.001,0.6791423614432414,0.0010250067599206093
S4,crossnight_flat,1216,10,0.001,0.6806297613035261,0.001738868482823443
S4,sleep_only,324,20,0.001,0.6807679336422477,0.002900794327845395
S4,sleep_only,324,10,0.001,0.6812414770581485,0.0019641130710491067
S4,day_flat,576,20,0.01,0.6814607563981879,0.001638025693999995
S4,crossnight_flat,1216,5,0.001,0.6817654679639314,0.001929993294049591
S4,day_flat,576,5,0.001,0.6821369546857593,0.00017427887927508993
S4,day_flat,576,5,0.03,0.6823774005151949,0.004996920106809739
S4,crossnight_mech,1620,20,0.01,0.6830555579176485,0.005152925450340247
S4,sleep_plus_s4x,800,10,0.01,0.6834188067236692,0.003910753167166646
S4,day_flat,576,10,0.03,0.6834460826831418,0.0014127873510706805
S4,sleep_plus_s4x,800,10,0.003,0.683480503616606,0.0018326719415690486
S4,crossnight_mech,1620,5,0.003,0.6837123008715915,0.008269091046600159
S4,crossnight_mech,1620,5,0.01,0.683911835618129,0.011184085810346116
S4,sleep_plus_s4x,800,5,0.003,0.6839453961254284,0.0047433842764024615
S4,crossnight_mech,1620,5,0.1,0.6840053288775659,0.009292423931734397
S4,crossnight_mech,1620,10,0.1,0.6840394579141437,0.006964268843690518
S4,sleep_plus_s4x,800,10,0.03,0.6843232302387495,0.005954126474287632
S4,crossnight_mech,1620,5,0.03,0.6845577883763183,0.01124049009288311
S4,crossnight_mech,1620,20,0.003,0.6849104267954712,0.002356285462056318
S4,sleep_plus_s4x,800,5,0.01,0.684978825881429,0.008291497031795504
S4,crossnight_mech,1620,20,0.001,0.685108315368879,0.001038251284608605
S4,sleep_plus_s4x,800,10,0.001,0.6852875169642135,0.0007360372198305042
S4,crossnight_mech,1620,5,0.001,0.6858493251003503,0.004364321884795951
S4,sleep_only,324,5,0.003,0.6861255789559437,0.0032665609710680007
S4,sleep_plus_s4x,800,10,0.1,0.6862318322567932,0.007993471624455887
S4,crossnight_mech,1620,10,0.001,0.6864092083368346,0.0009504384658919921
S4,day_flat,576,20,0.03,0.6865413249179181,0.002671414311375764
S4,sleep_only,324,5,0.03,0.6866674475893698,0.009384413739641061
S4,sleep_only,324,5,0.001,0.6867149728633583,0.0017304886107712043
S4,sleep_only,324,5,0.01,0.6867369324194667,0.006121738334615574
S4,crossnight_flat,1216,200,0.003,0.6868375821857423,0.013613264669678412
S4,crossnight_mech,1620,10,0.03,0.6870883155577096,0.005760473457983194
S4,crossnight_mech,1620,10,0.003,0.6870914903954765,0.001913932377803526
S4,sleep_only,324,5,0.1,0.6872235610254976,0.012356817433856792
S4,sleep_plus_s4x,800,5,0.001,0.6872842179911162,0.001775671797232872
S4,crossnight_flat,1216,200,0.001,0.6878205433274998,0.013249337560205498
S4,crossnight_mech,1620,10,0.01,0.6878567252719244,0.003801936009660023
S4,day_flat,576,10,0.1,0.688066669688562,0.0024502363871065623
S4,day_flat,576,20,0.1,0.688565024963007,0.005231529861488944
S4,sleep_only,324,200,0.01,0.6887514754211969,0.0026900340716453646
S4,sleep_only,324,200,0.001,0.6887514754211971,0.0026900340716453125
S4,sleep_only,324,200,0.003,0.6887514754211971,0.0026900340716453125
S4,sleep_only,324,200,0.03,0.6887514754211971,0.0026900340716452284
S4,sleep_only,324,200,0.1,0.6887514754211971,0.0026900340716453455
S4,crossnight_mech,1620,200,0.1,0.688753059137504,0.023008813102821615
S4,day_flat,576,200,0.003,0.6891093278363579,0.011929536875010669
S4,sleep_plus_s4x,800,5,0.03,0.6896924015483541,0.009376243276624082
S4,day_flat,576,5,0.1,0.6901081567014087,0.005981340765801906
S4,crossnight_flat,1216,200,0.01,0.6934039641864173,0.013102943409737553
S4,sleep_plus_s4x,800,5,0.1,0.6940709273982688,0.009211253061456214
S4,day_flat,576,200,0.01,0.7089311821514311,0.017756875003571537
S4,crossnight_flat,1216,200,0.03,0.7120951630327457,0.01340685736772795
S4,day_flat,576,200,0.03,0.7242660226636396,0.02873077336165185
S4,day_flat,576,200,0.1,0.7414130431109617,0.04036907476486527
S4,crossnight_flat,1216,200,0.1,0.7446684599335005,0.018214842549278
