model,k,C,scaler,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
selectk_logistic_feature_only,30,0.1,standard,chrono_last_20,0.6629806398836599,0.7180378522738711,0.7396011846362739,0.7599477506673582,0.5303789901230453,0.6270980094428317,0.6322050399859994,0.633595652056239
selectk_logistic_feature_only,10,0.3,robust,chrono_last_25,0.6630066655435911,0.7260771402675477,0.7156772866085992,0.7181531307257001,0.5451831534824538,0.6298593383116325,0.6288443058903662,0.6772523035188374
selectk_logistic_feature_only,30,0.3,robust,chrono_last_20,0.6631500258433134,0.720176778179467,0.7449909948669972,0.7593508436865021,0.519810999429628,0.6349941967920091,0.6337020141356251,0.6290243538129661
selectk_logistic_feature_only,30,0.003,standard,chrono_last_30,0.6632212438754953,0.6809367477053645,0.6743304741488619,0.6829762783915083,0.646517844372088,0.6553722592093543,0.6295185876651391,0.6728965156361513
selectk_logistic_feature_only,10,0.1,standard,chrono_last_30,0.6632306151739428,0.6870822744687576,0.706890160874803,0.6705897619508013,0.5926504581147306,0.6653111590467147,0.6227876159839135,0.6973028757778792
selectk_logistic_feature_only,20,0.003,standard,chrono_last_30,0.6633273102480214,0.6806333669638027,0.6751618275473155,0.6801949917837241,0.646381989675506,0.6573153392340744,0.6331359321943784,0.6704677243373484
selectk_logistic_feature_only,80,0.01,standard,chrono_last_20,0.6633802122343301,0.7031411992027986,0.7174026159979043,0.7910592262694751,0.5751651691750783,0.603459300602341,0.630477217681928,0.6229567567107859
selectk_logistic_feature_only,50,0.003,standard,chrono_last_30,0.6634761353479014,0.6707246150996641,0.6827759559992016,0.6993254171820098,0.6424748394556844,0.6523069209181848,0.6276077796469433,0.6691174191336222
selectk_logistic_feature_only,10,0.01,robust,chrono_last_20,0.6636701612523094,0.6998988515992162,0.6898987441139707,0.7067707401596872,0.5994187431765893,0.6366606414467108,0.6459973588241384,0.6670460494458533
selectk_logistic_feature_only,80,0.003,standard,chrono_last_30,0.6636944819564727,0.6728343900355698,0.6935479124137525,0.697035666517649,0.632230243428186,0.6551214951516738,0.6240105562423004,0.6710811099061781
selectk_logistic_feature_only,50,0.003,standard,chrono_last_20,0.6637426110907417,0.6964855863098918,0.6968007898824102,0.739577454415602,0.6189728364356826,0.608871964199603,0.6375171001601957,0.6479725462318068
selectk_logistic_feature_only,50,0.03,standard,chrono_last_30,0.6637628229864251,0.6654463149362233,0.7056890104718517,0.7706279585409407,0.5942982536128997,0.6470435352835183,0.5995696134478474,0.663665074611695
selectk_logistic_feature_only,10,0.1,robust,chrono_last_25,0.6637820539680205,0.7267313094613489,0.7084598749214708,0.7110940258691916,0.5575551764078858,0.6310487239427158,0.6278012954075891,0.6837839717659419
selectk_logistic_feature_only,10,0.1,robust,chrono_last_30,0.663844247226724,0.688310390877331,0.7059038200109434,0.667504425342063,0.5985403613897725,0.6603129927819043,0.6297202236035684,0.6966175165814846
selectk_logistic_feature_only,30,0.3,standard,chrono_last_20,0.6639124780943575,0.7122607952019115,0.7490292872589935,0.7624723317255961,0.5228240009273286,0.6343569918336507,0.6354878083755725,0.6309561313374489
selectk_logistic_feature_only,10,0.3,robust,chrono_last_30,0.6641730557239064,0.6851205894256913,0.713904210308819,0.6698813964742429,0.594844100769017,0.6676436834336829,0.6260752337351196,0.6917421759207714
selectk_logistic_feature_only,30,0.01,standard,chrono_last_20,0.6643098975620582,0.7100160041414242,0.7144721577257088,0.7459258508868403,0.5868759055798504,0.6089682295493534,0.6383884480860891,0.6455226869651415
selectk_logistic_feature_only,10,0.1,robust,chrono_last_20,0.6643464790171209,0.7149190341927423,0.7016554872349782,0.7313338106321798,0.5394591932809996,0.6443445966645992,0.6500575298862871,0.6686557012280595
selectk_logistic_feature_only,50,0.003,standard,chrono_last_25,0.6645735024376159,0.7033473285489775,0.6753045336025814,0.7297542522375049,0.6367692720328031,0.6153775878663333,0.6327607808159491,0.658700761959162
selectk_logistic_feature_only,200,0.003,standard,chrono_last_20,0.664616350936477,0.6894807501574335,0.7003281064516576,0.7583373040366378,0.6272895569787558,0.6115192137664883,0.6568625930262324,0.6084969321381335
selectk_logistic_feature_only,50,0.3,robust,chrono_last_25,0.6647766837384522,0.7277175375059922,0.6975728698813813,0.8384307185955583,0.5356464337991829,0.6167917857957992,0.5932350010705744,0.6440424395206764
selectk_logistic_feature_only,10,0.1,standard,chrono_last_25,0.6648943249851672,0.728759855385099,0.7116343551970478,0.7188919815754898,0.5559898156851949,0.6302857284164247,0.6249425646831134,0.6837559739538013
selectk_logistic_feature_only,20,0.003,standard,chrono_last_25,0.6650344904506984,0.7085531755841974,0.6785377344393146,0.7019728156601542,0.6414433375296982,0.6321255825796417,0.6331586771595437,0.6594501102023396
selectk_logistic_feature_only,10,0.03,standard,chrono_last_25,0.6651353515033337,0.7266261415966403,0.7006676156979087,0.7134140604239936,0.5788556048816135,0.629226567293649,0.6272256087374842,0.6799318618920466
selectk_logistic_feature_only,10,0.003,standard,chrono_last_30,0.6651418031437502,0.6820524960202837,0.6817260401898558,0.6740662942405855,0.6480395239860274,0.6546356040308983,0.6386444085210955,0.676828255017505
selectk_logistic_feature_only,80,0.003,standard,chrono_last_20,0.6652097682126029,0.6918138967845244,0.7075278944878062,0.7588172887089365,0.6121404048732055,0.6042697610923671,0.6402240121921533,0.6416751193492276
selectk_logistic_feature_only,30,0.3,robust,chrono_last_30,0.6653293370606878,0.667156364814833,0.700746560424421,0.7741107674907628,0.586656029180222,0.6610536987275127,0.6005322899347627,0.6670496488523002
selectk_logistic_feature_only,20,0.003,standard,chrono_last_20,0.6654173704582345,0.6989452847258025,0.6931320476514483,0.7175319826086495,0.6315166945845477,0.6226104810902156,0.644228551549945,0.6499565509970321
selectk_logistic_feature_only,50,0.03,robust,chrono_last_30,0.6654262748381534,0.6766594249560915,0.699718894072065,0.802336841632674,0.5833563830246038,0.6440802858209184,0.588485920555212,0.6633461738055091
selectk_logistic_feature_only,10,0.1,standard,chrono_last_20,0.6654993205052647,0.7150651722849882,0.7089536650210052,0.73632647894214,0.5379592984744929,0.6412419357372062,0.647923068018062,0.6710256250589582
selectk_logistic_feature_only,10,0.01,standard,chrono_last_25,0.6657889994628464,0.7188028276044548,0.6902222918157956,0.7066799516784662,0.6087602081346248,0.6308738365840574,0.6315831601502843,0.6736007202722418
selectk_logistic_feature_only,120,0.003,standard,chrono_last_25,0.6659996459582462,0.7027548947071048,0.6863176409722074,0.7453222337150228,0.6182025918786138,0.6284008079059887,0.6305451220588357,0.6504542304699509
selectk_logistic_feature_only,50,0.3,robust,chrono_last_20,0.6661426129030553,0.7174426524730877,0.7130861919173762,0.8306552499978919,0.521895900438879,0.6415782891013065,0.6259417279187112,0.6123982784741351
selectk_logistic_feature_only,10,0.03,standard,chrono_last_20,0.6662613794571196,0.7151912514689471,0.7037286171326486,0.7257075201258912,0.5622791006750821,0.6360274045604762,0.649976768971635,0.6709189932651568
selectk_logistic_feature_only,30,0.3,standard,chrono_last_30,0.666329453336166,0.662833283112729,0.7052336892283879,0.7747684549287748,0.5875032398945,0.6636292303640327,0.6022445816847959,0.6680936941399415
