source,model,n,k,C,mean_delta,worst_delta,best_group_delta,groups,mean_auc
combo_existing_dayflat_axes,kmeans,2.0,,0.01,0.08041488973245264,0.1187443282670781,0.037156054880008026,4,0.4876025353863569
day_flat_hourly,pca,8.0,,0.003,0.0804729297462704,0.11316407905627741,0.04074091351160547,4,0.5211761198419494
combo_existing_dayflat_axes,kmeans,4.0,,0.01,0.08064600619627135,0.11900483606926952,0.04003009712187481,4,0.4975066609847355
day_flat_hourly,kmeans,32.0,,0.003,0.08082533388355448,0.11289425500084578,0.04207049994451365,4,0.5698121544878891
combo_existing_dayflat_axes,svd,8.0,,0.003,0.08085546752689046,0.10903179634874109,0.045678558323700436,4,0.5640101334105047
day_flat_hourly,kmeans,16.0,,0.003,0.08099674540146218,0.11226001906230003,0.04380621776889306,4,0.5712295621222577
existing_no_flat,svd,32.0,,0.001,0.08119024404732655,0.10743427622854462,0.046803863079230124,4,0.6760426327029944
combo_existing_dayflat_axes,pca,4.0,,0.003,0.08126932525812257,0.11363499718450691,0.04236926645234531,4,0.5399017059491489
combo_existing_dayflat,svd,8.0,,0.003,0.0813321843229851,0.10980153159437307,0.04451928300038236,4,0.5703752422044261
existing_no_flat,pca,32.0,,0.001,0.08137290521796618,0.11149921969897687,0.04303109525852842,4,0.6849074756259317
existing_no_flat,svd,2.0,,0.003,0.08175633314837243,0.10788163347017261,0.049093528124406836,4,0.5578057895812115
day_flat_hourly,kmeans,2.0,,0.003,0.08186652252159247,0.11391553705495001,0.042028521358944505,4,0.5492926687959869
day_flat_hourly,pca,2.0,,0.003,0.0818686976688567,0.11388363857298182,0.04160886061616333,4,0.471561902089226
combo_existing_dayflat,svd,2.0,,0.003,0.08193492439570829,0.11057268246208747,0.045274768194447756,4,0.49499744800861
day_flat_hourly,svd,2.0,,0.003,0.08195878808803686,0.11416463452724035,0.04134285069506507,4,0.45722016234226504
combo_existing_dayflat,svd,4.0,,0.003,0.0820653208785368,0.1102839182907784,0.04635411084585633,4,0.5080396894025623
combo_existing_dayflat,pca,2.0,,0.003,0.08210435933941125,0.11412953925721452,0.041748011272522444,4,0.48996937703615057
day_flat_hourly,kmeans,8.0,,0.003,0.08225012433750897,0.11428142376866024,0.04248079699272428,4,0.5483575837872353
day_flat_hourly,pca,4.0,,0.003,0.0822906203148913,0.11435137493620129,0.042139453840866224,4,0.4592939115057301
day_flat_hourly,kmeans,4.0,,0.003,0.08237891425007086,0.11506554815431529,0.042447270379557624,4,0.5349530493207704
combo_existing_dayflat_axes,pca,2.0,,0.003,0.08243129002923602,0.11482771463321366,0.04196115140628156,4,0.4656770812013628
combo_existing_dayflat_axes,svd,32.0,,0.001,0.08259719206669305,0.11038573110955545,0.04560564077259153,4,0.6589920578324094
combo_existing_dayflat_axes,svd,2.0,,0.003,0.08278160850323098,0.11172103241368621,0.04632346730063919,4,0.4628484162548997
combo_existing_dayflat_axes,svd,4.0,,0.003,0.08293454681659904,0.11146270944962171,0.04764854525233928,4,0.482818444485177
day_flat_hourly,svd,4.0,,0.003,0.08298193786147458,0.11575189251754055,0.04211326278521286,4,0.4257367643548783
combo_existing_dayflat_axes,pca,32.0,,0.001,0.0831170602637088,0.11299177587287801,0.04444659722260519,4,0.6579324664662123
combo_existing_dayflat_axes,kmeans,32.0,,0.003,0.0835749983130128,0.11553784524755754,0.05186580129216917,4,0.6125992319514055
combo_existing_dayflat,svd,32.0,,0.001,0.08380846370379486,0.11263782122822108,0.04530482586529492,4,0.6472792154286521
combo_existing_dayflat,pca,32.0,,0.001,0.08385367778665316,0.11391839829148183,0.044584294110042444,4,0.6547470287733642
day_flat_hourly,pca,32.0,,0.001,0.08395596923518525,0.11466067242770113,0.044297460096070364,4,0.6120860633111054
day_flat_hourly,svd,32.0,,0.001,0.08426129159276916,0.11556400950199792,0.044407214833767784,4,0.5839016877119187
combo_existing_dayflat_axes,svd,16.0,,0.001,0.08442638481733862,0.11372144164297322,0.047022032609149465,4,0.6438742499770099
existing_no_flat,svd,16.0,,0.001,0.08457968800524075,0.1129505649846676,0.048325905257702584,4,0.6452730789449279
existing_no_flat,pca,16.0,,0.001,0.08482130557304476,0.11625952320649328,0.04555683102358423,4,0.6626582920279802
combo_existing_dayflat_axes,pca,16.0,,0.001,0.08497482546629515,0.11602606403384845,0.04579039392972695,4,0.654254512433594
combo_existing_dayflat,kmeans,32.0,,0.003,0.08504471710999191,0.11642506924885332,0.054354593576630306,4,0.6095407596416027
existing_no_flat,kmeans,2.0,,0.01,0.08514709149342281,0.13445689476134817,0.03248378076428817,4,0.5007666420877516
existing_no_flat,kmeans,32.0,,0.003,0.08563140725295237,0.1277430353583043,0.043099314714483784,4,0.6470768554954083
existing_no_flat,kmeans,4.0,,0.01,0.08566167690670523,0.1335507700195743,0.038766604243772596,4,0.5429710396467469
combo_existing_dayflat,svd,16.0,,0.001,0.0857813657251032,0.11662640459756009,0.04618452929979083,4,0.6407056653107789
combo_existing_dayflat,pca,16.0,,0.001,0.08580808895622619,0.11763825370694518,0.045617945397419125,4,0.6475204471695837
combo_existing_dayflat,kmeans,16.0,,0.003,0.08632584317290978,0.11722046947258806,0.053946050734606434,4,0.5922353000760106
combo_existing_dayflat_axes,kmeans,16.0,,0.003,0.08640465338366522,0.11924170379704795,0.05179604957350187,4,0.5865509562608734
day_flat_hourly,svd,16.0,,0.001,0.08642911706665525,0.11777467007131319,0.04669274122469406,4,0.5370538357455208
existing_no_flat,pca,8.0,,0.001,0.0866700971877183,0.11772785937125378,0.046820848560921856,4,0.6184576208459597
day_flat_hourly,pca,16.0,,0.001,0.08677093403561525,0.11808559748918106,0.04692194148332159,4,0.5375362139095515
day_flat_hourly,svd,8.0,,0.001,0.08697575110578364,0.11782948505843553,0.04748614994958807,4,0.5445642726557123
existing_no_flat,svd,8.0,,0.001,0.08697607428831697,0.11417150503740166,0.05106523554736044,4,0.5996855162343804
combo_existing_dayflat_axes,pca,8.0,,0.001,0.08715922809589269,0.1186257838290713,0.04748791973731942,4,0.6011001705759919
existing_no_flat,pca,2.0,,0.001,0.08716061987322826,0.11707610650204021,0.04807091362935897,4,0.5767971872004963
existing_no_flat,svd,4.0,,0.001,0.08730358386454397,0.11416813449303875,0.05225496485762678,4,0.5830467271840919
existing_no_flat,pca,4.0,,0.001,0.08731827937965972,0.11720568249213685,0.04828769824444917,4,0.5822100536498976
combo_existing_dayflat,pca,8.0,,0.001,0.08744936341078302,0.11878890968980689,0.04744856623005326,4,0.5884922378924902
day_flat_hourly,pca,8.0,,0.001,0.08770535698566773,0.11891654654228816,0.04768997865509905,4,0.518797838041712
day_flat_hourly,kmeans,16.0,,0.001,0.08779590922815149,0.1186055080952187,0.048891970318541055,4,0.5670088781113373
combo_existing_dayflat_axes,svd,8.0,,0.001,0.08780373345410133,0.11703099142718254,0.04949389247621083,4,0.5585591066010998
combo_existing_dayflat,pca,4.0,,0.001,0.08790947727496487,0.11826167272351229,0.04827402095258972,4,0.5692336732240428
combo_existing_dayflat,svd,8.0,,0.001,0.08796930874640599,0.11725762434600721,0.04915645887451605,4,0.5644504176024523
existing_no_flat,svd,2.0,,0.001,0.08797978343958951,0.11552840208571458,0.05204436452851698,4,0.5566405165668183
combo_existing_dayflat,svd,2.0,,0.001,0.08816133884739306,0.11755386589407997,0.04935855546305042,4,0.4925125313080477
day_flat_hourly,kmeans,32.0,,0.001,0.08817316479036455,0.11985464048539345,0.04819722691997228,4,0.5606393164414394
combo_existing_dayflat,svd,4.0,,0.001,0.08823250499967071,0.1174820117163704,0.04979058609126349,4,0.5019019230712467
combo_existing_dayflat_axes,pca,4.0,,0.001,0.08824273201119685,0.1193653930982217,0.04845141830638966,4,0.5289561858081314
day_flat_hourly,pca,2.0,,0.001,0.08832264626471284,0.11914562098636021,0.048192677525821036,4,0.47588421805112857
day_flat_hourly,svd,2.0,,0.001,0.08834884557525176,0.11926372487548735,0.048035095890306655,4,0.4595060315769638
day_flat_hourly,kmeans,8.0,,0.001,0.08840345550794623,0.11944807722008184,0.04832965746106024,4,0.5480845946803978
day_flat_hourly,kmeans,2.0,,0.001,0.08843063839330116,0.11931652365938301,0.04838057595331494,4,0.5474687353629045
day_flat_hourly,pca,4.0,,0.001,0.08845894706778634,0.11930683024637519,0.04835234794357135,4,0.46389571885735664
combo_existing_dayflat,pca,2.0,,0.001,0.08852615816888884,0.11946562931391773,0.04826008438405075,4,0.4847847329841181
day_flat_hourly,kmeans,4.0,,0.001,0.08853794532657575,0.11968839348690152,0.04848943228020738,4,0.5366707449618076
combo_existing_dayflat_axes,svd,2.0,,0.001,0.08864629078582115,0.11839121551602964,0.04968556868227534,4,0.45630835616963306
combo_existing_dayflat_axes,pca,2.0,,0.001,0.08864875784419687,0.1197385204068464,0.04833172444023456,4,0.46190821894396855
day_flat_hourly,svd,4.0,,0.001,0.08868508624610517,0.11983456735032268,0.04824597407012284,4,0.4286758842759138
combo_existing_dayflat_axes,svd,4.0,,0.001,0.08871728856836619,0.11832593893695213,0.05020528700091662,4,0.47716707023925836
existing_no_flat,kmeans,8.0,,0.003,0.08928159925491334,0.1260945342386195,0.047564795266264524,4,0.6352266130539395
combo_existing_dayflat_axes,kmeans,8.0,,0.003,0.08928405138919181,0.12298163164753291,0.051617367300956486,4,0.5492857163202616
combo_existing_dayflat,kmeans,8.0,,0.003,0.08931048484267515,0.1231096259018463,0.05113126185787611,4,0.547989798285158
combo_existing_dayflat,kmeans,2.0,,0.003,0.08943406663255854,0.12363931473446436,0.047807907615353695,4,0.5135934137416494
existing_no_flat,kmeans,16.0,,0.003,0.08991175581180304,0.13261881088275043,0.04796595495576531,4,0.6352949165005376
combo_existing_dayflat,kmeans,4.0,,0.003,0.08998339157372567,0.12455886452418381,0.04937334628496659,4,0.5108584054842913
combo_existing_dayflat_axes,kmeans,4.0,,0.003,0.09020077576622283,0.12509673656342787,0.049319996364183626,4,0.49850756961543197
combo_existing_dayflat_axes,kmeans,2.0,,0.003,0.09024900873322914,0.1251203926273503,0.04830713525779046,4,0.48915977740608224
combo_existing_dayflat_axes,kmeans,2.0,,0.001,0.09238495741724968,0.12248508189303715,0.052252813485000306,4,0.48839881124464113
combo_existing_dayflat,kmeans,2.0,,0.001,0.0932815484020195,0.12319785510890528,0.05125264941051003,4,0.5135048146185892
combo_existing_dayflat_axes,kmeans,32.0,,0.001,0.09391593571179027,0.12681221164441736,0.05590806832658659,4,0.5858754853254264
combo_existing_dayflat,kmeans,32.0,,0.001,0.09480586128200645,0.1277414832698517,0.05701170542225217,4,0.5820826355014564
combo_existing_dayflat,kmeans,16.0,,0.001,0.09490959262903098,0.1275719675309459,0.05615467151616064,4,0.5721323566110492
existing_no_flat,kmeans,2.0,,0.003,0.09493491024068104,0.13975197830459196,0.04450980970852009,4,0.4988607510256542
combo_existing_dayflat_axes,kmeans,16.0,,0.001,0.09496150431657631,0.12824688356620226,0.05540997540487954,4,0.5704686599958196
combo_existing_dayflat_axes,kmeans,8.0,,0.001,0.09612525440296808,0.12979009145387754,0.055138714092276664,4,0.5420500847957814
combo_existing_dayflat,kmeans,8.0,,0.001,0.09613781012537524,0.12993120238388134,0.05490709487350448,4,0.539002695526378
combo_existing_dayflat,kmeans,4.0,,0.001,0.09628467903595067,0.13051584093846236,0.05459314250115205,4,0.5100534444031105
combo_existing_dayflat_axes,kmeans,4.0,,0.001,0.09673067926500388,0.13069254682429457,0.0546340529133257,4,0.4979114275584941
existing_no_flat,kmeans,4.0,,0.003,0.09681629278082769,0.13945948021683507,0.0507763580284488,4,0.5246241743876005
existing_no_flat,kmeans,2.0,,0.001,0.09767107724101039,0.13709951205993112,0.049579904582248424,4,0.49662985135391824
existing_no_flat,kmeans,4.0,,0.001,0.09780583222930488,0.13192404751320663,0.05512518212772274,4,0.5149717517372406
existing_no_flat,kmeans,32.0,,0.001,0.0980056491466124,0.13885384214406368,0.05316599348925921,4,0.6335205696364306
existing_no_flat,kmeans,8.0,,0.001,0.09814460069730999,0.13507663367184566,0.05447866746369182,4,0.625984438573685
existing_no_flat,kmeans,16.0,,0.001,0.0996169942860598,0.14188519285197312,0.05631801662471384,4,0.6268600190576274
