model,subset,n_features,k,fold_id,mean_logloss,logloss_Q1,logloss_Q2,logloss_Q3,logloss_S1,logloss_S2,logloss_S3,logloss_S4
rf100,sleep,176,20,chrono_last_30,0.6354300037792674,0.6531589172811979,0.6700555516899557,0.6218105151385758,0.5750546824884102,0.6766849434734388,0.5937786787126739,0.6574667376706201
extratrees300,sleep,176,20,chrono_last_25,0.6355750687974228,0.6937922831838601,0.6634701719503676,0.6776050899833123,0.53762114290603,0.6373953778994725,0.6158009589647466,0.62334045669417
rf100,noflat_no_routine,520,20,chrono_last_25,0.6357678456440737,0.7026253500723976,0.665209073006801,0.693412334223465,0.5466987768006258,0.5953304091835021,0.5948241130619002,0.6522748631598251
rf300,sleep,176,100,chrono_last_30,0.6359920794791434,0.6538849809969761,0.6766934971275058,0.6244323270804616,0.5683631211637459,0.6747179530687513,0.6015664503833223,0.6522862265332413
rf300,noflat_no_routine,520,500,chrono_last_20,0.6363605122993166,0.689521778698485,0.6702694694879464,0.6713827499221723,0.5461405814560102,0.6434435172032302,0.622565895572194,0.6111995937551772
rf100,sleep,176,100,chrono_last_20,0.6365445858336469,0.6386839834725967,0.68269417591189,0.6585428645218292,0.5425023868625177,0.6736586838820161,0.6345612523846419,0.6251687538000371
rf300,noflat_no_routine,520,200,chrono_last_20,0.6366936096073488,0.683620989139522,0.6755769805243186,0.6692912429165869,0.5453463098124111,0.6464368245836312,0.6300233398632364,0.6065595804117351
rf100,noflat_no_routine,520,100,chrono_last_25,0.6368765699931905,0.6927851801785629,0.6612517149477409,0.6704203974412752,0.558655370127139,0.61751535826619,0.6356232598199442,0.6218847091714812
rf300,sleep,176,100,chrono_last_20,0.6368819946269738,0.6466816389387758,0.6806512841972706,0.6644843950040831,0.5470361291991023,0.6718722226740297,0.6279568184249439,0.619491473950611
rf300,sleep,176,50,chrono_last_25,0.6370176439491023,0.6649771195846127,0.6753030650447074,0.6456838656042985,0.5563107145369534,0.650418279270621,0.6252663754149488,0.6411640881875744
extratrees300,noflat_no_routine,520,20,chrono_last_30,0.6370738379953381,0.6814082040273671,0.6776587958329434,0.6460123228045178,0.5935837131329007,0.6230680941832173,0.5872237099674334,0.6505620260189872
extratrees100,noflat_no_routine,520,20,chrono_last_30,0.6372886547435864,0.679949522291768,0.6778150839791574,0.6471493770798729,0.5941988460511695,0.6227313676514261,0.5871299326377737,0.6520464535139379
rf300,noflat_no_routine,520,20,chrono_last_25,0.6373461331611444,0.7044369691745793,0.6713620691407984,0.6957458459730914,0.5510750230137775,0.594787313259824,0.5906038762927757,0.6534118352731644
rf300,sleep,176,50,chrono_last_30,0.6376180229449998,0.651745923090844,0.6751566910337103,0.6271975135805699,0.5786943018240188,0.6685636596471977,0.6026857517340205,0.6592823197046378
