target,score_col,policy,fraction,selected_cells,selected_gain_sum,selected_mean_gain,selected_positive_gain_rate,active_subjects,positive_subjects,negative_subjects,raw_action_count,inverse_action_count,null_gain_mean,null_gain_std,gain_lift_vs_null,gain_z_vs_null,tail_safe_policy_score,student_policy_score
S2,student_recovered_tail_score,top_all,0.08,36,-0.013383745082568621,-0.00037177069673801727,0.2777777777777778,8,4,4,20,16,-0.8068151271345286,1.6426539636592303,0.7934313820519601,0.48301796945991354,-1.7901587421961689,-2.3457869427127975
S2,student_recovered_tail_score,top_all,0.1,45,0.11903855472362346,0.002645301216080521,0.28888888888888886,9,5,4,24,21,-1.9966141543613347,2.4683908061873567,2.115652709084958,0.8570979537688227,-0.9536620906086481,-1.1788088973326196
S2,student_recovered_tail_score,top_all,0.14,63,-0.6041764286681564,-0.009590102042351688,0.2698412698412698,9,5,4,30,33,-2.820278078342646,2.8759754928680183,2.21610164967449,0.7705565138402899,-1.6570407554536115,-1.8589103727357996
S2,student_recovered_tail_score,top_all,0.18,81,-1.8979602511574571,-0.023431608038980953,0.2345679012345679,9,4,5,40,41,-3.011037197700035,1.9242679342312756,1.1130769465425778,0.5784417682910878,-4.318440377606347,-4.99432063465919
S2,student_recovered_tail_score,top_decisive,0.01,4,-0.4618009715247355,-0.11545024288118387,0.0,3,0,3,2,2,0.09529251739103223,0.5280977840670037,-0.5570934889157677,-1.054905939247579,-3.012274286570012,-3.76150390780559
S2,student_recovered_tail_score,top_decisive,0.02,7,-0.42372612728597786,-0.06053230389799684,0.14285714285714285,3,1,2,4,3,-0.29459716643308687,0.9512937430744403,-0.129128960852891,-0.1357403659941727,-1.732495300183907,-2.1591954827856696
S2,student_recovered_tail_score,top_decisive,0.04,15,0.3265690925893498,0.021771272839289986,0.3333333333333333,5,3,2,9,6,-0.6410444180686076,0.996567950676358,0.9676135106579573,0.9709458446875101,-0.021004927544947316,-0.15236823653320036
S2,student_recovered_tail_score,top_decisive,0.06,22,0.18075989653948094,0.00821635893361277,0.36363636363636365,7,4,3,15,7,-1.1940579551859443,1.669408065165519,1.3748178517254253,0.8235361266145041,-0.5784275154224425,-0.8021123233569408
S2,student_recovered_tail_score,top_decisive,0.08,29,0.2260789677671875,0.007795826474730603,0.3448275862068966,8,5,3,19,10,-1.2420229608189628,1.1378156647083708,1.4681019285861503,1.2902809955270163,-0.2603676025025443,-0.43138129763787886
S2,student_recovered_tail_score,top_decisive,0.1,36,-0.34272768096552625,-0.009520213360153507,0.3055555555555556,9,5,4,21,15,-1.517099442021553,1.5236432143127592,1.1743717610560267,0.7707655900175608,-1.7476765611497163,-2.1927112998620344
