variant,family,file,basename,source_id,source_family,gate,q2_scale,s1_scale,q2_weight_nonzero,s1_weight_nonzero,q2_weight_mean,s1_weight_mean
h002_e368_minus_e365_benefit_floor050_q20p5_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p5_s10p0_8aa51be9.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p5_s10p0_8aa51be9.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.5,0.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p5_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p5_s10p5_790184c0.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p5_s10p5_790184c0.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.5,0.5,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p5_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p5_s10p75_87815b28.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p5_s10p75_87815b28.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.5,0.75,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p5_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p5_s11p0_fbaaf142.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p5_s11p0_fbaaf142.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.5,1.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p5_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p5_s11p15_39c73087.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p5_s11p15_39c73087.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.5,1.15,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p75_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p75_s10p0_c4061019.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p75_s10p0_c4061019.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.75,0.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p75_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p75_s10p5_a4844b04.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p75_s10p5_a4844b04.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.75,0.5,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p75_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p75_s10p75_96913b10.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p75_s10p75_96913b10.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.75,0.75,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p75_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p75_s11p0_952951cf.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p75_s11p0_952951cf.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.75,1.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q20p75_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q20p75_s11p15_25e819b7.csv,submission_h002_e368_minus_e365_benefit_floor050_q20p75_s11p15_25e819b7.csv,e368_minus_e365,e368_base_action,benefit_floor050,0.75,1.15,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p0_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p0_s10p0_5cff7512.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p0_s10p0_5cff7512.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.0,0.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p0_s10p5_7ddd1b18.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p0_s10p5_7ddd1b18.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.0,0.5,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p0_s10p75_e6bc8ee1.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p0_s10p75_e6bc8ee1.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.0,0.75,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p0_s11p0_f7fb5fba.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p0_s11p0_f7fb5fba.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.0,1.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p0_s11p15_ad2deeea.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p0_s11p15_ad2deeea.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.0,1.15,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p08_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p08_s10p0_e468401b.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p08_s10p0_e468401b.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.08,0.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p08_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p08_s10p5_915d58af.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p08_s10p5_915d58af.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.08,0.5,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p08_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p08_s10p75_cfe40cfe.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p08_s10p75_cfe40cfe.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.08,0.75,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p08_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p08_s11p0_fabaf2df.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p08_s11p0_fabaf2df.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.08,1.0,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_floor050_q21p08_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_floor050_q21p08_s11p15_a4af7ffd.csv,submission_h002_e368_minus_e365_benefit_floor050_q21p08_s11p15_a4af7ffd.csv,e368_minus_e365,e368_base_action,benefit_floor050,1.08,1.15,250.0,250.0,0.751,0.751
h002_e368_minus_e365_benefit_top25_q20p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p0_s10p5_7ec56709.csv,submission_h002_e368_minus_e365_benefit_top25_q20p0_s10p5_7ec56709.csv,e368_minus_e365,e368_base_action,benefit_top25,0.0,0.5,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p0_s10p75_f99990ae.csv,submission_h002_e368_minus_e365_benefit_top25_q20p0_s10p75_f99990ae.csv,e368_minus_e365,e368_base_action,benefit_top25,0.0,0.75,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p0_s11p0_a2d065f6.csv,submission_h002_e368_minus_e365_benefit_top25_q20p0_s11p0_a2d065f6.csv,e368_minus_e365,e368_base_action,benefit_top25,0.0,1.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p0_s11p15_410923b6.csv,submission_h002_e368_minus_e365_benefit_top25_q20p0_s11p15_410923b6.csv,e368_minus_e365,e368_base_action,benefit_top25,0.0,1.15,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p25_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p25_s10p0_f6750f2f.csv,submission_h002_e368_minus_e365_benefit_top25_q20p25_s10p0_f6750f2f.csv,e368_minus_e365,e368_base_action,benefit_top25,0.25,0.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p25_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p25_s10p5_2d276ced.csv,submission_h002_e368_minus_e365_benefit_top25_q20p25_s10p5_2d276ced.csv,e368_minus_e365,e368_base_action,benefit_top25,0.25,0.5,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p25_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p25_s10p75_6a52723a.csv,submission_h002_e368_minus_e365_benefit_top25_q20p25_s10p75_6a52723a.csv,e368_minus_e365,e368_base_action,benefit_top25,0.25,0.75,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p25_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p25_s11p0_19cef746.csv,submission_h002_e368_minus_e365_benefit_top25_q20p25_s11p0_19cef746.csv,e368_minus_e365,e368_base_action,benefit_top25,0.25,1.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p25_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p25_s11p15_ed8314c1.csv,submission_h002_e368_minus_e365_benefit_top25_q20p25_s11p15_ed8314c1.csv,e368_minus_e365,e368_base_action,benefit_top25,0.25,1.15,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p5_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p5_s10p0_8611b259.csv,submission_h002_e368_minus_e365_benefit_top25_q20p5_s10p0_8611b259.csv,e368_minus_e365,e368_base_action,benefit_top25,0.5,0.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p5_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p5_s10p5_9ced095f.csv,submission_h002_e368_minus_e365_benefit_top25_q20p5_s10p5_9ced095f.csv,e368_minus_e365,e368_base_action,benefit_top25,0.5,0.5,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p5_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p5_s10p75_a45e7c36.csv,submission_h002_e368_minus_e365_benefit_top25_q20p5_s10p75_a45e7c36.csv,e368_minus_e365,e368_base_action,benefit_top25,0.5,0.75,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p5_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p5_s11p0_5853d94b.csv,submission_h002_e368_minus_e365_benefit_top25_q20p5_s11p0_5853d94b.csv,e368_minus_e365,e368_base_action,benefit_top25,0.5,1.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p5_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p5_s11p15_0f1bf3b5.csv,submission_h002_e368_minus_e365_benefit_top25_q20p5_s11p15_0f1bf3b5.csv,e368_minus_e365,e368_base_action,benefit_top25,0.5,1.15,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p75_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p75_s10p0_c13e7311.csv,submission_h002_e368_minus_e365_benefit_top25_q20p75_s10p0_c13e7311.csv,e368_minus_e365,e368_base_action,benefit_top25,0.75,0.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p75_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p75_s10p5_d3047ed2.csv,submission_h002_e368_minus_e365_benefit_top25_q20p75_s10p5_d3047ed2.csv,e368_minus_e365,e368_base_action,benefit_top25,0.75,0.5,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p75_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p75_s10p75_e485ed14.csv,submission_h002_e368_minus_e365_benefit_top25_q20p75_s10p75_e485ed14.csv,e368_minus_e365,e368_base_action,benefit_top25,0.75,0.75,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p75_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p75_s11p0_a57540d9.csv,submission_h002_e368_minus_e365_benefit_top25_q20p75_s11p0_a57540d9.csv,e368_minus_e365,e368_base_action,benefit_top25,0.75,1.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q20p75_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q20p75_s11p15_334fda49.csv,submission_h002_e368_minus_e365_benefit_top25_q20p75_s11p15_334fda49.csv,e368_minus_e365,e368_base_action,benefit_top25,0.75,1.15,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p0_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p0_s10p0_cb739213.csv,submission_h002_e368_minus_e365_benefit_top25_q21p0_s10p0_cb739213.csv,e368_minus_e365,e368_base_action,benefit_top25,1.0,0.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p0_s10p5_a3562cfc.csv,submission_h002_e368_minus_e365_benefit_top25_q21p0_s10p5_a3562cfc.csv,e368_minus_e365,e368_base_action,benefit_top25,1.0,0.5,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p0_s10p75_879be7d1.csv,submission_h002_e368_minus_e365_benefit_top25_q21p0_s10p75_879be7d1.csv,e368_minus_e365,e368_base_action,benefit_top25,1.0,0.75,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p0_s11p0_d95597d6.csv,submission_h002_e368_minus_e365_benefit_top25_q21p0_s11p0_d95597d6.csv,e368_minus_e365,e368_base_action,benefit_top25,1.0,1.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p0_s11p15_41994b59.csv,submission_h002_e368_minus_e365_benefit_top25_q21p0_s11p15_41994b59.csv,e368_minus_e365,e368_base_action,benefit_top25,1.0,1.15,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p08_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p08_s10p0_ae9f4eae.csv,submission_h002_e368_minus_e365_benefit_top25_q21p08_s10p0_ae9f4eae.csv,e368_minus_e365,e368_base_action,benefit_top25,1.08,0.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p08_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p08_s10p5_3addb5a5.csv,submission_h002_e368_minus_e365_benefit_top25_q21p08_s10p5_3addb5a5.csv,e368_minus_e365,e368_base_action,benefit_top25,1.08,0.5,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p08_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p08_s10p75_24a0b791.csv,submission_h002_e368_minus_e365_benefit_top25_q21p08_s10p75_24a0b791.csv,e368_minus_e365,e368_base_action,benefit_top25,1.08,0.75,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p08_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p08_s11p0_c3097086.csv,submission_h002_e368_minus_e365_benefit_top25_q21p08_s11p0_c3097086.csv,e368_minus_e365,e368_base_action,benefit_top25,1.08,1.0,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top25_q21p08_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top25_q21p08_s11p15_14dd15e5.csv,submission_h002_e368_minus_e365_benefit_top25_q21p08_s11p15_14dd15e5.csv,e368_minus_e365,e368_base_action,benefit_top25,1.08,1.15,63.0,63.0,0.252,0.252
h002_e368_minus_e365_benefit_top35_q20p0_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p0_s10p5_28aa356a.csv,submission_h002_e368_minus_e365_benefit_top35_q20p0_s10p5_28aa356a.csv,e368_minus_e365,e368_base_action,benefit_top35,0.0,0.5,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p0_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p0_s10p75_5e472598.csv,submission_h002_e368_minus_e365_benefit_top35_q20p0_s10p75_5e472598.csv,e368_minus_e365,e368_base_action,benefit_top35,0.0,0.75,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p0_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p0_s11p0_cc493740.csv,submission_h002_e368_minus_e365_benefit_top35_q20p0_s11p0_cc493740.csv,e368_minus_e365,e368_base_action,benefit_top35,0.0,1.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p0_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p0_s11p15_844c1647.csv,submission_h002_e368_minus_e365_benefit_top35_q20p0_s11p15_844c1647.csv,e368_minus_e365,e368_base_action,benefit_top35,0.0,1.15,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p25_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p25_s10p0_b6773f01.csv,submission_h002_e368_minus_e365_benefit_top35_q20p25_s10p0_b6773f01.csv,e368_minus_e365,e368_base_action,benefit_top35,0.25,0.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p25_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p25_s10p5_e820c171.csv,submission_h002_e368_minus_e365_benefit_top35_q20p25_s10p5_e820c171.csv,e368_minus_e365,e368_base_action,benefit_top35,0.25,0.5,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p25_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p25_s10p75_b006c934.csv,submission_h002_e368_minus_e365_benefit_top35_q20p25_s10p75_b006c934.csv,e368_minus_e365,e368_base_action,benefit_top35,0.25,0.75,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p25_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p25_s11p0_b218f121.csv,submission_h002_e368_minus_e365_benefit_top35_q20p25_s11p0_b218f121.csv,e368_minus_e365,e368_base_action,benefit_top35,0.25,1.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p25_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p25_s11p15_ab0b69a9.csv,submission_h002_e368_minus_e365_benefit_top35_q20p25_s11p15_ab0b69a9.csv,e368_minus_e365,e368_base_action,benefit_top35,0.25,1.15,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p5_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p5_s10p0_a926b17e.csv,submission_h002_e368_minus_e365_benefit_top35_q20p5_s10p0_a926b17e.csv,e368_minus_e365,e368_base_action,benefit_top35,0.5,0.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p5_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p5_s10p5_14542291.csv,submission_h002_e368_minus_e365_benefit_top35_q20p5_s10p5_14542291.csv,e368_minus_e365,e368_base_action,benefit_top35,0.5,0.5,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p5_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p5_s10p75_26f8b6cf.csv,submission_h002_e368_minus_e365_benefit_top35_q20p5_s10p75_26f8b6cf.csv,e368_minus_e365,e368_base_action,benefit_top35,0.5,0.75,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p5_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p5_s11p0_d931b7f4.csv,submission_h002_e368_minus_e365_benefit_top35_q20p5_s11p0_d931b7f4.csv,e368_minus_e365,e368_base_action,benefit_top35,0.5,1.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p5_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p5_s11p15_8b563af8.csv,submission_h002_e368_minus_e365_benefit_top35_q20p5_s11p15_8b563af8.csv,e368_minus_e365,e368_base_action,benefit_top35,0.5,1.15,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p75_s10p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p75_s10p0_6fd9810d.csv,submission_h002_e368_minus_e365_benefit_top35_q20p75_s10p0_6fd9810d.csv,e368_minus_e365,e368_base_action,benefit_top35,0.75,0.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p75_s10p5,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p75_s10p5_169dd759.csv,submission_h002_e368_minus_e365_benefit_top35_q20p75_s10p5_169dd759.csv,e368_minus_e365,e368_base_action,benefit_top35,0.75,0.5,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p75_s10p75,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p75_s10p75_dc8613ed.csv,submission_h002_e368_minus_e365_benefit_top35_q20p75_s10p75_dc8613ed.csv,e368_minus_e365,e368_base_action,benefit_top35,0.75,0.75,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p75_s11p0,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p75_s11p0_ff8d1140.csv,submission_h002_e368_minus_e365_benefit_top35_q20p75_s11p0_ff8d1140.csv,e368_minus_e365,e368_base_action,benefit_top35,0.75,1.0,88.0,88.0,0.352,0.352
h002_e368_minus_e365_benefit_top35_q20p75_s11p15,h002_e247locked_q2s1_action_benefit,hitl/h002_e247locked_q2s1_action_benefit_selector/submission_h002_e368_minus_e365_benefit_top35_q20p75_s11p15_4d1bae6e.csv,submission_h002_e368_minus_e365_benefit_top35_q20p75_s11p15_4d1bae6e.csv,e368_minus_e365,e368_base_action,benefit_top35,0.75,1.15,88.0,88.0,0.352,0.352
