rowweighted_delta_vs_h012,uniform_delta_vs_h012,row_beats_rate,row_p90_delta,candidate_id,mode,target_subset,k,alpha,changed_rows,changed_cells,mean_abs_prob_delta_vs_h012,max_abs_prob_delta_vs_h012,mean_abs_prob_delta_vs_h020,h018_rowweighted_delta_vs_h012,h020_rowweighted_delta_vs_h012,h021_rowweighted_delta_vs_h012,selected_prior_kind,selected_beta,beats_h020_under_h022,h022_decision,decision_rank,file
-0.002379782812870576,-0.002359422117545395,1.0,-0.0007897010065589723,shift_all_k1200_a1.25,shift,all,1200,1.25,250,1200,0.02685662139901009,0.15819961578944475,0.030442911299294523,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1200_a1.25_61cd63ea.csv
-0.002377619266727247,-0.0023574116855629625,1.0,-0.0007894116435551579,shift_all_k1200_a0.75,shift,all,1200,0.75,250,1200,0.01627277116230909,0.10274432687726154,0.020912057169802545,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_shift_all_k1200_a0.75_8e638425.csv
-0.002338135891941606,-0.002293593957955733,0.976,-0.000544568768273598,gain_all_k700_a1.25,gain,all,700,1.25,241,700,0.021869536445447202,0.15819961578944475,0.02716670905603251,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k700_a1.25_d898d09e.csv
-0.002335543196632894,-0.0022912049647830913,0.976,-0.000546445389040627,gain_all_k700_a0.75,gain,all,700,0.75,241,700,0.01331479099301263,0.10274432687726154,0.019215544722736268,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_gain_all_k700_a0.75_b4d63749.csv
-0.0022915574384103766,-0.0022413013989568444,0.96,-0.0004816111339250214,combined_all_k700_a1.25,combined,all,700,1.25,235,700,0.02145448194915245,0.15819961578944475,0.027613288319842104,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k700_a1.25_3d9d1097.csv
-0.002289075529177719,-0.002239027212395082,0.96,-0.0004816371587297279,combined_all_k700_a0.75,combined,all,700,0.75,235,700,0.013045074162688467,0.10274432687726154,0.019731334211367045,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,hitl/h022_hs_conditioned_vector_world_jepa/submission_h022_combined_all_k700_a0.75_ced3c833.csv
-0.0022391051029173646,-0.0022197742013571223,1.0,-0.0005881209595779052,shift_all_k1000_a1.25,shift,all,1000,1.25,250,1000,0.024493504475266954,0.15819961578944475,0.03021647091714398,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0022371486522208437,-0.0022179582913327595,1.0,-0.0005881100993206514,shift_all_k1000_a0.75,shift,all,1000,0.75,250,1000,0.014838327468369827,0.10274432687726154,0.021227078660476503,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0020727841155217188,-0.002068480682437962,0.988,-0.0003502782120927042,shift_all_k700_a1,shift,all,700,1.0,244,700,0.016268645829697136,0.11847218423664796,0.024961993909546135,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0019471424076595856,-0.0019429302047186115,0.988,-0.0003278209892312421,shift_all_k700_a1.25,shift,all,700,1.25,244,700,0.020244181083053717,0.1443281437211829,0.028881581093367314,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0019456389647607851,-0.0019414913085662165,0.988,-0.0003280431341634549,shift_all_k700_a0.75,shift,all,700,0.75,244,700,0.012255225282482263,0.09097855905896662,0.021143580778612833,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0016057103588934865,-0.001605127034954488,0.996,-0.0003923815367122065,combined_S_k900_a1,combined,S,900,1.0,249,900,0.013532621140750042,0.11506185159239435,0.020334259214379674,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.001575378353285994,-0.0015740657036336257,0.988,-0.00031624879924559667,combined_S_k700_a1,combined,S,700,1.0,245,700,0.01261305000647281,0.11506185159239435,0.020343905103934933,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0015093304180704868,-0.001508553597209653,0.996,-0.0003685235696537166,combined_S_k900_a0.75,combined,S,900,0.75,249,900,0.010218144633727687,0.08748305493043207,0.01763969222466268,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0014808692036807907,-0.00147940971683939,0.988,-0.0002966975333112957,combined_S_k700_a0.75,combined,S,700,0.75,245,700,0.009526725363563283,0.08748305493043207,0.01769853107958247,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0014312672891342638,-0.001424356759627189,0.92,-1.586032892321652e-17,combined_S_k450_a1,combined,S,450,1.0,219,450,0.010183225554958042,0.11506185159239435,0.01991168371513116,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0013455609474509896,-0.0013388672149944108,0.92,-1.586032892321652e-17,combined_S_k450_a0.75,combined,S,450,0.75,219,450,0.00769626343070873,0.08748305493043207,0.01761508061563928,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0012058687099440056,-0.0011661864925662125,1.0,-0.0002212688674906082,combined_Q_k900_a1,combined,Q,900,1.0,250,750,0.011255925061307593,0.13182817190683493,0.019709568158286766,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0012043583458907316,-0.0011645271810477235,1.0,-0.00021693388032263235,combined_Q_k700_a1,combined,Q,700,1.0,250,700,0.01114380356082918,0.13182817190683493,0.01973326790607263,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.001154645202666767,-0.0011134416095003746,0.932,-3.013462495411148e-17,combined_Q_k450_a1,combined,Q,450,1.0,224,450,0.009635672350879948,0.13182817190683493,0.019563557823862952,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0011331285689280524,-0.0010954895057516643,1.0,-0.0002076578786727598,combined_Q_k900_a0.75,combined,Q,900,0.75,250,750,0.008477641642657966,0.10274432687726154,0.017634002323426545,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0011317124056891502,-0.001093933691396617,1.0,-0.00020345639432738373,combined_Q_k700_a0.75,combined,Q,700,0.75,250,700,0.008393490340993163,0.10274432687726154,0.017655637503338012,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.001126537741438171,-0.0011172059163733485,0.736,0.0,combined_S_k250_a1,combined,S,250,1.0,160,250,0.0070358753172121416,0.11506185159239435,0.018832866069208275,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0010850893348775608,-0.0010460250680430314,0.932,-3.013462495411148e-17,combined_Q_k450_a0.75,combined,Q,450,0.75,224,450,0.007260987337092011,0.10274432687726154,0.017632727027824775,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0010587181984761185,-0.0010497763428503639,0.736,0.0,combined_S_k250_a0.75,combined,S,250,0.75,160,250,0.0053155496316852026,0.08748305493043207,0.017155971072285163,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0010552859113337506,-0.001072952867511618,0.996,-9.968624078303997e-05,hsagree_all_k1000_a1,hsagree,all,1000,1.0,247,764,0.010683842927111133,0.11506185159239435,0.0205472422850547,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0010552859113337506,-0.001072952867511618,0.996,-9.968624078303997e-05,hsagree_all_k1200_a1,hsagree,all,1200,1.0,247,764,0.010683842927111133,0.11506185159239435,0.0205472422850547,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0010552859113337506,-0.001072952867511618,0.996,-9.968624078303997e-05,hsagree_all_k1500_a1,hsagree,all,1500,1.0,247,764,0.010683842927111133,0.11506185159239435,0.0205472422850547,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0010552859113337506,-0.001072952867511618,0.996,-9.968624078303997e-05,hsagree_all_k1750_a1,hsagree,all,1750,1.0,247,764,0.010683842927111133,0.11506185159239435,0.0205472422850547,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009882078683708362,-0.001004785836504067,0.996,-9.342708717364281e-05,hsagree_all_k1000_a0.75,hsagree,all,1000,0.75,247,764,0.007970067638728762,0.08748305493043207,0.018326663683300878,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009882078683708362,-0.001004785836504067,0.996,-9.342708717364281e-05,hsagree_all_k1200_a0.75,hsagree,all,1200,0.75,247,764,0.007970067638728762,0.08748305493043207,0.018326663683300878,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009882078683708362,-0.001004785836504067,0.996,-9.342708717364281e-05,hsagree_all_k1500_a0.75,hsagree,all,1500,0.75,247,764,0.007970067638728762,0.08748305493043207,0.018326663683300878,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009882078683708362,-0.001004785836504067,0.996,-9.342708717364281e-05,hsagree_all_k1750_a0.75,hsagree,all,1750,0.75,247,764,0.007970067638728762,0.08748305493043207,0.018326663683300878,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009874999301682432,-0.001004091196260048,0.996,-9.3408332153471e-05,hsagree_all_k1000_a1.25,hsagree,all,1000,1.25,247,764,0.013423415051654099,0.14158322298737225,0.02296263597989468,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009874999301682432,-0.001004091196260048,0.996,-9.3408332153471e-05,hsagree_all_k1200_a1.25,hsagree,all,1200,1.25,247,764,0.013423415051654099,0.14158322298737225,0.02296263597989468,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
-0.0009874999301682432,-0.001004091196260048,0.996,-9.3408332153471e-05,hsagree_all_k1500_a1.25,hsagree,all,1500,1.25,247,764,0.013423415051654099,0.14158322298737225,0.02296263597989468,-0.000643700667220692,-0.00018078994854115775,-8.492843381844784e-05,none,0.0,True,diagnostic_only,2,not_materialized
