action_id,route_id,row,subject_id,sleep_date,route_name,route_targets,mode,route_group,route_n_cells,action_cells,action_q2_cells,changed_cells,model_pred_delta_vs_h057,posterior_delta_vs_h057,hard_diag_delta_vs_h057,anti_h088_direction_rate,h057_positive_align_rate,selected_conflict_rate,selected_toxic_mean,selected_safe_cell_mean,mean_bad_same_rank,mean_h098_frontier_cell_score,max_h098_frontier_cell_score,assignment_route_score,h071_route_score,h071_route_rank,h071_novelty_rank,h071_shortcut_avoid_rank,Q1_cells,Q2_cells,Q3_cells,S1_cells,S2_cells,S3_cells,S4_cells,h099_route_score,basis_spec,basis_id,basis_alpha,basis_cap,basis_norm_l2,basis_norm_l1
r139_q2_s3_tail_conflict_invert,r139_q2_s3_tail,139,id06,2024-07-19,q2_s3_tail,"Q2,S3",conflict_invert,conflict,2,1,0,1,-2.7625599163309767e-06,4.046536390247716e-08,4.0465363903119285e-08,1.0,1.0,1.0,0.6441428571428571,0.3646849142857143,0.1785714285714285,0.40608277714285723,0.40608277714285723,0.5909510869565218,1.355614146904578,0.6046195652173914,0.3154438405797101,0.7694746376811594,0,0,0,0,0,1,0,0.6109046988437042,basis_conflict_a052,basis_conflict_a052__r139_q2_s3_tail_conflict_invert,0.52,0.68,0.3536,0.3536
r000_s14_edge_conflict_invert,r000_s14_edge,0,id01,2024-07-31,s14_edge,"S1,S4",conflict_invert,conflict,2,2,0,2,-9.345129583153032e-06,7.415152435460863e-06,1.0014522202525284e-05,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2459057971014492,0.779883268784578,0.2368659420289855,0.46875,0.1929347826086956,0,0,0,1,0,0,1,0.6103152081446043,basis_conflict_a052,basis_conflict_a052__r000_s14_edge_conflict_invert,0.52,0.68,0.30930034557027475,0.3444743087458471
r139_s23_core_conflict_invert,r139_s23_core,139,id06,2024-07-19,s23_core,"S2,S3",conflict_invert,conflict,2,1,0,1,-2.7625599163309767e-06,4.046536390247716e-08,4.0465363903119285e-08,1.0,1.0,1.0,0.6441428571428571,0.3646849142857143,0.1785714285714285,0.40608277714285723,0.40608277714285723,0.5826585144927535,1.4434352488365334,0.6503623188405797,0.3154438405797101,0.9592391304347826,0,0,0,0,0,1,0,0.6101583673219652,basis_conflict_a052,basis_conflict_a052__r139_s23_core_conflict_invert,0.52,0.68,0.3536,0.3536
r000_nonq2_full_conflict_invert,r000_nonq2_full,0,id01,2024-07-31,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,2,0,2,-9.345129583153032e-06,7.415152435460863e-06,1.0014522202525284e-05,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2428487318840579,0.5348365320114978,0.1109601449275362,0.9402173913043478,0.0901268115942029,0,0,0,1,0,0,1,0.610040072275039,basis_conflict_a052,basis_conflict_a052__r000_nonq2_full_conflict_invert,0.52,0.68,0.30930034557027475,0.3444743087458471
r000_q3_s_stage_conflict_invert,r000_q3_s_stage,0,id01,2024-07-31,q3_s_stage,"Q3,S1,S2,S3,S4",conflict_invert,conflict,5,2,0,2,-9.345129583153032e-06,7.415152435460863e-06,1.0014522202525284e-05,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2420697463768116,0.5887938044026807,0.1304347826086956,0.8591485507246377,0.1019021739130434,0,0,0,1,0,0,1,0.6099699635793868,basis_conflict_a052,basis_conflict_a052__r000_q3_s_stage_conflict_invert,0.52,0.68,0.30930034557027475,0.3444743087458471
r061_q3_quality_conflict_invert,r061_q3_quality,61,id03,2024-08-19,q3_quality,Q3,conflict_invert,conflict,1,1,0,1,-7.447314107907922e-06,3.9406298207476033e-07,1.0022672760613582e-06,1.0,1.0,1.0,0.4517142857142857,0.0444745142857143,0.6217142857142857,0.5751226514285716,0.5751226514285716,0.0745471014492753,0.3515228553938512,0.0389492753623188,0.1526268115942029,0.1961050724637681,0,0,1,0,0,0,0,0.6086438977679738,basis_conflict_a052,basis_conflict_a052__r061_q3_quality_conflict_invert,0.52,0.68,0.08755149378500557,0.08755149378500557
r000_s_stage_conflict_invert,r000_s_stage,0,id01,2024-07-31,s_stage,"S1,S2,S3,S4",conflict_invert,conflict,4,2,0,2,-9.345129583153032e-06,7.415152435460863e-06,1.0014522202525284e-05,1.0,1.0,1.0,0.6109,-0.01864222857142855,0.534142857142857,0.47113109142857146,0.57472224,0.2265217391304347,0.612014188004457,0.1453804347826087,0.7373188405797102,0.1204710144927536,0,0,0,1,0,0,1,0.608570642927213,basis_conflict_a052,basis_conflict_a052__r000_s_stage_conflict_invert,0.52,0.68,0.30930034557027475,0.3444743087458471
r135_q_subjective_conflict_invert,r135_q_subjective,135,id06,2024-07-14,q_subjective,"Q1,Q2,Q3",conflict_invert,conflict,3,2,0,2,-2.986774329081631e-05,1.29805241441875e-05,1.6872087359847387e-05,1.0,1.0,1.0,0.5090142857142858,-0.03980851428571425,0.9551428571428572,0.4410886342857143,0.4524815657142857,0.325018115942029,0.7594940300721094,0.2214673913043478,0.46875,0.1721014492753623,1,0,1,0,0,0,0,0.6078556275466683,basis_conflict_a052,basis_conflict_a052__r135_q_subjective_conflict_invert,0.52,0.68,0.475511662938696,0.6715282648503025
r101_q3_quality_conflict_invert,r101_q3_quality,101,id04,2024-10-24,q3_quality,Q3,conflict_invert,conflict,1,1,0,1,-1.1592620540117602e-05,3.475989029403247e-06,4.944697747058635e-06,1.0,1.0,1.0,0.8043142857142858,-0.0305217142857143,0.832,0.5417878857142857,0.5417878857142857,0.0520471014492753,0.2735173411081368,0.0172101449275362,0.1526268115942029,0.0588768115942028,0,0,1,0,0,0,0,0.6068313710520057,basis_conflict_a052,basis_conflict_a052__r101_q3_quality_conflict_invert,0.52,0.68,0.2628926911695282,0.2628926911695282
r061_full_state_conflict_invert,r061_full_state,61,id03,2024-08-19,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",conflict_invert,conflict,7,4,0,4,-1.2747877348845719e-05,9.176669901912325e-06,1.1101815045274506e-05,1.0,1.0,1.0,0.4628142857142857,0.06633411428571427,0.6435,0.4091094542857144,0.5751226514285716,0.3157835144927536,0.7150071323999813,0.1988224637681159,0.9685235507246376,0.2350543478260869,0,0,1,1,1,1,0,0.6057309714940438,basis_conflict_a052,basis_conflict_a052__r061_full_state_conflict_invert,0.52,0.68,0.351842612839324,0.6720292407446012
r061_nonq2_full_conflict_invert,r061_nonq2_full,61,id03,2024-08-19,nonq2_full,"Q1,Q3,S1,S2,S3,S4",conflict_invert,conflict,6,4,0,4,-1.2747877348845719e-05,9.176669901912325e-06,1.1101815045274506e-05,1.0,1.0,1.0,0.4628142857142857,0.06633411428571427,0.6435,0.4091094542857144,0.5751226514285716,0.3154755434782608,0.762567889452929,0.2223731884057971,0.9026268115942028,0.2463768115942029,0,0,1,1,1,1,0,0.6057032541027394,basis_conflict_a052,basis_conflict_a052__r061_nonq2_full_conflict_invert,0.52,0.68,0.351842612839324,0.6720292407446012
