split,feature_set,target,logloss,auc,uses_public_score,uses_train_labels,core_representation_frozen,evaluated_rows,probe_calibration_shrink
chronological_holdout,subject_relative_world_model_energy,S3,0.7248826598508764,0.46515679442508717,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,S4,0.7379857086295196,0.5306791569086651,False,True,True,131,
chronological_holdout,subject_relative_world_model_energy,all,0.6909523571018493,0.5330312468878847,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,Q1,0.7274674635629428,0.5481220657276996,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,Q2,0.7500102016910049,0.4944684944684945,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,Q3,0.6793526454890931,0.5364741641337386,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,S1,0.6501544508376096,0.5590785907859078,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,S2,0.7162670809796754,0.5107843137254903,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,S3,0.7620026743881414,0.4972623195619711,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,S4,0.7440289728273491,0.5023419203747073,False,True,True,131,
chronological_holdout,subject_relative_world_model_full,all,0.7184690699679738,0.5212188383968585,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,Q1,0.6996442855593359,0.6112676056338028,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,Q2,0.7394430268967788,0.5367965367965368,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,Q3,0.6905194780475394,0.5050658561296859,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,S1,0.6606213677946658,0.5211382113821138,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,S2,0.6862432491264902,0.5681372549019609,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,S3,0.7418753977793064,0.5007466401194623,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,S4,0.7621967343444701,0.4967213114754098,False,True,True,131,
chronological_holdout,hybrid_absolute_relative_world_model,all,0.7115062199355123,0.5342676309198532,False,True,True,131,
chronological_holdout,raw_plus_subject_relative_world_model,Q1,0.7116756858101195,0.6037558685446008,False,True,True,131,
