law_name,feature_view,model_name,model_family,policy,param,logloss,switched_cells,mean_realized_gain_all_cells,mean_realized_gain_switched,positive_true_gain_rate,episode_route_match_rate,episode_family_match_rate,mean_row_episode_score_switched,target_null_p_ge_observed,target_family_null_p_ge_observed,target_null_z,target_family_null_z,target_null_mean,target_null_std,target_family_null_mean,target_family_null_std
episode_route_gate__episode_elasticnet_sparse,episode_route_gate,episode_elasticnet_sparse,elasticnet,threshold,0.12,0.639644769636306,6,-0.0026476874853110697,-0.3243417169506061,0.6666666666666666,0.0,0.3333333333333333,0.03577137910617128,0.9946666666666667,0.98,-2.9411026462978307,-2.4751921828989074,-9.554337501737035e-05,0.0008677507782689121,-0.0005272102993307032,0.0008566919371476425
episode_human_listener_assignment__episode_huber_linear,episode_human_listener_assignment,episode_huber_linear,huber,topfrac,0.02,0.6396577518084627,15,-0.0026606696574679733,-0.1303728132159307,0.6,0.3333333333333333,0.4666666666666667,0.03365596089758889,0.9476666666666667,0.9403333333333334,-1.6220411460173005,-1.4724535369004632,-0.000403701384838994,0.0013914371273322228,-0.00041562232520348647,0.0015246982509141476
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,topfrac,0.03,0.6396585532552014,22,-0.00266147110420658,-0.0889173300723562,0.4090909090909091,0.5454545454545454,0.6363636363636364,0.02092661386788924,0.9556666666666667,0.9323333333333333,-1.6848558956671162,-1.651208111196778,-0.000347983466230231,0.0013731071268028691,-0.0007570679956631797,0.0011533392402990979
route_law_no_episode__episode_elasticnet_sparse,route_law_no_episode,episode_elasticnet_sparse,elasticnet,threshold,0.08,0.639666964176056,14,-0.002669882025061035,-0.14016880631570433,0.5714285714285714,0.35714285714285715,0.5,0.01412420534681666,0.9616666666666667,0.9436666666666667,-2.0297492283057044,-1.6684408689636283,-0.0006426204613012644,0.0009987743980826584,-0.0008737208668493205,0.0010765506837095288
route_law_no_episode__episode_elasticnet_sparse,route_law_no_episode,episode_elasticnet_sparse,elasticnet,topfrac,0.02,0.6396939047826148,15,-0.002696822631619865,-0.1321443089493734,0.5333333333333333,0.4,0.5333333333333333,0.014253746739663986,0.9633333333333334,0.942,-2.019784037500913,-1.6893238450773143,-0.000660775369227802,0.0010080519622836868,-0.0008688639247937828,0.0010820652962146658
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,topfrac,0.04,0.6397358356278786,29,-0.002738753476883759,-0.06941323467274355,0.41379310344827586,0.6206896551724138,0.7241379310344828,0.02134111016584606,0.943,0.918,-1.5507288629972782,-1.5094894228972655,-0.0004903737216916858,0.0014498857981184166,-0.0008641936818960895,0.001241850235286644
episode_full_assignment__episode_elasticnet_sparse,episode_full_assignment,episode_elasticnet_sparse,elasticnet,threshold,0.12,0.6397426695576682,5,-0.002745587406673344,-0.40360134878098164,0.6,0.0,0.4,0.036534793129809236,0.9966666666666667,0.9853333333333333,-3.31399674834513,-2.718435515412502,-7.780687742458312e-05,0.0008050039670621095,-0.00047774098653466325,0.0008342469068259477
route_law_no_episode__episode_huber_linear,route_law_no_episode,episode_huber_linear,huber,topfrac,0.01,0.639778355412911,7,-0.0027812732619160742,-0.2920336925011879,0.2857142857142857,0.8571428571428571,0.8571428571428571,-0.008143559902916047,0.9673333333333334,0.9363333333333334,-1.9236208229175262,-1.4844802608255407,-0.0004070393725082515,0.0012342525414165873,-0.0007934536966250505,0.0013390676977985342
episode_route_gate__episode_huber_linear,episode_route_gate,episode_huber_linear,huber,topfrac,0.01,0.639778355412911,7,-0.0027812732619160742,-0.2920336925011879,0.2857142857142857,0.8571428571428571,0.8571428571428571,-0.0024301076421281856,0.9656666666666667,0.9533333333333334,-1.7697288608433188,-1.5426312041297192,-0.0003328442233649837,0.001383505175693612,-0.00037431701120319174,0.0015602927285985869
episode_full_assignment__episode_huber_linear,episode_full_assignment,episode_huber_linear,huber,topfrac,0.01,0.639778355412911,7,-0.0027812732619160742,-0.2920336925011879,0.2857142857142857,0.8571428571428571,0.8571428571428571,-0.0024301076421281856,0.962,0.9496666666666667,-1.9113830541157866,-1.615712636413129,-0.00041266650858846145,0.0012392109201906367,-0.0006679223503871281,0.0013079992468342462
