route_id,row,subject_id,sleep_date,route_name,targets,n_cells,q2_cells,s_cells,route_score,route_score_sum,route_score_mean,mean_latent_hsjepa_score,mean_context_energy,mean_shortcut_energy,mean_public_score,mean_invariant_score,mean_cell_gain,sum_cell_gain,outside_h070_cells,outside_h069_cells,h068_overlap_cells,h069_overlap_cells,target_mask,target_indices,route_rank,novelty_rank,shortcut_avoid_rank,assignment_route_score,h085_route_gain_sum,h085_route_cell_score_mean,h085_route_abs_move_mean,h085_route_source_agree_mean,h085_route_h082_cells,h085_route_bad_same_mean,h085_route_public_mean,h085_route_invariant_mean,h085_route_score
r100_recovery_route,100,id04,2024-10-22,recovery_route,"Q1,S2,S3,S4",4,0,3,1.5196977951511146,2.0142342857142856,0.5035585714285714,0.4878469387382328,0.5487428571428572,0.3397571428571428,0.5965199999999999,0.3467971428571429,0.00090390984385,0.0036156393754002,3,3,1,1,1000111,"0,4,5,6",0.6938405797101449,0.6632699275362319,0.6684782608695652,0.6837182971014493,0.003292476835452085,0.5066648,0.07555231598331266,1.0,4,0.5257142857142857,0.5965199999999999,0.3467971428571429,0.6129917755693581
r199_s23_core,199,id08,2024-09-18,s23_core,"S2,S3",2,0,2,1.253532071152091,1.1222800000000004,0.5611400000000002,0.5910599822041449,0.6555085714285713,0.3807142857142856,0.4905971428571428,0.5206771428571428,0.0018334097202996,0.0036668194405993,1,2,0,0,110,"4,5",0.5471014492753623,0.3154438405797101,0.573822463768116,0.5213134057971015,0.0033382228645885137,0.5945728000000001,0.11679466912786537,1.0,1,0.5514285714285714,0.49059714285714284,0.5206771428571428,0.6123351627329193
r229_s14_edge,229,id10,2024-08-06,s14_edge,"S1,S4",2,0,2,1.356732081262677,1.2198057142857146,0.6099028571428573,0.6036389789425327,0.7072742857142857,0.2651285714285714,0.6467114285714286,0.4097171428571429,0.0013164178397704,0.0026328356795408,1,1,2,1,1001,"3,6",0.6055253623188406,0.1526268115942029,0.8088768115942029,0.5664764492753622,0.0024091002694894836,0.5506528571428573,0.12419562959428931,1.0,2,0.5054285714285713,0.6467114285714286,0.4097171428571429,0.6122569047619048
r102_q2_hardtail,102,id04,2024-10-25,q2_hardtail,Q2,1,1,0,0.7779229141359816,0.4123200000000001,0.4123200000000001,0.4523085713644003,0.4615314285714285,0.3977428571428572,0.8013828571428572,0.2560971428571428,0.0030287790577234,0.0030287790577234,1,0,1,1,100000,1,0.2355072463768115,0.0337409420289855,0.5371376811594203,0.3082563405797102,0.002757929826508798,0.6739466857142857,0.15707796220573247,1.0,1,0.4462857142857143,0.8013828571428572,0.2560971428571428,0.6118732997929609
r240_q3_s_stage,240,id10,2024-09-17,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.5669456212260982,2.3924114285714286,0.4784822857142857,0.4914173426761031,0.534848,0.38592,0.3712719999999999,0.5748171428571428,0.0007425214212244,0.003712607106122,4,5,1,0,11111,"2,3,4,5,6",0.7192028985507246,0.8591485507246377,0.5634057971014492,0.6955389492753623,0.0034224413821870026,0.4424590171428571,0.06774576239844958,1.0,5,0.4138285714285714,0.37127199999999994,0.5748171428571428,0.6117479708488612
r182_q3_s_stage,182,id08,2024-08-01,q3_s_stage,"Q3,S1,S2,S3,S4",5,0,4,1.4554796733535824,2.2157657142857143,0.4431531428571428,0.4213636283903888,0.5179108571428571,0.4491485714285714,0.4119725714285714,0.4368771428571428,0.0017425926717521,0.0087129633587607,5,3,5,2,11111,"2,3,4,5,6",0.6580615942028986,0.8054800724637681,0.4411231884057971,0.6590398550724638,0.00794054767831609,0.4129990342857143,0.10313335455514734,0.8,2,0.5811428571428572,0.4119725714285714,0.4368771428571428,0.6110953806211181
r024_s23_core,24,id01,2024-09-13,s23_core,"S2,S3",2,0,2,1.3619001730252824,1.0804228571428571,0.5402114285714286,0.5107971250612876,0.6221771428571429,0.2052,0.4335771428571428,0.4019371428571429,0.001554383897412,0.0031087677948241,1,1,2,1,110,"4,5",0.6077898550724637,0.1526268115942029,0.8872282608695652,0.5625271739130435,0.0028410859685020773,0.512344,0.08957150331622882,1.0,2,0.1785714285714285,0.4335771428571428,0.4019371428571429,0.6110791677018633
r014_s23_core,14,id01,2024-09-02,s23_core,"S2,S3",2,0,2,1.4089359502452634,1.2833485714285715,0.6416742857142858,0.6562456964898591,0.6698285714285716,0.2849642857142856,0.5714628571428572,0.6055571428571429,0.0010462423990597,0.0020924847981194,1,2,0,0,110,"4,5",0.6345108695652174,0.3154438405797101,0.7735507246376812,0.5945380434782608,0.001924082848902553,0.5657183142857143,0.10450278321370739,1.0,2,0.48671428571428565,0.5714628571428572,0.6055571428571429,0.6107701060041408
r192_s23_core,192,id08,2024-09-05,s23_core,"S2,S3",2,0,2,1.4867037087834742,1.2679228571428571,0.6339614285714286,0.6344342679184305,0.60504,0.343292857142857,0.6279914285714286,0.5613171428571428,0.0011798130094339,0.0023596260188679,1,2,0,0,110,"4,5",0.6739130434782609,0.3154438405797101,0.6585144927536232,0.6094927536231884,0.0021513319425807698,0.5751729714285714,0.09373167442409332,1.0,2,0.5235714285714286,0.6279914285714286,0.5613171428571428,0.6104411445134575
r124_q2_hardtail,124,id05,2024-11-17,q2_hardtail,Q2,1,1,0,0.9553349141359816,0.5659085714285714,0.5659085714285714,0.6840799999358289,0.7366628571428572,0.3274571428571428,0.6117542857142857,0.5087771428571428,0.0024122047027477,0.0024122047027477,1,1,0,0,100000,1,0.3369565217391304,0.1526268115942029,0.7006340579710145,0.3924003623188405,0.002195488190940398,0.6408490857142857,0.1391672210689966,1.0,1,0.4,0.6117542857142857,0.5087771428571428,0.6104281420289855
r218_q2_hardtail,218,id09,2024-09-09,q2_hardtail,Q2,1,1,0,0.8297011427074101,0.468262857142857,0.468262857142857,0.5622685713644002,0.5704685714285713,0.3980285714285714,0.6474285714285715,0.4294971428571429,0.0029923424758266,0.0029923424758266,1,1,0,0,100000,1,0.2681159420289855,0.1526268115942029,0.5353260869565217,0.3380525362318841,0.002724302705334636,0.6488317714285715,0.15489358078974086,1.0,1,0.448,0.6474285714285715,0.4294971428571429,0.6102389304347826
r119_q_subjective,119,id05,2024-11-07,q_subjective,"Q1,Q2,Q3",3,1,0,1.294004274827798,1.3929399999999998,0.4643133333333333,0.4953133947235133,0.6519009523809524,0.3291571428571428,0.495167619047619,0.3013971428571429,0.0016114312649788,0.0048342937949366,2,2,2,1,1110000,"0,1,2",0.5751811594202898,0.46875,0.6970108695652174,0.5857155797101449,0.004408922567245455,0.5151277047619048,0.1163968503592553,0.6666666666666666,2,0.3707619047619047,0.495167619047619,0.3013971428571429,0.6099003511387165
r193_s_stage,193,id08,2024-09-07,s_stage,"S1,S2,S3,S4",4,0,4,1.563523673718743,1.9079885714285716,0.4769971428571429,0.469612337716196,0.57218,0.3442571428571428,0.4809742857142857,0.4034171428571428,0.0014986642524985,0.005994657009994,3,3,1,1,1111,"3,4,5,6",0.7160326086956522,0.6632699275362319,0.65625,0.6972961956521739,0.005468457911137814,0.4343280285714286,0.0829050443092507,0.75,3,0.48,0.4809742857142857,0.4034171428571428,0.6094613855072466
r086_full_state,86,id04,2024-09-19,full_state,"Q1,Q2,Q3,S1,S2,S3,S4",7,1,4,1.3054109576998203,2.448397142857143,0.3497710204081632,0.3664131988825972,0.4200065306122448,0.4919448979591836,0.4013608163265306,0.4614571428571428,0.0009626995101874,0.0067388965713118,6,6,2,1,1111111,"0,1,2,3,4,5,6",0.5792572463768116,0.9685235507246376,0.3740942028985507,0.6251766304347826,0.0061474025127739584,0.4141875591836734,0.06924891257467138,1.0,6,0.6351428571428571,0.40136081632653064,0.46145714285714284,0.6093975055900621
